Date,Open,High,Low,Close,Volume
2015-06-22,53.43,53.725,53.325,53.395,4186662
2015-06-23,53.6,53.63,53.41,53.6,5922416
2015-06-24,53.6,53.685,53.02,53.11,5048562
2015-06-25,53.405,53.405,52.335,52.61,10282770
2015-06-26,54.185,55.17,54.185,54.855,20249640
2015-06-29,54.635,54.745,53.83,53.835,8991512
2015-06-30,54.425,54.44,53.9,54.01,7531108
2015-07-01,54.475,54.715,54.295,54.715,5922350
2015-07-02,54.955,55.365,54.545,54.935,5887338
2015-07-06,54.545,55.255,54.505,54.92,4990674
2015-07-07,55.04,55.665,54.53,55.645,7206630
2015-07-08,55.11,55.376,54.5,54.635,6722134
2015-07-09,55.12,55.46,54.595,54.72,6165562
2015-07-10,55.265,55.4,54.5,55.26,5159156
2015-07-13,55.62,56.275,55.4,56.205,5041888
2015-07-14,56.42,56.53,55.96,56.17,5558228
2015-07-15,56.0,56.195,55.845,55.95,5016536
2015-07-16,56.38,56.45,55.925,56.17,4335684
2015-07-17,56.185,56.49,55.95,56.4,4531054
2015-07-20,56.635,56.775,56.41,56.565,5978066
2015-07-21,56.49,56.785,56.36,56.495,4626098
2015-07-22,56.435,57.11,56.435,57.045,5943482
2015-07-23,57.25,57.352,56.906,57.0,6714778
2015-07-24,57.09,57.09,56.2365,56.495,5966842
2015-07-27,56.2,56.46,55.475,55.865,6634312
2015-07-28,56.035,56.955,55.925,56.735,6948236
2015-07-29,56.79,57.67,56.75,57.46,6735278
2015-07-30,57.475,57.7,56.9705,57.505,5590276
2015-07-31,57.75,57.97,57.415,57.61,5078418
2015-08-03,57.755,58.0,56.795,57.415,4991998
2015-08-04,57.475,57.965,57.165,57.885,5224038
2015-08-05,58.305,58.8599,58.175,58.375,6850430
2015-08-06,58.5,58.75,57.185,57.56,6210386
2015-08-07,57.36,57.4795,56.55,57.255,5907530
2015-08-10,57.695,58.085,57.425,57.68,4612264
2015-08-11,57.07,57.495,56.815,57.23,5095032
2015-08-12,56.77,56.875,55.325,56.53,7174682
2015-08-13,56.635,57.2625,56.475,56.8,5907732
2015-08-14,56.795,57.2824,56.555,57.18,4685134
2015-08-17,57.06,57.565,56.545,57.49,3917070
2015-08-18,57.56,57.84,57.295,57.41,3671410
2015-08-19,57.0,58.025,56.775,57.48,6214704
2015-08-20,56.855,57.225,56.12,56.15,6527800
2015-08-21,55.735,55.83,53.42,53.435,15880196
2015-08-24,50.13,53.69,47.25,51.935,19879440
2015-08-25,53.64,53.655,51.7398,51.765,13523176
2015-08-26,53.25,54.505,51.99,54.38,15133164
2015-08-27,55.185,56.345,54.815,56.31,13544998
2015-08-28,56.3,56.5,55.82,56.25,7520816
