Date,Open,High,Low,Close,Volume
2015-06-22,25.01,25.39,24.98,25.09,3006957
2015-06-23,25.23,25.28,24.94,24.99,3580183
2015-06-24,24.9,25.05,24.85,24.89,4418324
2015-06-25,24.94,24.96,24.305,24.36,3624730
2015-06-26,24.33,24.35,24.06,24.2,4166852
2015-06-29,24.08,24.17,23.42,23.44,4313701
2015-06-30,23.51,23.58,22.83,22.88,6516570
2015-07-01,22.99,23.0,22.32,22.45,5228900
2015-07-02,22.66,22.78,22.225,22.6,4344781
2015-07-06,22.78,22.82,22.46,22.76,4338242
2015-07-07,22.75,23.22,22.63,23.1,4839428
2015-07-08,22.93,23.06,22.05,22.1,3674032
2015-07-09,22.31,22.36,21.71,21.89,4033741
2015-07-10,22.1,22.1,21.65,21.76,4933365
2015-07-13,21.88,22.24,21.635,22.23,3034771
2015-07-14,22.83,22.83,22.0,22.08,2921045
2015-07-15,22.12,22.19,21.76,21.89,2500390
2015-07-16,21.93,22.455,21.77,22.25,2902948
2015-07-17,22.23,22.41,22.02,22.24,2888627
2015-07-20,22.29,22.3,21.38,21.57,6682655
2015-07-21,21.55,21.57,20.96,21.06,3878190
2015-07-22,21.02,22.03,20.95,21.98,5516437
2015-07-23,21.94,22.03,21.48,21.65,4073992
2015-07-24,21.57,21.64,21.365,21.4,5251141
2015-07-27,21.4,21.86,21.284,21.55,5097258
2015-07-28,21.57,22.19,21.482,22.16,4874593
2015-07-29,22.07,22.16,21.78,22.0,3388112
2015-07-30,21.78,22.58,21.69,22.36,3098718
2015-07-31,22.51,23.065,22.385,22.45,3949628
2015-08-03,22.39,22.6,21.955,22.27,5873890
2015-08-04,21.68,21.9,19.905,20.04,15798790
2015-08-05,20.06,20.96,19.95,20.03,7235465
2015-08-06,19.99,19.99,19.19,19.43,8530131
2015-08-07,19.42,20.1968,19.4,19.6,5782057
2015-08-10,19.41,20.13,19.36,19.85,5558319
2015-08-11,19.77,19.91,19.09,19.23,5165669
2015-08-12,19.2,20.54,18.95,20.53,7064963
2015-08-13,20.53,20.72,20.19,20.33,3776100
2015-08-14,20.23,20.83,20.23,20.79,3873232
2015-08-17,20.73,21.28,20.716,21.24,4645879
