Date,Open,High,Low,Close,Volume
2015-06-22,34.0,34.48,33.94,34.39,3570841
2015-06-23,34.16,34.72,34.16,34.55,3909235
2015-06-24,34.47,34.506,33.085,33.18,5315601
2015-06-25,33.2,33.2854,32.455,32.645,6070184
2015-06-26,32.62,32.84,32.24,32.36,4692397
2015-06-29,32.04,32.37,31.63,31.675,4804619
2015-06-30,31.88,31.99,31.42,31.56,3358093
2015-07-01,32.28,32.28,31.46,31.59,2782030
2015-07-02,31.5,31.72,31.375,31.495,2803150
2015-07-06,31.22,31.49,31.1,31.3,2857067
2015-07-07,31.44,31.63,30.91,31.6,3726165
2015-07-08,31.62,31.62,30.51,30.6,4466018
2015-07-09,30.73,30.99,30.26,30.35,4698458
2015-07-10,30.74,30.92,30.4,30.6,2364857
2015-07-13,30.69,30.97,30.5,30.91,2656449
2015-07-14,30.97,31.1,30.72,30.89,2913229
2015-07-15,31.21,31.3985,30.93,31.14,4241064
2015-07-16,31.14,31.37,31.06,31.22,3851202
2015-07-17,31.17,31.21,30.97,31.14,3505098
2015-07-20,31.19,31.29,30.87,30.94,4063190
2015-07-21,30.84,30.92,30.25,30.89,3281668
2015-07-22,30.68,31.25,30.4201,31.15,3544321
2015-07-23,31.23,32.18,31.11,31.4,4703205
2015-07-24,31.46,31.62,31.03,31.1,3067417
2015-07-27,30.87,31.03,30.62,30.8,3924549
2015-07-28,31.0,31.11,30.77,30.95,4003841
2015-07-29,30.89,31.17,30.81,30.96,3508784
2015-07-30,30.9,31.64,30.84,31.57,2484428
2015-07-31,31.62,31.62,31.1,31.15,2641858
2015-08-03,31.17,31.45,30.5701,30.69,1828828
2015-08-04,30.64,30.76,30.44,30.58,2118916
2015-08-05,30.86,31.24,30.55,30.87,3243964
2015-08-06,30.96,30.9999,30.519,30.69,2813474
2015-08-07,30.59,30.89,30.47,30.52,1911138
2015-08-10,30.75,31.68,30.75,31.5,2831974
2015-08-11,31.35,31.36,30.56,30.71,1957417
2015-08-12,30.55,30.99,30.28,30.99,2917988
2015-08-13,30.94,31.06,30.54,30.62,2008826
2015-08-14,30.45,30.8,30.45,30.75,2415660
2015-08-17,30.25,30.56,30.0,30.54,3448043
2015-08-18,30.4,30.73,29.915,30.28,3342072
2015-08-19,30.2,30.27,29.535,29.78,6233740
2015-08-20,31.98,32.29,30.48,30.78,14091080
2015-08-21,30.44,31.19,30.21,30.21,7085161
2015-08-24,28.96,30.84,28.88,29.87,8996419
2015-08-25,30.51,30.51,29.05,29.07,6642946
2015-08-26,29.64,30.64,29.46,30.58,5507728
2015-08-27,30.85,31.44,30.73,31.39,4360546
2015-08-28,31.34,31.835,31.31,31.62,3294926
2015-08-31,31.52,32.04,31.41,31.96,4863372
2015-09-01,31.07,31.28,30.8,30.955,4465103
2015-09-02,31.42,31.45,30.8901,31.27,2849411
2015-09-03,31.27,31.69,31.115,31.19,3113046
2015-09-04,30.75,30.95,30.5201,30.57,3484043
2015-09-08,30.9,31.545,30.78,31.49,3501384
2015-09-09,31.73,31.945,31.07,31.12,2495287
2015-09-10,31.07,31.64,30.95,31.36,2416820
2015-09-11,31.18,31.59,31.05,31.58,1930060
2015-09-14,31.62,31.62,31.045,31.14,2103699
2015-09-15,31.38,32.215,31.22,32.19,3790402
2015-09-16,32.02,32.48,31.91,32.36,2060406
2015-09-17,32.34,32.73,32.16,32.21,2740808
2015-09-18,31.81,32.12,31.175,31.36,7854178
2015-09-21,31.43,31.72,31.145,31.22,2690994
2015-09-22,30.29,30.39,29.74,30.07,5679292
2015-09-23,30.14,30.18,29.54,29.7,2587971
2015-09-24,29.5,29.89,29.11,29.49,3338707
2015-09-25,29.58,29.7,29.37,29.57,4860401
2015-09-28,29.36,29.66,29.09,29.1,3037653
2015-09-29,29.25,29.725,28.81,28.95,3255942
2015-09-30,29.2,29.73,28.75,29.6,4669206
2015-10-01,29.65,29.75,28.87,29.24,3108458
2015-10-02,28.89,29.93,28.8501,29.93,2737790
2015-10-05,30.18,30.9501,30.121,30.89,2336394
2015-10-06,30.84,31.58,30.84,31.33,2896387
2015-10-07,31.34,31.769,31.07,31.53,3385480
2015-10-08,31.62,32.28,31.46,32.27,3788789
2015-10-09,32.3,33.195,32.3,33.16,4768220
2015-10-12,33.57,33.66,32.68,33.37,4380378
2015-10-13,33.1,33.87,32.9011,33.43,3464579
2015-10-14,33.46,33.95,33.42,33.88,3204987
2015-10-15,33.63,33.78,33.37,33.78,3037347
