Date,Open,High,Low,Close,Volume
2015-06-22,78.0,78.58,77.81,78.21,979783
2015-06-23,78.45,78.88,78.0,78.4,856828
2015-06-24,78.34,78.61,77.58,77.71,964313
2015-06-25,78.1,78.4,77.37,77.69,900126
2015-06-26,78.06,78.85,77.73,78.64,2107445
2015-06-29,77.68,77.99,76.14,76.275,1419279
2015-06-30,77.0,77.44,76.08,76.46,1265051
2015-07-01,77.36,77.57,76.52,76.95,909220
2015-07-02,77.07,77.74,75.69,76.68,1145016
2015-07-06,75.99,76.18,75.49,75.99,742567
2015-07-07,76.2,76.36,74.42,75.87,803081
2015-07-08,75.31,75.52,73.92,74.05,1398940
2015-07-09,74.81,75.59,74.46,74.74,989149
2015-07-10,75.64,76.72,75.326,76.38,1989688
2015-07-13,76.63,77.3,76.426,77.16,922671
2015-07-14,76.87,77.38,76.61,77.24,1108178
2015-07-15,77.58,77.965,77.09,77.71,845526
2015-07-16,78.24,78.75,77.92,78.66,882947
2015-07-17,78.44,78.78,77.525,77.92,946960
2015-07-20,78.21,78.67,77.92,78.34,867585
2015-07-21,78.26,78.91,77.61,78.05,1440231
2015-07-22,77.26,78.9,77.13,77.97,2117279
2015-07-23,78.3,79.25,77.65,78.0,1870308
2015-07-24,77.99,78.09,76.85,76.97,997882
2015-07-27,76.81,76.84,75.62,75.77,1045422
2015-07-28,76.35,76.65,75.72,76.5,984686
2015-07-29,76.42,77.05,76.255,76.75,830217
2015-07-30,76.72,77.39,76.51,77.26,878404
2015-07-31,77.85,77.87,76.38,76.49,883871
2015-08-03,76.77,77.02,75.98,76.62,623916
2015-08-04,76.52,77.35,76.2,77.2,1096666
2015-08-05,77.7,78.175,77.1,77.21,1005057
2015-08-06,77.46,77.85,76.89,77.15,747915
2015-08-07,77.36,77.88,76.9,77.66,895665
2015-08-10,78.26,78.7,78.03,78.53,693251
2015-08-11,77.98,78.07,77.29,77.67,747129
2015-08-12,76.74,76.74,75.16,76.6,1125155
2015-08-13,76.79,77.43,76.45,76.99,603325
2015-08-14,76.84,77.74,76.84,77.7,669911
2015-08-17,77.24,77.97,76.85,77.63,639917
2015-08-18,77.42,77.98,77.29,77.6,602106
2015-08-19,77.17,78.21,76.865,77.34,1479667
2015-08-20,76.78,76.81,75.02,75.03,1023987
2015-08-21,74.46,74.61,72.52,72.52,1563651
2015-08-24,69.03,70.35,66.6811,67.16,4236120
2015-08-25,68.98,69.74,65.17,65.25,2943441
2015-08-26,67.18,69.2,65.67,68.02,2281752
2015-08-27,68.92,70.28,68.92,70.07,1623115
2015-08-28,69.52,70.19,69.1,70.14,1025589
2015-08-31,69.59,70.13,68.87,69.84,1729806
2015-09-01,67.96,68.57,67.26,68.0,1901351
2015-09-02,68.86,69.82,67.8,68.93,1239324
2015-09-03,69.1,70.4,69.0,69.43,1126301
2015-09-04,68.39,68.76,67.84,68.28,1159530
2015-09-08,69.73,70.62,69.04,70.55,1184621
2015-09-09,71.14,71.75,69.52,69.67,976253
2015-09-10,69.36,70.25,68.79,69.9,1482464
2015-09-11,69.47,70.06,69.0,70.03,630984
2015-09-14,69.99,70.33,69.71,70.02,1076963
2015-09-15,70.14,70.97,69.87,70.79,715728
2015-09-16,70.63,70.9,69.65,70.79,852353
2015-09-17,70.94,71.8,69.21,69.42,1776247
2015-09-18,68.45,68.45,66.91,67.13,2719343
2015-09-21,67.77,68.46,67.32,68.39,1431269
