Date,Open,High,Low,Close,Volume
2015-06-22,47.5,48.0,47.02,47.17,1820111
2015-06-23,47.32,48.19,47.06,48.1,1547380
2015-06-24,48.03,48.27,47.38,47.43,1445840
2015-06-25,47.5,48.05,47.26,47.3,1435706
2015-06-26,46.94,47.39,46.2,46.25,2449645
2015-06-29,45.91,46.32,44.93,45.01,1996144
2015-06-30,45.41,45.46,43.91,44.07,2656030
2015-07-01,44.35,44.89,44.2,44.49,2210803
2015-07-02,44.49,44.66,43.672,44.25,1952711
2015-07-06,43.6,44.34,43.31,43.64,1721676
2015-07-07,43.26,44.247,42.24,44.11,3237059
2015-07-08,43.78,43.8,42.75,42.8,1922223
2015-07-09,43.47,43.69,42.96,42.96,1588489
2015-07-10,43.46,43.8,43.27,43.35,1265140
2015-07-13,43.77,44.39,43.3,44.15,1590762
2015-07-14,43.95,44.31,43.69,44.18,1060317
2015-07-15,44.18,44.18,43.22,43.52,1435309
2015-07-16,43.94,43.94,43.1,43.26,1592033
2015-07-17,43.1,43.324,42.5,42.69,1898263
2015-07-20,42.66,42.7,42.09,42.18,1875981
2015-07-21,42.15,43.26,42.15,42.58,2948992
2015-07-22,42.07,42.48,41.46,42.18,3162216
2015-07-23,42.54,43.97,42.5,43.49,3989991
2015-07-24,43.45,43.56,42.445,42.64,3379352
2015-07-27,42.45,44.29,42.25,43.8,4301235
2015-07-28,44.41,44.83,44.01,44.5,3854239
2015-07-29,44.63,45.505,44.48,45.44,3012899
2015-07-30,45.4,45.76,44.43,44.85,2509398
2015-07-31,45.18,45.32,44.01,44.14,3127037
2015-08-03,44.01,44.545,43.55,44.53,1796571
2015-08-04,44.76,45.08,44.55,44.99,1878237
2015-08-05,45.3,46.16,45.3,45.49,2220656
2015-08-06,45.44,45.975,45.29,45.7,2017122
2015-08-07,45.44,46.08,44.98,45.14,2321941
2015-08-10,45.3,46.71,44.9201,46.69,2227113
2015-08-11,45.61,45.91,45.09,45.28,2386586
2015-08-12,44.89,44.97,43.84,44.74,2100750
2015-08-13,44.57,45.5,44.37,45.46,2025410
2015-08-14,45.48,46.49,45.36,46.31,2140617
2015-08-17,46.06,47.0,45.83,46.96,2072730
2015-08-18,46.7,46.93,46.3,46.46,1252683
2015-08-19,46.15,46.47,45.7502,46.05,1742284
2015-08-20,46.07,46.13,44.72,44.81,2081500
2015-08-21,44.5,44.5,43.34,43.34,2745498
2015-08-24,41.15,43.28,40.8,41.44,3463196
2015-08-25,42.67,42.9,40.51,40.54,2851423
2015-08-26,41.5,41.64,40.63,41.58,2994373
2015-08-27,42.23,43.22,42.19,43.13,3527270
2015-08-28,42.97,43.62,42.24,43.31,2247109
2015-08-31,43.01,43.42,42.55,43.29,2322599
2015-09-01,42.05,42.86,41.67,42.03,2086928
2015-09-02,42.78,42.845,42.113,42.8,1541179
2015-09-03,43.33,44.54,42.86,42.88,4095239
2015-09-04,42.49,42.57,41.6,41.67,3412833
2015-09-08,43.03,43.03,41.77,42.56,5456402
2015-09-09,43.31,43.36,41.5,41.55,4897017
2015-09-10,41.51,42.33,41.46,41.83,3101594
2015-09-11,41.8,42.12,41.57,42.12,1505966
2015-09-14,41.95,42.0,40.5,40.73,2415786
2015-09-15,40.81,41.03,40.45,40.9,2517976
2015-09-16,41.4,42.185,41.27,41.64,2401217
2015-09-17,41.59,42.2,41.13,41.35,2110773
2015-09-18,40.76,40.86,40.02,40.25,2948118
2015-09-21,40.4,40.59,39.86,40.29,2433444
2015-09-22,39.49,39.78,38.7278,39.13,2467179
2015-09-23,39.32,39.4,38.36,38.46,1918150
2015-09-24,38.17,38.85,37.975,38.63,4602937
2015-09-25,39.06,39.25,38.28,38.51,2732598
2015-09-28,37.73,37.77,36.76,37.0,3335946
2015-09-29,37.16,37.57,36.77,37.16,3106491
2015-09-30,37.71,37.8815,37.02,37.55,2384380
2015-10-01,37.81,38.08,37.24,37.61,2791425
2015-10-02,37.29,38.09,36.97,38.0,3756829
2015-10-05,38.72,39.89,38.68,39.82,3402422
2015-10-06,39.9,40.04,38.97,39.92,4242291
2015-10-07,40.65,41.1,39.32,40.58,3092409
2015-10-08,40.46,41.47,40.39,41.26,2037202
2015-10-09,41.5,41.94,41.13,41.47,1751511
2015-10-12,41.61,41.61,40.95,41.28,1586219
2015-10-13,40.79,42.0,40.62,41.53,1786454
2015-10-14,41.75,42.08,41.21,41.53,1680650
2015-10-15,41.76,42.203,41.43,42.18,1560759
2015-10-16,42.4,42.4,41.62,42.16,2052154
2015-10-19,41.78,41.85,40.83,41.14,1748179
2015-10-20,40.83,41.45,40.65,40.88,1914202
2015-10-21,40.98,41.28,40.21,40.3,2257184
2015-10-22,40.54,42.8,40.385,42.6,2563075
2015-10-23,43.01,43.7125,42.75,43.5,2757680
2015-10-26,43.2,43.44,42.28,42.38,1720655
2015-10-27,42.3,42.64,41.84,42.39,2085134
2015-10-28,42.39,42.96,42.04,42.65,2166084
2015-10-29,42.3,42.717,42.15,42.31,1930119
2015-10-30,42.54,42.7392,42.205,42.3,2865581
2015-11-02,42.28,43.925,42.11,43.54,2152842
2015-11-03,43.49,43.92,42.96,43.39,2973542
2015-11-04,43.43,43.45,41.94,42.72,2379135
2015-11-05,42.63,42.74,42.005,42.28,1718291
2015-11-06,41.86,42.18,41.33,42.1,2032830
2015-11-09,42.09,42.205,41.3,41.78,2049275
2015-11-10,41.5,41.78,41.26,41.72,1631394
2015-11-11,41.96,41.98,40.9,41.22,1673444
2015-11-12,40.54,40.55,39.33,40.11,3717754
2015-11-13,40.12,41.2,40.11,40.63,1619980
2015-11-16,40.59,41.41,40.45,41.1,1620505
2015-11-17,41.14,41.23,40.39,40.54,1866023
2015-11-18,41.01,42.19,40.93,42.17,1700036
2015-11-19,42.07,42.37,41.68,41.81,1610511
2015-11-20,42.01,42.3,41.13,41.32,1877987
2015-11-23,41.25,41.65,40.57,40.66,1493578
2015-11-24,40.79,42.26,40.65,42.16,3136435
2015-11-25,41.94,42.08,41.47,41.64,1512081
2015-11-27,41.46,41.87,41.27,41.75,624149
2015-11-30,41.46,41.78,40.9346,41.45,2887479
2015-12-01,41.7,42.205,41.45,42.16,1689828
2015-12-02,41.76,41.985,41.18,41.25,1818216
2015-12-03,41.53,41.56,40.4417,40.88,1807838
2015-12-04,40.92,41.19,40.58,41.1,1751890
2015-12-07,40.66,40.66,39.77,40.3,1572288
2015-12-08,39.26,40.28,39.1598,39.46,2304242
2015-12-09,39.92,40.6997,39.81,40.0,1818116
2015-12-10,39.93,41.45,39.85,41.03,2437186
2015-12-11,40.42,40.72,39.92,39.99,2512836
2015-12-14,40.29,40.85,39.88,40.14,2433846
2015-12-15,40.41,40.58,39.89,40.17,2219303
2015-12-16,38.45,39.26,37.67,38.66,5215635
2015-12-17,38.21,38.78,37.74,38.47,3197138
2015-12-18,38.31,39.19,38.12,38.87,5733755
2015-12-21,39.21,39.97,39.05,39.73,3214371
2015-12-22,39.78,41.25,39.75,41.12,3209298
2015-12-23,41.66,42.2,40.67,41.04,3393377
2015-12-24,41.01,41.265,40.68,41.07,624404
2015-12-28,40.75,40.76,40.02,40.62,1760097
2015-12-29,40.58,40.7,40.04,40.48,1539575
2015-12-30,40.23,40.51,40.1,40.34,1964399
2015-12-31,40.35,40.755,40.13,40.3,1910772
2016-01-04,39.64,40.06,39.23,39.55,4029937
2016-01-05,39.9,40.03,39.46,39.96,3514467
2016-01-06,39.22,39.71,39.1,39.36,1630997
2016-01-07,38.59,38.61,36.985,37.35,5617073
2016-01-08,37.46,37.7499,36.36,36.44,3401031
2016-01-11,36.74,36.82,35.8,36.14,3334251
2016-01-12,36.45,36.85,35.44,36.29,4249003
2016-01-13,36.61,37.07,35.55,35.62,3481060
2016-01-14,35.88,36.59,35.5001,36.22,3819043
2016-01-15,35.28,35.54,34.72,35.15,3362314
2016-01-19,35.79,35.9,34.74,35.27,3265526
2016-01-20,34.61,35.4,33.9,34.98,3578957
2016-01-21,34.95,35.58,34.7,35.01,2826107
2016-01-22,35.64,35.86,35.02,35.36,2835952
2016-01-25,35.27,35.58,34.82,34.86,2326457
2016-01-26,35.33,36.88,35.25,36.54,3707006
2016-01-27,35.95,36.63,35.57,35.7,3327157
2016-01-28,37.0,37.0,34.9,36.64,3969997
2016-01-29,36.71,39.11,36.64,39.07,6027838
2016-02-01,38.71,39.23,38.0,39.18,3356190
2016-02-02,38.67,38.76,38.18,38.49,2949042
2016-02-03,38.98,40.01,38.47,39.91,2840021
2016-02-04,40.33,41.16,40.1,40.47,2907652
2016-02-05,40.14,41.24,39.67,39.92,2782651
2016-02-08,39.87,39.97,39.11,39.39,2597953
2016-02-09,38.92,39.38,38.29,38.91,2720252
2016-02-10,38.99,39.94,38.75,38.95,1624287
2016-02-11,38.51,38.69,37.71,38.35,2094961
2016-02-12,39.19,40.06,38.643,40.03,2540762
2016-02-16,40.23,40.5,39.65,40.18,2450147
2016-02-17,40.55,41.075,40.45,40.76,2614164
2016-02-18,40.72,40.83,39.825,40.03,2544092
2016-02-19,39.86,39.87,39.11,39.39,2708677
2016-02-22,39.85,40.1,39.56,39.76,2662857
2016-02-23,39.37,39.56,38.88,38.9,2096410
2016-02-24,38.26,39.06,37.77,39.02,2957719
2016-02-25,38.94,39.75,38.79,39.75,2162132
2016-02-26,39.92,40.42,39.7,39.96,1851299
2016-02-29,39.31,39.9,39.08,39.34,2816807
2016-03-01,39.96,41.2,39.62,40.96,2173213
2016-03-02,41.35,42.31,41.21,42.24,2950474
2016-03-03,42.29,43.205,42.14,42.75,3967324
2016-03-04,42.95,43.84,42.2,42.96,3443488
2016-03-07,43.16,44.77,43.0,44.76,3646307
2016-03-08,44.14,44.95,44.04,44.32,3750090
2016-03-09,44.47,44.78,43.28,43.54,2827587
2016-03-10,43.6,45.07,43.46,44.99,2733679
2016-03-11,45.36,45.44,44.28,45.38,2944172
2016-03-14,45.04,45.6499,44.69,45.15,2380114
2016-03-15,44.73,45.49,44.39,45.05,2126336
2016-03-16,44.72,45.61,44.49,45.49,3249411
2016-03-17,45.86,46.76,45.25,46.65,3108100
2016-03-18,46.76,47.36,46.34,46.7,3119154
