Date,Open,High,Low,Close,Volume
2015-06-22,1373.9,1380.0,1359.0401,1371.04,22180
2015-06-23,1372.9,1380.0,1364.49,1371.86,27244
2015-06-24,1374.18,1386.39,1368.95,1374.27,30212
2015-06-25,1377.6,1380.35,1366.5,1373.17,20021
2015-06-26,1372.0,1379.95,1364.0,1374.01,18104
2015-06-29,1364.4,1374.01,1343.01,1357.42,35421
2015-06-30,1369.16,1369.16,1336.04,1340.0,37687
2015-07-01,1343.99,1359.9,1317.23,1357.75,46282
2015-07-02,1360.0,1369.99,1355.0001,1362.99,18078
2015-07-06,1358.93,1376.8,1355.0,1371.63,32540
2015-07-07,1371.63,1388.785,1354.98,1381.98,24237
2015-07-08,1377.0,1389.989,1365.0,1376.45,21495
2015-07-09,1385.98,1393.05,1366.05,1384.14,11421
2015-07-10,1392.0,1397.9999,1380.0,1388.45,13879
2015-07-13,1395.69,1396.0,1379.0,1394.1,15400
2015-07-14,1393.5,1407.84,1389.001,1404.83,37511
2015-07-15,1400.61,1406.0,1386.34,1397.96,35574
2015-07-16,1398.1,1425.409,1389.0,1408.66,38199
2015-07-17,1410.04,1412.0,1397.0,1404.1,20840
2015-07-20,1407.96,1407.96,1373.65,1400.0,24107
2015-07-21,1420.0,1434.46,1395.0,1421.5,76503
2015-07-22,1425.0,1456.495,1403.2,1453.0,70225
2015-07-23,1458.75,1474.0,1442.0,1449.0,46495
2015-07-24,1454.23,1474.0,1418.98,1434.55,47245
2015-07-27,1439.64,1468.03,1429.49,1446.86,30555
2015-07-28,1456.84,1463.86,1448.55,1460.13,33949
2015-07-29,1463.0,1482.0,1457.17,1475.0,70870
2015-07-30,1476.07,1488.98,1453.95,1486.05,44211
2015-07-31,1484.64,1500.0,1471.021,1490.04,24335
2015-08-03,1481.26,1489.0,1468.03,1488.99,26501
2015-08-04,1490.3,1490.3,1470.0,1476.52,17066
2015-08-05,1481.8,1485.64,1463.01,1470.01,27220
2015-08-06,1484.83,1484.83,1450.0,1460.66,14785
