Date,Open,High,Low,Close,Volume
2015-06-22,15.01,15.15,14.9,15.05,2044878
2015-06-23,15.09,15.16,14.975,14.99,2537417
2015-06-24,14.98,15.12,14.81,14.83,2491668
2015-06-25,14.82,14.91,14.68,14.75,3139455
2015-06-26,14.81,15.2,14.65,15.2,12078810
2015-06-29,15.04,15.1108,14.44,14.45,3593249
2015-06-30,14.53,14.63,14.33,14.59,4461922
2015-07-01,14.73,14.81,14.54,14.64,2384353
2015-07-02,14.69,14.99,14.56,14.6,2998641
2015-07-06,14.45,14.53,14.24,14.3,2853043
2015-07-07,14.34,14.4,14.04,14.35,3163456
2015-07-08,14.25,14.33,14.12,14.16,2478801
2015-07-09,14.31,14.41,14.14,14.18,2075306
2015-07-10,14.29,14.38,14.13,14.25,1638250
2015-07-13,14.32,14.51,14.21,14.43,2069461
2015-07-14,14.39,14.47,14.32,14.43,2159770
2015-07-15,14.41,14.54,14.35,14.43,1885679
2015-07-16,14.56,14.71,14.51,14.66,1713302
2015-07-17,14.63,14.84,14.55,14.81,3646558
2015-07-20,14.81,14.92,14.72,14.9,2080204
2015-07-21,14.87,14.91,14.58,14.58,3015608
2015-07-22,14.55,14.73,14.475,14.61,3084368
2015-07-23,14.59,14.76,14.5,14.72,2878311
2015-07-24,14.71,14.89,14.57,14.86,4045509
2015-07-27,15.07,15.08,14.71,14.83,4297983
2015-07-28,14.86,14.86,14.46,14.785,2679098
2015-07-29,14.72,14.88,14.655,14.83,3024847
2015-07-30,14.82,14.82,14.6,14.8,2129394
2015-07-31,14.88,14.94,14.705,14.73,2621690
2015-08-03,14.76,14.77,14.47,14.54,2265491
2015-08-04,14.56,14.77,14.51,14.555,1862640
2015-08-05,14.67,14.67,14.51,14.6,3079107
2015-08-06,14.56,14.5999,13.73,14.02,3733812
2015-08-07,14.06,14.14,13.78,14.11,3427177
2015-08-10,14.2,14.38,14.07,14.35,2328691
2015-08-11,14.28,14.29,13.87,13.96,3066185
2015-08-12,13.68,14.26,13.59,14.12,4382692
2015-08-13,15.23,15.92,14.795,15.19,8864102
2015-08-14,15.25,15.35,15.075,15.18,4415857
2015-08-17,15.1,15.3,15.09,15.25,3251317
2015-08-18,15.24,15.28,15.07,15.13,2298304
2015-08-19,15.08,15.3,14.89,15.03,2317695
2015-08-20,14.87,14.87,14.25,14.26,3599319
2015-08-21,14.22,14.35,13.91,13.91,4667040
2015-08-24,13.1,13.58,12.67,13.04,11153620
2015-08-25,13.31,13.65,12.93,12.94,7805368
2015-08-26,13.26,13.47,12.86,13.22,5347646
2015-08-27,13.41,13.67,13.295,13.62,7053580
2015-08-28,13.57,13.89,13.5,13.8,4005010
2015-08-31,13.75,13.8,13.445,13.63,3669712
2015-09-01,13.31,13.36,12.98,13.07,4956588
2015-09-02,13.28,13.58,12.96,13.13,3997841
2015-09-03,12.92,13.49,12.92,13.32,3653721
2015-09-04,13.08,13.16,12.81,12.82,3948432
2015-09-08,13.09,13.36,12.98,13.35,3549814
2015-09-09,13.51,13.66,13.14,13.22,3918675
2015-09-10,13.14,13.305,12.98,13.01,4026617
2015-09-11,12.93,13.055,12.85,13.05,3706183
2015-09-14,12.99,12.99,12.735,12.81,2884122
2015-09-15,12.88,12.97,12.82,12.935,2731167
2015-09-16,12.79,13.06,12.785,13.04,3953170
2015-09-17,12.8,13.48,12.76,13.21,6264336
2015-09-18,13.03,13.18,12.785,12.92,21641060
2015-09-21,12.96,13.225,12.88,12.93,3538684
2015-09-22,12.75,12.95,12.7,12.79,3437320
2015-09-23,12.83,12.88,12.65,12.75,2352273
2015-09-24,12.68,12.89,12.63,12.83,3164094
2015-09-25,12.92,12.92,12.68,12.75,2807959
2015-09-28,12.67,12.94,12.26,12.29,4174037
2015-09-29,12.28,12.455,12.16,12.26,5347200
2015-09-30,12.32,12.645,12.16,12.62,3129840
2015-10-01,12.77,12.945,12.53,12.73,3561084
2015-10-02,12.52,13.05,12.35,13.04,3198004
2015-10-05,13.34,13.46,13.175,13.41,4380481
2015-10-06,13.42,13.61,13.29,13.5,2726980
2015-10-07,13.62,13.8,13.44,13.63,4490746
2015-10-08,13.61,14.06,13.61,14.05,2959253
2015-10-09,14.0,14.12,13.77,13.96,4233866
2015-10-12,13.98,14.04,13.8,13.91,2068210
2015-10-13,13.85,14.03,13.77,13.91,3002953
2015-10-14,13.94,14.08,13.835,13.98,3507119
2015-10-15,14.08,14.315,13.91,14.29,4286128
