Date,Open,High,Low,Close,Volume
2015-06-22,72.47,73.03,72.47,72.77,1088820
2015-06-23,72.85,72.86,71.85,71.85,1011262
2015-06-24,71.66,71.98,70.94,70.94,905371
2015-06-25,71.23,71.31,70.38,70.62,1303937
2015-06-26,70.85,71.24,70.69,70.84,1261429
2015-06-29,70.42,70.68,69.2,69.2,1602853
2015-06-30,69.49,69.926,69.02,69.49,1652121
2015-07-01,70.49,71.5,69.85,69.9,1343911
2015-07-02,70.06,70.3599,69.1,69.36,1702657
2015-07-06,69.23,69.345,68.75,69.26,1906894
2015-07-07,69.39,70.6,68.97,70.53,1747223
2015-07-08,70.05,70.38,69.43,69.76,1996206
2015-07-09,70.83,71.39,70.78,70.99,2288892
2015-07-10,71.95,72.88,71.87,72.69,2403048
2015-07-13,73.12,73.12,72.4,72.65,1850085
2015-07-14,72.59,72.89,72.45,72.65,1492501
2015-07-15,73.16,73.4692,72.6,73.0,2843024
2015-07-16,73.33,73.64,72.98,73.45,1624284
2015-07-17,73.6,73.84,73.37,73.8,2250410
2015-07-20,73.7,74.18,73.41,74.06,3645473
2015-07-21,74.3,74.56,71.59,73.16,4082324
2015-07-22,73.07,73.74,72.51,73.7,2063999
2015-07-23,74.13,74.505,72.88,73.04,1795344
2015-07-24,73.02,73.11,71.825,71.84,1255588
2015-07-27,71.59,72.0,70.98,71.47,1662247
2015-07-28,71.8,72.52,71.21,72.41,1479297
2015-07-29,72.56,73.31,72.08,73.2,1328972
2015-07-30,72.96,73.15,72.16,72.88,964819
2015-07-31,73.23,73.42,72.801,73.08,983927
2015-08-03,73.14,73.17,72.35,72.72,1181682
2015-08-04,72.75,73.3,72.51,72.78,962649
2015-08-05,73.02,74.07,72.985,73.94,1982826
2015-08-06,73.87,73.89,71.19,72.27,2155330
2015-08-07,72.06,72.62,71.68,72.46,1387805
2015-08-10,73.17,74.1,73.14,73.99,1655401
2015-08-11,73.22,74.02,72.675,72.87,1222427
2015-08-12,72.47,73.09,71.3,73.0,1217736
2015-08-13,73.18,73.455,72.67,73.11,948286
2015-08-14,73.0,73.74,72.91,73.57,1099947
2015-08-17,73.0,73.91,72.95,73.87,635231
2015-08-18,73.65,73.88,73.21,73.26,858251
2015-08-19,72.96,73.2,72.02,72.55,1189924
2015-08-20,71.89,71.91,70.32,70.4,1840295
2015-08-21,69.65,70.45,68.82,68.91,1965036
2015-08-24,65.645,68.21,64.31,66.8,3091059
2015-08-25,68.51,68.58,66.1,66.16,2142913
2015-08-26,67.49,67.61,65.76,67.42,1882212
2015-08-27,68.09,68.52,66.57,67.79,1871524
2015-08-28,67.51,68.0,67.19,67.74,1379352
2015-08-31,67.59,67.95,66.95,66.98,1234579
2015-09-01,65.59,66.42,64.8,65.17,1708993
2015-09-02,66.01,66.47,65.01,66.46,1301311
2015-09-03,66.71,67.52,66.53,66.84,1228431
2015-09-04,65.94,66.52,65.65,66.04,1712779
2015-09-08,67.28,68.07,67.07,68.05,816348
2015-09-09,68.55,68.58,66.94,67.06,830550
2015-09-10,66.94,67.93,66.6,67.4,922303
2015-09-11,67.18,67.69,66.89,67.66,743384
2015-09-14,67.7,67.74,66.83,67.15,808029
2015-09-15,67.5,68.42,67.05,68.21,1138546
2015-09-16,68.55,69.99,68.38,69.68,1890874
2015-09-17,69.69,69.97,68.8,69.06,1817621
2015-09-18,67.8,68.51,67.18,67.36,2360137
2015-09-21,67.72,68.114,67.35,67.65,1317984
2015-09-22,66.71,67.09,66.4,66.78,1241678
2015-09-23,66.72,66.9699,66.25,66.82,1102270
2015-09-24,66.42,66.7,65.84,66.38,1023199
2015-09-25,66.73,67.28,65.44,65.74,1170693
2015-09-28,65.51,65.72,64.42,64.79,1479136
2015-09-29,64.92,65.09,64.1216,64.85,1408488
2015-09-30,65.58,66.04,65.28,65.9,2323841
2015-10-01,65.6,66.14,64.44,65.91,3471977
2015-10-02,64.87,68.04,64.87,68.0,1552834
2015-10-05,68.3,68.97,68.3,68.75,1293193
2015-10-06,68.9,69.04,68.19,68.68,1528006
2015-10-07,69.11,70.03,68.99,69.93,1197134
2015-10-08,69.43,71.17,69.43,70.95,1192682
2015-10-09,70.88,71.2193,70.47,70.94,1106574
2015-10-12,71.12,71.39,70.71,71.1,607214
2015-10-13,70.81,71.46,70.58,70.92,843457
2015-10-14,71.0,71.58,70.62,70.87,927793
2015-10-15,70.99,72.21,70.81,71.71,2380012
2015-10-16,72.03,72.74,71.81,72.18,1882534
2015-10-19,72.0,72.6,71.4,72.23,1657226
2015-10-20,72.75,73.8,71.1,72.36,3965900
2015-10-21,72.86,73.4,72.47,72.81,1827102
2015-10-22,73.02,74.73,73.02,74.35,2570870
2015-10-23,74.88,75.1199,73.54,73.74,2000003
2015-10-26,73.84,74.62,73.43,74.55,1042901
2015-10-27,74.27,74.98,73.83,74.92,1610632
2015-10-28,75.07,75.26,74.062,74.84,1498678
2015-10-29,74.85,75.45,74.39,75.33,1002207
2015-10-30,75.37,75.58,74.81,74.92,1223829
2015-11-02,74.93,75.31,74.8,75.0,3229804
