Date,Open,High,Low,Close,Volume
2015-06-22,15.3713,15.3971,15.2893,15.376,6396477
2015-06-23,15.3967,15.4827,15.3526,15.4507,5831457
2015-06-24,15.3887,15.4533,15.323,15.346,6330657
2015-06-25,15.3973,15.5633,15.374,15.4513,7688246
2015-06-26,15.5287,15.5893,15.4333,15.494,9526705
2015-06-29,15.4053,15.4087,15.0845,15.0953,8527031
2015-06-30,15.2433,15.278,15.0,15.0653,12217674
2015-07-01,15.2007,15.4253,15.1847,15.3987,10184545
2015-07-02,15.4653,15.5053,15.3433,15.416,5686812
2015-07-06,15.2867,15.5787,15.2667,15.4987,5285952
2015-07-07,15.55,15.6133,15.398,15.6027,9201070
2015-07-08,15.494,15.5593,15.3567,15.3877,7303871
2015-07-09,15.5673,15.5973,15.3647,15.4253,7477496
2015-07-10,15.6193,15.7753,15.546,15.7267,6662787
2015-07-13,15.8847,16.0133,15.7953,15.988,6663132
2015-07-14,16.0347,16.0347,15.7607,15.8187,7641596
2015-07-15,15.8193,15.9333,15.8053,15.846,6382467
2015-07-16,15.9467,15.9533,15.8213,15.9313,7416176
2015-07-17,15.928,15.9313,15.74,15.9127,6726702
2015-07-20,15.9127,16.1,15.884,16.0133,9187000
2015-07-21,16.0373,16.0547,15.9747,15.9807,8432366
2015-07-22,15.9887,16.1007,15.9776,16.0433,6520557
2015-07-23,16.0693,16.2873,16.002,16.0447,8126291
2015-07-24,16.04,16.1933,16.0007,16.1233,9709990
2015-07-27,16.0647,16.1733,15.8113,15.9893,12157689
2015-07-28,16.0127,16.1373,15.8687,16.0633,9279700
2015-07-29,16.0633,16.163,15.8947,16.114,13614698
2015-07-30,16.4273,16.4667,15.786,15.8767,13929668
2015-07-31,15.962,16.186,15.8973,16.0207,12335319
2015-08-03,16.0867,16.1287,15.8847,16.1007,9874060
2015-08-04,16.0367,16.2413,16.034,16.2247,7135811
2015-08-05,16.3333,16.3807,16.2187,16.278,8393096
2015-08-06,16.2753,16.3413,16.0387,16.0787,7014836
2015-08-07,16.1307,16.2987,16.0327,16.2973,6257727
2015-08-10,16.4353,16.5593,16.3967,16.5127,9479845
2015-08-11,16.502,16.5167,16.3373,16.5093,7447031
2015-08-12,16.4007,16.516,16.1853,16.4827,7445381
2015-08-13,16.4813,17.101,16.422,16.928,14723048
2015-08-14,16.948,17.0407,16.8304,16.958,7002311
2015-08-17,16.958,17.0187,16.8153,16.976,5135757
2015-08-18,16.9873,17.0927,16.85,16.9633,5590992
2015-08-19,16.9633,17.21,16.8373,17.098,7118486
2015-08-20,16.9213,17.018,16.7547,16.7547,8246201
2015-08-21,16.6147,16.6493,15.8493,15.878,18866346
2015-08-24,15.6027,15.9867,15.07,15.4567,20916725
2015-08-25,15.792,16.0967,15.4313,15.446,20785925
2015-08-26,15.8007,15.952,15.3993,15.9353,16902307
2015-08-27,16.0507,16.316,15.9173,16.1973,12262974
2015-08-28,16.1047,16.2693,16.0334,16.066,9303610
2015-08-31,15.9853,16.1857,15.9603,16.0047,8944571
2015-09-01,15.7127,15.9333,15.3942,15.436,17025891
2015-09-02,15.6267,15.9887,15.602,15.9773,13523588
2015-09-03,16.076,16.15,15.8047,15.8627,8109401
2015-09-04,15.658,15.7923,15.55,15.6433,7074761
2015-09-08,15.934,16.0207,15.6813,15.9,12084249
2015-09-09,16.0387,16.272,15.9187,15.9487,12600864
2015-09-10,15.926,16.1687,15.926,16.0827,9842965
2015-09-11,15.972,16.404,15.9507,16.39,12644064
2015-09-14,16.4373,16.456,16.1796,16.2847,9483970
2015-09-15,16.3833,16.706,16.2367,16.626,10436860
2015-09-16,16.648,16.8593,16.5513,16.8333,10810225
2015-09-17,16.8873,17.038,16.6713,16.712,12714069
2015-09-18,16.532,16.76,16.3987,16.4207,38370896
2015-09-21,16.4527,16.6013,16.2947,16.454,10220905
2015-09-22,16.2947,16.408,16.2167,16.326,8140706
2015-09-23,16.314,16.5693,16.2747,16.5233,9311545
2015-09-24,16.4073,16.6213,16.3853,16.532,8680166
2015-09-25,16.6793,17.0327,16.6113,16.8147,9546010
2015-09-28,16.8233,16.8753,16.3423,16.392,9375940
2015-09-29,16.4467,16.4793,16.0807,16.1987,10823140
2015-09-30,16.374,16.7027,16.2947,16.6667,15483562
2015-10-01,16.7333,16.8973,16.4643,16.7933,12622944
2015-10-02,16.6,16.826,16.408,16.8213,11082324
2015-10-05,16.9233,17.0,16.762,16.9473,12111939
2015-10-06,17.0,17.0649,16.8513,16.9193,12173784
2015-10-07,16.9567,16.9933,16.6893,16.7853,8120741
2015-10-08,16.7013,16.95,16.6293,16.904,6204582
2015-10-09,16.94,16.9837,16.8233,16.9133,6708297
2015-10-12,16.9807,17.2573,16.854,17.138,6876642
2015-10-13,17.098,17.1487,16.7397,16.764,9045700
2015-10-14,16.8153,16.8291,16.432,16.486,9557560
2015-10-15,16.6107,16.7993,16.484,16.7633,11169129
2015-10-16,16.866,16.938,16.7787,16.936,6677142
2015-10-19,16.9447,16.998,16.694,16.8147,11650494
2015-10-20,16.8113,16.88,16.726,16.8233,8722181
2015-10-21,16.8667,16.916,16.7167,16.88,8596016
2015-10-22,16.9693,17.1647,16.8973,17.132,10269265
2015-10-23,17.2887,17.3593,17.0887,17.3353,16123507
2015-10-26,17.426,17.528,17.35,17.498,11598174
2015-10-27,17.3887,17.4693,17.222,17.3427,10654135
2015-10-28,17.3513,17.5773,17.2374,17.536,11616249
2015-10-29,18.2227,18.5307,17.8893,18.3967,21558559
2015-10-30,18.4,18.5062,18.2734,18.4173,12614994
2015-11-02,18.4253,18.5107,18.1913,18.256,14894183
2015-11-03,18.1653,18.2687,17.8993,18.1007,12912279
2015-11-04,18.0567,18.1713,17.8923,18.168,10009030
2015-11-05,18.1487,18.2909,18.0233,18.232,7053701
2015-11-06,18.1653,18.3033,18.092,18.222,6931047
2015-11-09,18.0887,18.1193,17.906,17.9727,8080901
2015-11-10,17.9727,18.258,17.936,18.1493,9303925
2015-11-11,18.1947,18.2633,18.0393,18.0647,6338532
2015-11-12,17.7833,17.9987,17.5347,17.7933,9890650
2015-11-13,17.722,17.8513,17.29,17.322,11343849
2015-11-16,17.2987,17.7693,17.2423,17.7647,11274639
2015-11-17,17.8013,18.006,17.6907,17.78,8814896
2015-11-18,17.86,17.978,17.7287,17.96,6814887
2015-11-19,17.9707,18.0785,17.859,17.9307,6528942
2015-11-20,18.0387,18.0613,17.924,18.0333,8163326
2015-11-23,18.022,18.1243,17.7952,17.8833,5914857
2015-11-24,17.748,17.9545,17.678,17.8307,8317376
2015-11-25,17.8507,18.0553,17.8333,17.8793,5615667
2015-11-27,17.9147,17.9967,17.8287,17.8733,4386523
2015-11-30,17.8133,17.9527,17.5667,17.5913,20972570
2015-12-01,17.664,17.8127,17.4013,17.4887,15336427
2015-12-02,17.4967,17.5723,17.4167,17.4467,13952603
2015-12-03,17.4487,17.5483,16.842,16.8913,19501010
2015-12-04,16.8987,17.2672,16.8947,17.2407,16656157
2015-12-07,17.2607,17.312,17.03,17.1267,11639139
2015-12-08,16.9173,17.3113,16.891,17.25,14621993
2015-12-09,17.1173,17.4847,17.06,17.1813,14908433
2015-12-10,17.1627,17.3327,17.0693,17.0953,11373249
2015-12-11,16.8887,17.0193,16.56,16.5953,15763387
2015-12-14,16.6433,16.8153,16.4588,16.782,15429067
2015-12-15,16.9,16.9207,16.4967,16.718,19697000
2015-12-16,16.8313,17.226,16.7933,17.176,14325713
2015-12-17,17.3253,17.3253,16.952,16.9567,11288859
2015-12-18,16.894,16.916,16.6773,16.7587,40084990
2015-12-21,16.82,16.9777,16.728,16.9153,10134370
2015-12-22,16.9887,17.0433,16.8247,16.9167,7256981
2015-12-23,16.9213,16.9673,16.8007,16.9433,6644292
2015-12-24,16.9387,16.9847,16.864,16.8947,3279763
2015-12-28,16.8373,17.0667,16.7993,17.0627,7743506
2015-12-29,17.1507,17.363,17.096,17.2333,6741867
2015-12-30,17.2273,17.3067,17.1453,17.1773,5749017
2015-12-31,17.0633,17.1607,16.8947,16.8947,6201987
2016-01-04,16.5633,16.7307,16.2473,16.4073,17925561
2016-01-05,16.4573,16.6327,16.35,16.5307,12348789
2016-01-06,16.242,16.3027,15.9047,16.0713,14610113
2016-01-07,15.8067,16.2867,15.7333,16.0113,15796897
2016-01-08,15.9833,16.1,15.6,15.644,13200593
2016-01-11,15.718,15.9807,15.634,15.8627,12361299
2016-01-12,15.8627,16.258,15.7393,16.2087,11791179
2016-01-13,16.308,16.3167,15.676,15.712,12613209
2016-01-14,15.6993,15.8893,15.5527,15.7327,11409444
2016-01-15,15.3,15.7273,15.008,15.4773,14280143
2016-01-19,15.7273,15.7933,15.4873,15.7127,14367683
2016-01-20,15.4887,15.9933,15.2007,15.7753,20472245
2016-01-21,15.762,15.9645,15.5653,15.7807,14257958
2016-01-22,15.97,16.036,15.7933,15.9627,8841671
2016-01-25,16.2453,16.4667,16.026,16.2593,20895650
2016-01-26,16.3167,16.674,16.3093,16.6567,14126843
2016-01-27,16.6833,16.7907,16.31,16.428,13276208
2016-01-28,16.538,17.1833,16.426,17.0893,24831618
2016-01-29,17.1727,17.418,17.0263,17.3933,21496894
2016-02-01,17.3547,17.746,17.2287,17.6833,17156931
2016-02-02,17.5733,17.7487,16.9847,17.2993,17412636
2016-02-03,17.418,17.434,16.7,16.908,14191643
2016-02-04,16.8827,16.9067,16.47,16.7253,15034117
2016-02-05,16.7253,16.7623,16.07,16.138,20716370
2016-02-08,15.9273,15.958,15.1007,15.5687,28795081
2016-02-09,15.46,16.0,15.3447,15.7527,23617938
2016-02-10,16.0007,16.1953,15.724,15.78,26774222
2016-02-11,16.1333,16.8993,15.8987,16.6353,39453760
2016-02-12,16.9647,17.064,16.5533,16.868,20874365
2016-02-16,17.0093,17.3,16.8687,17.0507,27451696
2016-02-17,17.194,17.3353,16.7827,16.9747,17231946
2016-02-18,16.9513,17.048,16.7673,16.894,11047929
2016-02-19,16.8547,17.3033,16.6027,17.1893,13245578
2016-02-22,17.284,17.4493,17.1787,17.3027,9109030
2016-02-23,17.2507,17.3833,17.0553,17.252,13221173
2016-02-24,17.0887,17.6067,17.0,17.5847,12121179
2016-02-25,17.6513,17.852,17.527,17.818,11610534
2016-02-26,17.9247,17.9333,17.436,17.5287,11983314
2016-02-29,17.4707,17.652,17.3213,17.3547,12579834
2016-03-01,17.5453,18.148,17.4423,18.148,19324895
2016-03-02,18.104,18.15,17.8142,17.97,14884673
2016-03-03,17.7673,18.0507,17.6679,17.862,17153511
2016-03-04,17.894,17.9327,17.534,17.6873,17494371
2016-03-07,17.5987,17.7047,17.3953,17.4673,12916134
2016-03-08,17.334,17.884,17.2367,17.654,19397315
2016-03-09,17.6847,17.798,17.514,17.6513,11154504
2016-03-10,17.6513,17.906,17.5913,17.876,10236235
2016-03-11,18.0067,18.1527,17.8853,18.1473,11701104
2016-03-14,18.1247,18.2187,18.0011,18.108,16893007
2016-03-15,18.044,18.2327,18.01,18.0753,8532431
2016-03-16,17.9653,18.064,17.8667,18.0007,6807747
2016-03-17,17.9433,17.9873,17.7613,17.85,9591700
2016-03-18,17.9067,17.9773,17.6827,17.902,14594603
2016-03-21,17.7993,17.9813,17.7607,17.974,6804987
2016-03-22,18.022,18.2333,17.9777,18.1827,9052240
2016-03-23,18.18,18.512,18.108,18.4293,10941025
2016-03-24,18.4233,18.478,18.227,18.3173,8582396
2016-03-28,18.3273,18.3613,18.1227,18.224,9287455
2016-03-29,18.232,18.3933,18.2313,18.354,8330441
2016-03-30,18.4347,18.4739,18.2673,18.4427,6387687
2016-03-31,18.504,18.5107,18.234,18.244,8457476
2016-04-01,18.2127,18.522,18.0873,18.5213,9696130
2016-04-04,18.5127,18.5127,18.1,18.1433,8326886
2016-04-05,18.078,18.1277,17.9993,18.034,8637626
2016-04-06,18.078,18.1553,17.894,18.1107,7332596
2016-04-07,18.0107,18.2327,17.842,17.9553,7221296
2016-04-08,18.0367,18.074,17.856,17.988,7881041
2016-04-11,17.9733,18.0263,17.786,17.7953,8724821
2016-04-12,17.8693,17.934,17.696,17.9167,13030928
2016-04-13,18.0487,18.0803,17.778,17.958,10479415
2016-04-14,18.2667,18.2667,17.9653,17.986,11503179
2016-04-15,17.9833,17.984,17.8673,17.9167,8290406
2016-04-18,17.9007,18.2067,17.9007,18.1913,9525670
