Date,Open,High,Low,Close,Volume
2015-06-22,45.3102,45.4476,44.594,44.6332,1704402
2015-06-23,44.6627,44.6627,44.074,44.2604,1461330
2015-06-24,44.28,44.4566,43.8679,43.9366,1194258
2015-06-25,43.9366,44.2015,43.397,43.5834,2018824
2015-06-26,43.5932,44.1917,43.4656,44.0936,1436271
2015-06-29,43.917,44.3879,43.5098,43.5343,1703599
2015-06-30,43.76,44.1426,43.5147,43.5539,1915642
2015-07-01,43.6324,44.2506,43.3675,44.2506,1965956
2015-07-02,44.643,45.32,44.4027,44.5351,1698913
2015-07-06,44.3193,45.1533,44.3193,45.0649,1886189
2015-07-07,45.2612,45.7321,44.9865,45.4574,2406005
2015-07-08,45.2808,45.5555,45.1827,45.3985,1615362
2015-07-09,45.6242,45.8008,44.9492,45.0846,1727870
2015-07-10,45.2317,45.7518,45.0404,45.4868,1684821
2015-07-13,45.5555,45.9676,44.9276,45.2906,1722236
2015-07-14,45.4574,45.6242,45.1434,45.5752,1173175
2015-07-15,45.4182,45.8793,45.3691,45.8303,1170661
2015-07-16,45.9676,46.3306,45.7518,46.311,1282309
2015-07-17,46.311,46.419,45.948,46.105,1229513
2015-07-20,45.9774,46.3012,45.7812,46.3012,945934
2015-07-21,46.2423,46.5073,46.1148,46.1148,1536598
2015-07-22,46.1737,46.5073,46.1737,46.3797,1058205
2015-07-23,46.311,46.3601,45.6046,45.8989,1410603
2015-07-24,45.8204,46.3748,45.791,46.1933,1450836
2015-07-27,46.105,46.6054,46.105,46.3306,1571062
2015-07-28,46.3895,46.7826,46.1835,46.5269,1694541
2015-07-29,46.5073,47.0371,46.2129,46.9292,1681646
2015-07-30,46.6054,47.0861,46.3208,46.7133,1620065
2015-07-31,46.9978,47.5473,46.9488,47.3805,3067060
2015-08-03,47.3707,47.9103,47.242,47.8613,1575257
2015-08-04,47.5865,47.9594,47.1352,47.2333,1525576
2015-08-05,47.1352,47.3118,46.1639,46.4876,1869211
2015-08-06,46.4288,46.7526,46.0657,46.6348,1807337
2015-08-07,46.6054,46.6642,46.0854,46.5661,1861649
2015-08-10,46.7329,46.7427,46.2669,46.468,1172043
2015-08-11,46.311,46.9291,46.2522,46.5563,1363511
2015-08-12,46.4876,46.7722,46.2571,46.7231,1769222
2015-08-13,46.782,46.8703,46.2129,46.6446,1642943
2015-08-14,46.6642,46.9488,46.3797,46.939,1191541
2015-08-17,46.7133,47.1843,46.625,47.1156,1274596
2015-08-18,46.988,47.5473,46.9488,47.5473,1228340
2015-08-19,47.2824,47.3903,46.7526,47.145,1445095
2015-08-20,46.9193,47.7337,46.8016,47.1941,1561400
2015-08-21,47.2333,47.4296,46.7143,46.7231,2204838
2015-08-24,45.585,46.2914,44.7412,44.957,3713079
2015-08-25,45.634,46.0167,43.6128,43.6324,2888183
2015-08-26,44.3487,44.6823,43.6324,44.6136,2467267
2015-08-27,45.1631,45.8303,44.6725,45.4868,1876997
2015-08-28,45.1925,45.3495,44.751,45.0748,1641458
2015-08-31,45.114,45.1336,43.8287,43.8483,2133695
2015-09-01,43.4558,43.7257,42.8083,43.1124,2283557
2015-09-02,43.5932,43.6766,42.9914,43.397,1804720
2015-09-03,43.5932,43.6619,43.1811,43.3381,1312299
2015-09-04,43.0339,43.0732,42.3373,42.563,1851629
2015-09-08,43.603,43.603,42.9751,43.4755,1944766
2015-09-09,43.8483,43.8974,43.0585,43.1419,2588678
2015-09-10,43.1713,43.7796,43.0928,43.3675,1464293
2015-09-11,43.3283,44.2408,43.2596,44.231,1381005
2015-09-14,44.3291,44.594,44.1721,44.4959,1411428
2015-09-15,44.6332,45.0453,44.231,44.9374,1436994
2015-09-16,44.8295,45.5261,44.7412,45.4084,1233794
2015-09-17,45.428,46.8212,45.1434,46.0069,2104616
2015-09-18,45.4967,47.3933,45.4967,46.5956,3630951
2015-09-21,46.7427,47.1843,46.6348,46.7722,1714623
2015-09-22,46.5073,46.8507,46.0657,46.2522,1919735
2015-09-23,46.311,46.7231,46.1442,46.4386,1234687
2015-09-24,46.3895,46.5317,45.8106,46.0854,1421145
2015-09-25,46.2031,46.4974,45.9578,46.1737,1581455
2015-09-28,46.0559,46.311,45.3102,45.7616,1920109
2015-09-29,45.5359,46.262,45.4967,46.2227,1490799
2015-09-30,46.4386,46.9292,46.0314,46.4974,2145068
2015-10-01,46.7231,46.7231,46.0854,46.4582,1420140
2015-10-02,44.8883,45.4182,44.7902,45.1336,11939820
2015-10-05,45.2317,46.2227,45.2121,46.2227,4673016
2015-10-06,46.154,46.2718,45.9578,46.105,2032329
2015-10-07,46.3306,46.5367,45.948,46.5367,2525290
2015-10-08,46.5563,46.8703,46.2423,46.7526,2330399
2015-10-09,46.782,46.8997,46.4288,46.8703,1353737
2015-10-12,46.8703,47.7632,46.6348,47.2529,2807115
2015-10-13,47.096,47.459,46.9782,47.1745,1306980
2015-10-14,47.2039,47.4001,46.6348,46.782,1613895
2015-10-15,46.9193,47.6356,46.8605,47.5964,1444512
2015-10-16,47.7435,47.9888,47.6454,47.6945,3772121
2015-10-19,47.6847,48.0183,47.6063,47.9594,1359134
2015-10-20,47.8613,48.1066,47.6945,48.0379,1509897
2015-10-21,48.2439,48.3322,47.9005,47.9594,1316193
2015-10-22,48.4402,49.5489,48.3715,49.2447,2537663
2015-10-23,49.1564,49.4508,48.5677,48.9602,1655174
2015-10-26,49.0289,49.3134,48.7443,49.3036,1565733
2015-10-27,49.176,49.4998,48.8719,49.3625,1936986
2015-10-28,49.1564,50.0198,48.813,49.647,2914706
2015-10-29,48.1654,49.0583,48.1262,48.7443,3167790
2015-10-30,48.7247,49.0485,48.4794,48.5285,3956760
2015-11-02,48.4696,49.647,48.342,49.6372,2283609
2015-11-03,49.4508,49.4508,48.8719,49.1957,1611687
2015-11-04,49.0583,49.2447,48.3126,48.5186,1880842
2015-11-05,48.4794,49.1073,48.1949,49.0583,1818778
2015-11-06,48.136,48.1556,46.2522,46.5759,3896376
2015-11-09,46.5171,46.5171,45.114,45.5163,2676922
2015-11-10,45.585,46.1835,45.5163,46.0559,2323373
2015-11-11,46.1442,46.8016,45.9284,46.5465,1658757
2015-11-12,46.468,46.8997,46.2816,46.5465,2010422
2015-11-13,46.6054,46.9488,46.1344,46.5465,2187922
2015-11-16,46.5367,47.2824,46.3601,47.2824,2162767
2015-11-17,47.1352,47.7484,46.8997,47.5277,2287178
2015-11-18,47.5669,48.3126,47.516,48.293,2427976
2015-11-19,48.5186,48.5257,48.1851,48.4402,1886616
2015-11-20,48.4794,49.0975,48.4402,48.7345,3169478
2015-11-23,48.8817,49.2055,48.6168,48.7836,1523853
2015-11-24,48.5775,48.6462,48.0281,48.5186,1558786
2015-11-25,48.5186,48.7639,48.4205,48.6756,1565765
2015-11-27,48.4598,49.1172,48.45,49.0877,1015016
2015-11-30,49.1858,49.5391,48.4892,48.6854,4714660
2015-12-01,49.0485,49.7216,48.8522,49.6666,2302847
2015-12-02,49.2447,49.5194,48.607,48.6756,2102281
2015-12-03,48.4892,48.7051,47.7043,47.8613,2538611
2015-12-04,48.1458,49.1342,48.0781,49.0681,2045115
2015-12-07,49.0485,49.5096,48.8719,49.3232,2005672
2015-12-08,49.2447,49.5391,49.0681,49.1957,2858213
2015-12-09,48.8032,49.1662,48.4107,48.6854,1673312
2015-12-10,48.6364,48.9798,47.9986,48.0183,1928356
2015-12-11,47.7141,48.0963,47.459,47.7337,2328586
2015-12-14,47.6552,48.45,47.5934,48.4107,2070228
2015-12-15,48.8424,49.4311,48.6953,48.9994,2213680
2015-12-16,49.2545,50.2985,49.1564,50.2651,2307183
2015-12-17,50.2455,50.3142,49.8923,50.0395,2450253
2015-12-18,49.9512,50.8342,49.7942,50.1179,5253625
2015-12-21,50.6085,50.6085,49.7942,50.1179,1521090
2015-12-22,50.3534,50.8048,50.1964,50.2161,1364078
2015-12-23,50.2847,50.5791,50.2063,50.5399,1776960
2015-12-24,50.4614,50.5399,50.1565,50.3338,662569
2015-12-28,50.2946,50.7851,50.1179,50.7753,1094631
2015-12-29,50.9421,51.2659,50.7557,51.1972,1517468
2015-12-30,51.0991,51.4229,50.8734,50.9421,1290431
2015-12-31,51.0206,51.1678,50.5693,50.6576,1242807
2016-01-04,50.1768,50.4515,49.5194,50.2161,2030682
2016-01-05,50.4221,51.4425,50.2455,51.3052,1944173
2016-01-06,50.8833,51.6093,50.8833,51.6093,1769017
2016-01-07,50.7066,51.5014,49.6862,50.7165,2145402
2016-01-08,50.7851,51.1482,50.1376,50.2063,1581867
2016-01-11,50.4221,51.5505,50.3338,51.2855,2261085
2016-01-12,51.5308,51.5995,50.7851,51.4425,2794892
2016-01-13,51.4621,52.1637,50.7263,50.8636,2608699
2016-01-14,51.001,51.7859,50.6772,51.2659,2713424
2016-01-15,50.7066,51.3052,50.1278,51.207,3405973
2016-01-19,51.521,52.2765,51.315,52.0116,1986715
2016-01-20,51.7172,51.8476,50.0002,50.8931,2865530
2016-01-21,51.3052,52.2961,50.7447,51.5308,1897363
2016-01-22,51.992,53.1792,51.884,53.0222,1816630
2016-01-25,53.1007,53.6894,52.6023,52.875,2039114
2016-01-26,53.032,54.3173,53.032,54.1604,2639664
2016-01-27,53.9543,54.6902,53.4049,54.0426,2403373
2016-01-28,53.8169,54.4743,53.5913,53.8366,3329935
2016-01-29,54.2585,54.8275,53.9739,54.7392,4807431
2016-02-01,54.5136,56.1227,54.1523,55.583,3281683
2016-02-02,55.6615,56.3385,55.2593,56.1423,2182927
2016-02-03,56.3287,57.0842,56.0638,56.2699,3066604
2016-02-04,56.1325,56.8095,55.7891,56.3974,2953593
2016-02-05,55.9853,56.1668,54.4645,54.8374,3198789
2016-02-08,54.6607,55.2396,53.7875,55.1121,2651310
2016-02-09,54.9453,55.6812,54.5823,55.2985,2910362
2016-02-10,55.4359,56.417,55.4162,55.7106,2441050
2016-02-11,55.6419,59.0858,55.621,58.9877,6343550
2016-02-12,58.7718,60.1062,58.5265,59.3409,5541266
2016-02-16,59.1937,59.2722,57.6533,58.6933,3674966
2016-02-17,58.8699,59.4292,58.242,58.6835,2853607
2016-02-18,58.6737,59.5642,58.399,59.3115,2203132
2016-02-19,59.1251,60.1847,58.9141,59.0858,2993509
2016-02-22,59.4194,59.547,58.3499,58.5952,2415481
2016-02-23,58.6541,58.9484,57.9967,58.5854,2123545
2016-02-24,58.4088,59.1251,58.1537,58.4088,1579131
2016-02-25,58.6345,59.4881,58.5364,58.9877,1938245
2016-02-26,58.7326,58.7326,57.408,57.5258,2491745
2016-02-29,57.408,58.1046,57.0568,57.4374,3738000
2016-03-01,57.8103,58.2077,57.1529,57.722,2150650
2016-03-02,57.3688,57.9869,57.0646,57.928,1668983
2016-03-03,58.0261,58.2224,57.1922,57.9084,1550570
2016-03-04,57.8692,57.8692,56.7212,57.0646,1878771
2016-03-07,57.0057,57.0646,56.3974,56.6623,2237124
2016-03-08,56.6623,57.9329,56.42,57.5356,2205646
2016-03-09,57.408,58.448,57.2805,57.8201,1573319
2016-03-10,58.1439,58.4039,57.6091,58.1341,1886940
2016-03-11,58.6541,58.762,57.9477,58.5069,1594723
2016-03-14,58.242,58.6884,58.1537,58.6247,1214955
2016-03-15,58.5756,59.1496,58.3883,58.7326,1553415
2016-03-16,58.5462,59.8511,57.7907,59.7334,2086661
2016-03-17,59.7628,60.6802,59.3606,60.4104,1821744
2016-03-18,60.3025,60.3613,59.6156,60.0866,3018742
2016-03-21,59.8021,59.8413,59.0367,59.6254,1610498
2016-03-22,59.6058,60.3417,59.4783,59.7334,1094227
2016-03-23,59.4979,60.6164,59.4936,60.2534,1353650
2016-03-24,60.2926,60.5378,60.0866,60.3025,1277377
2016-03-28,60.3515,61.0776,60.2828,60.9402,1290098
2016-03-29,61.0383,61.7055,60.7636,61.6859,1753704
2016-03-30,61.5976,61.6565,60.7047,61.0383,1543847
2016-03-31,61.1463,61.5583,60.9991,61.3327,2224379
2016-04-01,61.0089,61.264,60.6949,61.0776,2039751
2016-04-04,61.0874,61.6172,60.4987,60.9893,1768564
2016-04-05,60.8323,61.735,60.8323,61.6761,1719661
2016-04-06,61.5878,61.8527,61.3131,61.784,1656529
2016-04-07,61.5878,62.0195,61.3523,61.47,1319743
2016-04-08,61.47,62.0785,61.3327,61.8134,891585
2016-04-11,61.7742,62.2942,61.7153,61.8134,1153776
2016-04-12,61.9312,62.7161,61.8821,62.5395,2140252
2016-04-13,62.6867,62.6867,61.1168,61.8919,1553931
2016-04-14,61.5878,61.7742,61.2051,61.4897,1129912
2016-04-15,61.4897,61.8919,61.2247,61.8233,1147259
2016-04-18,61.8429,62.0489,61.2934,61.9606,977917
2016-04-19,61.9606,62.3433,61.6466,62.098,1147238
2016-04-20,62.147,62.304,60.3221,60.4006,1478645
2016-04-21,60.2436,60.3319,57.7514,57.9182,3517260
2016-04-22,58.1929,58.8994,57.928,58.2518,1650007
2016-04-25,58.2518,59.1839,58.036,59.1839,1421984
2016-04-26,59.2035,59.5371,58.1733,58.4775,2098564
2016-04-27,58.8013,58.8013,57.3393,58.3303,2123466
2016-04-28,57.771,58.4186,57.722,58.3499,1505238
2016-04-29,58.085,58.2812,57.5846,58.085,2300807
2016-05-02,58.2714,59.2624,58.1782,58.6835,1381884
2016-05-03,58.6835,59.596,58.605,59.5666,1599079
2016-05-04,59.2918,61.7644,59.2134,61.2051,2550893
2016-05-05,60.8813,61.9116,60.8421,61.2346,1934031
2016-05-06,61.2836,62.3825,60.9696,62.3825,1544431
2016-05-09,62.5493,62.8927,61.9704,62.8339,1454643
2016-05-10,62.9614,63.137,62.5591,63.0105,1260251
2016-05-11,62.8535,62.981,61.1364,62.0784,1735405
2016-05-12,62.1078,63.3343,61.6074,62.932,1599194
2016-05-13,62.6965,62.7946,61.8429,62.4218,1057164
2016-05-16,62.412,62.9025,62.0391,62.7063,1184562
2016-05-17,62.4708,62.4708,61.0776,61.3229,2069775
2016-05-18,61.1168,61.3229,59.0309,59.7236,2543440
2016-05-19,57.7416,58.0458,57.3982,57.9378,6157378
2016-05-20,58.2126,58.2126,57.2216,58.0752,3345647
2016-05-23,58.1341,58.3205,57.6534,57.9378,2302230
2016-05-24,58.2322,58.505,58.0654,58.3107,2345099
2016-05-25,58.3303,58.3646,57.202,58.2616,1901464
2016-05-26,58.2812,58.8111,58.085,58.7718,1628751
2016-05-27,58.7718,59.1447,58.4382,58.7718,2016363
2016-05-31,58.8209,59.1447,57.9673,58.9583,3797163
2016-06-01,58.8111,59.7628,58.7915,59.7039,2037924
2016-06-02,59.4881,60.4251,59.439,60.3908,1677847
2016-06-03,60.8715,62.0882,60.8323,61.8625,2520255
2016-06-06,61.8036,62.0862,61.0972,61.3915,1528130
2016-06-07,61.735,62.098,61.5682,61.9999,1665437
2016-06-08,61.9508,62.3433,61.7448,62.3138,1138912
2016-06-09,62.3138,62.8044,62.1765,62.775,1399692
2016-06-10,62.5101,63.3735,62.4904,63.089,1515594
2016-06-13,63.2754,63.7159,62.8142,62.9124,1623151
2016-06-14,62.981,63.4029,62.5984,63.1282,1833827
2016-06-15,63.0988,63.398,62.5493,63.1871,1295419
2016-06-16,63.4422,63.8641,63.1478,63.8445,1350420
2016-06-17,63.6482,63.7365,62.1175,62.9124,3598982
2016-06-20,63.089,63.2067,62.2353,62.5493,1813045
2016-06-21,62.6474,63.2591,62.6082,63.1184,1094874
2016-06-22,63.1184,63.2459,62.775,63.1478,1035874
2016-06-23,62.7161,63.2852,62.6769,63.2852,850343
2016-06-24,62.4708,65.277,62.4708,64.5117,3211436
2016-06-27,64.3252,65.8647,64.3252,65.7087,2792506
2016-06-28,65.9932,66.9155,65.3162,66.9155,1789917
2016-06-29,67.1019,67.5631,66.6212,67.1706,1788282
2016-06-30,67.2197,68.0537,66.7487,68.0537,2394085
2016-07-01,68.191,68.7601,67.7593,68.3284,1823883
2016-07-05,68.7601,70.1534,68.3774,70.1239,2399304
2016-07-06,69.9473,70.5654,69.4273,69.8688,1806540
2016-07-07,69.7609,69.7609,67.3865,67.8378,3695869
2016-07-08,68.0831,68.6424,66.9646,68.5933,1957776
2016-07-11,68.6031,69.339,67.9359,69.1918,1368575
2016-07-12,69.1231,69.1918,68.1027,68.7503,2065377
2016-07-13,69.0544,69.5745,68.7797,69.4665,1290209
2016-07-14,69.0839,69.1035,68.2401,69.0152,1488885
2016-07-15,68.9269,69.1428,67.8771,68.5246,1634926
2016-07-18,68.6325,68.9564,68.4756,68.662,1021774
2016-07-19,68.7503,68.9661,68.3578,68.9661,1359723
2016-07-20,68.9858,69.0643,68.2597,68.4854,1032615
2016-07-21,68.2499,68.7601,67.6121,68.7601,1192139
2016-07-22,68.6718,69.5057,68.5835,69.0839,1546053
2016-07-25,69.2409,69.4175,68.4854,68.9956,1290397
2016-07-26,69.1428,69.1624,68.505,68.7895,944936
2016-07-27,68.8288,68.8484,67.7201,68.2793,1715983
2016-07-28,68.2008,69.6726,68.034,69.3488,1685420
2016-07-29,69.5156,70.6047,69.5156,70.1239,3925010
2016-08-01,70.1435,70.9334,70.1239,70.7813,1641677
2016-08-02,70.3888,70.585,68.4756,68.6914,2088274
2016-08-03,68.6129,68.6914,67.4257,67.8771,2319155
2016-08-04,68.034,68.8386,67.9948,68.2303,1167209
2016-08-05,68.2303,68.2303,66.9646,67.2687,1369176
2016-08-08,67.1706,67.5533,66.474,67.151,1058527
2016-08-09,67.2295,67.7986,66.5926,67.6318,968277
2016-08-10,67.7299,68.1616,67.6808,67.9065,1114334
2016-08-11,67.9065,67.9212,66.5525,66.8959,1113369
2016-08-12,67.1804,68.0929,66.9646,67.3472,1108189
2016-08-15,67.4748,67.4944,66.6506,66.7095,947681
2016-08-16,66.4249,66.4249,65.1298,65.6792,2031677
2016-08-17,65.8264,66.3464,65.012,66.3366,1721016
2016-08-18,66.4249,66.7487,66.1895,66.5329,910117
2016-08-19,66.4151,66.7193,65.2642,65.5419,1382812
2016-08-22,65.7087,66.4249,65.5909,66.1894,964670
2016-08-23,66.3268,66.5721,65.9932,66.0226,695483
2016-08-24,66.0815,66.16,64.9041,65.4241,1066044
2016-08-25,65.5419,66.1306,65.1936,65.4143,1570875
2016-08-26,65.6596,66.0423,64.1584,64.492,1280455
2016-08-29,64.7569,65.532,64.7569,65.1298,1143593
2016-08-30,64.8158,64.9923,63.7856,64.2075,1272735
2016-08-31,64.1584,64.6245,63.7267,64.492,2778851
2016-09-01,64.3645,64.8551,64.0799,64.5018,1449410
2016-09-02,64.7569,66.474,64.7373,65.0219,1191576
2016-09-06,65.2475,65.9147,64.6784,65.9147,1298450
2016-09-07,65.9834,66.7929,65.9147,66.7095,1453271
2016-09-08,66.2581,66.5917,65.8657,66.1502,2731549
2016-09-09,65.326,65.326,63.0399,63.0497,2219853
2016-09-12,62.9222,64.7471,62.8044,64.3056,2014356
2016-09-13,63.8248,64.0211,62.1372,62.3433,2012532
2016-09-14,62.6474,63.3343,62.4904,62.7848,1349803
2016-09-15,62.7456,63.2361,62.5493,63.1184,1321620
2016-09-16,62.9908,63.4127,62.6965,63.2558,2471765
2016-09-19,63.2852,64.0309,63.2852,63.9916,1366777
2016-09-20,64.2958,64.6588,64.129,64.3547,1189466
2016-09-21,64.4037,65.6302,63.7954,65.5026,1458175
2016-09-22,66.003,66.9646,66.003,66.6015,1508128
2016-09-23,66.3268,66.9842,65.7038,66.7683,1078265
2016-09-26,66.5427,67.6857,66.2876,67.3865,1582039
2016-09-27,67.6808,67.8378,66.7006,66.8959,1217880
2016-09-28,66.9646,67.5925,66.6408,67.5238,1095783
2016-09-29,67.0136,67.0529,65.8558,66.3268,1244910
2016-09-30,66.7781,67.0578,65.6596,65.6694,1452466
2016-10-03,65.4241,65.4928,64.0898,64.1486,1560872
2016-10-04,64.0996,64.1388,62.0195,62.4904,1825823
2016-10-05,62.6769,62.7456,60.6949,60.7538,2059602
2016-10-06,60.5772,60.9893,59.4194,60.43,2078536
2016-10-07,60.8127,61.5289,59.8707,60.3025,1446114
2016-10-10,60.4889,61.2159,60.4791,60.9402,975145
2016-10-11,60.7244,60.8323,59.5617,59.6647,1705010
2016-10-12,59.8217,60.7538,59.7334,60.5085,1254565
2016-10-13,60.3025,62.0195,60.0375,61.5289,1865026
2016-10-14,61.3425,61.7644,60.5773,60.8715,893870
2016-10-17,61.0285,61.7938,60.901,61.47,1180139
2016-10-18,61.8233,61.9901,61.1463,61.4798,1227765
2016-10-19,61.5583,61.578,60.9751,61.3621,1119868
2016-10-20,61.47,61.6074,60.7734,61.2738,947022
2016-10-21,60.9108,61.2836,60.4006,60.7342,999889
2016-10-24,61.0874,61.7055,60.3711,61.1266,1301796
2016-10-25,60.9206,61.47,60.5281,61.1266,980506
2016-10-26,60.8715,60.9304,59.6156,60.1553,1082655
2016-10-27,60.0866,60.1455,57.7514,57.9967,2094554
2016-10-28,57.5944,58.2714,57.3001,57.4276,1801449
2016-10-31,57.6239,58.1439,56.0049,58.1243,2963991
2016-11-01,57.9575,57.9575,56.2012,56.6525,2565887
2016-11-02,56.7016,56.7703,55.6223,55.6419,1911549
2016-11-03,55.5929,55.8087,55.1906,55.4849,1589320
2016-11-04,55.7204,56.7016,55.2102,56.2993,1889292
2016-11-07,56.9272,57.4374,56.5348,57.3491,1636033
2016-11-08,57.408,58.0261,57.202,57.8299,1510844
2016-11-09,57.251,57.251,54.3075,54.5724,3615277
2016-11-10,54.5724,54.5724,51.7271,53.2577,4714635
2016-11-11,53.3656,54.5234,53.1498,53.3656,2299129
2016-11-14,53.1596,54.7785,52.3158,54.5724,2315028
2016-11-15,54.7294,55.8381,54.0917,54.6215,1981533
2016-11-16,55.0042,55.2102,54.2781,55.0925,1573520
2016-11-17,55.0925,55.3846,53.7777,53.8366,1699447
2016-11-18,53.8758,54.3566,53.6305,54.1113,3055490
2016-11-21,54.2094,54.8079,53.8954,54.0524,1518910
2016-11-22,54.386,55.6321,54.0132,55.534,1674984
2016-11-23,54.9551,55.534,54.6313,55.063,1270904
