Date,Open,High,Low,Close,Volume
2015-06-22,30.8217,30.8333,30.2583,30.6733,7898163
2015-06-23,30.65,30.76,30.0633,30.3217,8301825
2015-06-24,30.0433,30.26,29.7933,29.8567,8349051
2015-06-25,29.9783,30.12,29.69,29.8033,9155440
2015-06-26,29.9633,29.9733,29.0,29.21,17434363
2015-06-29,28.2717,29.115,28.0536,28.6417,10809244
2015-06-30,28.8983,29.3733,28.8983,29.1167,8027613
2015-07-01,29.4317,29.7133,29.3,29.3567,6722115
2015-07-02,29.4667,29.5183,28.6917,28.9833,6741519
2015-07-06,28.9383,29.5275,28.73,29.22,8340633
2015-07-07,29.1667,29.1667,27.97,28.585,12889379
2015-07-08,28.3033,29.0967,28.2567,28.7467,9406168
2015-07-09,29.1667,29.3683,28.965,29.135,6853233
2015-07-10,29.435,30.1916,29.025,30.1333,10246888
2015-07-13,30.4833,30.6567,29.8667,30.1883,9167122
2015-07-14,30.3167,31.0602,30.2867,30.7083,8126571
2015-07-15,30.8333,30.9883,30.5533,30.8567,6963153
2015-07-16,31.115,31.9583,30.9167,31.6767,8458269
2015-07-17,31.9167,32.1167,31.685,31.875,6679857
2015-07-20,31.75,31.925,31.3867,31.6717,6940899
2015-07-21,31.6717,32.0783,31.5183,32.0117,6667863
2015-07-22,31.775,32.2967,31.6383,32.0667,6105194
2015-07-23,32.4833,33.35,32.4668,32.8483,8589855
2015-07-24,33.15,33.425,32.565,32.8133,6924813
2015-07-27,32.385,32.4667,30.7533,31.0483,13762320
2015-07-28,31.4717,31.4717,30.625,31.1383,7453785
2015-07-29,31.0533,31.1567,30.285,30.6083,9903286
2015-07-30,30.6083,31.09,30.1667,30.865,7928355
2015-07-31,30.8333,31.3267,30.6133,30.9717,6645027
2015-08-03,31.0583,31.3183,30.5133,30.8183,4787510
2015-08-04,30.7733,31.2867,30.56,30.9167,7693791
2015-08-05,31.0633,31.8,31.0633,31.7117,6582309
2015-08-06,31.78,31.8333,28.975,29.0817,18414019
2015-08-07,29.3017,29.3833,28.02,29.2533,14723844
2015-08-10,29.575,30.06,29.035,29.4933,7404411
2015-08-11,29.1633,29.5767,28.585,28.9883,8203821
2015-08-12,28.4167,29.05,27.1067,28.5,16363447
2015-08-13,28.56,29.2083,28.56,28.7933,5910686
2015-08-14,28.6267,29.01,28.4783,28.9233,4238432
2015-08-17,28.81,29.3999,28.5283,29.295,3587941
2015-08-18,29.295,29.58,28.8583,28.9417,3012313
2015-08-19,28.8117,29.3233,28.5675,29.02,5205266
2015-08-20,28.3967,28.72,26.5833,26.77,16105758
2015-08-21,25.6583,27.3867,25.1783,26.4983,20800784
2015-08-24,24.355,26.54,23.3983,25.835,20562416
2015-08-25,26.8017,27.4567,26.3533,26.4,11234380
2015-08-26,27.1133,28.1667,26.825,27.9917,12145397
2015-08-27,28.3333,28.5115,27.4417,27.9633,11202070
2015-08-28,27.8667,28.2883,27.6433,28.0,5830280
2015-08-31,27.9067,28.2458,27.185,27.37,8116323
2015-09-01,26.715,27.7533,26.705,26.975,8455053
2015-09-02,27.5083,27.5083,26.435,27.265,6768255
2015-09-03,27.595,27.6283,26.895,27.0067,10942294
2015-09-04,26.6733,27.4683,26.4333,27.065,9166540
2015-09-08,27.6067,27.79,27.0383,27.745,7286499
2015-09-09,28.145,28.25,27.5083,27.5283,17585491
2015-09-10,29.13,29.9467,28.3333,29.5667,29169060
2015-09-11,29.6133,29.91,29.07,29.565,11592779
2015-09-14,29.4167,29.9567,29.175,29.9233,8841712
2015-09-15,29.9983,30.6633,29.9443,30.5317,9784882
2015-09-16,30.5667,30.615,30.11,30.425,6383355
2015-09-17,30.5283,31.105,30.2183,30.7133,6672063
2015-09-18,30.3167,31.0267,30.23,30.83,11087020
2015-09-21,30.8533,31.62,30.3033,30.9,9548326
2015-09-22,30.345,30.7383,29.63,30.015,13046825
2015-09-23,30.005,30.1083,29.52,29.8833,8059773
2015-09-24,29.7317,30.1833,29.465,30.1283,6524415
2015-09-25,30.54,30.8133,29.9583,30.135,7893903
2015-09-28,29.9333,30.2667,28.965,29.2833,12141185
2015-09-29,29.2533,29.3333,27.685,27.9683,12581285
2015-09-30,28.3333,28.8316,27.6567,28.6667,9983974
2015-10-01,28.4217,28.945,27.9367,28.61,7511073
2015-10-02,28.2,29.2833,28.0183,29.2017,10609876
2015-10-05,29.5333,29.7932,29.0017,29.54,7652517
2015-10-06,29.5833,29.79,28.5033,29.02,6162074
2015-10-07,29.2633,29.6317,28.5383,29.1633,7697109
2015-10-08,29.125,29.125,27.94,28.265,8359863
2015-10-09,28.1667,28.7667,27.875,28.6467,6342369
2015-10-12,28.3717,28.5,27.725,27.9683,9339832
2015-10-13,27.7833,28.5,27.5833,27.855,7670307
