Date,Open,High,Low,Close,Volume
2015-06-22,48.35,49.0551,48.31,48.79,1814740
2015-06-23,48.83,48.87,48.6,48.8,1240759
2015-06-24,48.64,48.75,48.08,48.145,1346637
2015-06-25,48.19,48.41,48.03,48.23,1744848
2015-06-26,48.34,48.51,47.79,47.99,1675225
2015-06-29,47.55,47.76,46.75,46.795,2111304
2015-06-30,47.1,47.47,46.521,46.88,3012699
2015-07-01,46.0,47.83,44.38,47.31,4251223
2015-07-02,47.8,48.19,47.28,47.645,3003525
2015-07-06,47.49,48.2501,47.39,48.17,3088364
2015-07-07,48.25,48.45,47.2761,48.01,2936712
2015-07-08,47.66,47.91,47.29,47.32,2079424
2015-07-09,47.82,48.13,47.33,47.43,1923118
2015-07-10,47.95,48.11,47.565,47.78,1372778
2015-07-13,47.97,48.44,47.97,48.39,1553912
2015-07-14,48.37,48.39,48.02,48.17,1271517
2015-07-15,48.23,48.3727,47.68,47.76,2484589
2015-07-16,47.68,47.95,47.35,47.91,2798036
2015-07-17,47.82,47.82,47.24,47.45,2455818
2015-07-20,47.61,47.63,47.14,47.3,2103170
2015-07-21,47.28,47.38,47.04,47.27,1667925
2015-07-22,47.24,47.55,47.18,47.27,1234493
2015-07-23,47.23,47.25,46.59,46.65,1635473
2015-07-24,46.53,46.82,46.03,46.11,2246143
2015-07-27,46.0,46.48,45.34,46.28,2188782
2015-07-28,46.48,46.63,46.16,46.61,1439384
2015-07-29,46.55,46.88,46.28,46.71,2281086
2015-07-30,46.23,46.57,45.71,46.23,2654008
2015-07-31,46.45,46.51,46.13,46.4,1961606
2015-08-03,46.16,47.695,45.94,47.52,4016721
2015-08-04,47.64,48.4,46.3,47.69,3872431
2015-08-05,48.0,48.66,47.8502,48.27,2692193
2015-08-06,48.5,48.5,47.36,47.56,2189237
2015-08-07,47.3,47.675,47.22,47.62,1774444
2015-08-10,47.87,48.36,47.87,48.1,1388749
2015-08-11,47.83,48.28,47.56,47.88,2145930
2015-08-12,47.3,47.97,47.2,47.81,1930822
2015-08-13,47.78,48.33,47.63,48.13,1807983
2015-08-14,48.27,48.39,48.0,48.3,1259830
2015-08-17,48.13,48.41,47.74,48.37,1609252
2015-08-18,48.23,48.63,48.22,48.45,1079325
2015-08-19,48.15,48.45,47.67,48.01,1519792
2015-08-20,47.72,47.97,47.27,47.3,1545616
2015-08-21,47.0,47.23,45.68,45.69,2869877
2015-08-24,43.1,44.86,41.59,43.99,5145729
2015-08-25,44.95,44.95,42.92,42.92,5177302
2015-08-26,43.98,44.66,43.19,44.62,3443735
2015-08-27,45.04,45.51,44.5,45.25,2642014
2015-08-28,44.95,45.37,44.7,44.95,2622308
2015-08-31,44.8,45.06,44.59,44.66,2209458
2015-09-01,43.81,44.265,43.19,43.46,2863894
2015-09-02,44.22,44.49,43.72,44.49,2000121
2015-09-03,44.56,45.01,44.53,44.7,1501182
2015-09-04,43.83,44.55,43.83,44.31,1659014
2015-09-08,45.03,45.6,44.5001,45.58,1866598
2015-09-09,45.94,45.98,45.23,45.34,2292934
2015-09-10,45.21,45.79,45.13,45.3,2434646
2015-09-11,45.16,45.73,45.03,45.71,1567052
2015-09-14,45.7,45.715,45.225,45.31,1566936
2015-09-15,45.48,46.155,45.275,45.97,1972049
2015-09-16,45.88,46.52,45.72,46.28,1627482
2015-09-17,46.19,47.05,46.07,46.69,3160232
2015-09-18,46.14,47.06,46.03,46.53,4844456
2015-09-21,46.7,47.08,46.43,46.65,1969612
2015-09-22,46.03,46.39,45.71,46.03,2027301
2015-09-23,46.04,46.61,45.99,46.39,1501905
2015-09-24,46.09,46.54,45.78,46.34,1994525
2015-09-25,46.81,47.09,46.4,46.69,2796918
2015-09-28,46.68,46.79,45.69,45.76,2609386
2015-09-29,45.67,46.07,45.55,46.01,2906506
2015-09-30,46.6,47.705,46.23,47.63,4410894
2015-10-01,47.44,48.19,47.3903,48.14,4031452
2015-10-02,47.38,47.85,46.39,47.77,6231279
2015-10-05,48.39,48.77,47.9001,48.68,3138344
2015-10-06,48.9,49.11,48.4,48.53,3371117
2015-10-07,48.88,49.47,48.78,49.47,2485166
2015-10-08,49.38,50.06,49.29,49.96,2123238
2015-10-09,50.05,50.3,49.95,50.06,3197922
2015-10-12,50.14,50.44,49.92,50.31,1496549
