Date,Open,High,Low,Close,Volume
2015-06-22,43.3933,43.62,43.2467,43.44,1948135
2015-06-23,43.4333,43.5467,43.1667,43.3733,1993870
2015-06-24,43.36,43.4467,43.22,43.2667,1868937
2015-06-25,43.3667,43.4933,42.6867,42.8867,2086395
2015-06-26,43.06,43.34,42.8267,43.2133,2631736
2015-06-29,42.9,43.0067,42.24,42.2733,2487366
2015-06-30,42.74,42.96,42.42,42.54,3009667
2015-07-01,42.9733,43.0,42.6533,42.9,2183175
2015-07-02,42.9333,43.1533,42.8067,43.1267,2942062
2015-07-06,42.7933,43.24,42.52,42.7867,2017551
2015-07-07,42.8533,42.98,42.2,42.9367,2683776
2015-07-08,42.68,42.8267,41.68,41.9533,2737417
2015-07-09,42.5067,42.74,41.9333,41.9333,3237555
2015-07-10,42.56,42.56,41.9533,42.26,2229484
2015-07-13,42.4467,43.12,42.3067,43.0667,1868479
2015-07-14,42.9733,43.36,42.8533,43.26,1764006
2015-07-15,43.1733,43.4267,43.0333,43.4067,2475949
2015-07-16,43.5933,43.86,43.4734,43.6933,2316028
2015-07-17,43.0933,43.0933,42.6933,42.9867,4124578
2015-07-20,43.0867,43.3733,42.8933,43.26,2384128
2015-07-21,43.0667,43.6733,43.04,43.4867,3748098
2015-07-22,43.6333,43.7733,43.4133,43.64,3450565
2015-07-23,43.5333,43.8333,43.34,43.5267,3749968
2015-07-24,43.5533,43.5533,42.9733,43.2667,5430003
2015-07-27,43.18,43.3533,42.8,43.1,5104443
2015-07-28,43.76,44.2867,42.5067,43.2,5078683
2015-07-29,43.24,43.8133,43.24,43.7733,4393276
2015-07-30,43.1733,43.2867,42.34,43.1733,4721497
2015-07-31,43.48,43.5067,42.8467,43.2267,3569994
2015-08-03,43.2533,43.3133,42.54,42.9867,3001336
2015-08-04,42.7,42.8867,41.8633,42.0933,3685707
2015-08-05,42.7467,43.0933,42.2333,42.4,2353830
2015-08-06,42.4467,42.4867,41.9933,42.2,2405695
2015-08-07,42.58,42.58,41.74,41.9667,2571375
2015-08-10,42.46,42.6867,42.2933,42.5467,2921362
2015-08-11,42.3,42.3,41.58,41.9933,3537559
2015-08-12,41.56,41.9533,41.2067,41.8467,3302740
2015-08-13,41.7333,42.0067,41.46,41.78,1582551
2015-08-14,41.8267,42.0933,41.7533,41.9467,1584057
2015-08-17,41.7333,42.1133,41.3733,42.02,1769001
2015-08-18,42.0267,42.1133,41.7167,41.96,2060365
2015-08-19,41.78,42.0333,41.2067,41.6533,2843161
2015-08-20,41.5,41.5067,40.5467,40.5467,3105487
2015-08-21,40.1,40.3467,38.9467,38.96,5271238
2015-08-24,36.5,38.6,35.6333,37.5933,8129817
2015-08-25,38.2467,38.7867,37.22,37.2667,5153925
2015-08-26,38.38,38.9533,37.5533,38.8533,6204903
2015-08-27,39.9067,40.0,38.9867,39.72,4513038
2015-08-28,39.3467,39.7867,39.2933,39.6333,2479953
2015-08-31,39.4267,39.64,39.16,39.3133,2689375
2015-09-01,38.5133,38.7267,37.7867,38.02,4237396
2015-09-02,38.6,38.7667,37.9067,38.7667,4069734
2015-09-03,38.8467,39.1733,38.6267,38.7133,3753966
2015-09-04,38.1333,38.3,37.7533,37.8933,3465858
2015-09-08,38.5467,38.5467,38.01,38.4,3880171
2015-09-09,38.74,38.93,38.1667,38.2533,3098581
2015-09-10,38.14,38.5533,38.0067,38.2267,3352791
2015-09-11,38.1333,38.34,37.86,38.3133,2572297
2015-09-14,38.2733,38.38,37.9767,38.04,2005960
2015-09-15,38.24,38.8867,37.9133,38.8467,3151017
2015-09-16,38.9333,39.18,38.8067,39.1,1748994
2015-09-17,38.98,39.2133,38.3967,38.5,3293907
2015-09-18,38.0133,38.1,37.2067,37.54,4343319
2015-09-21,37.64,38.08,37.3933,37.7,2152203
2015-09-22,37.0267,37.5067,36.3067,36.6933,3654930
2015-09-23,36.66,36.9333,36.3,36.6533,3339346
2015-09-24,36.3133,36.5733,35.7533,36.3267,4355011
2015-09-25,36.2533,36.4733,35.3133,35.44,5194146
