Date,Open,High,Low,Close,Volume
2015-06-22,28.38,28.44,28.25,28.38,3458328
2015-06-23,28.38,28.5,28.285,28.45,2761763
2015-06-24,28.44,28.47,28.16,28.24,2557425
2015-06-25,28.23,28.295,27.99,28.17,3746279
2015-06-26,28.27,28.42,28.21,28.32,3323222
2015-06-29,28.0,28.16,27.78,27.81,3360587
2015-06-30,28.09,28.15,27.77,27.83,3366982
2015-07-01,28.78,28.78,28.29,28.44,5053971
2015-07-02,28.5,28.59,28.17,28.24,3268889
2015-07-06,27.94,28.425,27.92,28.38,3497962
2015-07-07,28.42,29.0,28.25,28.95,5553448
2015-07-08,28.8,29.02,28.62,28.72,4226928
2015-07-09,29.07,29.13,28.85,29.03,5223727
2015-07-10,29.31,29.47,29.2585,29.39,3833098
2015-07-13,29.63,30.32,29.53,29.73,3499419
2015-07-14,29.65,29.82,29.63,29.78,3113592
2015-07-15,29.74,30.07,29.65,30.01,4031796
2015-07-16,30.29,30.4,30.02,30.18,7073787
2015-07-17,30.2,31.38,30.14,31.28,9790625
2015-07-20,30.92,31.42,30.67,30.76,8144110
2015-07-21,30.78,30.89,30.38,30.52,4897310
2015-07-22,30.54,30.69,30.4703,30.62,3428937
2015-07-23,30.62,30.73,30.47,30.56,2813679
2015-07-24,30.51,30.615,30.45,30.51,2606247
2015-07-27,30.3,30.55,30.23,30.47,2462060
2015-07-28,30.7,30.73,30.32,30.43,2906411
2015-07-29,30.44,30.59,30.17,30.39,4353149
2015-07-30,30.34,30.5101,30.21,30.49,3187142
2015-07-31,30.68,30.7,30.47,30.5,2272441
2015-08-03,30.49,30.62,30.4,30.62,1986082
2015-08-04,30.34,30.69,30.34,30.54,3209659
2015-08-05,30.75,30.84,30.525,30.74,3062956
2015-08-06,30.75,30.8261,30.39,30.49,3328172
2015-08-07,30.4,30.59,30.3,30.57,2590963
2015-08-10,30.78,30.97,30.74,30.9,2406287
2015-08-11,30.64,31.05,30.63,30.93,3282704
2015-08-12,30.64,30.88,30.4,30.85,2614195
2015-08-13,31.0,31.13,30.64,31.0,2651046
2015-08-14,31.0,31.15,30.88,31.03,2546987
2015-08-17,30.9,31.25,30.75,31.24,1976146
2015-08-18,31.18,31.22,31.02,31.19,2639682
2015-08-19,31.1,31.57,31.0,31.45,5835861
2015-08-20,31.2,31.27,30.87,30.88,3609651
2015-08-21,30.66,30.67,29.96,29.96,5532696
2015-08-24,28.73,29.545,27.23,28.74,8233707
2015-08-25,29.25,29.51,28.53,28.55,5679236
2015-08-26,29.25,29.59,28.8,29.51,6306337
2015-08-27,29.91,30.38,29.74,30.25,4757038
2015-08-28,30.2,30.2,29.89,30.05,3122412
2015-08-31,30.02,30.095,29.84,29.96,2922459
2015-09-01,29.32,29.5625,29.12,29.24,3673203
2015-09-02,29.6,29.68,29.335,29.67,3624919
2015-09-03,29.8,30.085,29.64,29.83,3127256
2015-09-04,29.46,29.61,29.315,29.47,3471517
2015-09-08,29.92,30.12,29.625,30.07,4202445
2015-09-09,30.32,30.42,29.635,29.68,3171444
2015-09-10,29.66,30.12,29.605,29.98,3144552
2015-09-11,29.85,30.24,29.82,30.23,2697125
2015-09-14,30.27,30.4,30.105,30.18,3610996
2015-09-15,30.31,30.625,30.18,30.58,2683486
2015-09-16,30.69,31.085,30.56,30.98,4110288
2015-09-17,31.08,31.7,31.02,31.34,5637520
2015-09-18,30.81,31.18,30.27,30.62,12851350
2015-09-21,30.98,31.25,30.78,30.92,3668110
2015-09-22,30.41,30.79,30.41,30.66,2866163
2015-09-23,30.63,30.8,30.52,30.68,2341903
2015-09-24,30.47,30.66,30.32,30.61,3069844
2015-09-25,31.02,31.13,30.5,30.67,4121720
2015-09-28,30.46,30.69,30.18,30.28,3944969
2015-09-29,30.29,30.47,29.9,30.44,5105609
2015-09-30,30.73,30.77,30.51,30.64,4341113
