Date,Open,High,Low,Close,Volume
2015-06-22,80.92,81.18,80.33,80.45,6907185
2015-06-23,80.33,80.45,79.62,79.79,7165265
2015-06-24,79.8,79.85,79.5,79.51,8842707
2015-06-25,79.71,79.9,79.39,79.39,5855728
2015-06-26,79.54,79.74,79.28,79.34,7702091
2015-06-29,78.95,79.37,78.26,78.32,7923604
2015-06-30,78.92,79.01,78.13,78.24,8444119
2015-07-01,78.39,79.765,78.12,79.72,8867990
2015-07-02,80.01,80.35,79.77,79.93,6591981
2015-07-06,79.61,80.22,79.5,80.05,6593739
2015-07-07,80.06,81.83,80.06,81.72,11589400
2015-07-08,81.21,81.69,80.89,80.99,6724559
2015-07-09,81.75,82.0,80.52,80.66,10418950
2015-07-10,81.23,81.3599,80.76,80.95,6892363
2015-07-13,81.52,82.04,81.34,81.91,7332427
2015-07-14,82.04,82.46,81.98,82.04,6112511
2015-07-15,81.91,82.32,81.84,82.15,6673662
2015-07-16,82.45,82.55,82.1,82.3,6623398
2015-07-17,81.89,82.38,81.6,82.24,5827266
2015-07-20,82.09,82.35,82.0,82.19,5012781
2015-07-21,82.01,82.13,81.37,81.63,7502207
2015-07-22,81.03,81.3,80.67,80.83,6095841
2015-07-23,80.83,80.89,80.14,80.7,5380845
2015-07-24,80.51,80.73,80.23,80.29,5484416
2015-07-27,79.83,80.07,79.425,79.97,8590457
2015-07-28,80.14,80.66,79.91,80.23,8562889
2015-07-29,80.26,80.99,80.16,80.62,8904631
2015-07-30,79.4,79.48,77.15,77.39,22056140
2015-07-31,77.63,77.74,76.66,76.7,11876940
2015-08-03,76.51,77.09,76.01,76.4,9487840
2015-08-04,76.03,76.34,75.75,75.91,13333100
2015-08-05,76.05,76.54,75.75,75.77,10887670
2015-08-06,76.01,76.01,75.25,75.74,9352802
2015-08-07,75.59,75.72,75.34,75.48,10045310
2015-08-10,75.95,76.5,75.8,76.38,9152101
2015-08-11,76.04,76.45,75.81,76.22,7480270
2015-08-12,75.89,76.43,75.34,76.39,10478920
2015-08-13,76.49,76.51,75.63,75.78,5940531
2015-08-14,75.74,75.81,75.38,75.62,5586111
2015-08-17,75.81,75.81,74.75,75.53,8663445
2015-08-18,75.58,75.8,75.0,75.13,7425663
2015-08-19,74.93,74.93,74.02,74.12,9861143
2015-08-20,73.75,74.725,73.46,73.91,10694660
2015-08-21,73.55,73.9,71.83,71.84,15394120
2015-08-24,68.57,71.07,65.02,69.14,23690540
2015-08-25,72.18,72.23,68.3,68.42,21062930
2015-08-26,69.9,71.0,68.95,70.9,17430110
2015-08-27,71.4,71.75,70.02,71.48,13016330
2015-08-28,71.17,71.27,70.59,71.21,10013180
2015-08-31,71.0,71.0,70.3,70.67,9482767
2015-09-01,69.37,69.88,68.52,68.9,15358610
2015-09-02,69.65,69.85,69.2238,69.81,8897312
2015-09-03,70.18,70.46,69.7,69.93,8199320
2015-09-04,69.28,69.28,68.5,68.76,11480800
2015-09-08,70.31,70.44,69.56,69.98,9182153
2015-09-09,70.44,70.54,68.37,68.48,11018430
2015-09-10,68.12,68.9465,67.75,68.32,12527070
2015-09-11,68.06,68.51,67.73,68.42,10676860
2015-09-14,68.23,68.3,67.33,68.06,9677088
2015-09-15,68.02,69.74,67.9,69.45,11015900
2015-09-16,70.12,70.36,69.7,70.1,8696807
2015-09-17,70.0,71.27,69.86,70.24,10895940
2015-09-18,69.44,70.78,69.37,69.94,18193100
2015-09-21,70.15,70.88,70.01,70.65,7736711
2015-09-22,70.06,70.6528,69.98,70.19,10195070
2015-09-23,70.18,70.49,69.96,70.26,5574443
2015-09-24,69.82,71.58,69.74,71.36,13396290
2015-09-25,72.39,73.38,71.95,72.67,15069350
2015-09-28,72.31,72.67,71.75,71.77,9206783
2015-09-29,71.77,72.41,71.35,72.28,9023525
2015-09-30,72.86,73.06,71.55,71.94,11037500
2015-10-01,71.76,72.18,71.395,71.95,8541398
2015-10-02,71.36,72.42,71.29,72.42,9078922
2015-10-05,72.97,73.43,72.5,73.22,9183371
2015-10-06,73.34,73.775,72.59,73.4,8830856
2015-10-07,73.72,73.87,73.323,73.72,8025562
2015-10-08,73.68,74.44,73.49,74.4,6851171
2015-10-09,74.59,74.91,74.32,74.48,6875466
2015-10-12,74.69,74.76,73.91,74.33,6249472
2015-10-13,74.24,74.28,73.66,74.11,8376674
2015-10-14,74.21,74.61,73.9,74.21,8478970
2015-10-15,74.64,74.84,74.03,74.27,8600065
2015-10-16,74.72,75.04,74.34,74.9,8968190
2015-10-19,74.65,75.19,74.53,75.16,7287288
2015-10-20,74.87,75.05,74.164,74.43,8529907
2015-10-21,73.75,74.54,73.5,73.59,8320070
2015-10-22,73.86,75.61,73.61,74.85,13985620
2015-10-23,76.76,78.45,76.31,77.03,16443240
2015-10-26,77.0,77.9,77.0,77.49,11454270
2015-10-27,77.12,77.36,76.805,77.29,9423215
2015-10-28,77.39,77.54,75.69,76.51,10161940
2015-10-29,76.75,77.19,76.24,77.02,8230730
2015-10-30,76.98,77.14,76.38,76.38,9539662
2015-11-02,76.57,76.77,76.05,76.6,7139186
2015-11-03,76.3,77.42,75.96,77.05,8013181
2015-11-04,77.03,77.14,76.509,77.06,6376014
2015-11-05,77.09,77.26,75.96,76.39,6854151
2015-11-06,75.88,76.0,74.695,75.57,9479152
2015-11-09,75.19,75.63,74.93,75.4,8607149
