Date,Open,High,Low,Close,Volume
2015-06-22,20.07,20.33,20.07,20.25,5536444
2015-06-23,20.32,20.6,20.17,20.31,5974031
2015-06-24,20.75,21.01,20.5,20.54,6341898
2015-06-25,20.6,20.81,20.42,20.42,4084337
2015-06-26,20.49,20.52,20.26,20.48,4449439
2015-06-29,20.29,20.51,20.05,20.08,3826348
2015-06-30,20.2,20.39,20.09,20.15,4948938
2015-07-01,20.31,20.46,20.14,20.43,5687636
2015-07-02,20.5,20.78,20.29,20.55,8672660
2015-07-06,20.37,20.91,20.32,20.57,5720001
2015-07-07,20.54,20.93,20.475,20.91,8037915
2015-07-08,20.75,20.91,20.35,20.45,4881652
2015-07-09,20.66,20.77,20.31,20.32,5905526
2015-07-10,20.5,20.775,20.46,20.69,2986494
2015-07-13,20.81,20.88,20.64,20.75,3109073
2015-07-14,20.81,20.94,20.73,20.89,2421475
2015-07-15,20.89,20.9,20.3869,20.49,4233471
2015-07-16,20.61,20.68,20.305,20.49,4027652
2015-07-17,20.55,20.57,19.9833,20.09,7770607
2015-07-20,20.12,20.135,19.695,19.73,6092869
2015-07-21,19.75,20.0,19.61,19.68,5305221
2015-07-22,19.67,20.23,19.66,20.16,6884193
2015-07-23,20.22,20.62,19.84,20.18,9921714
2015-07-24,20.25,20.25,19.37,19.49,8624031
2015-07-27,19.36,19.65,19.28,19.5,6646268
2015-07-28,19.56,19.91,19.38,19.69,6792246
2015-07-29,19.68,20.18,19.62,20.11,4287471
2015-07-30,19.98,20.45,19.91,20.4,3951585
2015-07-31,20.46,20.85,20.27,20.72,6874967
2015-08-03,20.66,20.78,20.54,20.71,5110743
2015-08-04,20.69,20.74,20.21,20.33,4060381
2015-08-05,20.41,20.46,19.87,19.96,3936865
2015-08-06,20.06,20.06,19.67,19.78,4282264
2015-08-07,19.72,19.86,19.62,19.74,3227884
2015-08-10,19.86,20.22,19.84,20.12,2824656
2015-08-11,20.1,20.58,19.95,20.55,5012332
2015-08-12,20.53,20.91,20.32,20.86,7955900
2015-08-13,20.84,21.545,20.84,21.34,8931719
