Date,Open,High,Low,Close,Volume
2015-06-22,118.97,119.44,118.66,119.13,640572
2015-06-23,119.01,119.491,118.37,118.84,940798
2015-06-24,118.67,119.68,118.54,119.54,968353
2015-06-25,119.44,119.64,118.05,118.24,990941
2015-06-26,118.23,118.38,117.64,118.17,914305
2015-06-29,116.62,117.19,115.6475,115.68,2024261
2015-06-30,116.94,117.62,116.09,116.33,1396125
2015-07-01,117.07,117.3199,116.49,117.15,1104021
2015-07-02,117.56,117.98,115.87,116.31,866374
2015-07-06,115.29,116.515,114.77,115.31,723412
2015-07-07,115.02,115.99,113.37,115.65,1527675
2015-07-08,114.88,115.2,112.21,112.75,1648026
2015-07-09,114.51,114.51,112.95,113.01,1071801
2015-07-10,113.76,114.0,112.15,113.24,1190235
2015-07-13,113.82,114.45,113.6,113.89,1424049
2015-07-14,113.64,114.89,113.04,114.62,1058952
2015-07-15,114.41,114.52,112.72,113.04,892343
2015-07-16,113.44,114.6,113.44,114.09,694393
2015-07-17,114.09,114.42,112.89,113.2,644575
2015-07-20,113.16,113.82,112.67,113.6,543931
2015-07-21,113.09,113.1,111.79,112.07,1689996
2015-07-22,111.81,112.34,111.32,111.5,968947
2015-07-23,111.32,112.5,110.7,110.92,1101976
2015-07-24,110.97,110.97,109.65,110.03,1119185
2015-07-27,109.17,109.64,108.77,109.16,990107
2015-07-28,109.67,110.04,109.33,109.75,1919417
2015-07-29,109.75,112.07,109.34,111.73,1650960
2015-07-30,111.3,112.81,110.93,112.58,1075586
2015-07-31,113.17,113.48,112.56,112.75,1565497
2015-08-03,112.75,112.83,111.27,112.41,1988249
2015-08-04,111.2,112.85,107.52,107.9,8461934
2015-08-05,108.17,112.08,108.17,110.8,5107396
2015-08-06,110.93,112.25,110.39,111.02,3114951
2015-08-07,111.02,112.4,110.62,111.2,1846743
2015-08-10,112.26,114.99,112.15,114.79,2245189
2015-08-11,113.63,113.78,112.3001,112.59,1918835
2015-08-12,111.67,113.67,110.87,113.23,1902192
2015-08-13,112.83,113.95,112.02,113.28,1274030
2015-08-14,113.38,114.73,113.06,113.67,1007203
2015-08-17,113.0,113.07,111.52,112.61,1210225
2015-08-18,112.64,113.39,112.11,112.75,949086
2015-08-19,112.11,112.16,110.61,111.3,976020
2015-08-20,110.3,111.07,108.11,108.16,1633339
2015-08-21,107.05,108.42,105.93,106.01,2438681
2015-08-24,100.97,106.46,99.74,102.65,2692925
2015-08-25,105.28,108.2,100.38,100.42,2654173
2015-08-26,100.97,103.13,100.31,103.08,3185054
2015-08-27,104.43,107.2299,103.65,107.21,2300244
2015-08-28,106.64,108.03,106.07,106.98,1678813
2015-08-31,106.58,108.35,105.89,107.66,1525758
2015-09-01,105.14,106.96,105.0,105.68,2769647
2015-09-02,107.11,107.11,105.195,106.56,1751727
2015-09-03,106.37,107.41,105.02,105.28,1829855
2015-09-04,103.71,104.45,103.12,103.8,1053807
2015-09-08,105.88,107.125,105.27,107.01,973604
2015-09-09,108.05,108.14,105.25,105.47,1082630
2015-09-10,105.28,106.02,104.49,105.15,894071
2015-09-11,104.87,106.35,104.56,106.25,1146648
2015-09-14,105.98,105.98,104.39,104.94,1116928
2015-09-15,105.32,108.43,105.09,108.17,1452897
2015-09-16,108.01,109.09,107.585,108.85,1303559
2015-09-17,108.67,109.01,106.32,106.68,1436590
2015-09-18,105.14,105.14,101.7,101.94,2646202
2015-09-21,102.44,103.39,101.84,102.48,1331433
2015-09-22,101.09,102.22,100.43,101.72,1716479
2015-09-23,101.98,102.31,100.49,100.59,1806032
2015-09-24,98.69,98.71,94.93,97.91,2514342
2015-09-25,98.75,98.77,96.41,96.72,1696066
2015-09-28,95.87,96.4,94.78,94.87,1363340
2015-09-29,95.33,97.24,94.64,96.5,1499233
2015-09-30,97.85,98.21,95.1,97.3,1525679
2015-10-01,96.95,98.56,95.23,96.05,1508270
2015-10-02,94.65,98.15,93.47,98.14,1612042
2015-10-05,98.2,102.46,98.2,102.13,1587141
2015-10-06,101.94,103.61,101.48,102.48,1063515
2015-10-07,103.29,106.36,102.5,104.04,1424521
2015-10-08,103.56,107.86,103.4,106.81,1500292
2015-10-09,107.7,107.794,105.79,105.86,1449007
2015-10-12,106.1,106.53,105.58,106.33,1044482
2015-10-13,105.6,105.86,103.29,103.56,1683808
2015-10-14,103.22,103.92,101.21,102.3,1450750
2015-10-15,102.64,102.64,99.9,102.37,1675731
2015-10-16,102.04,102.1,99.61,100.62,1635302
2015-10-19,100.19,100.37,99.3201,100.05,1087747
2015-10-20,99.39,102.85,98.37,102.14,2356183
2015-10-21,102.5,104.63,101.45,101.75,1989080
2015-10-22,97.42,102.52,97.42,100.77,5011154
2015-10-23,101.51,103.14,101.11,103.07,2891438
2015-10-26,102.81,103.34,101.13,101.79,1546564
2015-10-27,100.53,101.58,99.1,101.49,1441126
2015-10-28,101.93,104.0,99.38,102.98,1332112
2015-10-29,102.64,104.61,102.33,104.51,1397346
2015-10-30,104.74,105.62,104.16,104.7,1220289
2015-11-02,104.59,107.18,104.11,106.8,1198357
2015-11-03,106.44,107.83,105.81,107.13,1118899
2015-11-04,107.3,108.0,105.63,105.8,1443023
2015-11-05,105.68,106.5,104.08,106.19,1068026
2015-11-06,105.04,105.63,103.41,104.87,1171075
2015-11-09,104.62,105.162,102.25,102.6,1273747
2015-11-10,102.33,103.01,101.255,102.2,1003050
2015-11-11,102.7,102.84,101.705,102.57,1102144
2015-11-12,101.35,101.91,99.15,99.31,1776375
2015-11-13,99.31,100.98,98.64,99.85,1406669
2015-11-16,99.83,101.98,99.51,101.9,710753
2015-11-17,101.95,102.59,100.8,100.87,916167
2015-11-18,101.5,102.68,101.26,102.55,888416
2015-11-19,102.51,104.03,101.99,103.71,940495
2015-11-20,104.26,105.24,103.49,103.73,988158
2015-11-23,103.54,104.63,102.95,103.28,1006749
2015-11-24,102.76,104.03,102.565,103.59,946958
2015-11-25,103.78,104.18,103.41,103.75,684985
2015-11-27,103.57,104.41,103.29,103.7,313929
2015-11-30,104.28,105.8,104.0,104.66,1017369
2015-12-01,104.78,105.23,102.68,103.5,1373391
2015-12-02,103.5,103.67,101.71,101.95,1057450
2015-12-03,102.36,102.82,100.26,101.31,1636663
2015-12-04,101.38,102.81,100.96,102.44,1670467
2015-12-07,101.72,102.17,99.91,100.23,1126322
2015-12-08,99.04,99.35,97.52,97.75,1404534
2015-12-09,96.89,99.055,96.89,97.68,991380
2015-12-10,97.58,98.902,97.5,98.0,1104688
2015-12-11,96.51,96.72,95.43,95.56,1446477
2015-12-14,95.6,96.37,94.34,95.49,1228611
2015-12-15,94.92,95.79,93.55,95.69,2100313
2015-12-16,96.1,98.88,95.41,98.72,1713562
2015-12-17,98.63,98.63,95.16,95.19,1522083
2015-12-18,94.57,95.74,93.62,93.62,1934565
2015-12-21,94.42,94.92,93.625,94.18,1056063
2015-12-22,94.63,96.98,94.43,96.49,977640
2015-12-23,97.45,100.06,97.37,99.48,1062473
2015-12-24,99.22,100.12,99.09,99.85,522751
2015-12-28,99.48,100.05,98.33,98.63,659944
2015-12-29,99.28,99.84,98.48,99.52,666626
2015-12-30,99.21,99.73,98.24,98.34,637699
2015-12-31,97.76,98.4,96.98,96.98,932248
2016-01-04,95.2,96.8128,94.29,96.66,1441662
2016-01-05,97.27,97.29,94.65,95.06,1318748
2016-01-06,93.71,94.62,92.98,93.8,1355557
2016-01-07,92.21,93.47,91.61,92.21,1192073
2016-01-08,92.92,93.44,90.33,90.55,1595187
2016-01-11,91.03,91.27,89.43,90.37,1322992
2016-01-12,91.31,91.6057,88.86,90.51,1230541
2016-01-13,90.98,91.6,89.51,89.72,1433709
2016-01-14,89.89,92.43,88.3301,90.65,2077219
2016-01-15,87.99,89.11,87.39,87.99,2451512
2016-01-19,89.43,89.5,87.15,87.87,1282634
2016-01-20,86.41,87.69,83.32,86.51,2574511
2016-01-21,86.66,89.61,85.9,87.95,1281030
2016-01-22,89.63,91.54,88.69,89.82,1547659
2016-01-25,88.85,89.93,87.82,88.12,1951822
2016-01-26,93.39,94.8,88.08,91.77,5208657
2016-01-27,91.5,93.395,90.23,91.69,1656756
2016-01-28,92.67,94.54,92.64,94.08,1933908
2016-01-29,94.57,97.16,94.37,97.16,2204303
2016-02-01,96.05,96.96,95.02,96.37,1735058
2016-02-02,95.39,95.85,94.16,95.33,2095862
2016-02-03,96.42,97.9,93.46,97.73,2831688
2016-02-04,97.69,102.77,97.57,101.13,2952124
2016-02-05,100.92,102.49,99.9,101.51,2304879
2016-02-08,100.09,101.39,99.11,101.09,1905708
2016-02-09,99.85,100.8,98.83,99.73,1601595
2016-02-10,99.62,99.62,95.68,96.07,2360169
2016-02-11,94.54,97.28,94.44,96.89,2020641
2016-02-12,97.89,98.94,96.85,97.25,3171658
2016-02-16,98.97,99.87,97.61,99.65,1135262
2016-02-17,100.39,102.62,100.39,101.03,1190746
2016-02-18,101.12,102.23,100.22,100.76,1279776
2016-02-19,100.18,100.54,98.46,99.89,1372917
2016-02-22,101.3,102.87,100.71,102.77,1335041
2016-02-23,102.25,103.63,100.71,100.77,1046999
2016-02-24,99.35,101.3,98.47,101.17,981889
2016-02-25,101.69,101.95,100.01,101.63,654562
2016-02-26,102.37,103.09,101.25,102.21,987515
2016-02-29,102.46,102.72,101.1475,101.2,1278528
2016-03-01,103.18,105.41,102.09,104.57,1798120
2016-03-02,104.16,105.93,103.83,105.76,1936064
2016-03-03,105.5,107.11,105.41,106.68,1319571
2016-03-04,106.41,107.67,105.345,106.36,1220610
2016-03-07,106.0,109.07,106.0,108.36,1102829
2016-03-08,107.09,107.895,105.77,106.52,1059649
2016-03-09,106.95,107.7396,106.12,107.23,714713
2016-03-10,106.75,107.81,105.18,106.67,1148930
2016-03-11,108.02,108.95,107.905,108.4,756069
2016-03-14,108.07,108.88,107.77,108.46,656923
2016-03-15,107.24,108.53,106.37,108.23,928808
2016-03-16,108.07,110.54,107.925,109.94,1181831
2016-03-17,110.1,112.91,109.795,112.52,1478134
2016-03-18,112.92,113.51,111.81,112.38,1382615
2016-03-21,112.38,113.16,111.73,112.32,981479
2016-03-22,111.6,112.78,111.35,112.08,1048861
2016-03-23,111.43,111.82,110.49,110.62,996022
2016-03-24,109.58,110.97,109.02,110.95,1157697
2016-03-28,108.94,110.79,108.94,110.3,1206544
2016-03-29,109.67,111.27,109.3901,111.11,709697
2016-03-30,111.82,112.295,110.3,110.99,949053
2016-03-31,111.22,111.66,110.43,111.08,1091094
2016-04-01,109.59,112.05,108.77,111.82,898503
2016-04-04,111.89,111.89,109.61,109.78,1044101
2016-04-05,108.695,109.7,108.01,108.85,1153000
2016-04-06,108.63,109.6,107.39,109.49,806465
2016-04-07,108.97,109.79,108.22,109.03,995374
2016-04-08,109.56,111.99,109.38,109.91,903646
2016-04-11,110.28,111.67,109.94,110.49,932429
2016-04-12,110.82,112.445,110.57,111.53,1671785
2016-04-13,112.56,112.95,111.96,112.21,2791720
2016-04-14,112.0,112.58,111.7,112.27,2681240
2016-04-15,112.05,114.4,110.36,113.72,1918845
2016-04-18,113.1,114.08,112.45,113.38,576159
2016-04-19,114.03,114.97,113.73,114.05,529881
2016-04-20,114.08,114.37,112.93,113.49,839334
2016-04-21,113.73,114.02,112.74,112.85,876721
2016-04-22,113.3,114.55,113.26,114.01,820588
2016-04-25,113.97,114.74,112.885,113.41,1506784
2016-04-26,113.62,115.06,112.17,114.36,2173998
2016-04-27,115.0,117.24,114.93,116.92,2265587
2016-04-28,116.02,117.22,115.15,115.44,1134468
2016-04-29,115.58,116.595,115.05,116.02,1041752
2016-05-02,116.15,116.23,114.27,115.5,1374118
2016-05-03,114.68,114.8667,113.15,113.68,823984
2016-05-04,112.74,113.07,110.2,111.1,1402001
2016-05-05,111.88,112.78,111.64,111.95,1179772
2016-05-06,111.12,112.59,110.99,112.59,735544
2016-05-09,112.19,112.44,110.33,111.05,814275
2016-05-10,111.44,113.64,111.06,113.32,998465
2016-05-11,113.16,113.98,112.5,112.86,753883
2016-05-12,113.4,113.83,111.7,112.54,1012211
2016-05-13,112.36,113.06,109.3884,109.77,1107400
2016-05-16,110.34,112.83,110.34,112.25,1220079
2016-05-17,112.28,113.13,111.44,111.91,978091
2016-05-18,111.33,112.15,110.0,110.48,929732
2016-05-19,109.88,110.035,107.72,109.0,1150146
2016-05-20,109.69,110.3,109.02,109.47,1017679
2016-05-23,109.26,109.88,108.28,109.6,1019873
2016-05-24,109.9,111.23,109.49,110.8,893141
2016-05-25,111.47,113.25,110.9108,112.96,920492
2016-05-26,113.45,114.5,112.92,113.64,1074783
2016-05-27,113.43,114.3595,113.34,113.98,1047487
2016-05-31,114.47,115.27,113.71,114.84,1453715
2016-06-01,113.98,115.53,112.91,115.4,1075964
2016-06-02,115.12,115.9,113.16,115.88,757465
2016-06-03,115.98,116.12,115.17,116.0,661901
2016-06-06,116.37,117.0,115.98,116.26,976752
2016-06-07,116.6,117.41,116.03,116.12,811649
