Date,Open,High,Low,Close,Volume
2015-06-22,82.92,83.66,82.8202,83.13,4051110
2015-06-23,82.23,82.3,81.01,81.36,2994454
2015-06-24,81.23,81.76,80.81,80.81,5134161
2015-06-25,81.14,81.71,80.89,81.3,4143040
2015-06-26,81.32,81.68,81.08,81.35,4584025
2015-06-29,80.94,81.33,80.09,80.12,3367989
2015-06-30,80.72,80.94,80.0,80.17,4303648
2015-07-01,80.36,81.34,80.1,81.3,4034107
2015-07-02,81.37,81.74,80.95,81.17,2977584
2015-07-06,80.86,81.46,80.72,81.2,2534548
2015-07-07,81.33,82.54,80.98,82.44,5409374
2015-07-08,82.01,82.45,81.5,81.57,3101302
2015-07-09,82.42,82.65,81.21,81.24,3129298
2015-07-10,82.01,82.82,81.98,82.16,3548186
2015-07-13,82.42,82.67,82.015,82.38,3234148
2015-07-14,82.4,82.77,82.26,82.68,2326287
2015-07-15,82.44,82.89,82.01,82.67,3490686
2015-07-16,83.38,86.3,83.36,85.29,7840536
2015-07-17,85.02,86.0,84.83,85.83,5817285
2015-07-20,85.95,86.03,85.47,85.61,3265473
2015-07-21,85.48,85.8,85.28,85.54,3085686
2015-07-22,85.63,85.92,85.06,85.52,3225444
2015-07-23,85.44,85.58,85.01,85.43,2243770
2015-07-24,85.2,85.22,84.27,84.65,3027751
2015-07-27,84.44,85.9,84.44,85.53,4481518
2015-07-28,85.63,86.505,85.43,85.6,5669482
2015-07-29,85.66,86.13,85.29,85.45,2776316
2015-07-30,85.27,85.75,85.1,85.39,2743156
2015-07-31,85.88,86.0,85.4,85.53,2965148
2015-08-03,85.5,85.91,85.0701,85.66,2617778
2015-08-04,85.66,86.01,85.46,85.83,2361619
2015-08-05,86.0,86.31,85.73,85.89,2738291
2015-08-06,86.0,86.07,85.585,85.76,2198860
2015-08-07,85.62,85.77,84.77,85.09,2409477
2015-08-10,85.57,86.34,85.56,85.87,2470805
2015-08-11,85.14,85.53,84.66,85.47,3549529
2015-08-12,85.16,85.64,84.17,85.64,2735961
2015-08-13,85.55,85.59,84.25,84.66,4389361
2015-08-14,84.61,84.7,83.88,84.26,3134280
2015-08-17,83.92,84.35,83.47,84.3,3108147
2015-08-18,84.3,84.365,83.88,84.02,2307583
2015-08-19,83.63,84.55,83.21,83.74,3322524
2015-08-20,83.06,84.595,83.01,83.08,4163266
2015-08-21,82.74,83.12,80.98,80.98,7073151
2015-08-24,78.14,79.71,76.54,78.34,11361150
2015-08-25,79.96,80.05,77.35,77.39,6333077
2015-08-26,78.75,79.83,77.36,79.75,5813704
2015-08-27,80.33,80.88,79.13,80.78,4173160
2015-08-28,80.16,80.59,79.84,80.35,3515604
2015-08-31,79.87,80.11,78.9,79.8,4211644
2015-09-01,78.21,78.72,77.3,77.78,5101641
2015-09-02,78.49,78.73,77.84,78.7,3593942
2015-09-03,79.16,79.81,78.7459,79.45,3359560
2015-09-04,78.36,78.52,77.0,77.29,5233698
2015-09-08,78.81,79.79,78.13,79.76,4779674
2015-09-09,80.06,80.24,78.09,78.27,4059096
2015-09-10,78.0,79.4,78.0,78.87,3871615
2015-09-11,78.93,79.52,78.4,79.47,5234302
2015-09-14,79.68,79.79,78.88,79.35,3624416
2015-09-15,79.52,80.8812,79.01,80.81,4025566
2015-09-16,80.95,82.49,80.86,82.1,5925198
2015-09-17,82.34,83.05,81.5,82.08,4563375
2015-09-18,81.29,82.155,80.77,81.22,8262390
2015-09-21,81.69,82.46,81.58,82.12,3631408
2015-09-22,81.11,81.53,80.425,80.77,3601152
