Date,Open,High,Low,Close,Volume
2015-06-22,97.99,98.51,97.74,98.21,1990992
2015-06-23,98.95,99.24,98.57,99.0,1584131
2015-06-24,98.53,99.25,97.83,97.89,2545835
2015-06-25,98.41,98.48,97.21,97.4,2250308
2015-06-26,97.86,98.2543,97.44,97.62,2239995
2015-06-29,96.43,97.14,95.56,95.66,2026448
2015-06-30,96.77,97.24,95.4,95.65,2333095
2015-07-01,96.89,97.6,96.56,97.05,1869990
2015-07-02,96.85,97.29,95.97,96.47,1752086
2015-07-06,95.14,96.44,95.05,96.18,1731564
2015-07-07,95.89,96.2399,94.14,95.7,2328178
2015-07-08,94.94,95.34,94.09,94.14,2307532
2015-07-09,95.51,95.69,94.6,94.9,2896029
2015-07-10,96.26,96.83,95.585,96.3,3141473
2015-07-13,96.6,97.17,96.47,96.93,2627279
2015-07-14,96.31,97.59,95.9,97.5,3002697
2015-07-15,96.27,98.65,95.5,98.32,3974245
2015-07-16,99.36,99.84,98.94,99.22,2342870
2015-07-17,98.66,99.11,98.1,98.81,1746885
2015-07-20,99.11,99.9,98.8,99.53,2134119
2015-07-21,99.62,100.24,98.9,99.2,1601149
2015-07-22,99.27,100.25,99.01,99.79,1976970
2015-07-23,99.8,100.52,98.86,99.02,2407139
2015-07-24,98.82,99.34,98.235,98.34,1507863
2015-07-27,97.64,98.09,97.19,97.51,1680586
2015-07-28,98.39,98.64,97.12,98.14,1771265
2015-07-29,98.34,98.83,97.83,98.55,1689655
2015-07-30,98.29,98.94,98.16,98.67,1521222
2015-07-31,98.74,98.78,97.72,98.18,1480922
2015-08-03,98.23,98.52,97.07,97.82,1570104
2015-08-04,97.96,98.98,97.82,97.92,1416961
2015-08-05,98.72,99.56,98.26,98.58,1175873
2015-08-06,98.8,99.21,98.11,98.54,1563859
2015-08-07,98.37,99.2,97.2,97.8,1554474
2015-08-10,98.49,99.91,98.47,99.86,1919264
2015-08-11,98.4,99.03,97.48,97.92,2491892
2015-08-12,96.94,97.21,94.78,96.07,2601095
2015-08-13,94.46,96.6802,93.71,96.4,1682750
2015-08-14,96.38,97.66,96.17,97.59,1498320
2015-08-17,96.92,98.54,96.84,98.05,2048510
2015-08-18,97.95,99.28,97.95,99.0,2716983
2015-08-19,98.44,98.91,97.44,97.97,2661722
2015-08-20,96.9,97.11,95.06,95.08,3237102
2015-08-21,94.18,94.94,92.22,92.28,3663237
2015-08-24,87.7,90.3899,82.77,88.83,4890531
2015-08-25,91.54,91.64,85.8,85.85,3342435
2015-08-26,87.83,89.08,86.1,89.03,4141918
2015-08-27,90.06,91.39,89.63,91.33,3022264
2015-08-28,90.94,91.67,90.54,91.23,2330550
2015-08-31,90.74,91.47,90.47,91.12,2071718
2015-09-01,89.15,89.72,86.58,87.19,3271216
2015-09-02,89.0,89.29,87.71,88.94,2566619
2015-09-03,89.39,90.59,89.01,89.55,2318429
2015-09-04,88.51,88.98,87.06,87.66,3095903
2015-09-08,89.53,91.03,89.23,90.98,2836121
