Date,Open,High,Low,Close,Volume
2015-06-22,41.5771,41.8124,41.3284,41.772,1187650
2015-06-23,41.7586,42.256,41.6779,42.2224,843299
2015-06-24,42.1148,43.002,42.0274,42.881,2187633
2015-06-25,42.834,43.0289,42.461,42.8004,3015314
2015-06-26,42.8676,42.9886,42.6189,42.8474,1743309
2015-06-29,42.424,43.412,42.3501,43.3045,3966626
2015-06-30,45.4687,46.618,45.0385,46.208,6778628
2015-07-01,46.3895,46.8129,45.9257,46.1811,2154572
2015-07-02,46.3693,46.4298,45.4956,45.6636,1401652
2015-07-06,45.1326,45.5561,44.2253,44.3933,2182800
2015-07-07,44.3933,44.7159,43.5565,44.6689,1733818
2015-07-08,44.3328,44.5143,43.654,43.8018,782475
2015-07-09,44.3261,44.4881,43.3683,43.3851,1030721
2015-07-10,43.8354,43.9295,42.9348,42.9482,1512024
2015-07-13,43.412,43.8556,42.9819,43.8018,937651
2015-07-14,43.8018,44.111,43.7481,43.8892,644741
2015-07-15,43.7615,44.0102,42.6323,42.8138,1974870
2015-07-16,43.2238,43.4322,42.8878,43.2709,965964
2015-07-17,43.1364,43.2776,42.6122,42.9012,1103118
2015-07-20,42.8609,43.2305,42.545,43.0692,1848643
2015-07-21,41.6712,42.014,40.8244,41.4024,2921117
2015-07-22,40.6832,41.3284,40.6832,41.073,1779528
2015-07-23,41.026,41.7115,40.8956,41.5838,1480355
2015-07-24,41.5032,41.5771,40.6765,40.8916,1487176
2015-07-27,40.5488,40.5488,39.1642,39.4868,2979319
2015-07-28,39.7154,39.9909,39.3659,39.9573,1180682
2015-07-29,39.9909,40.9789,39.917,40.8647,919990
2015-07-30,40.8176,40.905,40.4412,40.8244,794189
2015-07-31,41.0327,41.1268,40.6227,40.8714,1331786
2015-08-03,40.7706,40.8983,40.2195,40.4681,720854
2015-08-04,40.663,40.7908,40.206,40.2732,866162
2015-08-05,40.8109,41.3822,40.5891,40.905,736191
2015-08-06,40.9655,41.1739,40.6362,40.9789,827715
2015-08-07,40.9655,41.3957,40.8848,41.0932,797340
2015-08-10,41.4763,41.9703,41.2848,41.9199,657766
2015-08-11,41.3889,41.5838,40.8848,41.0663,565835
2015-08-12,40.7504,41.315,40.4144,41.194,520435
2015-08-13,41.0125,41.7502,40.8445,41.1335,371893
2015-08-14,41.1134,41.483,40.9857,41.4494,409377
2015-08-17,42.1955,42.6525,41.0663,42.0745,2090346
2015-08-18,41.8258,42.1266,41.4629,41.8527,820804
2015-08-19,41.5704,41.6511,40.4749,40.8378,821739
2015-08-20,40.5421,40.6227,39.5742,39.5877,900857
2015-08-21,39.2919,39.4465,38.3174,38.3308,1210618
2015-08-24,35.5012,37.9006,35.1786,36.7312,1721493
2015-08-25,37.5175,37.5444,35.5953,35.6155,1530875
