Date,Open,High,Low,Close,Volume
2015-06-22,118.0,118.64,117.76,118.17,901041
2015-06-23,118.48,118.69,117.76,118.29,1174896
2015-06-24,118.28,118.49,117.9,117.97,1918339
2015-06-25,118.1,118.56,117.7,117.74,1207833
2015-06-26,118.14,118.23,117.6,118.01,751278
2015-06-29,117.14,117.31,114.88,114.98,996831
2015-06-30,115.69,116.0,114.4,114.72,1115313
2015-07-01,115.78,116.555,115.23,116.5,1256405
2015-07-02,117.15,117.32,115.24,115.91,943202
2015-07-06,114.81,115.98,114.21,115.1,1425884
2015-07-07,115.33,115.33,113.36,115.06,1641163
2015-07-08,113.91,114.485,113.02,113.1,1537031
2015-07-09,114.66,114.85,112.63,112.64,1718949
2015-07-10,114.12,115.03,113.54,114.9,1364125
2015-07-13,116.19,116.61,115.96,116.53,1474669
2015-07-14,116.5,117.89,116.46,117.61,1185055
2015-07-15,117.32,117.99,116.79,116.98,1510758
2015-07-16,117.09,118.27,111.535,111.82,5355989
2015-07-17,112.46,113.54,111.66,111.8,3351851
2015-07-20,111.95,112.0,110.62,110.85,2146926
2015-07-21,111.12,111.55,107.86,108.21,3796705
2015-07-22,108.12,108.81,107.29,108.09,2440856
2015-07-23,108.1,108.19,105.1,105.63,3033240
2015-07-24,105.54,105.6,102.19,103.25,3112136
2015-07-27,102.69,103.21,101.61,102.39,2766020
2015-07-28,103.01,107.19,102.64,106.92,3080811
2015-07-29,107.08,108.99,106.84,108.57,2653502
2015-07-30,108.5,108.76,107.57,108.52,1233621
2015-07-31,109.0,109.37,108.18,108.38,1362379
2015-08-03,107.31,108.71,107.07,107.87,1535424
2015-08-04,108.0,108.46,106.2,106.54,1598189
2015-08-05,107.69,108.09,106.2601,106.59,1207686
2015-08-06,106.24,106.54,104.905,105.21,1507655
2015-08-07,104.86,105.145,103.74,103.92,1589253
2015-08-10,104.72,106.61,104.4,106.61,1196626
2015-08-11,105.36,105.41,103.8,104.41,1477890
2015-08-12,103.64,104.21,102.25,104.03,3566590
2015-08-13,104.26,104.4,103.46,103.52,1230526
2015-08-14,103.64,104.8,103.39,104.7,1344721
2015-08-17,104.21,105.09,103.85,104.26,1578113
2015-08-18,104.42,105.71,104.36,104.57,2426648
2015-08-19,103.78,104.09,102.15,102.5,2174826
2015-08-20,101.91,102.4,99.87,99.87,2302416
2015-08-21,98.56,99.31,97.12,97.21,2542954
2015-08-24,92.03,95.95,91.0,92.26,3714635
2015-08-25,94.87,94.87,91.02,91.05,2960637
2015-08-26,92.68,93.22,91.0,93.1,3991735
2015-08-27,94.67,95.85,93.27,95.19,4585858
2015-08-28,94.85,96.377,94.85,96.11,1710015
2015-08-31,95.56,96.66,94.76,95.29,1714133
2015-09-01,93.27,93.63,90.81,91.35,2433813
2015-09-02,92.85,93.53,91.62,93.53,2498278
2015-09-03,94.06,94.89,93.56,93.98,1472064
2015-09-04,92.67,93.84,92.29,93.31,2149396
2015-09-08,94.94,96.41,94.52,96.4,1709644
2015-09-09,97.36,97.88,95.97,96.1,2925368
2015-09-10,96.09,97.39,95.57,96.64,2111007
2015-09-11,96.3,96.78,95.42,96.72,1472635
2015-09-14,96.31,96.77,93.74,94.16,2396978
2015-09-15,94.16,95.33,93.67,94.28,2385582
2015-09-16,94.42,95.36,94.32,95.07,1827604
2015-09-17,95.07,96.04,94.11,94.46,2159113
2015-09-18,93.11,93.99,92.73,93.19,2220822
2015-09-21,93.55,94.33,93.02,93.45,1186519
2015-09-22,92.23,92.57,90.54,91.62,1904974
2015-09-23,91.75,92.169,89.8,89.94,1699186
2015-09-24,89.05,89.46,87.19,88.11,3718159
2015-09-25,88.66,89.23,87.63,88.34,1507090
2015-09-28,87.5,87.83,84.4,84.51,2322877
2015-09-29,84.69,86.32,84.5,85.95,2483655
2015-09-30,87.09,88.22,86.95,87.69,2928176
