Date,Open,High,Low,Close,Volume
2015-06-22,90.07,91.07,89.95,90.98,2634684
2015-06-23,91.74,91.82,90.8127,91.47,2505630
2015-06-24,91.3,91.66,90.6,90.7,2038785
2015-06-25,91.08,91.35,89.7,89.73,1672636
2015-06-26,90.21,90.93,89.73,90.72,2129602
2015-06-29,89.37,89.77,87.2,87.29,3196399
2015-06-30,88.29,89.07,86.85,87.52,5092821
2015-07-01,88.79,89.63,88.5868,88.98,2495198
2015-07-02,88.81,89.06,87.8,88.17,1448099
2015-07-06,86.92,88.16,86.57,87.51,2074222
2015-07-07,87.5,87.58,84.12,87.0,3424065
2015-07-08,85.95,86.24,84.66,84.86,2531604
2015-07-09,86.48,87.03,85.55,85.72,2205929
2015-07-10,86.97,87.66,86.62,87.36,1740659
2015-07-13,88.16,89.03,88.16,88.61,2468615
2015-07-14,88.39,89.28,88.01,88.75,2007556
2015-07-15,88.8,89.0,88.19,88.68,3343832
2015-07-16,89.26,89.82,89.0475,89.53,1927213
2015-07-17,89.35,89.4,88.25,88.76,1573533
2015-07-20,89.07,89.39,88.4,88.65,1218143
2015-07-21,88.75,89.52,88.22,88.71,1363925
2015-07-22,88.7,89.0,88.27,88.75,1396320
2015-07-23,88.74,89.36,87.96,88.37,1757866
2015-07-24,88.27,89.0854,87.52,87.85,2294097
2015-07-27,87.0,87.21,86.0,87.03,1670876
2015-07-28,87.85,88.33,87.03,88.0,1660704
2015-07-29,88.02,89.94,87.91,89.56,2262208
2015-07-30,89.11,89.81,88.54,89.67,1904042
2015-07-31,89.39,89.71,88.1127,88.36,1913782
2015-08-03,88.54,89.39,88.26,89.14,2047441
2015-08-04,88.96,89.96,88.96,89.84,2264047
2015-08-05,90.04,91.27,89.75,89.86,2653310
2015-08-06,91.35,92.599,90.345,90.66,3631116
2015-08-07,90.63,91.25,88.91,89.41,2427111
2015-08-10,90.61,91.92,90.53,91.68,2062754
2015-08-11,90.21,90.69,89.02,89.45,2369097
2015-08-12,88.54,88.6,86.23,88.48,2720656
2015-08-13,88.77,89.6,88.42,89.27,1588825
2015-08-14,89.43,90.11,89.01,90.1,1955604
2015-08-17,89.25,89.77,88.56,89.31,1382748
2015-08-18,89.38,89.67,88.94,89.13,929126
2015-08-19,88.5,88.63,87.081,87.7,1981109
2015-08-20,86.88,86.9499,84.88,84.89,2952367
2015-08-21,83.75,83.92,80.71,80.77,3919735
2015-08-24,76.0,79.58,74.65,75.91,6497708
2015-08-25,78.75,78.94,74.05,74.22,5985648
2015-08-26,77.25,77.645,74.89,77.46,5314589
2015-08-27,78.92,81.42,78.75,81.12,4288059
2015-08-28,80.2,81.59,79.86,81.2,2825740
2015-08-31,80.23,81.03,79.85,80.7,2208882
2015-09-01,78.18,78.8,76.59,77.12,2991024
2015-09-02,78.84,78.96,77.53,78.94,2208399
2015-09-03,79.09,80.29,78.7,79.01,2166998
2015-09-04,78.0,78.04,76.4,77.1,2722952
2015-09-08,78.79,79.96,78.28,79.89,3124806
2015-09-09,81.14,81.57,78.28,78.49,2761449
2015-09-10,78.03,79.59,77.75,78.95,2018607
2015-09-11,78.19,79.03,77.52,78.99,1769268
2015-09-14,78.78,78.98,78.11,78.51,1542836
2015-09-15,78.95,80.74,78.16,80.46,2389018
2015-09-16,80.35,81.095,80.04,80.88,1701104
2015-09-17,80.78,81.21,77.91,78.19,3442338
2015-09-18,76.99,77.1,75.55,75.83,4448437
2015-09-21,76.73,77.6396,76.46,77.15,2617394
2015-09-22,75.9,76.21,75.07,75.84,2486327
2015-09-23,76.16,76.84,75.76,76.23,2390630
2015-09-24,75.39,76.235,74.645,76.03,2864141
2015-09-25,77.21,78.03,76.77,77.25,2648230
2015-09-28,76.66,76.66,74.435,74.54,2791582
2015-09-29,74.8,75.3,73.95,74.99,2300333
2015-09-30,76.33,76.59,75.12,76.21,2457795
2015-10-01,76.38,76.9,75.06,76.3,1984127
2015-10-02,73.67,75.4,73.191,75.4,3147609
2015-10-05,75.79,77.43,75.79,77.28,2204840
2015-10-06,76.96,77.4291,76.37,76.71,1622098
2015-10-07,77.21,78.39,76.92,77.78,2222814
2015-10-08,77.29,78.55,77.1896,78.28,1927142
2015-10-09,78.35,79.03,77.38,78.08,1771222
2015-10-12,77.91,78.35,77.54,77.94,1223871
2015-10-13,77.2,78.11,77.01,77.15,1774804
2015-10-14,76.96,77.64,75.89,76.5,1919521
2015-10-15,77.31,78.5,76.41,78.39,2224144
2015-10-16,78.78,79.34,78.24,79.27,2126248
2015-10-19,78.72,79.43,78.61,79.21,1252627
2015-10-20,79.2,80.02,79.05,79.77,1825789
2015-10-21,80.0,80.78,79.245,79.36,1925573
2015-10-22,80.18,82.23,80.12,81.4,2568828
2015-10-23,82.49,82.52,81.42,82.48,2921379
2015-10-26,82.27,82.5,81.51,82.08,1403637
2015-10-27,81.19,81.5,80.15,80.51,2346137
2015-10-28,81.09,84.02,80.77,83.96,2543513
