Date,Open,High,Low,Close,Volume
2015-06-22,191.16,191.7499,188.1,188.34,813314
2015-06-23,188.09,188.74,186.39,186.68,491472
2015-06-24,186.8,187.9613,184.96,184.96,493650
2015-06-25,184.88,186.17,183.4501,183.62,483144
2015-06-26,183.77,185.65,183.07,185.45,634462
2015-06-29,185.43,186.19,182.91,182.98,761452
2015-06-30,184.16,185.97,183.01,184.37,801831
2015-07-01,183.36,187.09,182.08,187.07,900886
2015-07-02,188.8,189.69,186.77,187.24,604868
2015-07-06,186.33,188.48,185.99,188.38,567584
2015-07-07,189.1,193.07,188.38,192.68,908608
2015-07-08,191.81,194.52,191.02,193.28,799703
2015-07-09,194.39,195.29,193.17,193.73,611327
2015-07-10,194.61,197.75,193.9,196.13,718825
2015-07-13,197.25,198.83,195.46,196.7,681188
2015-07-14,197.09,198.13,196.01,197.68,546790
2015-07-15,197.09,199.32,196.01,198.75,445522
2015-07-16,199.34,200.58,199.05,200.19,427718
2015-07-17,199.49,199.67,197.49,198.4,464333
2015-07-20,198.4,200.75,197.31,200.14,426426
2015-07-21,200.46,201.51,199.61,200.83,660690
2015-07-22,200.89,202.06,200.86,201.49,679621
2015-07-23,201.15,202.08,199.53,201.1,572561
2015-07-24,200.9,203.04,200.29,201.93,435074
2015-07-27,201.82,203.56,201.45,202.92,504619
2015-07-28,203.24,203.9097,202.1,203.41,436751
2015-07-29,203.29,203.33,201.93,202.93,689904
2015-07-30,203.0,203.43,200.32,203.02,561864
2015-07-31,204.25,206.73,203.4,205.18,618932
2015-08-03,205.18,206.21,204.79,205.52,496173
2015-08-04,201.92,207.34,201.55,205.38,466124
2015-08-05,206.36,206.92,205.09,205.63,595877
2015-08-06,205.63,207.75,204.49,207.49,528309
2015-08-07,207.97,209.568,207.2,208.81,574310
2015-08-10,210.0,210.935,206.86,207.45,494495
2015-08-11,207.24,210.5,207.24,209.1,548344
2015-08-12,208.65,210.59,208.27,210.53,494103
2015-08-13,210.07,213.34,209.29,212.55,739309
2015-08-14,212.21,213.97,210.85,213.73,465889
2015-08-17,213.99,215.46,213.04,215.35,369030
2015-08-18,215.35,217.06,214.8,216.85,537569
2015-08-19,215.66,217.9855,215.11,216.86,553491
2015-08-20,215.8,217.38,215.04,215.31,514828
