Date,Open,High,Low,Close,Volume
2015-06-22,526.85,531.9976,518.0,520.71,751639
2015-06-23,522.16,523.625,514.0,521.05,474530
2015-06-24,519.01,522.23,513.43,516.59,454873
2015-06-25,517.97,525.95,516.6001,519.24,483139
2015-06-26,522.53,524.72,513.66,520.63,406952
2015-06-29,514.59,520.5,504.52,504.97,600276
2015-06-30,512.2,514.8,505.62,510.13,634879
2015-07-01,515.23,516.05,504.33,506.51,527752
2015-07-02,509.5,512.5,505.2853,511.08,374927
2015-07-06,505.46,519.66,505.11,512.24,458096
2015-07-07,515.74,517.89,507.5,517.61,457560
2015-07-08,515.54,518.44,508.28,509.3,406512
2015-07-09,505.15,513.18,503.64,509.03,650322
2015-07-10,514.5,526.23,509.03,526.01,723544
2015-07-13,532.28,539.5,531.95,536.21,804886
2015-07-14,537.0,544.86,536.1101,542.9,596642
2015-07-15,546.96,551.93,540.43,543.38,467485
2015-07-16,547.0,552.0,542.43,551.53,436913
2015-07-17,552.62,552.98,545.5,551.98,488929
2015-07-20,555.0,569.9145,552.3375,561.17,934484
2015-07-21,560.0,563.3,553.56,560.0,557587
2015-07-22,557.58,563.23,553.78,556.53,770518
2015-07-23,558.19,559.78,553.14,556.61,491032
2015-07-24,550.51,558.0,533.51,541.85,932070
2015-07-27,538.74,543.0,530.35,540.03,658048
2015-07-28,553.3,559.65,545.0,552.45,871982
2015-07-29,555.23,558.66,540.02,546.27,647789
2015-07-30,545.63,550.25,536.02,547.1,556314
2015-07-31,551.29,558.5,547.85,553.66,500414
2015-08-03,558.47,561.31,546.0,554.27,699307
2015-08-04,586.0,605.9299,578.21,580.94,1936671
2015-08-05,584.3,595.887,581.38,592.4,730481
2015-08-06,593.66,593.66,579.0,582.47,726339
2015-08-07,586.0,586.0,574.25,579.04,793912
2015-08-10,584.67,591.84,580.88,581.0,640256
2015-08-11,577.77,583.375,565.75,566.99,759832
2015-08-12,561.85,580.88,555.5,579.25,856195
2015-08-13,578.89,585.79,572.9,574.1,516179
2015-08-14,572.9,579.35,568.96,576.3,491507
2015-08-17,574.73,578.57,571.59,576.76,444067
2015-08-18,578.95,579.98,569.1,569.67,581172
2015-08-19,567.32,575.12,562.0,568.91,477246
2015-08-20,561.33,567.86,546.0101,546.65,787969
2015-08-21,537.75,557.19,525.23,527.18,1499073
2015-08-24,498.0,526.1,480.5,504.58,1759591
2015-08-25,520.94,528.38,496.53,499.02,1229917
2015-08-26,513.22,535.87,506.25,535.47,1062641
2015-08-27,540.0,547.51,526.65,538.0,755753
2015-08-28,530.39,543.1199,530.16,536.7,506784
2015-08-31,526.26,534.72,511.87,513.5,833358
2015-09-01,499.29,510.99,494.29,496.42,898286
2015-09-02,503.71,518.99,493.75,518.78,747442
2015-09-03,523.45,523.64,506.83,508.51,606573
2015-09-04,500.51,507.97,498.98,499.99,806525
2015-09-08,514.88,543.19,510.13,542.76,1241598
2015-09-09,549.28,549.99,520.29,527.35,566044
2015-09-10,525.66,536.43,524.36,531.22,522063
2015-09-11,528.41,533.3,524.73,533.3,519058
2015-09-14,533.47,535.045,524.8581,531.4,345037
2015-09-15,531.4,542.99,527.01,541.45,464552
2015-09-16,541.0,545.0,533.62,540.99,447576
2015-09-17,538.02,556.31,537.9486,550.97,814991
2015-09-18,547.99,554.0,542.99,550.36,1190213
2015-09-21,551.55,557.87,522.12,529.38,887040
2015-09-22,521.3,531.44,519.57,530.18,925826
2015-09-23,531.49,541.3,522.58,536.5,990302
2015-09-24,532.01,534.92,515.655,522.0,1050194
2015-09-25,529.24,529.5,480.083,490.67,1521276
2015-09-28,491.01,492.42,435.515,453.98,3122814
2015-09-29,444.59,477.37,441.3801,451.82,1621506
2015-09-30,460.58,474.84,454.97,465.14,1452085
2015-10-01,464.01,473.51,456.32,472.97,877234
2015-10-02,458.05,479.29,452.151,479.07,1160503
2015-10-05,484.1,489.0,464.0,473.14,914777
2015-10-06,468.0,476.89,448.1,459.82,1120592
2015-10-07,463.39,486.08,456.88,485.76,1270840
2015-10-08,482.78,496.68,468.5443,491.21,839208
2015-10-09,494.02,504.98,487.24,503.92,900093
2015-10-12,521.21,531.87,514.27,526.83,1304565
2015-10-13,518.01,525.905,506.96,508.04,983366
2015-10-14,509.91,523.0,502.514,509.28,773197
2015-10-15,509.66,520.0,505.02,519.35,735957
2015-10-16,521.79,522.0,509.06,514.59,753994
2015-10-19,515.85,530.66,513.0,523.56,830953
2015-10-20,522.15,526.5,510.75,514.67,707140
2015-10-21,521.25,524.52,500.66,518.53,868447
2015-10-22,518.12,528.88,511.25,525.11,972428
2015-10-23,530.19,539.11,525.31,536.7,805367
2015-10-26,537.7,550.89,534.86,545.87,709607
2015-10-27,545.16,568.38,545.16,567.79,897943
2015-10-28,561.65,571.16,553.62,571.14,889806
2015-10-29,568.56,578.0,559.0,560.02,689121
2015-10-30,562.33,565.6634,552.5,557.39,731934
2015-11-02,561.85,580.98,560.2,579.0,993117
2015-11-03,581.0,581.0,564.5,578.0,943332
2015-11-04,578.01,588.05,549.5,564.0,1525799
2015-11-05,564.94,574.25,561.0,564.16,1034531
2015-11-06,561.03,566.075,552.89,562.0,666312
2015-11-09,560.83,564.56,555.815,558.52,658333
2015-11-10,559.0,565.5,551.01,564.86,571150
2015-11-11,567.5,571.75,560.15,566.41,597593
2015-11-12,566.02,566.37,551.51,552.53,578741
2015-11-13,551.19,557.25,545.12,548.9,548492
2015-11-16,550.26,559.18,545.2042,558.38,574037
2015-11-17,559.44,573.345,556.7855,570.91,691909
2015-11-18,571.4,588.98,571.4,587.09,707123
2015-11-19,587.0,592.59,580.58,581.35,584777
2015-11-20,583.95,587.375,576.59,579.57,744231
2015-11-23,575.99,584.5935,567.06,570.85,857052
2015-11-24,567.05,569.93,560.53,567.47,674095
2015-11-25,567.96,572.94,560.0,561.69,774101
2015-11-27,564.08,566.52,559.25,563.1,466682
2015-11-30,563.99,565.68,540.26,544.5,844806
2015-12-01,549.25,550.32,536.3,545.74,651576
2015-12-02,545.01,555.88,541.2049,546.88,699041
2015-12-03,547.59,549.99,534.13,535.73,748287
2015-12-04,538.09,559.3,538.005,558.66,621213
2015-12-07,559.66,560.15,544.56,546.61,492098
2015-12-08,542.87,558.0,540.0,556.33,440838
2015-12-09,553.76,562.8604,543.0,547.39,566138
2015-12-10,547.24,551.69,542.55,548.17,553739
2015-12-11,538.9,547.4999,532.5,534.51,699429
2015-12-14,537.14,540.43,527.05,539.94,631930
2015-12-15,543.42,557.15,540.0,556.45,781267
2015-12-16,559.09,563.79,547.55,559.67,740131
2015-12-17,560.0,563.03,551.2,551.49,619304
2015-12-18,548.34,552.03,542.15,544.23,1186037
2015-12-21,545.95,547.09,528.28,532.55,863270
2015-12-22,535.59,539.6099,526.261,528.34,622150
2015-12-23,531.06,537.48,528.41,535.85,415822
2015-12-24,535.56,539.85,534.108,537.63,169358
2015-12-28,536.45,540.72,531.58,540.28,351056
2015-12-29,542.28,553.75,541.7634,550.21,520437
2015-12-30,550.54,551.88,544.69,548.19,297512
2015-12-31,542.62,550.66,542.62,542.87,310484
2016-01-04,531.76,532.91,507.1,516.55,1025682
2016-01-05,519.38,521.78,504.06,508.98,889333
2016-01-06,499.0,524.67,496.0,519.48,887554
2016-01-07,510.5,515.35,501.91,501.96,930384
2016-01-08,505.02,511.31,490.99,491.68,792781
2016-01-11,495.05,498.6975,469.8,480.82,863024
2016-01-12,486.0,486.99,452.67,474.98,1710756
2016-01-13,474.85,474.85,451.39,459.57,1395310
2016-01-14,461.85,486.5168,453.16,479.08,1193272
2016-01-15,464.59,476.24,456.0,462.95,1349456
2016-01-19,470.2,474.44,441.88,447.02,1219114
2016-01-20,438.53,468.82,432.05,461.95,1229602
2016-01-21,462.16,469.98,452.01,461.57,889888
2016-01-22,469.43,484.57,464.23,482.99,821107
2016-01-25,468.53,482.27,465.11,473.12,920163
2016-01-26,474.4,474.4,456.25,463.56,608683
2016-01-27,460.63,463.24,431.51,434.16,1225797
2016-01-28,436.0,436.7,400.0,415.11,2296425
2016-01-29,415.22,428.91,405.06,420.09,1148106
2016-02-01,417.19,420.77,408.4221,418.27,1000163
2016-02-02,412.68,415.63,402.23,409.89,887516
2016-02-03,413.05,422.49,392.35,421.01,1248376
2016-02-04,417.17,437.525,408.12,412.59,1284408
2016-02-05,416.1,420.53,393.07,396.61,1432629
2016-02-08,380.7,393.64,376.61,390.53,1224541
2016-02-09,357.0,388.0,350.26,365.97,2111894
2016-02-10,370.02,378.1904,363.0,367.48,1232368
