Date,Open,High,Low,Close,Volume
2015-06-22,62.3,62.74,61.55,61.61,666950
2015-06-23,61.53,61.684,60.98,61.23,337522
2015-06-24,61.3,61.64,60.51,60.52,557744
2015-06-25,60.5,60.58,59.84,59.9,1132983
2015-06-26,59.88,60.43,59.53,60.26,766316
2015-06-29,60.26,60.69,59.06,59.1,553702
2015-06-30,59.57,59.688,58.81,58.98,1075160
2015-07-01,59.07,60.25,58.73,60.23,796491
2015-07-02,60.77,61.31,60.22,60.51,576538
2015-07-06,60.32,61.16,60.26,61.05,859043
2015-07-07,61.39,62.83,61.03,62.6,1050108
2015-07-08,62.25,62.7,62.0403,62.4,670140
2015-07-09,62.71,62.92,61.7,61.91,511133
2015-07-10,62.14,62.87,62.09,62.39,570434
2015-07-13,62.88,63.29,61.8201,62.31,557513
2015-07-14,62.41,62.72,62.04,62.42,428665
2015-07-15,62.25,62.67,61.89,62.5,405090
2015-07-16,62.7,63.42,62.58,62.97,485713
2015-07-17,62.9,63.09,62.36,62.49,597065
2015-07-20,62.26,62.89,62.13,62.7,276948
2015-07-21,62.76,63.02,62.39,62.49,403381
2015-07-22,62.47,63.0,62.27,62.82,404187
2015-07-23,62.75,62.75,61.54,61.98,489769
2015-07-24,61.97,62.41,61.71,62.07,682957
2015-07-27,62.16,62.78,61.96,62.17,347432
2015-07-28,62.17,62.65,61.7,62.43,422346
2015-07-29,62.33,63.43,61.99,63.35,486940
2015-07-30,63.18,63.59,62.85,63.34,669932
2015-07-31,63.85,64.49,63.58,63.97,546744
2015-08-03,63.95,64.47,63.9,64.42,382679
2015-08-04,64.25,64.79,63.83,63.93,493544
2015-08-05,64.04,64.21,63.055,63.32,688836
2015-08-06,63.82,63.961,62.4,63.25,918266
2015-08-07,63.08,63.73,62.37,63.5,414865
2015-08-10,63.76,63.78,62.62,62.71,817611
2015-08-11,62.56,63.81,62.51,63.38,551129
2015-08-12,63.2,63.64,62.77,63.61,492039
2015-08-13,63.13,64.03,62.85,63.78,347468
2015-08-14,63.77,64.2,63.2,64.12,498953
2015-08-17,63.75,64.11,63.15,64.0,656438
2015-08-18,63.94,64.16,63.7,64.05,497459
2015-08-19,63.7,64.02,63.36,63.62,478303
2015-08-20,63.54,63.79,62.91,63.19,642400
2015-08-21,62.86,63.13,61.97,61.97,683755
2015-08-24,58.74,60.3,55.79,58.47,1266691
2015-08-25,60.02,60.3,57.01,57.09,1214574
2015-08-26,58.2,59.35,57.22,59.3,1029900
2015-08-27,59.77,61.14,59.26,60.78,1180734
2015-08-28,60.9,61.25,60.295,60.88,1000595
2015-08-31,60.8,60.93,59.25,59.31,1496673
2015-09-01,58.5,59.175,57.86,58.38,834828
2015-09-02,59.01,59.23,58.5,59.2,891562
2015-09-03,59.59,59.92,59.26,59.61,903888
2015-09-04,59.1,59.11,57.77,58.11,412657
2015-09-08,58.91,59.09,58.29,58.95,441911
2015-09-09,59.37,59.42,57.85,58.07,579506
2015-09-10,57.71,59.04,57.71,58.24,449500
2015-09-11,58.14,59.4,57.99,59.4,373957
2015-09-14,59.64,59.64,59.18,59.34,359146
2015-09-15,59.44,60.22,59.14,60.12,314470
2015-09-16,60.11,61.01,60.06,60.92,332793
2015-09-17,60.82,62.37,60.42,61.36,408641
2015-09-18,60.63,62.4,60.62,61.8,1057260
2015-09-21,62.04,62.91,61.82,62.43,476567
2015-09-22,61.9,62.31,61.38,61.53,368096
