Date,Open,High,Low,Close,Volume
2015-06-22,10.54,10.61,10.5,10.61,9267160
2015-06-23,10.68,10.815,10.64,10.76,12882560
2015-06-24,10.72,10.79,10.62,10.67,9869327
2015-06-25,10.71,10.73,10.49,10.57,15100380
2015-06-26,10.63,10.6957,10.51,10.53,14277210
2015-06-29,10.37,10.48,10.23,10.29,18227790
2015-06-30,10.39,10.51,10.29,10.36,12922570
2015-07-01,10.47,10.53,10.39,10.41,10993040
2015-07-02,10.33,10.41,10.19,10.27,12811010
2015-07-06,10.11,10.22,10.07,10.17,12639120
2015-07-07,10.12,10.14,9.82,10.04,20789440
2015-07-08,9.96,9.97,9.82,9.83,17361890
2015-07-09,9.99,10.04,9.93,10.0,14816600
2015-07-10,10.15,10.25,10.08,10.14,13351730
2015-07-13,10.25,10.3,10.19,10.2,13756490
2015-07-14,10.07,10.23,10.05,10.22,21315810
2015-07-15,10.25,10.47,10.23,10.31,26565590
2015-07-16,10.42,10.46,10.35,10.39,14450130
2015-07-17,10.24,10.27,10.02,10.12,26639630
2015-07-20,10.2,10.24,10.09,10.2,17290770
2015-07-21,10.24,10.52,10.235,10.41,25902190
2015-07-22,10.37,10.85,10.37,10.7,50661390
2015-07-23,10.68,10.865,10.52,10.62,25786380
2015-07-24,10.6,10.65,10.52,10.56,15409700
2015-07-27,10.48,10.48,10.335,10.41,18577530
2015-07-28,10.45,10.53,10.28,10.4,14120980
2015-07-29,10.41,10.56,10.35,10.52,15971940
2015-07-30,10.51,10.6,10.46,10.57,11128550
2015-07-31,10.55,10.56,10.38,10.39,11300750
2015-08-03,10.4,10.46,10.27,10.37,14982310
2015-08-04,10.37,10.53,10.36,10.37,13606490
2015-08-05,10.45,10.64,10.415,10.48,12095960
2015-08-06,10.53,10.665,10.485,10.57,20280810
2015-08-07,10.54,10.72,10.49,10.62,26399330
2015-08-10,10.7,10.81,10.64,10.8,12584650
2015-08-11,10.69,10.73,10.52,10.58,12792640
2015-08-12,10.47,10.48,10.19,10.35,16636620
2015-08-13,10.41,10.49,10.33,10.41,13293380
2015-08-14,10.43,10.57,10.37,10.55,11154850
2015-08-17,10.44,10.61,10.38,10.55,13069800
2015-08-18,10.53,10.6,10.46,10.5,10898680
2015-08-19,10.46,10.5,10.23,10.25,29843850
2015-08-20,10.16,10.2,9.93,9.93,19190640
2015-08-21,9.82,9.9,9.65,9.67,19259140
2015-08-24,9.11,9.4,8.95,8.98,38292980
2015-08-25,9.45,9.5,8.76,8.77,29717330
2015-08-26,9.08,9.27,8.93,9.25,22493500
2015-08-27,9.4,9.59,9.35,9.56,24075570
2015-08-28,9.51,9.6399,9.48,9.62,13096890
2015-08-31,9.52,9.64,9.48,9.59,13324550
2015-09-01,9.35,9.42,9.12,9.21,19584460
2015-09-02,9.35,9.37,9.13,9.34,12065970
2015-09-03,9.37,9.585,9.31,9.43,13322120
2015-09-04,9.35,9.4,9.16,9.26,12480470
2015-09-08,9.47,9.54,9.36,9.52,10021180
2015-09-09,9.62,9.66,9.31,9.34,10729200
2015-09-10,9.29,9.58,9.29,9.52,16329730
2015-09-11,9.43,9.53,9.4,9.51,12928830
2015-09-14,9.47,9.7,9.44,9.59,17577000
2015-09-15,9.66,9.765,9.64,9.73,16306510
2015-09-16,9.72,9.72,9.43,9.57,17329990
2015-09-17,9.55,9.625,9.23,9.29,35166430
2015-09-18,9.16,9.18,8.92,8.94,28373700
2015-09-21,9.03,9.19,9.01,9.09,15483960
2015-09-22,8.93,9.0599,8.86,8.92,14478100
2015-09-23,8.88,9.06,8.88,8.95,10734530
2015-09-24,8.82,8.94,8.78,8.92,10548010
2015-09-25,9.08,9.14,9.02,9.08,12335890
2015-09-28,9.04,9.05,8.8,8.8,13023550
2015-09-29,8.81,8.9,8.74,8.83,12505020
2015-09-30,9.04,9.06,8.8801,9.01,14802970
2015-10-01,9.01,9.07,8.905,9.03,14611930
2015-10-02,8.76,8.91,8.54,8.91,21448970
2015-10-05,8.98,9.1,8.93,9.04,18751510
2015-10-06,9.02,9.13,8.99,9.09,13598810
2015-10-07,9.15,9.28,9.085,9.21,15429820
2015-10-08,9.17,9.29,9.1,9.26,15348060
2015-10-09,9.23,9.31,9.04,9.09,11229000
2015-10-12,9.06,9.12,9.015,9.08,10553200
2015-10-13,9.06,9.11,8.98,8.98,12389340
2015-10-14,8.99,9.01,8.75,8.82,15898630
2015-10-15,8.9,9.1,8.84,9.08,17702350
2015-10-16,9.13,9.15,8.96,9.02,15725970
2015-10-19,9.01,9.12,8.93,8.94,12405520
2015-10-20,9.1,9.3,9.02,9.21,25250960
2015-10-21,9.16,9.26,9.02,9.03,16319750
2015-10-22,9.09,9.3,9.09,9.21,17742760
2015-10-23,9.28,9.46,9.23,9.45,16671960
2015-10-26,9.45,9.49,9.275,9.32,9041126
2015-10-27,9.26,9.31,9.16,9.24,9074966
2015-10-28,9.26,9.69,9.24,9.66,17966540
2015-10-29,9.67,9.76,9.62,9.64,14713010
2015-10-30,9.62,9.67,9.24,9.35,23278590
2015-11-02,9.44,9.6,9.38,9.58,13042760
2015-11-03,9.55,9.64,9.5,9.54,11116170
2015-11-04,9.58,9.64,9.531,9.59,11767230
2015-11-05,9.6,9.8,9.58,9.73,20709960
2015-11-06,10.01,10.21,10.01,10.13,23750980
2015-11-09,10.08,10.2,9.9,9.99,17932160
2015-11-10,9.98,10.11,9.86,10.07,14183200
2015-11-11,10.11,10.17,9.94,9.95,12105550
2015-11-12,9.87,9.9,9.78,9.8,14887860
2015-11-13,9.79,9.83,9.67,9.71,13141070
2015-11-16,9.66,9.82,9.62,9.81,12428570
2015-11-17,9.87,10.01,9.85,9.87,13332630
2015-11-18,9.9,10.09,9.84,10.09,19338260
2015-11-19,10.03,10.22,9.82,10.14,32049350
2015-11-20,10.21,10.23,10.03,10.08,15200090
2015-11-23,10.11,10.19,10.05,10.08,10235880
2015-11-24,10.01,10.17,9.99,10.13,13836280
2015-11-25,10.14,10.2,10.04,10.09,8577336
2015-11-27,10.09,10.18,10.01,10.17,5135997
2015-11-30,10.17,10.2,10.06,10.14,11623650
2015-12-01,10.21,10.28,10.12,10.25,14012920
2015-12-02,10.28,10.28,10.08,10.1,13473190
2015-12-03,10.15,10.17,9.93,9.97,15801620
2015-12-04,10.0,10.28,9.91,10.26,19156350
2015-12-07,10.21,10.2289,9.98,10.03,15003240
2015-12-08,9.94,9.965,9.6,9.64,24117740
2015-12-09,9.56,9.66,9.34,9.45,25877320
2015-12-10,9.45,9.74,9.37,9.61,16272460
2015-12-11,9.44,9.5,9.3,9.37,17851210
2015-12-14,9.47,9.52,9.2,9.36,20919590
2015-12-15,9.52,9.86,9.51,9.77,21970000
2015-12-16,9.86,9.98,9.64,9.94,30740820
2015-12-17,9.98,10.02,9.73,9.73,21232790
2015-12-18,9.52,9.61,9.31,9.35,55884750
2015-12-21,9.39,9.42,9.25,9.39,14227270
2015-12-22,9.49,9.51,9.3,9.5,13100550
2015-12-23,9.57,9.7,9.53,9.69,10671860
2015-12-24,9.68,9.78,9.66,9.71,3692442
2015-12-28,9.66,9.68,9.48,9.63,8696116
2015-12-29,9.7,9.79,9.68,9.76,8090498
2015-12-30,9.74,9.74,9.61,9.65,6842693
2015-12-31,9.58,9.73,9.54,9.6,9616282
2016-01-04,9.35,9.48,9.3,9.44,17833970
2016-01-05,9.45,9.51,9.33,9.42,16058290
2016-01-06,9.26,9.34,9.175,9.26,17107870
2016-01-07,9.05,9.17,8.96,8.96,27112570
2016-01-08,9.04,9.1,8.73,8.76,23228880
2016-01-11,8.84,8.9,8.57,8.68,19568600
2016-01-12,8.78,8.82,8.5201,8.74,18781150
2016-01-13,8.81,8.83,8.28,8.33,27952920
2016-01-14,8.38,8.4799,8.17,8.36,43911970
2016-01-15,7.18,8.26,7.08,8.2,37304250
2016-01-19,8.31,8.4,8.0,8.08,29177930
2016-01-20,7.86,8.03,7.6,7.9,34518270
2016-01-21,7.86,8.08,7.78,7.83,31909040
2016-01-22,7.96,8.1,7.91,7.93,17985400
2016-01-25,7.87,7.91,7.55,7.57,18528400
2016-01-26,7.63,7.93,7.63,7.82,22820140
2016-01-27,7.81,8.18,7.75,7.95,28181570
2016-01-28,8.08,8.26,7.98,8.01,29477870
2016-01-29,8.02,8.155,7.96,8.12,26117460
2016-02-01,8.13,8.15,7.88,7.94,24594030
2016-02-02,7.78,7.78,7.56,7.63,27106240
2016-02-03,7.7,7.87,7.34,7.82,34311680
2016-02-04,7.76,8.1,7.74,7.9,22205160
2016-02-05,7.95,8.045,7.78,7.8,20024480
2016-02-08,7.67,7.68,7.37,7.53,26654510
2016-02-09,7.37,7.695,7.34,7.65,26029690
2016-02-10,7.7,7.79,7.51,7.51,23601170
2016-02-11,7.25,7.296,7.0,7.08,28325040
2016-02-12,7.24,7.63,7.215,7.6,32594920
2016-02-16,7.76,7.93,7.62,7.84,24383690
2016-02-17,7.94,8.02,7.76,7.82,20674910
2016-02-18,7.9,7.9,7.51,7.62,24288050
2016-02-19,7.59,7.745,7.49,7.65,19930060
2016-02-22,7.79,7.91,7.77,7.9,16755470
2016-02-23,7.86,7.9,7.5,7.57,19334630
2016-02-24,7.4,7.45,7.205,7.42,22039570
2016-02-25,7.43,7.55,7.35,7.51,15088750
2016-02-26,7.64,7.87,7.56,7.75,19076500
2016-02-29,7.71,7.74,7.52,7.52,17441580
2016-03-01,7.61,7.99,7.585,7.98,17607590
2016-03-02,8.0,8.17,7.96,8.12,16713250
2016-03-03,8.11,8.3,8.08,8.28,20972510
2016-03-04,8.37,8.57,8.29,8.39,26469160
2016-03-07,8.27,8.425,8.25,8.38,14909500
2016-03-08,8.27,8.3,7.945,8.05,29012420
2016-03-09,8.09,8.12,7.83,7.87,22307300
2016-03-10,8.0,8.094,7.82,7.97,23258540
2016-03-11,8.07,8.26,8.05,8.24,14643720
2016-03-14,8.24,8.28,8.1,8.21,16257450
2016-03-15,8.13,8.13,8.01,8.11,13348040
2016-03-16,8.13,8.275,7.9,8.02,19985830
2016-03-17,7.985,8.13,7.82,8.12,17728590
2016-03-18,8.21,8.32,8.1,8.23,30536590
2016-03-21,8.23,8.3399,8.11,8.21,15639290
2016-03-22,8.06,8.25,8.04,8.18,15599590
2016-03-23,8.15,8.18,8.06,8.08,13050890
2016-03-24,8.02,8.07,7.82,8.06,11388400
2016-03-28,8.08,8.115,7.955,8.05,9216979
2016-03-29,7.95,7.95,7.75,7.9,22267970
2016-03-30,7.94,8.06,7.86,7.9,17122500
2016-03-31,7.86,7.95,7.79,7.85,15292730
2016-04-01,7.8,7.89,7.67,7.89,15285060
2016-04-04,7.87,7.97,7.8,7.87,12077910
2016-04-05,7.76,7.82,7.66,7.66,14742160
2016-04-06,7.67,7.82,7.61,7.81,19375630
2016-04-07,7.68,7.755,7.53,7.6,16826460
2016-04-08,7.71,7.81,7.63,7.67,18383460
2016-04-11,7.7,7.88,7.68,7.76,23200330
2016-04-12,7.83,8.0,7.79,7.97,15865840
2016-04-13,8.06,8.43,8.04,8.4,32140240
2016-04-14,8.39,8.63,8.355,8.48,35699130
2016-04-15,8.89,8.9,8.55,8.74,42652730
2016-04-18,8.66,8.84,8.57,8.76,19792850
2016-04-19,8.88,9.0,8.79,8.98,27376410
2016-04-20,9.0,9.19,8.95,9.16,28550630
2016-04-21,9.21,9.26,9.12,9.17,17328930
2016-04-22,9.2,9.42,9.17,9.34,22043720
2016-04-25,9.28,9.35,9.17,9.3,16551810
2016-04-26,9.3,9.43,9.23,9.4,17023290
2016-04-27,9.41,9.63,9.34,9.59,31436240
2016-04-28,9.47,9.62,9.38,9.42,21401160
2016-04-29,9.38,9.445,9.26,9.38,23878100
2016-05-02,9.45,9.48,9.28,9.45,18427870
2016-05-03,9.3,9.32,9.1,9.24,23707000
2016-05-04,9.09,9.215,8.92,9.04,25300160
2016-05-05,9.09,9.15,8.98,9.04,16834360
2016-05-06,8.95,9.09,8.92,9.08,20046430
2016-05-09,9.06,9.14,8.98,9.05,13770870
2016-05-10,9.1,9.26,9.08,9.23,13378610
2016-05-11,9.18,9.39,9.18,9.22,14904830
2016-05-12,9.27,9.36,9.06,9.13,17652720
2016-05-13,9.13,9.26,8.89,8.99,16600480
2016-05-16,8.94,9.09,8.92,9.05,12126930
2016-05-17,9.01,9.31,8.95,9.17,26396880
2016-05-18,9.15,9.665,9.14,9.64,36225460
2016-05-19,9.52,9.7,9.34,9.47,19345740
2016-05-20,9.52,9.615,9.45,9.51,14868980
2016-05-23,9.49,9.555,9.36,9.47,14037750
2016-05-24,9.53,9.68,9.52,9.65,14449900
2016-05-25,9.73,9.9,9.72,9.85,17412580
2016-05-26,9.85,9.86,9.675,9.73,13385410
2016-05-27,9.8,9.87,9.71,9.87,13115140
2016-05-31,9.9,9.995,9.77,9.83,24977690
2016-06-01,9.67,9.96,9.6,9.93,20315360
2016-06-02,9.88,10.0,9.82,10.0,11752890
2016-06-03,9.71,9.77,9.5,9.73,20464210
2016-06-06,9.82,10.0,9.77,9.95,14494310
2016-06-07,9.95,9.97,9.82,9.83,12400010
2016-06-08,9.76,9.88,9.75,9.82,16659870
2016-06-09,9.71,9.73,9.54,9.7,13662790
2016-06-10,9.53,9.55,9.445,9.52,16682630
2016-06-13,9.46,9.57,9.36,9.36,17879720
2016-06-14,9.31,9.42,9.02,9.09,20246020
2016-06-15,9.15,9.36,9.06,9.1,29858720
2016-06-16,9.01,9.04,8.79,8.97,44565120
2016-06-17,8.97,9.13,8.95,9.09,20698950
2016-06-20,9.31,9.415,9.16,9.17,12534900
2016-06-21,9.2,9.25,9.06,9.17,13159240
2016-06-22,9.19,9.31,9.11,9.12,14676120
2016-06-23,9.26,9.45,9.24,9.45,12910040
2016-06-24,8.89,9.0,8.52,8.53,31838480
2016-06-27,8.37,8.37,7.86,7.91,30330880
2016-06-28,8.14,8.26,8.01,8.23,26916600
2016-06-29,8.25,8.43,8.22,8.42,20288680
2016-06-30,8.49,8.51,8.335,8.51,26525460
2016-07-01,8.44,8.49,8.29,8.36,15100030
2016-07-05,8.24,8.25,7.96,8.02,17939430
2016-07-06,7.95,8.2,7.8,8.19,26737220
2016-07-07,8.18,8.4,8.17,8.25,21553020
2016-07-08,8.39,8.53,8.37,8.44,23632610
2016-07-11,8.54,8.625,8.5,8.57,18731980
