Date,Open,High,Low,Close,Volume
2015-06-22,40.5,40.72,40.2667,40.6933,1125847
2015-06-23,40.86,40.9733,40.6467,40.86,1169617
2015-06-24,40.68,40.94,40.3271,40.4467,839023
2015-06-25,40.5,40.88,40.4267,40.5133,709146
2015-06-26,40.78,40.8733,40.5133,40.72,922336
2015-06-29,40.1067,40.32,39.4867,39.56,1360554
2015-06-30,40.0,40.2267,39.5467,39.72,1392618
2015-07-01,40.2533,40.4067,39.8933,40.0067,973176
2015-07-02,40.0,40.0733,39.48,39.82,840724
2015-07-06,39.2467,39.6667,39.1533,39.4533,1102266
2015-07-07,39.42,39.64,38.26,39.0733,1375543
2015-07-08,38.6333,38.74,37.9467,38.02,1308760
2015-07-09,38.6333,38.7733,38.3733,38.4333,866478
2015-07-10,38.9267,39.1367,38.6401,39.1,1127788
2015-07-13,39.44,39.74,39.3667,39.7333,806991
2015-07-14,39.64,40.0,39.4219,39.88,834241
2015-07-15,40.0,40.1933,39.7267,40.06,947898
2015-07-16,40.3733,40.8667,40.2867,40.7867,989347
2015-07-17,40.6933,40.86,40.1867,40.6,1351098
2015-07-20,40.6733,40.7333,40.3733,40.6067,599563
2015-07-21,40.64,40.8333,40.08,40.2067,887782
2015-07-22,40.1,40.5467,39.7867,40.4867,663165
2015-07-23,40.8733,41.2133,39.6533,39.8733,1275253
2015-07-24,39.9,39.9333,39.22,39.32,1038660
2015-07-27,39.06,39.1733,38.4367,38.6467,816390
2015-07-28,38.8333,39.0333,38.5467,38.98,1368205
2015-07-29,39.0,39.58,38.8933,39.5067,558252
2015-07-30,39.4133,39.8133,39.296,39.7933,714205
2015-07-31,39.72,39.72,39.28,39.3333,866947
2015-08-03,39.4133,39.4533,39.0667,39.3067,744205
2015-08-04,39.3467,39.8133,39.2933,39.6867,608310
2015-08-05,39.8867,40.1733,39.5267,39.6133,677230
2015-08-06,39.7,39.8067,39.0,39.2333,601216
2015-08-07,39.0867,39.48,38.7067,39.08,561987
