Date,Open,High,Low,Close,Volume
2015-06-22,125.27,126.23,124.73,125.85,727762
2015-06-23,126.18,126.18,125.23,125.59,543551
2015-06-24,125.5,125.93,125.015,125.17,509039
2015-06-25,125.17,125.29,123.79,124.02,410549
2015-06-26,124.35,124.83,123.97,124.72,636637
2015-06-29,123.6,124.79,122.81,122.91,1084374
2015-06-30,124.0,125.95,123.81,124.64,1212064
2015-07-01,125.99,126.77,125.4,126.27,1050574
2015-07-02,126.35,126.71,125.9,126.13,573411
2015-07-06,124.9,125.97,123.82,125.42,1010609
2015-07-07,125.24,125.99,123.18,125.2,1233651
2015-07-08,124.07,124.24,119.97,120.72,1173145
2015-07-09,122.36,123.05,121.19,121.49,820105
2015-07-10,122.67,122.91,121.32,122.17,643127
2015-07-13,123.17,124.92,122.94,124.4,739123
2015-07-14,124.38,125.39,123.75,125.0,553414
2015-07-15,124.77,125.604,122.705,122.89,849678
2015-07-16,124.06,124.7997,122.97,123.5,586291
2015-07-17,123.41,124.07,122.77,123.74,666900
2015-07-20,123.56,123.8898,122.56,123.38,607406
2015-07-21,123.14,123.32,120.14,120.81,1024363
2015-07-22,120.51,121.33,120.16,120.3,874981
2015-07-23,120.09,120.568,117.83,117.9,1131241
2015-07-24,117.9,118.22,117.11,117.52,1151761
2015-07-27,116.6,116.75,115.17,116.32,1053880
2015-07-28,117.51,119.4,116.49,119.23,1430184
2015-07-29,117.57,117.57,115.0,116.36,1858522
2015-07-30,115.39,118.11,114.65,117.1,1244577
2015-07-31,117.94,118.455,116.56,116.78,702948
2015-08-03,117.05,117.13,114.67,115.31,782962
2015-08-04,115.65,116.41,114.73,114.96,750755
2015-08-05,115.51,117.39,115.51,116.03,741382
2015-08-06,116.28,117.34,115.19,116.42,921732
2015-08-07,115.96,116.89,114.91,115.9,840172
2015-08-10,116.78,118.99,116.42,118.94,1116074
2015-08-11,117.58,117.88,116.28,116.74,904702
2015-08-12,115.68,116.395,114.555,115.84,1242591
2015-08-13,114.91,115.63,113.51,115.19,606038
2015-08-14,115.09,116.49,114.79,116.17,512496
2015-08-17,115.33,117.15,114.57,117.0,481503
2015-08-18,116.37,116.7,115.35,115.68,628578
2015-08-19,115.0,115.99,113.425,114.01,749559
2015-08-20,112.96,113.95,111.23,111.23,833188
2015-08-21,111.0,111.73,108.85,108.94,1020006
2015-08-24,105.9,108.85,101.46,105.17,1733118
2015-08-25,107.91,107.91,103.52,103.57,1063737
2015-08-26,106.26,107.3,104.63,107.1,977450
2015-08-27,108.16,111.44,107.94,111.22,1292309
2015-08-28,110.66,112.18,109.14,111.67,764713
2015-08-31,111.34,112.42,110.69,111.83,1074247
2015-09-01,109.0,109.83,107.01,107.55,1429624
2015-09-02,109.17,109.21,107.24,108.35,1679777
2015-09-03,108.54,109.57,107.63,107.99,1089993
2015-09-04,106.72,107.28,105.84,106.26,723551
2015-09-08,107.75,109.64,107.45,109.62,874201
2015-09-09,109.78,110.48,106.01,106.19,945410
2015-09-10,106.0,106.46,104.5,105.15,1074887
2015-09-11,105.04,106.75,104.48,105.9,1114512
2015-09-14,105.74,106.28,104.69,104.94,668764
2015-09-15,105.76,106.6,104.76,106.55,1037188
2015-09-16,106.47,107.84,106.27,107.58,1299643
2015-09-17,107.35,107.61,105.51,105.84,1503568
2015-09-18,104.58,104.77,103.3,103.79,1685011
2015-09-21,104.03,104.975,103.68,104.01,854633
2015-09-22,102.45,103.54,102.07,103.1,1694935
2015-09-23,103.6,103.64,100.76,101.4,1367537
2015-09-24,100.09,101.64,99.0,101.05,1212175
2015-09-25,101.55,101.99,99.61,100.28,1046873
2015-09-28,99.33,102.0,99.193,99.9,1554068
2015-09-29,100.23,101.2296,99.925,100.36,1278980
2015-09-30,100.84,101.95,99.84,101.47,1551116
2015-10-01,101.42,102.0,99.77,100.36,1119346
