Date,Open,High,Low,Close,Volume
2015-06-22,40.47,40.6,40.34,40.39,763155
2015-06-23,40.35,40.42,40.05,40.12,847047
2015-06-24,40.03,40.16,39.83,39.83,898699
2015-06-25,39.87,39.9,39.58,39.65,970963
2015-06-26,39.68,39.94,39.55,39.92,2032828
2015-06-29,39.45,39.57,38.99,39.04,1023756
2015-06-30,39.31,39.37,39.01,39.17,1418407
2015-07-01,39.33,39.48,39.17,39.43,1076092
2015-07-02,39.48,39.53,39.23,39.44,974914
2015-07-06,39.24,39.665,39.202,39.66,1356687
2015-07-07,39.69,39.85,39.435,39.8,1413786
2015-07-08,39.58,39.81,39.51,39.58,1207002
2015-07-09,39.92,39.97,39.48,39.48,1392442
2015-07-10,39.84,39.85,39.6001,39.74,836980
2015-07-13,40.0,40.04,39.88,39.98,666073
2015-07-14,40.01,40.41,39.98,40.35,1008504
2015-07-15,40.37,40.53,40.29,40.41,1152471
2015-07-16,40.59,40.92,40.47,40.74,1184236
2015-07-17,40.93,40.93,40.7,40.76,1055580
2015-07-20,40.74,40.87,40.67,40.8,1054967
2015-07-21,40.82,40.87,40.16,40.39,1177361
2015-07-22,40.35,40.59,40.09,40.23,1370386
2015-07-23,40.06,40.766,40.06,40.6,2795443
2015-07-24,41.01,41.63,40.97,41.16,2549633
2015-07-27,41.14,41.73,41.08,41.53,2350766
2015-07-28,41.77,42.14,41.68,42.0,2371012
2015-07-29,42.0,42.84,41.99,42.77,2127717
2015-07-30,42.73,42.85,42.5385,42.75,1727124
2015-07-31,42.93,42.98,42.5,42.53,1613960
2015-08-03,42.57,42.72,42.27,42.55,1103516
2015-08-04,42.49,42.87,42.37,42.71,1361905
2015-08-05,42.97,43.35,42.86,43.21,1544932
2015-08-06,43.19,43.25,42.64,42.8,1639677
2015-08-07,42.8,42.95,42.49,42.59,1179376
2015-08-10,42.86,42.98,42.73,42.88,976162
2015-08-11,42.62,42.96,42.53,42.93,1131416
2015-08-12,42.77,42.931,42.46,42.87,1569481
2015-08-13,42.74,42.99,42.61,42.79,1186813
2015-08-14,42.84,43.19,42.84,43.11,1161643
2015-08-17,42.83,43.35,42.58,43.35,783906
2015-08-18,43.31,43.71,43.31,43.51,1248335
2015-08-19,43.29,43.37,42.855,42.95,1626230
