Date,Open,High,Low,Close,Volume
2015-06-22,54.09,54.1425,53.9,53.97,251909
2015-06-23,53.91,54.16,53.54,53.76,842238
2015-06-24,53.66,54.0,53.4,53.52,460234
2015-06-25,53.6,54.09,53.19,54.01,648620
2015-06-26,54.14,54.45,53.91,54.29,512337
2015-06-29,53.91,54.13,52.75,52.83,442524
2015-06-30,53.63,53.93,52.63,52.64,836907
2015-07-01,53.04,53.12,52.42,52.49,1039202
2015-07-02,52.66,52.84,52.08,52.24,786451
2015-07-06,51.93,52.36,51.75,52.21,1242914
2015-07-07,52.49,52.49,51.525,52.18,1044048
2015-07-08,51.87,51.925,50.9,50.99,621015
2015-07-09,51.56,51.77,51.0,51.02,628372
2015-07-10,51.59,51.71,51.29,51.53,633265
2015-07-13,51.88,52.22,51.678,52.03,735085
2015-07-14,52.14,53.35,51.87,53.0,1442621
2015-07-15,53.14,53.43,52.46,52.53,535264
2015-07-16,52.83,52.83,52.09,52.35,904146
2015-07-17,52.3,52.73,52.21,52.28,1007172
2015-07-20,52.35,52.65,52.18,52.25,1110794
2015-07-21,52.24,52.355,51.64,51.89,630599
2015-07-22,51.85,52.12,51.4322,51.9,710642
2015-07-23,51.91,52.07,51.54,51.63,637401
2015-07-24,51.45,51.67,50.85,50.89,734667
2015-07-27,50.79,50.86,50.17,50.43,589414
2015-07-28,50.76,50.91,50.325,50.7,1528193
2015-07-29,50.75,51.075,50.59,50.75,956807
2015-07-30,50.56,51.54,50.2,51.42,1085996
2015-07-31,51.7,53.22,51.31,52.92,915047
2015-08-03,52.96,53.17,52.29,52.5,963754
2015-08-04,52.54,53.14,52.46,52.92,732197
2015-08-05,53.225,53.72,52.83,52.85,641242
2015-08-06,52.99,52.99,51.51,51.62,398593
2015-08-07,51.56,51.56,50.615,51.2,531917
2015-08-10,51.49,51.87,51.29,51.59,451522
2015-08-11,51.22,51.42,50.42,50.7,613933
2015-08-12,50.34,50.34,49.05,50.08,1037982
2015-08-13,50.35,50.65,49.98,50.33,788446
2015-08-14,50.53,50.64,50.14,50.52,593208
2015-08-17,50.38,50.49,50.115,50.33,866084
