Date,Open,High,Low,Close,Volume
2015-06-22,120.46,120.67,119.58,119.705,423172
2015-06-23,120.19,120.79,119.38,120.16,522423
2015-06-24,119.5,120.64,118.27,119.04,626324
2015-06-25,119.48,119.93,118.7,119.58,486999
2015-06-26,120.18,120.25,117.21,117.31,2541621
2015-06-29,116.82,117.27,115.6,115.62,797202
2015-06-30,116.49,116.62,114.75,114.97,935661
2015-07-01,115.79,116.81,114.566,116.23,648639
2015-07-02,116.22,117.21,115.18,116.17,470500
2015-07-06,115.27,115.7,114.99,115.54,749133
2015-07-07,115.54,116.78,114.85,115.82,926911
2015-07-08,115.42,115.97,114.0703,114.94,706052
2015-07-09,115.93,116.57,115.19,115.62,526545
2015-07-10,116.71,117.06,115.92,116.61,436619
2015-07-13,116.92,117.99,115.23,115.77,572655
2015-07-14,116.04,116.95,115.87,116.49,485867
2015-07-15,116.27,117.22,115.61,116.47,640900
2015-07-16,117.09,118.0,116.59,116.79,642456
2015-07-17,117.21,117.21,115.03,115.11,747291
2015-07-20,115.02,115.91,113.92,115.85,766947
2015-07-21,115.89,116.45,114.69,116.36,626013
2015-07-22,116.4,117.26,115.56,115.79,505839
2015-07-23,116.29,119.72,116.045,119.34,1542501
2015-07-24,119.03,119.15,116.92,117.61,993181
2015-07-27,117.35,117.61,115.81,116.04,693602
2015-07-28,116.08,117.61,115.48,117.08,964986
2015-07-29,116.66,118.285,114.46,116.81,1203349
2015-07-30,116.3,118.985,114.4,118.21,1537674
2015-07-31,119.2,121.23,114.56,120.72,1328351
2015-08-03,120.93,121.61,120.04,121.24,1278043
2015-08-04,121.31,121.75,120.53,121.24,846566
2015-08-05,122.0,123.43,120.57,120.73,1095487
2015-08-06,121.64,124.05,120.49,121.48,1292072
2015-08-07,121.81,122.95,121.04,121.77,617261
2015-08-10,122.8,123.87,122.46,123.46,896236
2015-08-11,122.76,124.4,122.32,124.29,886521
2015-08-12,124.23,125.84,123.57,125.68,1053722
2015-08-13,125.41,126.2,124.81,125.87,624335
2015-08-14,124.86,127.9,124.86,127.4,599968
2015-08-17,127.39,128.16,126.705,128.01,415620
2015-08-18,128.01,128.4699,126.35,126.5,512982
