Date,Open,High,Low,Close,Volume
2015-06-22,32.98,33.48,32.98,33.37,5667990
2015-06-23,33.53,33.78,33.38,33.48,6173324
2015-06-24,33.35,33.495,32.965,33.07,4026433
2015-06-25,33.25,33.52,33.06,33.25,5647520
2015-06-26,33.42,33.605,33.12,33.53,13570050
2015-06-29,33.06,33.07,32.16,32.26,11162990
2015-06-30,32.65,32.83,32.23,32.65,8009311
2015-07-01,33.16,33.32,32.92,33.12,7414689
2015-07-02,32.99,32.99,32.59,32.85,4715556
2015-07-06,32.47,32.76,32.18,32.5,5971986
2015-07-07,32.39,32.53,31.66,32.39,9808183
2015-07-08,32.04,32.12,31.45,31.53,12312660
2015-07-09,32.09,32.385,31.91,32.18,12130240
2015-07-10,32.7,33.375,32.449,32.83,7849084
2015-07-13,33.16,33.54,33.09,33.47,7938864
2015-07-14,33.4,33.86,33.19,33.77,6366077
2015-07-15,33.83,33.91,33.46,33.65,7052012
2015-07-16,33.86,34.76,33.74,34.76,11587440
2015-07-17,34.76,34.9301,34.465,34.79,7489149
2015-07-20,34.93,35.225,34.87,34.99,6952143
2015-07-21,35.0,35.42,34.675,34.93,6416467
2015-07-22,34.82,35.3,34.54,35.25,7356616
2015-07-23,35.23,35.5298,34.78,34.96,6792937
2015-07-24,34.87,34.99,34.61,34.81,14035360
2015-07-27,34.45,34.48,33.84,34.08,7563206
2015-07-28,34.46,34.61,34.04,34.48,6562488
2015-07-29,34.56,34.99,34.39,34.82,6790180
2015-07-30,34.91,35.22,34.73,35.19,5121329
2015-07-31,35.03,35.07,34.37,34.88,9394070
2015-08-03,34.93,34.98,34.341,34.7,10480050
2015-08-04,34.64,35.38,34.63,35.21,7523204
2015-08-05,35.5,35.67,35.29,35.38,10247500
2015-08-06,35.51,35.72,34.81,35.1,6287875
2015-08-07,35.05,35.51,34.63,35.03,5219257
2015-08-10,35.4,35.59,35.34,35.42,6668157
2015-08-11,34.66,35.04,34.42,34.74,5121507
2015-08-12,34.32,34.33,33.01,33.85,10415540
2015-08-13,33.99,34.2,33.67,34.06,4253705
2015-08-14,34.01,34.33,33.94,34.33,3223498
2015-08-17,34.11,34.17,33.59,34.04,6397819
2015-08-18,33.96,34.09,33.565,33.92,5640830
2015-08-19,33.72,33.79,33.09,33.1,8724103
2015-08-20,32.69,32.75,32.18,32.19,10267400
2015-08-21,31.81,32.0002,30.92,30.93,11603330
2015-08-24,28.44,30.74,27.53,29.55,14441150
2015-08-25,30.58,30.58,28.77,28.8,14707660
2015-08-26,29.87,29.9,28.93,29.74,21358990
2015-08-27,30.15,30.72,29.76,30.36,17297980
2015-08-28,30.2,30.835,30.0,30.7,11162550
2015-08-31,30.58,30.69,30.3,30.38,7885871
2015-09-01,29.5,29.63,28.91,29.09,12887710
2015-09-02,29.62,29.7,28.91,29.4,10984070
2015-09-03,29.57,30.275,29.35,29.76,10581720
2015-09-04,29.44,29.69,28.83,29.1,7258041
2015-09-08,29.82,31.15,29.82,31.1,14207690
2015-09-09,31.47,31.86,30.5,30.58,8805964
2015-09-10,30.58,30.93,30.37,30.6,10878980
2015-09-11,30.57,30.57,30.03,30.49,6892010
2015-09-14,30.44,30.54,29.97,30.23,7141574
2015-09-15,30.41,31.0,30.22,30.82,9955278
2015-09-16,30.84,31.22,30.5,31.11,9796785
2015-09-17,31.11,31.715,29.63,29.78,19399800
2015-09-18,29.05,29.11,28.45,28.45,24461530
2015-09-21,28.87,29.29,28.7,29.05,9777283
2015-09-22,28.54,28.68,27.99,28.33,11568510
2015-09-23,28.33,28.745,28.23,28.48,6850874
2015-09-24,28.08,28.2,27.51,27.88,13859830
2015-09-25,28.52,29.45,28.22,28.42,18246350
2015-09-28,28.05,28.16,27.1,27.28,9988420
2015-09-29,27.35,27.8,27.13,27.58,13568270
2015-09-30,28.05,28.59,27.98,28.56,11409530
2015-10-01,28.52,28.64,27.84,28.55,10716180
2015-10-02,27.0,27.68,26.4,27.6,30331120
2015-10-05,27.91,28.4,27.7901,28.37,8283589
2015-10-06,28.17,28.24,27.595,27.66,13203970
2015-10-07,27.87,28.135,27.48,28.13,12259750
2015-10-08,27.95,28.49,27.81,28.33,9136319
2015-10-09,28.34,28.63,28.09,28.22,8358739
2015-10-12,28.15,28.4,27.99,28.39,5291460
2015-10-13,28.12,28.54,28.06,28.09,5356016
2015-10-14,27.98,28.035,27.51,27.78,11201080
2015-10-15,27.82,28.63,27.73,28.6,7433532
2015-10-16,28.89,28.89,28.35,28.68,9047794
2015-10-19,28.32,28.7,28.21,28.5,7015374
2015-10-20,28.56,29.4,28.49,29.35,9334639
2015-10-21,29.48,29.62,28.81,28.86,7024345
2015-10-22,28.96,29.61,28.85,29.45,7644924
2015-10-23,29.91,30.49,29.78,30.43,11372920
2015-10-26,30.37,30.51,30.08,30.45,6335425
2015-10-27,30.12,30.31,29.61,29.85,8956050
2015-10-28,29.86,31.05,29.77,30.94,25173420
2015-10-29,30.94,31.28,30.57,31.0,9489283
2015-10-30,30.9,31.05,30.48,30.52,6254194
2015-11-02,30.66,31.48,30.47,31.37,7030948
2015-11-03,31.26,31.7305,31.16,31.49,7132754
2015-11-04,31.52,31.73,31.39,31.44,7214592
2015-11-05,31.56,31.8,31.488,31.57,8704419
2015-11-06,32.52,34.17,32.52,33.51,27111970
2015-11-09,33.59,33.88,33.38,33.49,17265330
2015-11-10,33.28,33.46,32.8829,33.33,9354789
2015-11-11,33.32,33.77,33.32,33.53,6998546
2015-11-12,33.09,33.26,32.67,32.79,7987758
2015-11-13,32.62,32.91,32.18,32.31,8309580
2015-11-16,32.26,32.59,31.9,32.59,7966730
2015-11-17,32.79,33.24,32.29,32.81,7766092
2015-11-18,32.87,33.515,32.765,33.4,8036448
2015-11-19,33.36,33.56,32.95,33.04,7105958
2015-11-20,33.25,33.43,33.16,33.34,9207264
2015-11-23,33.42,33.55,33.21,33.29,5874459
2015-11-24,32.91,33.565,32.79,33.5,9006803
2015-11-25,33.67,33.81,33.43,33.69,11356580
2015-11-27,33.69,33.79,33.43,33.74,2004059
2015-11-30,33.93,33.95,33.46,33.71,6604548
2015-12-01,33.92,34.16,33.46,34.02,6548523
2015-12-02,34.13,34.22,33.48,33.59,7199546
2015-12-03,33.79,33.845,32.95,32.98,9018355
2015-12-04,33.32,34.52,33.17,34.51,14250300
2015-12-07,34.39,34.48,33.875,34.08,6641331
2015-12-08,33.73,34.1,33.6,33.86,6117865
2015-12-09,33.67,34.1,32.835,32.97,9684789
2015-12-10,33.01,33.65,32.88,33.26,4641282
2015-12-11,32.63,32.8,31.67,31.77,10214500
2015-12-14,32.05,32.61,31.62,32.25,11833230
2015-12-15,32.69,33.29,32.69,33.18,10842140
2015-12-16,33.62,34.0,32.82,33.81,15132100
2015-12-17,34.03,34.11,33.08,33.21,7335312
2015-12-18,32.89,33.03,31.9,31.91,14211600
2015-12-21,32.23,32.4,31.87,32.21,6950140
2015-12-22,32.55,32.99,32.16,32.9,5330533
2015-12-23,33.14,33.17,32.74,33.06,6389806
