Date,Open,High,Low,Close,Volume
2015-06-22,94.3967,95.1567,94.1934,95.06,1657128
2015-06-23,95.3333,95.43,94.5183,94.84,1247268
2015-06-24,94.7167,94.7167,93.9933,93.9933,1251312
2015-06-25,94.1967,94.6767,93.9067,94.2,1198581
2015-06-26,94.2833,94.79,93.8334,94.3633,1584159
2015-06-29,93.21,93.93,92.0833,92.09,2308953
2015-06-30,92.5733,92.97,91.6667,91.6733,1514382
2015-07-01,92.0533,93.7167,91.7733,93.6033,1792176
2015-07-02,94.09,94.13,92.46,92.5567,1523343
2015-07-06,91.6667,93.7233,91.6667,93.32,1768674
2015-07-07,93.6533,94.6567,93.205,94.5433,2096769
2015-07-08,94.0467,94.7033,93.6467,93.6467,2502546
2015-07-09,94.8067,95.0,92.38,92.47,1963506
2015-07-10,92.8333,93.3333,92.2367,92.7367,2049954
2015-07-13,93.52,94.1567,93.1467,94.0267,1614618
2015-07-14,93.7767,94.8867,93.6867,94.76,1696404
2015-07-15,94.6667,95.3133,94.0033,94.0533,2908119
2015-07-16,85.3567,88.8967,83.4233,87.0767,21493940
2015-07-17,87.08,89.6667,86.5633,88.67,6581614
2015-07-20,88.67,90.01,88.3333,89.2067,3331494
2015-07-21,89.6567,90.17,88.7933,88.9967,2945220
2015-07-22,89.0,91.5533,89.0,91.23,3859545
2015-07-23,91.1467,91.1467,89.85,90.16,2211609
2015-07-24,90.1533,90.4133,88.5467,89.04,2082312
2015-07-27,88.68,89.04,88.1833,88.68,1694958
2015-07-28,88.4967,91.32,88.4967,91.28,2419863
2015-07-29,91.41,93.5033,91.05,92.9333,2845134
2015-07-30,92.7333,93.0,91.9333,92.64,1750392
2015-07-31,93.1533,93.2967,92.4933,92.5867,2350203
2015-08-03,92.7733,93.0633,92.0633,92.7367,1899192
2015-08-04,92.7433,93.2433,92.3467,92.5067,1191051
2015-08-05,93.3333,93.3333,91.3,91.5567,2694774
2015-08-06,91.2833,91.83,90.1433,90.5733,2184192
2015-08-07,90.4133,90.4267,89.18,89.78,2123076
2015-08-10,90.6467,91.4073,90.1133,91.1633,1521309
2015-08-11,90.27,90.65,89.65,90.34,1953534
2015-08-12,89.9,91.333,89.1567,91.0567,2214519
2015-08-13,91.2133,92.9367,90.55,92.0033,1662498
2015-08-14,91.8633,93.7333,91.56,93.1233,1706571
2015-08-17,93.12,95.4967,92.8267,94.8967,2374212
2015-08-18,95.0,96.1533,94.3867,95.0233,2155632
2015-08-19,94.6233,95.05,93.9013,93.9733,2163075
2015-08-20,93.1567,93.2733,89.52,89.64,3514458
2015-08-21,88.67,88.875,86.0767,87.1167,4901598
2015-08-24,83.8733,88.5867,83.5733,84.7733,4631406
2015-08-25,87.5167,87.77,82.8333,82.8833,3769746
2015-08-26,84.5833,85.3667,83.0333,85.1833,2906871
2015-08-27,86.15,87.47,85.1033,86.4567,2014008
2015-08-28,86.1467,86.6367,85.38,86.0367,1495254
2015-08-31,85.61,86.5567,85.0367,85.27,1839834
2015-09-01,83.9367,84.4833,82.53,82.8433,1983543
2015-09-02,83.7933,84.7067,83.0933,84.7067,2019342
2015-09-03,85.0,86.16,84.84,85.29,1674189
2015-09-04,84.46,85.39,84.0133,84.62,1515396
2015-09-08,86.0167,87.2233,85.4867,87.21,1386423
2015-09-09,88.1967,88.3333,85.66,85.76,1787322
2015-09-10,85.4333,86.3067,84.97,85.22,1950561
2015-09-11,85.0,85.4567,84.5717,85.22,1613322
2015-09-14,85.4967,85.6867,83.7067,83.9833,2466144
2015-09-15,84.5667,84.84,83.4033,83.5567,2891841
2015-09-16,83.5567,84.9967,82.9167,83.5433,3252036
2015-09-17,83.5433,85.8933,82.9333,84.39,3008511
2015-09-18,82.8,83.58,81.9867,82.2167,2832189
2015-09-21,82.88,83.1733,81.1767,81.4233,3433905
2015-09-22,80.61,80.64,78.5833,79.0833,5756935
2015-09-23,78.32,79.3267,77.4467,77.54,4986756
2015-09-24,76.99,76.99,74.9433,75.9333,6755347
2015-09-25,76.6067,77.57,75.5967,75.83,4137606
2015-09-28,76.7167,76.7167,73.2233,73.52,4234671
2015-09-29,73.42,74.4267,72.7567,72.98,4827516
2015-09-30,73.9833,75.0567,73.7647,74.26,7592281
2015-10-01,74.2533,77.6633,73.4767,77.3067,6678790
2015-10-02,76.5233,79.0633,75.7667,79.0,4762383
2015-10-05,79.6133,80.7433,79.6133,80.39,3445458
2015-10-06,80.25,80.71,78.5333,78.8933,3625257
2015-10-07,77.5867,80.3533,77.5,79.7067,2515938
2015-10-08,79.7,81.6067,79.2367,81.4033,2202381
2015-10-09,81.3067,82.0033,80.3767,80.9533,2049684
2015-10-12,80.67,81.39,80.4533,81.2567,1404573
2015-10-13,80.62,81.6633,80.3333,81.6333,2439141
2015-10-14,81.17,81.7433,80.7667,80.8367,2249382
2015-10-15,80.2633,80.4,78.6,78.6933,5329168
2015-10-16,78.8233,81.1567,78.5433,81.0567,3411534
2015-10-19,80.69,81.3687,79.6433,80.9567,2618601
2015-10-20,80.92,81.24,79.48,79.8667,2435487
2015-10-21,80.1833,80.65,78.7517,79.4533,2698044
2015-10-22,80.2567,82.4767,79.5533,82.31,3038148
2015-10-23,83.0867,83.31,81.17,81.9233,1850322
2015-10-26,82.2967,82.5733,81.1133,82.4133,1983864
2015-10-27,81.6667,81.6667,80.0967,80.6367,3067656
2015-10-28,80.7767,82.4367,80.415,82.2533,4003188
2015-10-29,86.6567,87.2833,83.0,86.0367,6517537
2015-10-30,86.84,89.9533,86.0133,88.9433,5587444
2015-11-02,89.4733,90.24,88.4733,89.9433,3035118
2015-11-03,89.8567,90.18,89.0983,89.9967,2337099
2015-11-04,90.42,90.7367,89.3467,90.2333,2483034
2015-11-05,90.4967,90.73,89.1767,89.37,3049131
2015-11-06,89.1933,89.64,88.2833,89.0767,2045541
2015-11-09,89.1733,89.2333,87.86,88.8533,1581384
2015-11-10,88.4133,88.8352,87.6833,88.19,1335996
2015-11-11,88.2933,89.2133,87.5933,88.7067,1550076
2015-11-12,88.1367,88.4167,87.1117,87.3633,1529685
2015-11-13,87.4333,88.3233,86.5067,87.5433,2158137
2015-11-16,87.5433,89.1733,86.76,88.97,2131428
2015-11-17,89.1133,91.0567,89.0033,89.91,2978487
2015-11-18,89.48,91.0,89.3967,90.87,1926426
2015-11-19,91.0,91.6667,90.7333,90.94,1660656
2015-11-20,90.8733,91.9767,90.6667,91.4267,2302404
2015-11-23,91.4267,93.1533,91.4267,91.8133,1927908
2015-11-24,90.8533,92.8433,90.4667,92.1067,1947153
2015-11-25,92.4967,92.55,91.7033,91.9267,1275195
2015-11-27,92.06,92.8233,91.73,92.2767,602601
2015-11-30,92.2433,92.2567,91.23,92.0233,2588430
2015-12-01,92.3567,94.0,92.2033,92.52,1952910
2015-12-02,92.5867,92.5867,90.7,91.07,2072409
2015-12-03,91.4033,91.45,88.2233,88.67,3088722
2015-12-04,89.28,90.8533,89.2567,90.8067,2109384
2015-12-07,90.35,91.3067,89.3733,90.2,1393326
2015-12-08,89.35,91.11,89.34,90.2867,1489410
2015-12-09,89.89,91.2767,88.99,89.2367,1341111
2015-12-10,89.74,89.9967,88.6667,88.8467,1493385
2015-12-11,88.0233,88.2933,87.1,87.2933,2159916
2015-12-14,87.38,87.8633,86.7367,87.78,1469211
2015-12-15,88.7167,88.9467,87.5733,87.7967,1853730
2015-12-16,88.7267,90.0767,88.3667,89.84,1983492
2015-12-17,90.1633,90.3333,87.6933,87.7333,1712346
2015-12-18,87.0067,87.25,85.3633,85.41,2311269
2015-12-21,86.0467,87.11,84.8967,87.03,2479536
2015-12-22,87.35,87.6467,86.58,87.2833,1143993
2015-12-23,87.9267,89.4367,87.75,89.05,1353297
2015-12-24,88.7733,89.4783,88.2767,88.39,340794
2015-12-28,87.75,88.58,87.75,88.0767,913254
2015-12-29,88.67,88.7933,87.97,88.2967,1276251
2015-12-30,87.9833,88.7967,87.2333,87.4833,1587300
2015-12-31,87.1367,87.8333,86.53,86.5333,1855554
2016-01-04,85.77,86.6783,83.7033,84.9167,3405027
2016-01-05,85.5233,86.22,84.9467,85.26,2272059
2016-01-06,83.6733,84.1067,82.1733,82.7933,2370768
2016-01-07,81.21,83.03,80.1867,80.5233,2642361
2016-01-08,81.1333,81.59,80.3433,80.59,3164364
2016-01-11,80.8333,81.2983,79.8467,80.6567,2174814
2016-01-12,81.2833,82.3067,81.02,82.14,3054987
2016-01-13,82.61,82.61,80.1433,80.3867,1758129
2016-01-14,81.22,82.17,80.34,81.08,2503740
2016-01-15,79.4933,81.1767,79.0867,80.7,2650287
2016-01-19,81.1633,81.32,78.68,79.7833,3081426
2016-01-20,80.0,81.9233,78.32,81.79,6558922
2016-01-21,81.73,83.2933,79.9633,81.99,4894503
2016-01-22,82.81,84.7,82.3567,83.3367,2888787
2016-01-25,82.8,83.2267,81.3133,81.38,2596659
2016-01-26,81.9367,83.4667,81.5267,83.14,2197611
2016-01-27,83.14,85.03,82.4267,84.0833,4251435
2016-01-28,81.1167,86.09,81.1167,83.22,5981452
2016-01-29,83.4867,86.52,83.4867,85.2233,4042359
2016-02-01,83.33,85.6133,81.9367,84.95,2338035
2016-02-02,84.4533,85.0333,82.7033,82.9833,1938702
2016-02-03,82.8733,85.63,81.8467,85.62,2373531
2016-02-04,85.55,86.87,84.6267,86.7533,2475561
2016-02-05,86.5167,86.94,84.4733,85.3733,3181086
2016-02-08,84.4267,85.0767,80.3,82.21,2997255
2016-02-09,82.0633,84.7533,81.9233,84.1433,2452329
2016-02-10,84.6667,86.1067,83.99,84.2367,1930206
2016-02-11,82.5867,83.3667,81.5733,82.6267,2197230
2016-02-12,83.6267,85.66,82.9133,85.55,2001294
2016-02-16,86.3533,86.79,84.8867,86.3133,1739727
2016-02-17,87.2567,87.8567,85.8668,86.3833,2067735
2016-02-18,86.3567,86.4667,84.7833,84.9267,2021574
2016-02-19,84.82,85.5367,84.2567,85.17,1744611
2016-02-22,85.8933,86.58,85.5967,85.9333,1734870
2016-02-23,86.0633,86.5367,84.5067,84.9033,1686708
2016-02-24,84.2567,86.64,83.9267,86.57,1900578
2016-02-25,86.7867,88.5367,85.83,88.4867,2423862
2016-02-26,88.96,92.4667,88.6667,91.01,4752873
2016-02-29,90.8,92.27,90.06,90.1667,3590280
2016-03-01,90.6467,94.6567,90.6467,93.72,3399564
2016-03-02,92.7833,93.28,90.879,91.23,2703624
2016-03-03,92.0567,92.4317,90.1183,90.6633,2745135
2016-03-04,91.0667,92.5333,90.11,92.27,2150880
2016-03-07,91.7167,92.7767,91.175,92.0933,1884066
2016-03-08,91.3033,92.9167,90.75,92.0633,2430993
2016-03-09,92.37,93.0,91.2967,91.7367,2309127
2016-03-10,92.81,94.5667,92.1733,93.2,2690292
2016-03-11,94.32,95.6567,94.0833,94.9433,3137589
2016-03-14,94.7567,95.3767,94.3467,94.5633,1876371
2016-03-15,93.8733,94.96,93.6767,94.2467,1710375
2016-03-16,94.7733,95.7333,94.2467,95.67,2039475
2016-03-17,95.34,95.9633,94.7867,95.6967,2473446
2016-03-18,95.7967,96.33,95.17,96.23,2737677
2016-03-21,95.78,96.0967,90.18,91.0967,13573747
2016-03-22,91.0467,96.6333,90.9867,94.0,5370118
2016-03-23,93.91,95.1267,93.3333,94.33,3564414
2016-03-24,93.8867,94.3967,93.2833,93.7833,1872570
2016-03-28,94.34,94.9767,93.9133,94.6433,1580415
2016-03-29,94.1467,95.37,93.8118,95.2,1847649
2016-03-30,95.7167,95.7833,94.1933,94.81,1823589
2016-03-31,94.6633,95.1633,93.8767,94.89,2161599
2016-04-01,94.2367,96.0367,93.85,95.8833,1963953
2016-04-04,96.0067,96.4467,94.5267,95.71,1368783
2016-04-05,94.61,96.4767,94.6067,95.7467,1823073
2016-04-06,95.4033,96.96,95.1317,96.9233,2206212
2016-04-07,96.5933,97.7517,96.27,97.5767,3825648
2016-04-08,98.1333,99.0833,98.0,98.9933,3042033
2016-04-11,98.98,99.5833,98.02,98.2367,2356464
2016-04-12,98.1733,99.5367,98.0867,99.22,2214618
2016-04-13,99.5167,99.9967,98.79,99.0267,2873376
2016-04-14,98.89,99.1267,97.58,98.1667,2327916
2016-04-15,98.3233,99.2033,98.2233,98.81,1454016
2016-04-18,98.6667,99.14,97.8367,98.9233,1627395
2016-04-19,99.2067,99.44,98.7533,99.4333,1716105
2016-04-20,99.5967,100.5333,98.6312,100.0067,2719017
2016-04-21,101.0,103.0,97.5433,99.1233,5534032
2016-04-22,99.3867,100.0,97.92,99.7,2179536
