Date,Open,High,Low,Close,Volume
2015-06-22,86.91,87.24,85.8,86.97,7236669
2015-06-23,86.68,88.085,86.49,88.0,5920168
2015-06-24,87.26,88.12,87.03,87.51,6548145
2015-06-25,87.36,87.72,86.67,86.67,5831559
2015-06-26,86.39,87.32,86.07,86.67,25467740
2015-06-29,85.6,86.61,85.55,85.66,6987425
2015-06-30,86.38,86.49,85.01,86.19,8026996
2015-07-01,86.42,86.6911,83.92,84.3,10108800
2015-07-02,84.6,84.89,83.94,84.01,7606427
2015-07-06,82.87,84.23,82.4,83.49,7608013
2015-07-07,83.63,84.64,82.22,84.2,9404567
2015-07-08,83.94,84.46,82.58,82.92,6745536
2015-07-09,84.28,84.34,83.33,83.55,7410506
2015-07-10,84.28,84.55,83.24,83.96,6503462
2015-07-13,84.02,84.48,83.47,84.29,5606874
2015-07-14,84.4,86.11,84.18,85.29,6087796
2015-07-15,84.76,84.98,83.52,83.63,8792895
2015-07-16,84.58,84.76,83.67,83.89,6611388
2015-07-17,84.21,84.95,83.17,83.71,9066585
2015-07-20,84.24,84.53,83.445,83.52,7110588
2015-07-21,83.38,85.29,83.12,84.3,7718003
2015-07-22,83.98,85.855,83.55,85.26,10506540
2015-07-23,85.23,86.61,84.92,86.02,6328118
2015-07-24,85.75,85.805,82.66,82.9,8475394
2015-07-27,82.0,82.5,81.25,81.76,7183110
2015-07-28,82.54,83.055,81.15,82.5,8330438
2015-07-29,82.0,84.27,81.92,83.89,8479479
2015-07-30,84.06,84.42,83.08,83.52,4649948
2015-07-31,83.1,83.51,82.6301,82.82,5568630
2015-08-03,82.04,83.15,81.66,82.08,6780052
2015-08-04,82.34,83.0,81.87,82.27,4685599
2015-08-05,82.94,83.95,82.13,82.5,5798752
2015-08-06,82.13,84.19,81.75,83.59,8252729
2015-08-07,83.22,83.85,81.95,82.25,6274920
2015-08-10,82.2,84.48,82.16,84.44,6764955
2015-08-11,82.97,84.45,82.56,84.36,6081841
2015-08-12,83.99,85.04,82.87,84.83,6745421
2015-08-13,84.39,84.69,83.44,84.09,5888599
2015-08-14,84.02,85.12,83.52,83.86,4201264
2015-08-17,83.06,83.85,83.06,83.5,4832806
2015-08-18,83.55,83.78,82.62,83.15,5106195
2015-08-19,82.37,82.94,80.4,80.67,9408178
2015-08-20,80.47,81.83,79.44,79.44,8372536
