Date,Open,High,Low,Close,Volume
2015-06-22,160.98,161.5,160.31,160.89,222019
2015-06-23,161.16,161.74,160.24,160.51,253907
2015-06-24,160.45,161.29,160.08,160.57,257098
2015-06-25,161.33,161.48,160.0411,160.47,442083
2015-06-26,160.65,162.26,160.15,162.19,1163196
2015-06-29,161.15,161.61,158.295,158.52,288209
2015-06-30,159.93,161.0,158.77,159.25,394662
2015-07-01,160.65,161.62,159.72,161.5,322290
2015-07-02,162.11,162.29,159.6,160.79,314183
2015-07-06,159.5,160.955,159.07,159.92,251391
2015-07-07,159.96,160.875,158.11,160.84,537993
2015-07-08,160.21,160.54,159.03,159.85,463879
2015-07-09,162.25,162.44,159.41,159.45,259261
2015-07-10,161.24,161.82,159.83,160.87,316933
2015-07-13,161.81,162.97,161.77,162.6,370328
2015-07-14,162.86,164.18,162.83,163.35,347504
2015-07-15,163.39,163.77,162.37,162.6,187597
2015-07-16,163.17,163.86,160.64,161.69,631215
2015-07-17,161.39,162.69,160.73,162.59,376286
2015-07-20,162.43,164.47,162.43,163.97,269198
2015-07-21,163.34,163.94,161.43,162.55,340429
2015-07-22,162.25,162.7781,161.28,162.13,415238
2015-07-23,161.42,164.165,160.45,162.07,594655
2015-07-24,162.75,163.44,159.37,159.74,448658
2015-07-27,157.89,159.68,156.81,157.09,503253
2015-07-28,157.09,161.33,157.09,161.13,451255
2015-07-29,161.77,164.38,160.79,164.22,346982
2015-07-30,163.73,164.82,162.63,164.38,243314
2015-07-31,165.0,165.86,164.36,164.8,244839
2015-08-03,164.85,165.28,162.5,163.61,302627
2015-08-04,163.25,166.0,163.25,165.58,344023
2015-08-05,166.82,169.07,166.69,167.39,491804
2015-08-06,167.38,168.28,165.46,165.88,284712
2015-08-07,165.8,166.94,164.83,166.07,318995
2015-08-10,167.72,169.06,167.21,167.51,368680
2015-08-11,166.23,166.56,164.65,165.14,396521
2015-08-12,163.89,165.26,162.48,165.11,293445
2015-08-13,164.84,167.17,164.84,166.53,269557
2015-08-14,166.57,168.2,166.2,168.07,184309
2015-08-17,168.08,169.69,166.9,169.51,313390
2015-08-18,169.77,170.7,169.69,169.99,234530
2015-08-19,169.3,170.385,168.12,169.48,318636
2015-08-20,167.96,169.07,166.58,166.69,352668
2015-08-21,164.54,166.58,160.87,160.92,894787
2015-08-24,152.87,159.5,150.48,154.26,777750
2015-08-25,157.47,157.66,151.45,151.48,715033
2015-08-26,154.94,155.85,150.87,155.69,588234
2015-08-27,157.87,160.43,156.97,160.05,481471
2015-08-28,159.29,160.94,158.74,159.89,304148
2015-08-31,158.89,160.99,158.489,159.77,280784
2015-09-01,156.99,156.99,153.52,154.44,523999
2015-09-02,155.79,156.01,153.42,155.42,472448
2015-09-03,155.8,158.27,155.61,157.41,403805
2015-09-04,154.75,156.36,153.75,154.4,329410
2015-09-08,157.36,159.78,156.7,159.74,293210
2015-09-09,160.89,161.9433,157.42,157.66,210279
2015-09-10,157.42,159.11,156.97,157.64,267182
2015-09-11,156.99,158.3,156.69,157.86,353435
2015-09-14,157.88,158.3,156.91,157.92,383583
2015-09-15,158.55,159.52,157.8,158.54,443115
2015-09-16,158.72,159.815,158.18,159.09,467088
2015-09-17,159.07,161.44,158.56,159.15,355728
2015-09-18,157.31,158.308,155.4,155.58,1644900
2015-09-21,156.84,158.28,156.045,156.99,327133
2015-09-22,155.06,155.56,154.01,155.29,359004
2015-09-23,155.58,155.58,153.43,153.77,359753
2015-09-24,152.33,154.22,150.57,152.37,538088
2015-09-25,153.48,154.52,152.81,153.73,385550
2015-09-28,152.51,152.99,150.04,150.64,324887
2015-09-29,151.54,151.695,147.98,148.9,576102
2015-09-30,150.32,151.75,148.73,150.94,542111
2015-10-01,151.11,152.33,148.825,149.61,522560
2015-10-02,147.63,151.31,146.52,151.31,712598
2015-10-05,153.45,156.124,153.45,155.18,687269
2015-10-06,155.17,155.96,154.1001,154.57,303661
2015-10-07,155.24,157.45,154.99,157.3,449743
2015-10-08,156.54,162.68,156.2,161.72,538396
2015-10-09,161.99,163.2,161.17,161.89,265847
2015-10-12,161.98,163.74,161.46,163.6,252673
2015-10-13,162.85,164.0,161.47,161.79,235273
2015-10-14,161.45,162.86,158.63,158.95,538704
2015-10-15,159.55,160.77,157.56,160.6,393642
2015-10-16,160.81,161.065,159.14,159.97,244376
2015-10-19,159.27,160.2,158.7,159.78,222948
2015-10-20,159.56,161.25,158.01,159.34,409398
2015-10-21,160.1,161.84,159.0,160.08,510287
2015-10-22,162.59,166.98,161.6,164.11,571411
2015-10-23,165.08,165.8485,162.62,164.0,521058
2015-10-26,163.77,164.6559,162.0801,162.36,343857
2015-10-27,161.61,162.04,160.37,160.9,329676
2015-10-28,161.39,165.11,161.18,164.83,374866
2015-10-29,164.65,165.7818,163.37,164.8,272137
2015-10-30,164.84,166.87,164.0,165.89,359639
2015-11-02,165.86,167.2399,164.32,166.83,242675
2015-11-03,166.28,168.27,165.75,167.8,378945
2015-11-04,168.13,169.74,167.92,169.01,296603
2015-11-05,169.59,169.99,167.7,169.45,264354
2015-11-06,169.28,170.51,167.97,170.17,256668
2015-11-09,169.78,170.1,168.505,169.33,388380
