Date,Open,High,Low,Close,Volume
2015-06-22,79.94,79.99,79.335,79.52,1955807
2015-06-23,79.87,80.21,79.655,79.9,1727561
2015-06-24,79.53,80.12,79.42,79.76,2429637
2015-06-25,79.91,79.98,78.66,78.66,1823606
2015-06-26,79.0,79.23,78.66,78.98,2453358
2015-06-29,77.7,78.05,76.26,76.29,2330288
2015-06-30,77.43,77.73,76.2,77.0,2507349
2015-07-01,77.93,78.06,77.09,77.43,1408430
2015-07-02,77.12,77.41,76.4,77.01,1396019
2015-07-06,76.07,76.66,75.84,76.62,1272797
2015-07-07,76.47,76.76,74.61,76.63,1929943
2015-07-08,75.88,75.965,74.5,74.6,1398283
2015-07-09,75.72,76.28,74.86,74.95,2543136
2015-07-10,75.92,76.34,75.64,75.97,2047502
2015-07-13,77.02,77.3,76.5901,77.22,1740529
2015-07-14,76.86,77.62,76.86,77.54,1531695
2015-07-15,77.85,78.1,77.45,77.99,1288156
2015-07-16,78.3,79.45,78.3,79.3,2401812
2015-07-17,79.16,79.475,78.91,79.38,1447485
2015-07-20,79.55,80.05,79.01,79.8,1961576
2015-07-21,79.65,80.79,79.34,79.95,1938173
2015-07-22,79.54,81.03,79.54,80.82,2157872
2015-07-23,80.89,81.26,79.48,79.71,2069704
2015-07-24,77.8,77.8,75.12,75.38,5198477
2015-07-27,74.6,74.98,73.63,74.83,3448796
2015-07-28,75.23,76.18,74.79,76.17,2740450
2015-07-29,76.29,76.5,75.93,76.42,1879711
2015-07-30,76.45,77.16,76.37,77.15,1232699
2015-07-31,77.15,77.33,76.41,76.56,1928868
2015-08-03,76.6,77.22,76.07,77.19,2011015
2015-08-04,77.32,78.18,76.96,78.15,2136093
2015-08-05,78.88,79.36,78.0,78.1,1668440
2015-08-06,78.0,79.0,77.89,78.35,2680266
2015-08-07,78.18,78.86,77.47,78.51,1448940
2015-08-10,79.29,79.7959,79.01,79.53,2062464
2015-08-11,78.44,79.0,78.02,78.43,2038571
2015-08-12,77.55,77.69,75.81,77.21,2943110
2015-08-13,77.03,77.945,77.03,77.55,1915063
2015-08-14,77.29,78.509,77.29,78.47,1496177
