Date,Open,High,Low,Close,Volume
2015-06-22,120.42,120.42,119.286,119.56,1040336
2015-06-23,120.17,120.22,119.3201,119.42,960842
2015-06-24,119.41,119.71,117.63,117.74,1084678
2015-06-25,118.18,118.75,117.59,117.67,1149369
2015-06-26,118.07,118.27,116.905,117.4,1432546
2015-06-29,116.63,117.21,115.53,115.6,867173
2015-06-30,116.7,117.0699,115.88,116.02,1319466
2015-07-01,120.37,120.54,116.0,116.0,2579007
2015-07-02,116.88,118.74,116.315,117.09,1632372
2015-07-06,116.14,116.63,115.6,116.22,1481760
2015-07-07,116.3,117.73,114.6701,117.5,1179994
2015-07-08,116.85,117.179,115.65,115.88,914885
2015-07-09,117.39,117.76,115.45,115.54,813355
2015-07-10,116.87,117.3,115.54,116.04,630524
2015-07-13,116.49,117.1,116.21,117.04,692229
2015-07-14,116.9,117.8,116.59,117.65,960384
2015-07-15,117.66,117.83,116.35,116.44,840340
2015-07-16,117.28,117.79,116.75,117.54,762667
2015-07-17,117.2,117.99,117.14,117.78,724222
2015-07-20,117.8,118.25,117.44,117.92,481333
2015-07-21,117.73,118.08,116.46,116.99,477335
2015-07-22,116.89,119.41,116.4919,119.37,1051882
2015-07-23,119.36,119.58,117.345,117.56,642306
2015-07-24,117.43,118.13,116.32,116.43,667969
2015-07-27,116.01,117.4,115.41,117.34,997967
2015-07-28,118.0,118.0,116.55,117.74,752393
2015-07-29,118.03,118.99,117.72,118.63,692198
2015-07-30,117.73,119.61,116.5601,119.0,753719
2015-07-31,119.43,120.16,118.92,120.02,1389264
2015-08-03,120.61,121.67,120.32,121.03,1233741
2015-08-04,120.95,121.45,120.64,121.24,989558
2015-08-05,121.7,123.435,121.26,123.35,837806
2015-08-06,123.98,124.5,123.43,124.18,1255110
2015-08-07,123.77,123.98,122.81,123.53,865581
2015-08-10,124.3,124.98,123.76,123.99,972560
2015-08-11,123.1,125.18,122.74,125.07,958625
2015-08-12,123.99,125.36,123.02,125.25,1477716
2015-08-13,125.67,128.04,125.11,127.53,1891265
2015-08-14,127.33,128.13,126.97,128.01,1162046
2015-08-17,127.47,128.63,126.98,128.51,963421
2015-08-18,128.58,130.42,128.58,129.7,1351984
2015-08-19,129.32,130.08,128.055,129.73,1198968
2015-08-20,128.59,129.8,128.29,128.67,1342084
2015-08-21,127.9,127.9,122.85,123.11,1955077
2015-08-24,115.27,122.605,114.49,119.28,3020432
2015-08-25,123.23,123.56,119.47,120.01,1635513
2015-08-26,121.88,125.34,120.12,124.88,3342006
2015-08-27,126.11,127.82,125.02,127.04,1718330
2015-08-28,126.49,128.03,126.0,127.94,1213360
2015-08-31,127.77,128.37,126.76,128.0,1584535
2015-09-01,127.0,128.71,126.545,127.72,2724748
2015-09-02,129.07,129.09,127.54,129.0,1609579
2015-09-03,129.44,130.29,128.64,129.0,1371609
2015-09-04,127.22,128.3,126.83,127.52,1446809
2015-09-08,128.96,129.17,127.24,129.16,1314502
2015-09-09,129.96,129.99,125.55,125.91,1506783
2015-09-10,125.88,127.84,125.73,127.41,884196
2015-09-11,125.81,127.46,125.53,127.41,1264002
2015-09-14,127.75,128.15,126.9,127.9,778422
2015-09-15,128.31,128.93,127.64,128.54,1223613
2015-09-16,129.56,131.38,128.87,131.16,2018184
2015-09-17,131.19,132.2,130.13,130.41,1403732
2015-09-18,129.01,130.5,127.35,127.35,3865070
2015-09-21,127.97,129.34,127.58,128.22,1276186
2015-09-22,127.09,128.14,126.3152,127.24,905382
2015-09-23,127.87,128.57,127.44,128.05,606626
2015-09-24,127.34,127.83,126.3,127.12,589748
2015-09-25,128.78,130.0,127.71,129.82,1663659
2015-09-28,129.47,129.62,125.21,125.93,1312048
2015-09-29,125.79,126.48,122.351,123.5,1479739
2015-09-30,125.2,125.5,123.51,125.21,1437968
2015-10-01,125.15,127.77,124.57,127.7,1533231
2015-10-02,126.59,129.21,126.0,129.12,1123836
2015-10-05,130.0,132.53,129.6,132.24,1857569
2015-10-06,132.11,132.47,130.67,131.32,1493147
2015-10-07,135.4,135.4,131.96,134.57,3040311
2015-10-08,134.51,136.84,133.47,136.69,1986658
2015-10-09,136.8,137.665,136.08,136.89,1196195
2015-10-12,136.95,138.6697,136.69,137.07,1209833
2015-10-13,137.31,137.71,134.7,135.02,1320384
2015-10-14,135.16,135.91,133.26,133.69,1270385
2015-10-15,134.49,135.73,134.01,134.93,1384845
2015-10-16,135.2,135.49,134.45,135.09,1003368
2015-10-19,135.07,135.89,134.6,135.18,994407
2015-10-20,135.44,135.98,134.6,135.9,570011
2015-10-21,136.13,137.46,135.26,136.31,727551
2015-10-22,136.91,137.93,136.5,137.81,1298491
2015-10-23,138.38,138.88,135.66,136.2,1191809
2015-10-26,136.5,136.76,135.05,136.0,725278
2015-10-27,135.68,136.42,135.09,135.68,523219
2015-10-28,136.47,136.59,134.58,135.61,783995
2015-10-29,135.56,135.57,134.11,135.11,625190
2015-10-30,135.22,135.752,134.49,134.8,936820
2015-11-02,134.91,135.47,134.22,135.08,980436
2015-11-03,135.08,135.13,133.77,134.41,720793
2015-11-04,134.42,134.853,132.07,133.2,688501
2015-11-05,133.43,133.995,132.87,133.26,584283
2015-11-06,132.58,133.0,131.43,132.11,905156
2015-11-09,131.75,132.45,131.55,132.27,1093213
2015-11-10,131.98,134.85,131.885,134.78,2116301
2015-11-11,135.04,135.45,134.79,134.98,1007144
2015-11-12,134.3,134.9099,133.38,133.38,964917
2015-11-13,133.0,134.2,132.06,132.2,584545
2015-11-16,132.49,135.33,132.08,135.26,1370286
2015-11-17,135.59,138.93,135.52,138.11,1733581
2015-11-18,138.46,139.1899,137.14,138.29,1090850
2015-11-19,137.98,138.5,137.26,137.46,795363
2015-11-20,138.13,139.89,137.27,137.62,1443987
2015-11-23,139.36,142.86,139.12,142.08,1814921
2015-11-24,141.2,141.62,140.03,141.34,1049704
2015-11-25,141.84,143.99,141.51,143.19,974751
2015-11-27,143.32,144.44,142.89,143.79,553970
2015-11-30,143.8,144.6,140.26,140.26,1898717
2015-12-01,140.95,142.92,140.79,142.85,1394415
2015-12-02,142.91,142.91,141.3501,141.84,843594
2015-12-03,141.99,142.665,140.0,140.5,961437
2015-12-04,140.77,144.84,140.54,144.67,1081495
2015-12-07,144.23,144.67,140.72,141.8,1255737
2015-12-08,141.3,143.39,140.865,142.99,765728
2015-12-09,142.58,143.06,139.58,140.18,786770
2015-12-10,140.24,141.34,139.35,139.98,910016
2015-12-11,139.61,141.2,137.5,138.3,1275345
2015-12-14,138.3,139.0,135.341,137.69,1359306
2015-12-15,138.3,139.71,137.7,139.28,1138679
2015-12-16,140.07,143.29,140.07,142.96,1255732
2015-12-17,143.0,143.44,139.89,139.89,1072589
2015-12-18,139.52,141.04,138.0,138.57,4608158
2015-12-21,140.94,142.81,140.09,141.4,1073820
2015-12-22,141.78,142.74,139.68,142.63,1017485
2015-12-23,142.91,144.09,142.684,143.69,652143
2015-12-24,143.46,143.73,142.92,143.03,248464
2015-12-28,142.91,143.27,142.01,143.27,401971
2015-12-29,143.85,144.8699,143.79,144.25,578437
2015-12-30,144.34,144.69,143.51,144.17,533942
2015-12-31,143.31,144.31,142.27,142.44,780112
2016-01-04,141.03,141.08,138.45,140.69,1765349
2016-01-05,141.56,143.95,141.24,143.62,1753540
2016-01-06,142.99,144.41,142.01,143.12,2334735
2016-01-07,149.5,154.31,147.1101,149.61,4601691
2016-01-08,149.88,151.0,146.5901,147.0,1696205
2016-01-11,147.72,148.5999,144.7901,147.05,1521536
2016-01-12,148.19,148.2,144.66,147.04,1317011
2016-01-13,147.13,147.23,143.6401,144.13,1145166
2016-01-14,143.9,144.54,141.25,143.25,1860946
2016-01-15,141.43,144.71,141.2,142.75,2022493
2016-01-19,144.82,146.2,143.1,145.62,2069698
2016-01-20,143.72,146.65,142.1201,145.14,2199865
2016-01-21,144.97,146.205,142.36,143.45,1710108
2016-01-22,145.27,149.23,145.06,148.76,2077390
2016-01-25,149.3,149.5,147.16,148.25,1608713
2016-01-26,148.25,150.97,147.6001,148.38,1463319
2016-01-27,148.94,149.63,144.8,146.11,1694660
2016-01-28,146.76,152.46,146.7,151.82,2443795
2016-01-29,152.27,152.9299,151.26,152.48,2058765
2016-02-01,152.9,155.68,152.75,154.36,1553695
2016-02-02,153.59,154.5836,151.895,152.51,1253076
2016-02-03,152.53,153.24,148.15,150.4,1831539
2016-02-04,149.5,150.05,145.44,146.95,3022386
2016-02-05,147.29,147.46,137.82,137.95,4864334
2016-02-08,135.54,136.42,130.23,134.95,4595144
2016-02-09,134.08,138.81,133.42,136.09,2175669
2016-02-10,137.55,140.14,137.1,138.8,1689933
