Date,Open,High,Low,Close,Volume
2015-06-22,107.48,107.69,106.96,107.29,687101
2015-06-23,107.28,107.56,107.14,107.33,659109
2015-06-24,107.35,107.42,106.04,106.36,1035651
2015-06-25,106.38,106.73,105.57,105.7,778133
2015-06-26,105.88,106.44,105.66,106.39,784368
2015-06-29,105.53,106.0699,104.9,104.99,835902
2015-06-30,105.68,106.59,104.83,105.24,1069016
2015-07-01,106.7,108.63,106.7,107.5,2291021
2015-07-02,107.75,107.85,107.09,107.71,1110973
2015-07-06,106.75,108.13,106.32,107.38,737845
2015-07-07,107.66,107.84,106.07,107.65,958237
2015-07-08,107.24,107.24,105.74,106.19,1000221
2015-07-09,107.71,107.93,105.8,105.82,961695
2015-07-10,107.17,107.17,106.18,106.66,829419
2015-07-13,107.6,107.69,107.14,107.58,780186
2015-07-14,107.61,107.97,107.47,107.59,863336
2015-07-15,107.59,107.72,106.91,107.18,657694
2015-07-16,107.89,108.03,107.135,107.21,907184
2015-07-17,107.1,107.47,106.66,107.35,624242
2015-07-20,107.49,108.28,107.16,107.9,1033241
2015-07-21,107.61,107.76,106.26,106.79,1102636
2015-07-22,106.68,107.13,106.18,106.69,911550
2015-07-23,106.35,107.13,106.1,106.35,756427
2015-07-24,106.22,106.36,104.7,105.14,959405
2015-07-27,104.46,104.9,104.16,104.68,1017214
2015-07-28,104.98,106.78,104.81,106.17,1375913
2015-07-29,106.2,108.67,105.77,108.17,2505483
2015-07-30,109.61,111.18,104.34,104.51,3568164
2015-07-31,104.56,106.01,104.56,105.49,2357073
2015-08-03,104.79,105.25,102.93,103.74,2166827
2015-08-04,103.95,104.42,103.57,103.97,1111094
2015-08-05,103.84,105.5,103.84,105.28,1869738
2015-08-06,105.45,105.95,104.75,105.2,952237
2015-08-07,105.15,105.36,104.5027,104.69,1140735
2015-08-10,105.68,106.8,105.68,105.99,1489071
2015-08-11,104.85,105.1,104.2901,105.02,1181985
2015-08-12,104.39,105.05,103.17,104.69,1157584
2015-08-13,103.71,104.82,103.54,104.5,890096
2015-08-14,104.8,105.56,104.49,105.41,864099
2015-08-17,105.09,105.995,104.48,105.74,649921
2015-08-18,105.79,106.22,105.34,105.85,964633
2015-08-19,105.49,106.42,104.94,105.76,1034110
2015-08-20,105.11,105.43,104.4971,104.56,1409161
2015-08-21,103.83,104.19,101.06,101.15,2283162
2015-08-24,96.02,99.37,91.19,96.64,2970106
2015-08-25,99.17,99.61,94.58,94.66,2326352
2015-08-26,96.73,98.13,94.85,97.84,2606267
2015-08-27,99.21,100.955,98.57,100.73,1873363
2015-08-28,100.25,100.71,99.19,100.5,975749
2015-08-31,100.51,102.33,100.18,101.52,1507017
2015-09-01,99.17,99.66,97.94,98.36,1783176
2015-09-02,98.86,99.1,97.9,99.09,1547171
2015-09-03,99.11,100.15,98.85,99.29,829274
2015-09-04,97.81,98.37,97.25,97.79,806833
2015-09-08,99.69,100.31,98.93,100.28,845156
2015-09-09,101.13,101.7,98.93,99.09,770795
2015-09-10,98.85,99.6,98.19,98.73,713683
2015-09-11,98.43,99.91,98.0814,99.88,858115
2015-09-14,99.78,99.88,98.665,99.01,734435
2015-09-15,99.43,101.55,99.0,101.25,1100169
2015-09-16,100.93,102.21,100.84,101.7,920813
2015-09-17,106.78,106.78,100.71,100.95,1094074
2015-09-18,100.08,101.31,99.87,100.31,2055846
2015-09-21,100.74,101.53,100.14,100.71,581867
2015-09-22,99.19,99.7,98.54,99.12,1148864
2015-09-23,99.47,99.61,97.93,98.65,898085
2015-09-24,97.54,98.42,96.845,98.26,1149259
2015-09-25,98.89,99.02,97.92,98.35,739493
2015-09-28,97.66,97.89,96.51,96.66,679283
2015-09-29,96.74,97.08,94.56,94.9,1373107
2015-09-30,96.04,97.16,95.19,96.98,1403214
2015-10-01,96.94,97.39,95.72,96.62,1149749
2015-10-02,94.89,97.46,94.89,97.46,1401324
2015-10-05,98.24,99.99,98.24,99.79,1130656
2015-10-06,99.78,100.49,99.28,99.88,680829
2015-10-07,100.44,101.49,99.1,100.44,680496
2015-10-08,100.06,102.42,99.38,101.74,972548
2015-10-09,102.0,103.11,101.295,101.55,1117853
2015-10-12,101.57,102.0,100.91,101.51,611553
2015-10-13,100.85,101.65,100.1,100.32,606988
2015-10-14,100.28,100.35,98.2,98.43,966309
2015-10-15,98.71,99.12,97.61,98.73,1057643
2015-10-16,98.99,99.02,97.81,98.51,889801
2015-10-19,98.25,99.43,98.0,98.24,1251697
2015-10-20,97.9,99.67,97.64,98.6,1170812
2015-10-21,98.97,99.37,97.925,98.15,1203651
2015-10-22,105.0,106.15,102.15,105.47,3641561
2015-10-23,106.58,106.97,105.03,106.05,1211660
2015-10-26,106.1,106.7,105.13,106.18,1202103
2015-10-27,105.32,106.4499,104.96,105.95,1287347
2015-10-28,106.23,107.32,105.62,107.14,980395
2015-10-29,107.12,107.32,105.54,106.46,1084851
2015-10-30,106.81,107.275,104.74,105.98,1454052
2015-11-02,106.28,107.5,105.79,107.31,1328688
2015-11-03,106.92,107.71,106.52,107.45,1094725
2015-11-04,107.95,108.14,106.9,107.28,928921
2015-11-05,107.37,107.88,106.53,107.11,1679955
2015-11-06,106.81,107.5,105.73,107.5,1087719
2015-11-09,106.88,107.37,106.15,106.56,1213907
2015-11-10,106.17,107.13,105.79,106.88,711603
2015-11-11,107.32,107.57,106.16,107.06,639397
2015-11-12,105.82,106.93,104.81,105.06,1064071
2015-11-13,105.02,105.53,104.27,104.44,1184700
2015-11-16,104.38,105.745,104.19,105.69,568581
