Date,Open,High,Low,Close,Volume
2015-06-22,33.03,33.25,32.77,32.91,459039
2015-06-23,32.99,33.28,32.91,32.99,664924
2015-06-24,32.99,33.205,32.71,32.76,521696
2015-06-25,32.86,32.86,32.43,32.81,705712
2015-06-26,32.88,33.16,32.5,32.7,2129424
2015-06-29,32.42,32.56,32.17,32.23,738689
2015-06-30,32.56,33.045,32.374,32.93,911643
2015-07-01,33.1,33.33,32.83,33.32,570175
2015-07-02,33.37,33.38,32.95,33.14,489977
2015-07-06,32.91,32.91,32.32,32.5,1133400
2015-07-07,32.61,32.79,32.17,32.5,1575200
2015-07-08,32.44,32.46,31.945,32.01,621531
2015-07-09,32.56,32.97,32.38,32.6,811691
2015-07-10,32.9,33.38,32.72,33.07,727158
2015-07-13,33.33,33.5,32.94,33.35,1030207
2015-07-14,33.38,33.93,33.25,33.77,999771
2015-07-15,33.9,34.365,33.63,34.14,830967
2015-07-16,34.26,34.46,34.07,34.13,636475
2015-07-17,34.5,35.73,34.19,35.08,1233963
2015-07-20,35.3,36.21,35.3,35.99,1192762
2015-07-21,36.02,36.4,35.566,35.61,822130
2015-07-22,35.58,35.88,35.07,35.68,784684
2015-07-23,35.84,36.07,35.43,35.63,507264
2015-07-24,35.53,35.67,34.63,34.68,831323
2015-07-27,34.62,34.9,34.27,34.62,487549
2015-07-28,34.75,34.89,33.98,34.23,1762153
2015-07-29,34.27,34.71,34.196,34.48,1141699
2015-07-30,34.58,34.81,34.2,34.6,989147
2015-07-31,34.61,34.76,34.35,34.36,941816
2015-08-03,34.43,34.54,34.16,34.36,569162
2015-08-04,34.37,34.8,34.3,34.41,1227652
2015-08-05,34.6,34.78,34.25,34.56,919691
2015-08-06,34.78,34.82,34.03,34.13,631577
2015-08-07,34.06,34.21,33.435,33.98,646830
2015-08-10,34.12,34.64,34.03,34.62,504533
2015-08-11,34.59,34.68,34.12,34.67,942887
2015-08-12,34.67,35.0,34.26,34.96,1265596
2015-08-13,34.96,35.35,34.72,35.16,797757
2015-08-14,35.5,35.5,34.79,35.14,529529
2015-08-17,34.86,35.35,34.5,35.32,505656
2015-08-18,35.27,35.4599,34.98,35.14,567503
2015-08-19,34.88,35.27,34.43,34.96,669139
2015-08-20,34.62,34.685,34.16,34.36,1342319
2015-08-21,33.9,34.18,33.605,33.72,2185382
2015-08-24,32.22,33.66,30.27,33.15,3017046
2015-08-25,33.73,33.97,32.61,32.99,2336863
2015-08-26,33.45,33.45,32.23,32.67,2290549
2015-08-27,32.99,32.99,31.82,32.33,2728237
2015-08-28,32.11,32.77,31.92,32.65,1803987
2015-08-31,32.76,33.26,32.47,32.95,1573158
2015-09-01,32.54,32.7,31.59,31.71,2032866
2015-09-02,31.89,32.252,31.33,31.79,1138192
2015-09-03,32.09,32.349,31.8475,32.19,921339
2015-09-04,31.73,32.1,31.34,31.6,1590429
2015-09-08,32.01,32.38,31.82,32.28,1969648
2015-09-09,32.59,32.83,32.03,32.13,4099915
2015-09-10,31.68,32.24,31.37,32.09,2324248
2015-09-11,31.98,32.16,30.9,31.33,2728279
2015-09-14,31.25,31.63,30.82,31.17,3086653
2015-09-15,31.09,31.28,30.79,31.12,2380418
2015-09-16,30.77,31.085,30.33,30.88,2265384
2015-09-17,30.81,31.33,30.67,30.77,1058886
2015-09-18,30.51,30.7,30.12,30.56,2047455
2015-09-21,30.56,31.0,30.25,30.87,1573264
2015-09-22,30.72,30.82,30.2,30.58,1376884
2015-09-23,30.66,31.08,30.49,31.06,996285
2015-09-24,30.7,31.11,30.54,30.83,1002746
2015-09-25,31.06,31.2,30.86,31.03,552805
2015-09-28,31.0,31.34,30.42,31.16,1128817
2015-09-29,31.07,31.2999,30.79,31.04,891061
2015-09-30,31.37,31.73,30.93,31.3,2180219
2015-10-01,31.31,31.58,31.12,31.38,858774
2015-10-02,31.23,31.92,30.97,31.82,1124547
2015-10-05,31.88,33.35,31.73,33.31,1210230
2015-10-06,33.87,33.87,32.53,32.8,1247664
2015-10-07,33.0,33.1,31.79,32.13,1736348
2015-10-08,32.12,32.59,31.78,32.36,763636
2015-10-09,32.31,33.0,32.3,32.39,339469
2015-10-12,32.27,32.69,32.12,32.34,377128
2015-10-13,32.19,32.365,31.82,31.82,1163514
2015-10-14,31.76,31.82,31.45,31.53,1311896
2015-10-15,31.19,32.13,30.51,31.32,9632238
2015-10-16,31.37,31.37,29.75,30.15,11815410
2015-10-19,30.05,31.465,28.91,31.34,18520230
2015-10-20,31.76,32.9,31.34,32.34,11088990
