Date,Open,High,Low,Close,Volume
2015-06-22,97.5,97.9,97.23,97.4,604707
2015-06-23,97.3,97.666,96.48,96.62,957861
2015-06-24,96.41,97.27,96.13,96.72,1393475
2015-06-25,96.89,97.176,96.29,96.45,859998
2015-06-26,96.48,97.94,96.31,97.34,1492833
2015-06-29,96.66,97.325,95.28,95.36,1153382
2015-06-30,96.3,96.48,95.35,95.57,980763
2015-07-01,96.23,96.43,95.44,96.07,782998
2015-07-02,96.25,96.29,95.25,95.76,641291
2015-07-06,94.92,96.05,94.77,95.99,852177
2015-07-07,96.38,96.99,95.05,96.9,1012483
2015-07-08,96.45,96.52,95.4,95.42,907020
2015-07-09,96.75,96.87,95.64,95.66,949314
2015-07-10,96.7,96.91,95.81,96.37,1193616
2015-07-13,97.0,97.69,96.91,97.63,745516
2015-07-14,97.77,98.495,97.45,98.26,783873
2015-07-15,98.28,98.3,97.44,97.51,1064742
2015-07-16,98.29,98.33,97.4,98.17,1110168
2015-07-17,97.87,98.24,97.46,98.21,867349
2015-07-20,98.27,98.66,98.05,98.38,625411
2015-07-21,98.46,99.24,98.22,99.06,1220892
2015-07-22,98.89,99.21,98.07,98.54,1349092
2015-07-23,98.96,98.96,98.005,98.25,1612813
2015-07-24,100.05,103.99,99.83,100.97,3012425
2015-07-27,100.84,101.19,99.69,100.02,2173004
2015-07-28,100.57,101.75,99.98,101.61,1113880
2015-07-29,102.06,102.2999,101.37,101.98,1222804
2015-07-30,101.82,102.02,101.31,101.84,674129
2015-07-31,101.92,102.8,101.59,102.27,1242849
2015-08-03,102.31,102.7,100.93,101.51,971741
2015-08-04,101.81,102.42,101.27,101.48,913561
2015-08-05,102.24,103.36,102.0,103.12,1440650
2015-08-06,102.97,103.48,101.03,101.32,1159620
2015-08-07,101.32,101.4,99.88,100.94,1092794
2015-08-10,101.72,102.5,101.53,102.19,722514
2015-08-11,101.3,101.95,100.8,101.82,1115750
2015-08-12,101.88,103.31,100.95,103.13,1959858
2015-08-13,102.9,103.84,102.21,102.97,1533854
2015-08-14,102.82,103.74,102.66,103.64,831299
2015-08-17,103.27,104.24,102.6,104.14,786715
2015-08-18,103.93,104.45,103.73,104.31,685358
2015-08-19,103.88,105.3357,102.95,104.53,1163220
2015-08-20,103.55,103.92,102.5,102.52,1027028
2015-08-21,101.61,101.785,99.34,99.37,1783590
2015-08-24,95.14,97.59,91.81,95.61,2560771
2015-08-25,98.35,98.43,95.39,95.49,2489429
2015-08-26,97.79,98.84,95.66,98.81,2182670
2015-08-27,100.1,101.3,99.46,101.08,2286657
2015-08-28,100.33,100.8,99.09,99.69,2478309
2015-08-31,99.48,100.35,98.4,98.65,1811875
2015-09-01,96.49,97.13,94.84,95.46,2028667
2015-09-02,96.66,97.03,95.61,96.9,1430662
2015-09-03,97.5,97.87,96.39,96.68,1661418
2015-09-04,95.71,96.26,94.52,95.34,1444039
2015-09-08,96.84,98.63,96.84,98.57,1893087
2015-09-09,99.44,99.52,97.08,97.29,1610663
2015-09-10,97.27,98.89,96.95,98.3,1735708
2015-09-11,97.83,99.76,97.58,99.65,2049109
2015-09-14,99.65,99.95,98.36,98.76,1159026
2015-09-15,98.98,100.12,98.76,99.85,945832
2015-09-16,99.67,100.85,99.56,100.6,1218320
2015-09-17,100.59,102.22,100.18,100.56,1670348
2015-09-18,99.53,100.1605,99.05,99.22,4145992
2015-09-21,100.02,100.7,98.81,99.61,1229319
2015-09-22,98.41,98.9,97.72,98.56,1295840
2015-09-23,98.25,98.88,97.86,98.59,1332135
2015-09-24,97.96,98.4,97.4,98.22,1714243
2015-09-25,98.97,99.45,96.3,96.9,1564503
2015-09-28,95.46,96.01,91.73,92.4,2584759
2015-09-29,92.89,94.16,92.44,93.23,1653322
2015-09-30,94.29,94.85,92.87,94.1,1693166
2015-10-01,94.5,94.97,93.65,94.91,1785608
2015-10-02,94.12,96.46,93.53,96.46,1592979
2015-10-05,95.89,97.42,95.89,96.89,1457128
2015-10-06,96.63,96.78,94.25,94.92,1477852
2015-10-07,95.34,96.03,94.5,96.0,1039847
2015-10-08,95.82,97.36,95.45,97.35,1301619
2015-10-09,97.18,98.46,96.9,97.75,1459558
2015-10-12,97.51,98.74,97.38,98.51,792018
2015-10-13,98.25,99.05,97.44,97.57,875977
2015-10-14,97.6,98.38,96.68,96.9,1267871
2015-10-15,97.4,98.76,96.53,98.69,1225974
2015-10-16,99.31,100.06,98.3,100.03,1249070
2015-10-19,99.62,100.51,99.32,100.46,927940
2015-10-20,100.13,100.43,98.9,99.21,1121407
2015-10-21,99.72,99.97,98.56,99.79,2038739
2015-10-22,100.17,100.19,98.11,98.53,2432820
2015-10-23,98.04,98.36,94.03,94.44,4007230
2015-10-26,94.36,94.76,93.56,93.9,2325046
2015-10-27,93.9,94.78,92.92,93.84,1794312
2015-10-28,93.84,95.85,93.06,95.77,1735356
2015-10-29,95.4,96.69,95.36,95.85,1121088
2015-10-30,96.07,96.4,95.4727,95.62,1371506
2015-11-02,95.83,96.91,95.73,96.71,1152468
2015-11-03,96.63,97.105,95.86,96.8,987009
2015-11-04,96.8,97.84,96.67,97.5,1438941
2015-11-05,97.52,97.78,96.68,97.59,1619131
2015-11-06,97.19,97.61,96.43,97.6,1286116
2015-11-09,97.25,97.59,96.3,96.81,1049127
2015-11-10,96.77,97.705,96.77,97.6,866283
2015-11-11,97.79,98.25,97.37,97.63,1053674
2015-11-12,96.48,97.06,95.58,95.61,2023409
2015-11-13,95.15,96.42,95.15,95.63,1373302
2015-11-16,95.59,96.7,95.19,96.66,1037020
2015-11-17,96.71,97.24,96.34,96.61,1585836
2015-11-18,96.81,97.22,96.45,97.01,1595517
2015-11-19,96.81,96.99,95.355,95.41,1515173
2015-11-20,95.98,97.16,95.57,96.48,1782820
2015-11-23,96.54,97.16,95.8803,96.08,1707608
2015-11-24,95.39,96.69,95.1,96.61,1363122
2015-11-25,96.61,97.64,96.24,97.22,993877
2015-11-27,97.56,98.33,97.166,98.09,775421
2015-11-30,98.38,98.78,96.46,96.46,4342284
2015-12-01,97.34,97.86,96.46,96.79,1476537
2015-12-02,96.95,97.17,96.11,96.26,1221932
2015-12-03,96.26,96.56,92.43,92.58,2564865
2015-12-04,92.85,94.38,92.67,94.34,1388160
2015-12-07,94.37,94.79,93.55,94.14,1008992
2015-12-08,93.68,93.94,93.01,93.52,1044979
2015-12-09,93.04,93.93,92.155,92.32,1722930
2015-12-10,92.38,93.62,92.37,92.93,937143
2015-12-11,92.01,92.637,91.56,92.2,1325140
2015-12-14,90.3,92.0,90.3,91.41,2001290
2015-12-15,92.13,92.99,91.66,92.44,1707488
