Date,Open,High,Low,Close,Volume
2015-06-22,73.77,74.15,73.61,73.85,1125471
2015-06-23,72.71,73.59,72.22,72.23,2154462
2015-06-24,72.13,73.89,72.13,72.57,2285824
2015-06-25,72.53,72.8,72.08,72.17,1497954
2015-06-26,72.6,73.07,72.21,72.29,992296
2015-06-29,71.56,71.75,70.5499,70.59,1255443
2015-06-30,71.25,71.47,69.69,69.81,1575946
2015-07-01,70.36,70.96,70.13,70.25,1181669
2015-07-02,70.04,70.366,69.51,70.06,1053940
2015-07-06,69.4,69.57,69.0,69.42,1706405
2015-07-07,69.39,70.3499,68.5,70.16,1320528
2015-07-08,70.3,71.17,69.79,70.09,1869570
2015-07-09,71.17,71.71,70.66,71.19,1999085
2015-07-10,72.03,72.29,70.81,71.09,912909
2015-07-13,71.4,72.38,71.13,72.17,1679473
2015-07-14,72.22,72.22,71.4,71.64,1112525
2015-07-15,71.77,72.08,71.18,71.68,1074995
2015-07-16,72.2,72.3799,71.92,72.18,784640
2015-07-17,71.8,72.18,71.34,71.65,1913241
2015-07-20,71.6,72.05,71.44,71.72,828903
2015-07-21,71.74,72.34,71.05,71.32,686405
2015-07-22,71.27,71.94,71.17,71.36,739988
2015-07-23,71.26,71.26,70.7,70.82,1164751
2015-07-24,70.86,71.01,69.68,70.0,715848
2015-07-27,69.52,69.7099,68.57,69.54,1404069
2015-07-28,69.64,69.71,68.6301,69.31,1337062
2015-07-29,69.59,70.2,69.1,70.04,2291565
2015-07-30,69.57,70.17,69.07,70.07,1197652
2015-07-31,70.2,71.21,69.88,71.14,1477960
2015-08-03,71.11,71.35,69.67,70.18,1653457
2015-08-04,70.21,70.25,69.47,69.59,1699044
2015-08-05,69.89,70.7,69.76,70.41,3450339
2015-08-06,72.3,74.1,71.82,73.76,3842170
2015-08-07,73.49,73.49,72.39,72.99,1695788
2015-08-10,73.43,73.64,72.49,72.75,1244498
2015-08-11,72.16,72.88,71.825,72.52,1556266
2015-08-12,71.96,72.42,71.685,72.23,1119371
2015-08-13,72.17,72.41,71.48,71.62,834333
2015-08-14,71.52,71.82,70.845,71.63,681329
2015-08-17,71.27,73.26,71.06,73.23,1830903
2015-08-18,73.16,74.33,73.12,73.27,1557779
2015-08-19,72.96,73.75,72.45,73.4,1709980
2015-08-20,72.77,72.84,71.98,71.99,1617302
2015-08-21,71.43,71.64,69.9799,69.98,2144111
2015-08-24,66.52,68.0,63.91,66.48,5042889
2015-08-25,68.03,68.18,65.14,65.19,2715877
2015-08-26,66.5,66.8,64.62,66.68,2206175
2015-08-27,67.03,68.0499,66.14,67.1,1596857
2015-08-28,66.83,67.39,66.65,67.14,1147640
2015-08-31,67.05,68.775,67.03,68.09,1813670
2015-09-01,66.83,67.32,66.01,66.3,1823671
2015-09-02,66.96,67.17,65.77,66.8,1347246
2015-09-03,66.87,67.93,66.72,66.96,1606253
