Date,Open,High,Low,Close,Volume
2015-06-22,20.45,20.85,20.45,20.62,1997387
2015-06-23,20.71,20.74,20.45,20.49,1876852
2015-06-24,20.28,20.49,20.04,20.13,2355164
2015-06-25,20.23,20.26,19.99,20.07,1864370
2015-06-26,19.95,20.07,19.64,19.71,3678294
2015-06-29,19.41,19.68,19.22,19.24,2642582
2015-06-30,19.44,19.44,19.11,19.29,2427123
2015-07-01,19.53,19.67,19.19,19.35,1711676
2015-07-02,19.44,19.49,19.32,19.43,1284544
2015-07-06,19.23,19.49,19.2,19.38,2388654
2015-07-07,19.38,19.434,18.78,19.36,2634575
2015-07-08,19.12,19.24,18.9,19.04,3181324
2015-07-09,19.43,19.5,19.015,19.13,2831351
2015-07-10,19.3,19.49,19.22,19.34,1974057
2015-07-13,19.52,19.61,19.24,19.53,1540915
2015-07-14,19.6,19.66,19.41,19.53,1500007
2015-07-15,19.53,19.53,19.16,19.26,1937830
2015-07-16,19.67,19.67,18.95,19.29,2733105
2015-07-17,19.29,19.35,19.09,19.21,1716176
2015-07-20,19.24,19.28,18.915,18.93,1173078
2015-07-21,18.89,19.15,18.89,18.99,2072206
2015-07-22,18.72,18.72,18.45,18.6,2296512
2015-07-23,18.76,19.07,18.72,18.82,1766222
2015-07-24,18.8,18.89,18.31,18.36,1755147
2015-07-27,18.23,18.46,18.08,18.29,1454694
2015-07-28,18.33,18.71,18.18,18.56,2131496
2015-07-29,18.49,18.73,18.35,18.61,3383426
2015-07-30,19.56,20.0,18.71,19.19,7581440
2015-07-31,19.24,19.42,19.142,19.26,2827164
2015-08-03,19.19,19.31,18.79,18.82,3235912
2015-08-04,18.82,18.94,18.51,18.7,2392832
2015-08-05,18.87,19.23,18.77,18.95,1707699
2015-08-06,18.96,18.99,18.52,18.9,2387156
2015-08-07,18.83,18.95,18.69,18.93,2250873
2015-08-10,19.1,19.35,19.08,19.29,1730157
2015-08-11,19.04,19.23,18.83,18.92,1906933
2015-08-12,18.49,18.975,18.4505,18.87,1492768
2015-08-13,17.35,19.14,17.19,18.57,1316484
2015-08-14,18.5,18.745,18.36,18.65,1442014
2015-08-17,18.5,18.86,18.48,18.75,2201714
2015-08-18,18.78,18.82,18.42,18.45,1734910
2015-08-19,19.23,19.23,18.13,18.25,2595993
2015-08-20,18.08,18.14,17.73,17.75,2123810
2015-08-21,17.49,17.82,17.26,17.26,2207445
2015-08-24,16.19,17.44,16.06,16.79,3266833
2015-08-25,17.46,17.67,16.77,16.78,3187720
2015-08-26,17.14,17.58,16.96,17.51,2558903
2015-08-27,17.86,18.0095,17.49,17.99,2962515
2015-08-28,17.88,18.13,17.77,18.02,1587793
2015-08-31,18.01,18.31,17.93,18.04,1429762
2015-09-01,17.58,17.91,17.43,17.56,2360822
2015-09-02,17.81,17.84,17.51,17.81,1688329
2015-09-03,17.98,18.1799,17.87,18.01,1452176
2015-09-04,17.69,17.93,17.6,17.62,1062569
2015-09-08,18.02,18.185,17.9,18.11,1616333
2015-09-09,18.21,18.4,17.71,17.77,1561625
2015-09-10,17.77,18.135,17.7,17.89,1877616
2015-09-11,18.33,18.33,17.665,17.89,1296333
2015-09-14,17.92,17.99,17.71,17.93,1165979
2015-09-15,18.31,19.06,18.14,18.97,3623454
2015-09-16,18.98,19.39,18.9,19.31,2943435
2015-09-17,18.87,19.17,18.8,18.86,2075809
2015-09-18,18.54,18.785,18.33,18.43,2863054
2015-09-21,18.44,18.89,17.99,18.03,2466719
2015-09-22,17.73,17.8201,17.47,17.54,2009339
2015-09-23,17.52,17.75,17.325,17.33,1337542
2015-09-24,17.11,17.5,16.85,17.35,2243013
2015-09-25,17.54,17.61,17.22,17.32,1102371
2015-09-28,17.14,17.26,16.94,16.96,2009340
2015-09-29,16.91,17.19,16.89,17.13,1585280
2015-09-30,17.32,18.06,17.32,18.01,2814576
2015-10-01,18.0,18.02,17.43,17.8,1949267
2015-10-02,17.5,18.22,17.5,18.22,1739080
2015-10-05,18.4,18.73,18.2275,18.7,1898304
2015-10-06,19.19,19.19,18.67,18.85,2053952
2015-10-07,19.04,19.27,18.79,19.02,1706915
2015-10-08,18.9,19.23,18.83,19.09,1783840
2015-10-09,19.09,19.18,18.6,18.68,2323847
2015-10-12,18.75,18.7599,18.5,18.54,1432410
2015-10-13,18.34,18.4,18.13,18.17,2278445
2015-10-14,18.18,18.96,18.11,18.6,2979005
2015-10-15,18.73,18.865,18.39,18.5,2402573
2015-10-16,18.49,18.56,18.185,18.21,2711281
2015-10-19,18.16,18.3,18.11,18.24,2428362
2015-10-20,18.19,18.48,18.19,18.29,2767259
2015-10-21,18.67,19.29,18.58,18.6,5487945
2015-10-22,18.84,18.92,18.09,18.63,6485612
2015-10-23,18.84,19.11,18.76,19.05,2841684
2015-10-26,18.98,19.01,18.65,18.75,2487378
2015-10-27,18.65,18.86,18.47,18.54,3568699
2015-10-28,18.36,20.36,18.36,20.34,7183708
2015-10-29,19.73,20.03,19.35,19.38,4289290
2015-10-30,19.53,19.69,19.42,19.52,2251178
2015-11-02,19.57,19.96,19.51,19.91,2635764
2015-11-03,19.83,20.07,19.83,20.03,1868164
2015-11-04,20.1,20.14,19.97,20.0,1963318
2015-11-05,19.97,20.16,19.67,19.8,1774469
2015-11-06,19.78,20.07,19.745,19.99,2696217
2015-11-09,19.95,20.17,19.91,20.12,1679416
2015-11-10,19.9,20.18,19.885,20.11,1873498
2015-11-11,20.19,20.67,20.15,20.55,2064553
2015-11-12,20.12,20.33,20.01,20.01,1989442
2015-11-13,20.02,20.18,19.73,19.92,3490707
2015-11-16,19.89,20.29,19.79,20.27,2627476
2015-11-17,20.39,20.4,19.97,20.09,2336023
2015-11-18,20.14,20.52,20.07,20.5,2118424
2015-11-19,20.53,20.635,20.46,20.53,1828791
2015-11-20,20.6,20.71,20.53,20.58,1488705
2015-11-23,20.53,20.63,20.39,20.44,2065435
2015-11-24,20.42,20.55,20.23,20.42,1898010
2015-11-25,20.36,20.675,20.24,20.57,1312793
2015-11-27,20.59,20.73,20.51,20.62,854281
2015-11-30,20.68,20.815,20.5,20.78,1565488
2015-12-01,20.87,21.05,20.805,21.01,1475747
2015-12-02,20.96,21.19,20.84,20.86,1622904
2015-12-03,21.04,21.09,20.1201,20.38,2582956
2015-12-04,20.39,21.07,20.36,20.78,2704520
2015-12-07,20.63,20.83,20.53,20.6,1252982
2015-12-08,20.29,20.75,20.17,20.59,2327410
2015-12-09,20.56,20.75,20.22,20.32,1785953
2015-12-10,20.33,20.56,20.28,20.4,1344348
2015-12-11,20.22,20.435,20.105,20.22,1886582
2015-12-14,20.26,20.26,19.72,19.94,1357140
2015-12-15,20.09,20.29,20.025,20.26,1578002
2015-12-16,20.41,20.47,20.07,20.35,1305175
2015-12-17,20.64,21.15,20.56,20.62,3159378
2015-12-18,20.54,20.74,20.01,20.64,3972424
2015-12-21,20.8,21.005,20.62,20.99,2072586
2015-12-22,21.04,21.22,20.9,21.17,1726582
2015-12-23,21.25,21.58,21.12,21.48,1748618
2015-12-24,21.5,21.555,21.38,21.46,470912
2015-12-28,21.36,21.36,21.02,21.32,1191217
2015-12-29,21.41,21.5,21.3,21.36,1049418
2015-12-30,21.47,21.47,21.17,21.24,1254368
2015-12-31,21.17,21.2,20.67,20.67,1959712
2016-01-04,20.46,20.48,20.125,20.34,2379766
2016-01-05,20.41,20.6,20.24,20.51,2087303
2016-01-06,20.13,20.28,19.87,20.04,2162400
2016-01-07,19.48,19.88,19.46,19.51,2072071
2016-01-08,19.58,19.645,19.06,19.11,2237805
2016-01-11,19.29,19.34,18.96,19.22,1778907
2016-01-12,19.48,19.61,19.19,19.43,2619076
2016-01-13,19.44,19.5,18.86,18.95,2282610
2016-01-14,19.07,19.705,18.885,19.41,3192455
2016-01-15,18.55,19.0501,18.55,18.98,2289795
2016-01-19,19.28,19.34,18.975,19.19,2175659
2016-01-20,19.27,19.61,18.82,19.41,2495020
2016-01-21,19.5,19.635,19.19,19.35,2387379
2016-01-22,19.69,19.98,19.58,19.78,1649922
2016-01-25,19.75,19.825,19.39,19.44,1697134
2016-01-26,19.5,19.91,19.38,19.82,2827751
2016-01-27,19.78,20.56,19.78,19.94,4175002
2016-01-28,21.08,21.08,18.53,18.99,7791769
2016-01-29,19.13,19.76,19.05,19.43,6479678
2016-02-01,19.25,19.57,19.09,19.47,3446588
2016-02-02,19.2,19.54,18.75,18.8,2668414
2016-02-03,18.72,18.92,18.36,18.54,3537289
2016-02-04,18.55,18.97,18.51,18.69,2429309
2016-02-05,18.56,18.59,18.25,18.35,2223143
2016-02-08,18.07,18.21,17.78,17.95,2301650
2016-02-09,17.77,18.12,17.705,17.77,2413615
2016-02-10,17.84,18.25,17.77,17.93,2668777
2016-02-11,17.64,17.83,17.34,17.55,1892598
2016-02-12,17.7,17.76,17.45,17.72,1447931
2016-02-16,17.89,18.47,17.89,18.23,2279438
2016-02-17,18.37,18.88,18.36,18.72,2142366
2016-02-18,18.82,18.94,18.68,18.79,1954160
2016-02-19,18.79,19.05,18.74,18.83,1660175
2016-02-22,18.98,19.12,18.76,18.88,1420033
2016-02-23,18.84,18.97,18.63,18.65,1250885
2016-02-24,18.42,19.0,18.3,18.96,1510703
2016-02-25,18.98,19.25,18.83,19.24,1643454
2016-02-26,19.42,19.42,19.04,19.12,1525175
2016-02-29,19.17,19.33,19.05,19.08,1459594
2016-03-01,19.2,19.645,19.12,19.56,1460570
2016-03-02,19.49,19.7,19.43,19.6,1411490
2016-03-03,19.64,19.78,19.49,19.75,1003576
2016-03-04,19.84,19.8899,19.535,19.67,1389622
2016-03-07,19.56,20.0,19.53,19.97,1482497
2016-03-08,19.81,19.87,19.325,19.56,1425677
2016-03-09,19.61,19.655,19.5,19.64,1859687
2016-03-10,19.75,20.0,19.63,19.85,1196185
2016-03-11,20.0,20.28,19.95,20.16,1216385
2016-03-14,20.06,20.225,19.97,20.05,886853
2016-03-15,19.97,20.3,19.88,20.26,1264813
2016-03-16,20.28,20.64,20.14,20.61,2053743
2016-03-17,20.66,20.89,20.5,20.8,1308600
2016-03-18,20.9,21.47,20.78,21.25,3425829
2016-03-21,21.17,21.35,20.865,21.31,1719833
2016-03-22,21.18,21.39,21.11,21.21,1212435
2016-03-23,21.18,21.2,20.98,21.06,1244963
2016-03-24,20.88,21.09,20.8,21.09,923927
2016-03-28,21.13,21.18,20.96,21.05,1065809
2016-03-29,20.95,21.4999,20.81,21.46,1283493
2016-03-30,21.64,21.83,21.49,21.56,1016121
2016-03-31,21.56,21.7,21.395,21.59,1126664
2016-04-01,21.42,21.78,21.32,21.75,1246839
2016-04-04,21.75,21.84,21.54,21.66,2489412
2016-04-05,21.39,21.39,21.055,21.17,2222306
2016-04-06,21.1,21.29,21.01,21.19,2036062
2016-04-07,21.12,21.14,20.61,20.63,3259908
2016-04-08,20.9,21.1625,20.77,20.86,1326879
2016-04-11,20.99,21.1,20.77,20.79,1054881
2016-04-12,20.77,20.81,20.46,20.65,1523902
2016-04-13,20.83,21.045,20.77,20.99,1544984
2016-04-14,20.93,21.03,20.625,20.81,1608162
2016-04-15,20.76,20.9,20.68,20.71,1880260
2016-04-18,20.69,20.81,20.57,20.73,1514569
2016-04-19,20.83,20.9,20.5699,20.69,1576723
2016-04-20,20.66,20.85,20.485,20.65,1382738
2016-04-21,20.67,20.76,20.52,20.55,1314671
2016-04-22,20.55,20.955,20.54,20.69,1612135
2016-04-25,20.6,20.75,20.4,20.44,1292684
2016-04-26,20.62,20.855,20.57,20.72,1777671
2016-04-27,20.69,21.06,20.585,20.99,2684384
2016-04-28,19.605,19.79,18.91,19.21,6058859
2016-04-29,19.05,19.08,18.6,18.91,4002582
2016-05-02,18.93,19.045,18.735,19.0,1943295
2016-05-03,18.81,18.96,18.73,18.88,1595409
2016-05-04,18.72,18.94,18.71,18.76,1925663
2016-05-05,18.8,18.86,18.6,18.8,2097703
2016-05-06,18.65,18.82,18.38,18.72,1729400
2016-05-09,18.78,18.91,18.69,18.82,1222995
2016-05-10,18.83,19.03,18.78,18.95,1122408
2016-05-11,18.86,19.0,18.83,18.83,914544
2016-05-12,18.91,18.955,18.41,18.5,2480422
2016-05-13,18.46,18.61,18.4,18.46,1468282
2016-05-16,18.48,18.78,18.38,18.59,1869884
2016-05-17,18.57,18.67,18.3375,18.35,1081604
2016-05-18,18.32,18.77,18.26,18.5,1746121
