Date,Open,High,Low,Close,Volume
2015-06-22,50.0,50.1767,49.3667,50.1633,25497
2015-06-23,50.1633,50.6,48.7792,50.33,26712
2015-06-24,49.35,50.5,49.3333,49.3333,21012
2015-06-25,48.85,49.5833,48.8367,48.8367,4209
2015-06-26,49.3767,50.3,48.9633,50.0,14649
2015-06-29,49.0333,50.2767,48.35,48.77,8244
2015-06-30,48.355,50.3,48.3441,50.16,10482
2015-07-01,49.5367,49.5367,48.5,49.08,21108
2015-07-02,49.0,49.1667,48.9727,48.9767,4188
2015-07-06,49.4333,49.4333,47.3333,48.3667,23718
2015-07-07,48.5367,48.5367,47.4733,47.9067,13473
2015-07-08,47.73,47.73,46.7667,46.7667,10422
2015-07-09,47.1833,49.1667,47.1833,47.33,16518
2015-07-10,47.3333,48.84,47.1167,47.83,20178
2015-07-13,47.4533,48.8167,47.4533,48.55,17202
2015-07-14,48.21,49.25,47.0167,48.9333,21612
2015-07-15,48.7067,49.0833,48.6667,48.6667,13473
2015-07-16,48.93,49.0,47.538,48.8333,24174
2015-07-17,48.3533,48.98,48.2067,48.2367,18486
2015-07-20,47.8367,48.7017,47.8367,48.4833,19920
2015-07-21,47.96,48.5,47.6667,47.7033,19542
2015-07-22,47.6667,49.0,47.0,47.5,29739
2015-07-23,47.3333,47.6667,45.0,45.5133,85044
2015-07-24,45.0067,46.0,45.0033,45.4167,27261
2015-07-27,46.1333,46.7333,43.0,43.7333,54804
2015-07-28,43.3367,44.8333,43.3367,43.8233,49671
2015-07-29,43.94,44.25,42.1667,43.1833,48777
2015-07-30,43.1,44.3533,43.1,43.8173,21453
2015-07-31,43.63,44.65,43.5033,43.5867,34440
2015-08-03,43.47,43.8667,43.0,43.0,22167
2015-08-04,43.9167,43.9167,42.7193,42.8133,39237
2015-08-05,43.3333,43.8333,41.9333,43.0,41844
2015-08-06,43.3333,43.3333,42.7833,43.2467,31758
2015-08-07,42.9533,43.5633,42.5,43.5633,70197
2015-08-10,43.15,43.7667,42.34,43.43,37080
2015-08-11,42.8733,43.3633,42.8733,43.3633,12978
2015-08-12,43.13,43.97,42.8333,42.97,31503
2015-08-13,43.37,43.4267,42.8333,43.125,30300
2015-08-14,42.8334,44.0,42.8334,43.3333,14259
2015-08-17,43.3333,43.3333,42.7333,42.7333,14364
2015-08-18,42.8533,42.9867,41.0,41.2167,42648
2015-08-19,40.2467,41.0,39.0487,39.9167,67260
2015-08-20,39.01,39.5767,38.3867,39.0833,36894
2015-08-21,38.6667,39.1767,38.0367,39.1767,64266
2015-08-24,38.0367,38.5,32.18,37.72,112395
2015-08-25,38.5033,39.7367,35.6667,36.86,86478
2015-08-26,37.3333,37.3333,35.6667,36.23,51942
2015-08-27,37.0,38.3333,36.4267,38.0833,39798
2015-08-28,37.9733,40.0,37.0834,39.1462,16821
2015-08-31,38.7833,39.8233,38.46,39.59,18660
2015-09-01,38.2167,39.93,38.2167,39.6167,25776
2015-09-02,39.7033,40.8333,39.0167,40.3333,27129
2015-09-03,40.67,43.0367,40.6567,41.57,32061
2015-09-04,41.3333,41.65,41.0,41.3334,5700
2015-09-08,41.6667,43.9967,39.5333,43.7733,35352
2015-09-09,43.5333,44.9666,43.0,44.2133,31329
2015-09-10,44.0,47.9333,43.9933,46.5,38292
2015-09-11,46.3933,46.6663,45.4,46.3,40299
2015-09-14,47.01,48.32,46.0,46.6467,39372
2015-09-15,46.3333,47.2,46.0333,47.0,50331
2015-09-16,46.6667,47.4833,46.5,47.0,89883
2015-09-17,46.8057,47.583,46.8057,47.2233,26889
2015-09-18,46.6433,48.03,46.58,46.58,24975
2015-09-21,47.2833,48.3333,46.2533,48.3333,32862
2015-09-22,47.5033,48.9467,46.5639,47.7033,24132
2015-09-23,48.1367,48.1867,46.6667,47.0833,22179
2015-09-24,46.8867,47.9333,46.7333,47.4967,20412
2015-09-25,47.05,48.99,47.05,47.5833,22299
2015-09-28,47.75,48.0,46.3367,47.44,24444
2015-09-29,47.2133,47.6333,47.175,47.6333,10419
2015-09-30,48.8267,48.8267,46.7333,46.75,12021
2015-10-01,47.49,48.9631,46.3333,47.1867,18885
2015-10-02,47.1933,47.9967,47.05,47.5167,9909
2015-10-05,48.9,48.995,47.2843,47.2843,12390
2015-10-06,47.6633,48.88,47.0033,48.3967,15000
2015-10-07,48.88,48.88,48.3333,48.83,21930
2015-10-08,48.6667,49.9633,48.3833,49.5167,16041
2015-10-09,49.3767,49.6533,48.6,48.6833,10572
2015-10-12,48.83,48.83,48.3333,48.5,12135
2015-10-13,48.78,49.1665,46.7933,48.8033,26325
2015-10-14,48.3333,49.8115,47.2167,48.7033,6363
2015-10-15,48.59,50.0,48.59,49.66,6387
2015-10-16,49.4967,49.9933,48.6667,49.85,16341
2015-10-19,48.4997,49.9933,48.4997,49.6133,7014
2015-10-20,49.95,50.6255,49.1333,49.1333,27786
2015-10-21,49.75,50.1173,48.3333,49.16,23799
2015-10-22,48.0113,50.0667,48.0113,49.86,21564
2015-10-23,49.4833,49.9333,48.3758,48.9333,8217
2015-10-26,48.9667,49.6333,48.67,48.75,17304
2015-10-27,48.8633,49.6666,47.52,49.4967,45408
2015-10-28,48.8,50.1665,48.8,49.5,8295
2015-10-29,49.15,49.735,49.15,49.735,6075
2015-10-30,49.3333,49.9833,49.3333,49.9267,19965
2015-11-02,49.33,49.9933,48.714,49.0133,30621
2015-11-03,49.47,49.6667,49.0167,49.0167,39222
2015-11-04,49.0067,49.44,48.6833,48.8367,39060
2015-11-05,48.8367,49.4167,48.67,49.3833,10755
2015-11-06,49.3333,49.5997,49.0,49.58,10140
2015-11-09,49.5,49.58,48.6833,49.1833,16626
2015-11-10,49.58,49.58,49.0,49.0,14250
2015-11-11,49.0,49.3333,48.6667,48.6667,13932
2015-11-12,48.6667,48.8667,46.61,47.2333,28203
2015-11-13,48.2287,49.74,47.2207,49.0667,37239
2015-11-16,47.8217,49.6833,47.4663,48.4467,86946
2015-11-17,48.7233,49.2951,46.0017,47.0233,95283
2015-11-18,47.0233,48.4066,45.7096,46.9167,55317
2015-11-19,46.4533,46.86,45.3367,45.3367,62169
2015-11-20,45.9,46.5333,44.8333,45.1833,55152
2015-11-23,45.4,47.0833,45.4,46.7833,50349
2015-11-24,45.6833,48.7667,45.6833,48.0833,24024
2015-11-25,48.6,49.25,47.3334,48.69,39594
2015-11-27,48.0,49.0,47.8333,48.2067,11847
2015-11-30,48.54,51.2,48.54,50.0667,137298
2015-12-01,50.01,50.7933,49.5002,50.7933,47922
2015-12-02,50.2667,51.15,48.99,50.45,88200
2015-12-03,50.5333,50.9967,49.0667,50.3667,28446
2015-12-04,50.0467,50.9167,49.2333,50.2533,104598
2015-12-07,49.63,49.6667,48.6333,49.0,22653
2015-12-08,48.4833,48.935,48.0867,48.6,23157
2015-12-09,48.3267,48.9967,47.1667,48.54,41442
2015-12-10,47.89,48.4833,47.7166,48.4,17199
2015-12-11,47.9524,47.9524,46.8667,47.58,9447
2015-12-14,46.6667,47.1667,46.6433,46.6633,50271
2015-12-15,46.2333,47.1957,45.98,46.5667,43620
2015-12-16,46.2167,46.9667,44.58,44.6967,73437
2015-12-17,44.1733,44.4483,41.6667,44.2467,53100
2015-12-18,44.3333,44.6667,43.3333,43.6067,32877
2015-12-21,43.7,44.2333,41.6667,42.0567,61221
2015-12-22,41.825,44.1733,41.79,44.1733,43968
2015-12-23,43.1772,46.1099,43.177,45.16,29613
2015-12-24,44.9933,46.12,44.85,45.57,9066
2015-12-28,45.36,45.9167,43.56,43.7467,25002
2015-12-29,43.4047,44.37,42.1033,42.1967,51375
2015-12-30,42.0667,42.5333,40.37,40.8633,74634
2015-12-31,40.5833,43.64,39.9333,43.64,58509
2016-01-04,42.0,42.0875,40.6667,41.5867,32997
2016-01-05,41.6567,42.0067,41.1167,42.0067,16209
2016-01-06,41.12,41.8263,40.6833,41.39,21261
2016-01-07,41.2023,42.5753,40.75,42.5533,19305
2016-01-08,42.3867,42.7352,40.1833,40.8367,68154
2016-01-11,41.5333,41.5333,40.75,40.75,37950
2016-01-12,40.9933,41.0,39.0334,39.4367,56304
2016-01-13,39.4933,39.6667,37.1667,37.8233,70410
2016-01-14,37.5933,39.6633,37.3333,38.79,44391
2016-01-15,37.9367,38.4236,37.47,37.57,41292
2016-01-19,37.4033,37.4033,36.0504,36.7867,39621
2016-01-20,35.74,38.5833,34.6865,38.5833,131628
2016-01-21,38.3033,41.5166,38.3033,41.38,67896
2016-01-22,42.2233,42.6667,41.57,42.15,33891
2016-01-25,41.4267,42.4433,40.3767,41.1167,28752
2016-01-26,41.3333,41.9833,40.4367,41.0433,15159
2016-01-27,41.33,41.33,39.62,40.3467,21711
2016-01-28,41.1433,41.5,40.3333,41.3333,25191
2016-01-29,41.36,41.5867,39.4867,40.6367,52077
2016-02-01,40.0034,42.0,40.0034,41.9967,6837
2016-02-02,40.76,44.1667,40.76,43.1733,40488
2016-02-03,43.6013,43.8333,41.8667,42.56,19935
2016-02-04,43.2453,44.11,41.8633,42.17,23004
2016-02-05,42.2667,42.2667,40.0,40.0167,150870
2016-02-08,40.0,40.47,39.9833,40.0133,31044
2016-02-09,39.7067,40.01,38.5166,39.1567,28638
2016-02-10,39.1167,40.32,39.1167,40.0067,24129
2016-02-11,38.2,39.6033,38.2,38.7,22956
2016-02-12,39.4333,40.9133,39.0,39.3333,41301
2016-02-16,40.1667,41.55,40.0,41.0033,14766
2016-02-17,40.5267,42.4,40.5267,41.6067,7242
2016-02-18,41.3667,43.2033,40.0867,42.98,30030
2016-02-19,42.0,44.7333,41.5475,43.68,30285
2016-02-22,43.8667,44.6667,41.7567,42.3233,33960
2016-02-23,42.6567,44.6567,42.1667,43.95,26634
2016-02-24,43.65,44.4333,43.4009,43.9267,25635
2016-02-25,44.07,44.4333,42.8167,43.8067,39570
2016-02-26,43.6667,44.49,43.3333,44.4167,21000
2016-02-29,44.325,45.9,43.725,45.3333,36663
2016-03-01,44.4398,46.8706,44.4398,45.7367,26397
2016-03-02,46.0,47.5,45.8667,46.94,50847
2016-03-03,47.0567,48.2367,47.0333,47.1667,24546
2016-03-04,46.0673,51.6667,46.067,50.0,141816
2016-03-07,50.0,50.6733,48.3093,50.2333,26418
2016-03-08,48.2291,50.1933,47.1433,48.6867,20814
2016-03-09,48.3367,50.04,48.3267,48.77,28506
2016-03-10,48.8767,49.375,47.51,48.6667,28278
2016-03-11,48.86,50.0,48.2333,49.4,26928
2016-03-14,49.2267,49.36,48.3334,49.1067,7350
2016-03-15,48.37,49.9567,48.37,48.5767,7272
2016-03-16,49.0467,50.6,48.8433,50.28,25026
2016-03-17,50.5,50.59,50.0,50.15,19335
2016-03-18,50.6533,50.6533,48.7483,48.8633,27009
2016-03-21,49.0033,50.6667,49.0033,50.5833,35793
2016-03-22,50.1933,50.1933,48.3667,49.9167,27222
2016-03-23,49.827,50.3333,49.5,49.6667,18579
2016-03-24,48.93,50.0,48.5833,48.84,22026
2016-03-28,48.84,50.1533,48.84,49.605,8649
2016-03-29,49.8433,49.8433,48.6763,49.21,12855
2016-03-30,49.9333,49.9333,48.77,49.84,11820
2016-03-31,49.0033,49.9866,48.3833,48.5033,23580
2016-04-01,48.75,49.5833,47.6667,48.4333,20550
2016-04-04,48.3833,50.0,48.3833,49.75,7443
2016-04-05,49.4167,50.0,48.4833,48.7667,9090
2016-04-06,48.4833,49.833,48.4833,48.8433,12564
2016-04-07,49.6,49.6633,48.36,49.4333,20130
2016-04-08,49.6667,49.9667,49.27,49.9167,30978
2016-04-11,49.6667,49.9667,49.0,49.5467,19797
2016-04-12,49.3333,51.0,49.3333,50.0833,31581
2016-04-13,49.9417,50.3333,49.67,50.1633,9966
2016-04-14,50.3333,50.3333,49.8187,50.0,16371
2016-04-15,50.0,50.0667,48.6667,50.0667,21837
2016-04-18,49.4733,50.1666,49.4733,49.64,12066
2016-04-19,49.8333,50.1667,49.5,49.7533,13080
2016-04-20,50.0,50.6666,49.5,50.0,28842
2016-04-21,49.5,50.0,49.4667,49.4667,10272
2016-04-22,49.4333,49.8333,49.4333,49.5333,7920
2016-04-25,49.6667,51.6667,49.6667,51.0,70371
2016-04-26,50.3833,51.0,50.1936,51.0,15261
2016-04-27,51.5633,53.6633,51.3948,52.1367,25320
2016-04-28,53.2167,53.3333,51.4058,51.5,20136
2016-04-29,51.0333,51.6667,49.922,50.5003,21795
2016-05-02,50.6667,52.1533,50.6133,51.0,21426
2016-05-03,50.3033,51.6333,50.3033,51.09,13758
2016-05-04,51.63,52.0,50.4167,50.44,67185
2016-05-05,50.766,51.1667,49.8333,50.6,19785
2016-05-06,50.6667,50.6667,50.04,50.5,14436
2016-05-09,50.15,50.9233,49.8333,49.8333,57696
2016-05-10,50.2,52.5,49.4967,52.5,39399
2016-05-11,52.4267,53.8233,52.33,53.6767,43113
2016-05-12,53.6733,54.5,53.6533,54.0333,18864
2016-05-13,53.6667,54.6667,53.28,54.6667,25323
2016-05-16,54.9933,55.0,53.4523,54.35,30021
2016-05-17,54.5767,54.6667,53.1667,53.1667,30489
2016-05-18,54.4033,54.4598,52.9033,53.6033,30663
2016-05-19,53.6667,53.6667,52.3861,53.0,25290
2016-05-20,51.75,53.95,51.75,53.3333,22650
2016-05-23,53.2185,54.5117,53.2185,54.0033,27921
2016-05-24,54.887,55.3591,54.2167,54.6667,33072
2016-05-25,54.4267,54.9778,53.5,54.2,27276
2016-05-26,54.3767,54.9333,53.8333,54.0,28311
2016-05-27,53.6867,55.3067,53.0033,55.3067,37362
2016-05-31,54.8667,56.6667,54.735,56.6667,25962
2016-06-01,56.3333,58.25,56.3333,58.0,52467
2016-06-02,58.0167,58.0223,55.3333,56.2333,33222
2016-06-03,55.7833,57.1867,55.7467,57.1867,27882
2016-06-06,56.67,57.33,55.9817,57.22,47688
2016-06-07,57.4,57.5873,56.96,56.96,30186
2016-06-08,57.4633,57.5598,56.89,57.02,28548
2016-06-09,56.71,57.6033,56.3333,56.5167,31545
2016-06-10,56.6667,56.6667,55.17,55.44,28461
2016-06-13,55.0433,56.6667,54.7767,55.4,14889
2016-06-14,54.8533,55.6667,54.1767,55.6667,22722
2016-06-15,55.3333,56.9683,55.0033,56.3333,25791
