Date,Open,High,Low,Close,Volume
2015-06-22,89.98,94.77,89.98,92.58,1353680
2015-06-23,92.8,95.04,92.11,93.78,829811
2015-06-24,93.81,94.823,92.63,93.05,359712
2015-06-25,93.05,93.22,90.821,91.07,531468
2015-06-26,91.19,91.66,90.14,91.17,1021043
2015-06-29,90.02,91.41,88.67,88.71,558473
2015-06-30,89.56,90.52,88.66,89.22,596255
2015-07-01,89.64,89.94,86.34,86.94,798644
2015-07-02,86.89,88.11,86.13,87.55,468517
2015-07-06,86.37,86.37,84.615,85.57,1004332
2015-07-07,85.5,89.56,84.29,88.94,1025819
2015-07-08,87.51,89.0,85.41,86.37,530304
2015-07-09,87.82,88.65,87.32,87.68,504331
2015-07-10,88.63,88.63,86.0,87.64,849418
2015-07-13,88.24,91.2,88.24,90.02,793804
2015-07-14,89.53,92.13,89.386,91.26,627512
2015-07-15,90.98,91.56,88.3,88.96,674627
2015-07-16,89.0,89.36,88.0,88.31,395047
2015-07-17,87.82,88.18,86.69,87.85,549202
2015-07-20,87.95,88.0,85.58,86.64,650788
2015-07-21,86.76,89.4,86.4701,87.79,504121
2015-07-22,87.43,87.822,84.91,85.43,632069
2015-07-23,85.89,86.96,84.8,86.83,574178
2015-07-24,87.13,87.69,85.5,86.38,902248
2015-07-27,85.4,86.55,83.47,86.05,734528
2015-07-28,86.34,90.06,85.15,88.97,719734
2015-07-29,88.99,91.6,88.45,91.09,752375
2015-07-30,89.89,90.06,87.68,89.67,603581
2015-07-31,89.22,91.14,88.33,88.45,453868
2015-08-03,87.63,87.63,84.65,84.89,653537
2015-08-04,84.25,88.19,83.23,83.54,944350
2015-08-05,83.21,86.68,78.5,78.66,1367382
2015-08-06,78.0,78.0,72.51,76.76,1853945
2015-08-07,76.37,76.62,73.66,73.92,969831
2015-08-10,74.01,77.7,73.85,77.34,826269
2015-08-11,76.25,77.51,75.38,77.39,573543
2015-08-12,77.74,78.67,75.62,77.99,817463
2015-08-13,77.41,77.47,74.85,74.97,544315
2015-08-14,74.5,75.92,73.5,74.26,625398
2015-08-17,74.0,75.42,73.955,75.32,457294
2015-08-18,75.68,76.01,74.36,75.04,670784
2015-08-19,74.78,75.475,71.42,72.63,883103
2015-08-20,70.96,71.21,64.8801,65.05,1863502
2015-08-21,64.99,64.99,62.66,63.62,1138659
2015-08-24,58.51,62.31,58.51,59.29,1140998
2015-08-25,61.06,61.62,58.7,58.72,836843
2015-08-26,60.22,60.97,58.0,59.53,963639
2015-08-27,61.35,64.34,61.17,63.94,1175708
2015-08-28,63.95,67.17,63.4221,65.96,1066587
2015-08-31,65.26,66.92,64.1,66.06,1294004
2015-09-01,64.96,65.5,63.1,63.76,821512
2015-09-02,64.93,65.4,61.89,63.34,834808
2015-09-03,63.51,65.6,62.68,64.39,1138843
2015-09-04,63.48,64.36,62.39,63.49,622982
2015-09-08,63.91,65.08,63.4301,64.38,624361
2015-09-09,65.02,65.66,63.43,63.61,692271
2015-09-10,63.39,64.21,62.14,62.43,788691
2015-09-11,61.6,61.74,58.7,59.75,708249
2015-09-14,59.45,59.7,58.5101,58.75,522665
2015-09-15,59.0,60.09,58.74,59.24,524046
2015-09-16,60.03,61.76,59.83,61.52,857059
2015-09-17,61.5,63.5,61.08,61.89,638230
2015-09-18,60.62,61.23,59.89,60.73,989695
2015-09-21,61.3,62.62,60.43,61.79,730765
2015-09-22,60.71,62.33,60.06,60.63,669278
2015-09-23,60.75,61.37,56.1,56.32,888529
2015-09-24,56.14,56.14,51.89,53.39,1755042
2015-09-25,53.91,54.54,53.04,54.0,1220972
2015-09-28,53.15,53.74,49.57,50.11,955422
2015-09-29,50.69,51.4,48.65,48.92,1288994
2015-09-30,49.64,51.63,49.25,51.52,952443
2015-10-01,51.73,53.95,51.59,52.06,1062690
2015-10-02,51.8,55.34,51.31,55.29,738512
2015-10-05,56.32,61.06,55.76,60.51,1514670
2015-10-06,60.47,64.51,60.0,62.18,1362460
2015-10-07,63.59,66.87,62.27,63.72,1572356
2015-10-08,63.19,66.49,60.9,65.43,860483
2015-10-09,65.8,66.39,63.76,64.18,1096240
2015-10-12,64.4,64.54,61.04,62.43,686265
2015-10-13,61.51,63.22,60.54,61.41,642823
2015-10-14,61.18,62.37,59.62,61.26,695068
2015-10-15,61.03,62.59,59.32,62.16,584505
2015-10-16,62.47,62.81,59.97,61.91,806653
2015-10-19,61.64,62.32,59.73,61.76,472505
2015-10-20,61.72,64.37,61.45,62.72,513995
2015-10-21,62.79,63.56,60.3904,60.83,487054
2015-10-22,60.67,61.476,58.33,59.05,716552
2015-10-23,58.74,59.99,57.38,58.66,631597
2015-10-26,58.14,58.47,56.151,56.35,732988
2015-10-27,55.42,55.5,51.475,52.97,1211664
2015-10-28,53.4,55.66,52.9,55.08,870645
2015-10-29,53.69,56.4799,53.312,54.89,679090
2015-10-30,55.05,58.19,54.5225,57.15,875867
2015-11-02,56.38,58.87,55.9,58.21,828338
2015-11-03,54.0,54.55,50.0,50.88,4109148
2015-11-04,51.03,51.91,48.66,50.13,1864691
2015-11-05,50.9,51.54,49.07,50.14,1236468
2015-11-06,49.21,50.49,47.09,48.37,1142806
2015-11-09,48.36,49.05,46.68,47.55,1082948
2015-11-10,47.5,48.05,46.44,46.65,795592
2015-11-11,46.47,46.65,43.33,43.73,1175924
2015-11-12,43.18,43.99,40.92,41.11,1464591
2015-11-13,40.62,41.68,39.73,41.45,1556736
2015-11-16,41.21,43.35,41.21,43.3,1112432
2015-11-17,43.25,43.51,41.86,42.25,858768
2015-11-18,42.74,44.11,42.08,42.98,882773
2015-11-19,42.98,43.2,41.57,42.1,696503
2015-11-20,42.33,42.4799,40.08,40.17,794741
2015-11-23,40.03,40.9,39.395,39.59,1094831
2015-11-24,39.73,41.64,39.53,41.53,1602472
2015-11-25,41.05,41.75,40.15,40.57,957209
2015-11-27,40.31,40.73,39.63,39.94,297370
2015-11-30,40.02,40.6989,39.11,39.3,1195200
