Date,Open,High,Low,Close,Volume
2015-06-22,79.28,79.81,78.89,79.07,1347543
2015-06-23,79.24,79.33,78.784,78.95,1873135
2015-06-24,78.83,79.33,78.68,78.73,1675031
2015-06-25,78.67,78.96,77.98,78.06,1467301
2015-06-26,79.04,79.78,78.71,79.4,2062512
2015-06-29,77.55,78.966,77.3901,77.47,2136652
2015-06-30,78.42,78.86,77.29,77.73,1708311
2015-07-01,78.46,78.8,77.47,77.68,1581481
2015-07-02,77.91,77.98,76.92,77.34,1132640
2015-07-06,76.48,77.18,76.37,76.93,1407968
2015-07-07,77.12,77.3,75.88,77.215,1514212
2015-07-08,76.48,76.76,75.61,75.77,1863814
2015-07-09,76.74,77.17,76.48,76.61,2031308
2015-07-10,77.48,77.5765,76.92,77.43,1193507
2015-07-13,78.13,78.38,77.73,78.31,1209834
2015-07-14,78.34,78.46,77.91,78.09,1077644
2015-07-15,78.38,78.53,77.87,78.19,1113578
2015-07-16,78.69,79.52,78.41,79.51,1463990
2015-07-17,79.16,79.5,79.02,79.42,1180929
2015-07-20,79.53,79.62,79.05,79.35,792535
2015-07-21,79.14,79.74,78.74,79.07,1029764
2015-07-22,79.07,79.22,78.45,78.74,1639170
2015-07-23,78.06,78.98,77.03,77.28,2349949
2015-07-24,77.1,77.56,75.99,76.84,1714994
2015-07-27,76.58,76.9,75.55,76.63,1427872
2015-07-28,77.37,77.38,76.65,77.16,1042730
2015-07-29,77.38,77.77,76.93,77.56,1105303
2015-07-30,77.09,77.83,77.02,77.5,1175228
2015-07-31,77.63,77.98,77.02,77.13,1431790
2015-08-03,77.13,77.39,76.71,77.24,1100102
2015-08-04,77.25,77.77,76.73,77.05,1112298
2015-08-05,77.34,77.49,76.07,76.48,1561874
2015-08-06,76.85,76.8699,75.46,75.89,1164228
2015-08-07,76.06,76.27,75.33,75.84,969832
2015-08-10,76.51,76.9,76.25,76.89,1181858
2015-08-11,76.67,76.67,75.88,76.18,1131030
2015-08-12,75.74,75.756,74.04,75.47,2510441
2015-08-13,75.38,76.355,75.02,75.83,982082
2015-08-14,75.59,76.15,75.5,76.07,772237
2015-08-17,75.5,76.28,75.36,76.23,819083
2015-08-18,77.57,77.57,76.05,76.34,676643
2015-08-19,75.97,76.24,75.1006,75.47,899017
2015-08-20,75.2,75.2,72.0,73.93,1509565
2015-08-21,73.37,73.77,72.01,72.09,3034698
2015-08-24,68.33,72.1,67.76,69.65,4130691
2015-08-25,72.2,72.2,68.32,68.33,3048783
2015-08-26,69.62,71.12,69.16,70.81,3412796
2015-08-27,71.57,73.12,71.57,72.9,2214785
2015-08-28,72.09,72.48,71.81,72.4,1408214
2015-08-31,71.87,72.245,71.3,71.88,1305814
2015-09-01,70.15,70.32,69.05,69.38,2445361
2015-09-02,70.37,70.54,69.0,69.91,1591136
2015-09-03,69.89,70.77,69.74,70.36,1853886
2015-09-04,69.45,70.12,68.99,69.44,1500914
2015-09-08,70.26,71.18,69.598,71.15,1839798
2015-09-09,72.0,72.88,70.32,70.45,1689642
2015-09-10,70.46,71.5,70.42,70.92,1366039
2015-09-11,70.22,71.03,70.0,71.0,1181322
2015-09-14,70.96,70.976,70.28,70.58,1309356
2015-09-15,70.58,71.51,70.17,70.95,1900107
2015-09-16,71.04,71.79,70.48,71.68,1380859
2015-09-17,71.46,72.44,70.93,71.06,1846136
2015-09-18,70.09,70.76,69.28,69.57,2956126
2015-09-21,69.9,70.44,69.55,70.22,1033322
2015-09-22,69.16,69.85,68.56,69.06,1969048
2015-09-23,69.31,69.372,68.51,68.87,1370019
2015-09-24,68.42,68.77,67.93,68.36,2242278
2015-09-25,68.94,69.47,68.63,69.12,2098134
2015-09-28,68.94,69.38,68.44,69.1,4012236
2015-09-29,69.45,71.19,67.98,68.27,2689922
