Date,Open,High,Low,Close,Volume
2015-06-22,100.41,100.538,99.81,100.04,1263042
2015-06-23,100.34,100.5999,99.47,100.0,1105187
2015-06-24,99.79,99.935,98.78,98.78,1402481
2015-06-25,98.37,98.81,97.74,97.81,1403824
2015-06-26,98.18,98.56,97.72,97.92,2061440
2015-06-29,97.1,97.47,96.1,96.14,1818607
2015-06-30,96.69,97.11,95.86,96.66,2752041
2015-07-01,99.65,100.44,98.54,99.3,3447750
2015-07-02,99.49,100.46,99.08,99.23,1996205
2015-07-06,98.42,99.12,98.24,98.94,1756017
2015-07-07,98.99,100.15,98.3,100.03,2716837
2015-07-08,99.14,99.47,98.62,98.76,2352208
2015-07-09,100.38,100.99,99.87,100.07,3101932
2015-07-10,101.31,101.35,100.681,101.0,1225314
2015-07-13,101.9,102.43,101.83,102.33,2174915
2015-07-14,101.98,102.59,101.92,102.38,1211355
2015-07-15,101.99,102.58,101.99,102.42,1737751
2015-07-16,103.35,103.71,103.01,103.29,2020059
2015-07-17,103.17,103.4,102.7,102.94,1448982
2015-07-20,102.91,103.078,102.52,102.61,1756814
2015-07-21,103.97,104.73,102.12,104.48,3389475
2015-07-22,104.67,105.86,104.4913,105.3,2119126
2015-07-23,105.39,105.59,104.88,105.3,1568749
2015-07-24,105.17,105.55,104.95,105.27,1604998
2015-07-27,104.16,105.98,104.05,105.59,2239464
2015-07-28,106.0,106.1,105.18,105.94,1903200
2015-07-29,105.96,106.6,105.71,106.43,1805578
2015-07-30,106.2,106.6462,105.92,106.5,1103927
2015-07-31,106.83,107.09,106.02,106.12,1758505
2015-08-03,106.39,106.94,105.99,106.94,1497683
2015-08-04,106.51,107.11,106.245,106.63,2116015
2015-08-05,107.11,107.47,105.83,106.08,2830200
2015-08-06,106.23,106.3,104.92,105.46,1497251
2015-08-07,105.26,105.58,104.76,105.48,1507252
2015-08-10,106.09,106.61,105.58,105.82,1916174
2015-08-11,105.0,105.99,104.99,105.89,1515052
2015-08-12,105.05,105.63,104.05,105.43,1736262
2015-08-13,105.26,107.7,104.555,106.95,3227624
2015-08-14,106.92,107.88,106.75,107.71,1488314
2015-08-17,107.13,107.89,106.49,107.71,1213236
2015-08-18,107.67,107.98,106.79,107.82,889518
2015-08-19,107.28,108.05,106.47,107.22,1386292
2015-08-20,106.19,106.63,105.66,105.7,1556788
2015-08-21,105.07,105.26,102.86,102.93,2293664
2015-08-24,97.985,101.41,95.21,98.78,5527070
2015-08-25,100.47,100.82,97.64,97.75,2931650
2015-08-26,100.07,100.29,97.59,100.0,2601920
2015-08-27,101.09,101.72,99.79,101.4,2711059
2015-08-28,101.0,101.22,99.8,100.43,1678341
2015-08-31,99.74,100.25,99.32,99.55,1931172
2015-09-01,97.71,98.55,97.21,97.49,2541977
2015-09-02,98.35,98.93,97.88,98.93,1643699
2015-09-03,99.17,100.11,99.01,99.37,2383249
2015-09-04,97.96,98.6,97.29,97.76,1923216
2015-09-08,98.94,99.69,98.5,99.65,2104687
2015-09-09,100.25,100.47,98.3,98.48,1590770
2015-09-10,98.16,99.75,98.066,99.09,1623606
2015-09-11,98.43,99.52,98.18,99.49,1375340
2015-09-14,99.57,99.84,98.76,99.28,1601785
2015-09-15,99.52,101.15,99.18,100.86,1694340
2015-09-16,100.76,102.08,100.5,101.91,2034182
2015-09-17,101.94,103.13,101.25,101.66,1762051
2015-09-18,99.83,100.91,99.44,99.66,5001765
2015-09-21,100.44,101.43,100.12,100.52,2095698
2015-09-22,99.26,99.65,98.68,98.98,2326593
2015-09-23,99.0,99.65,98.48,99.08,1919154
2015-09-24,98.64,99.23,98.32,98.86,2386959
2015-09-25,99.6,100.61,98.48,99.91,1942844
2015-09-28,99.4,100.26,98.77,99.08,2892691
2015-09-29,99.21,99.61,98.21,99.47,2128574
2015-09-30,100.35,100.36,99.28,99.53,2556092
2015-10-01,99.85,99.97,97.1845,98.34,2981417
2015-10-02,97.55,100.03,97.18,100.03,2410910
2015-10-05,100.73,101.91,100.48,101.86,1846740
2015-10-06,101.54,101.61,100.9,101.07,1329553
2015-10-07,101.52,102.46,101.28,102.17,1339301
2015-10-08,101.67,103.21,101.56,103.09,1213710
2015-10-09,103.37,103.75,102.63,102.94,1290605
2015-10-12,102.66,104.0,102.65,103.72,983712
2015-10-13,103.22,103.99,103.0,103.31,1287612
2015-10-14,103.22,103.73,102.69,102.77,1938398
2015-10-15,103.62,104.96,103.22,104.96,1656971
2015-10-16,105.24,105.97,105.04,105.9,1869880
2015-10-19,105.74,106.47,104.81,106.32,2395142
2015-10-20,108.58,109.86,107.91,108.95,3135000
2015-10-21,109.5,111.88,109.49,110.7,3117582
2015-10-22,110.82,112.93,110.76,112.32,2487980
2015-10-23,112.79,112.97,111.9,112.28,2326778
2015-10-26,112.59,112.99,112.22,112.77,1799513
2015-10-27,112.17,113.76,112.12,113.41,2119835
2015-10-28,113.81,114.3201,113.08,114.26,1782678
2015-10-29,114.31,114.77,113.685,114.29,1932910
2015-10-30,114.56,114.61,112.89,112.89,2207134
2015-11-02,113.57,113.98,113.31,113.87,1828571
2015-11-03,113.8,114.14,112.99,113.69,1534503
2015-11-04,113.71,114.36,113.175,114.08,2031597
2015-11-05,114.43,114.58,113.84,113.97,1511128
2015-11-06,114.57,114.78,112.59,113.1,2620778
2015-11-09,112.72,113.07,112.41,112.83,1585218
2015-11-10,112.9,114.1,112.47,114.05,1488312
2015-11-11,114.31,114.78,113.85,114.38,1226289
2015-11-12,113.83,114.19,112.26,112.31,1939443
2015-11-13,112.36,112.91,111.83,112.0,2042835
2015-11-16,111.85,112.91,111.62,112.89,1653536
2015-11-17,112.81,113.45,112.43,112.74,1568977
2015-11-18,112.84,114.79,112.75,114.68,1676476
2015-11-19,114.85,115.3,114.13,115.02,1067986
2015-11-20,115.24,116.48,115.08,115.83,1694666
2015-11-23,115.81,116.15,115.39,115.63,1320807
2015-11-24,115.32,115.77,114.71,115.44,1486249
2015-11-25,115.45,115.5257,114.57,114.8,1165367
2015-11-27,114.71,115.1,114.35,114.85,548064
2015-11-30,115.17,115.5,114.4,114.57,1835153
2015-12-01,115.27,116.36,115.14,115.68,1829615
2015-12-02,115.41,116.07,114.62,114.71,1667849
2015-12-03,114.07,114.28,111.04,111.29,4310063
2015-12-04,111.72,114.11,111.72,114.06,2226261
2015-12-07,113.19,114.0,112.88,113.59,1907479
2015-12-08,112.42,113.0,111.72,112.37,1991622
2015-12-09,111.66,112.89,110.83,111.04,1835515
2015-12-10,110.89,111.75,110.25,110.99,1580641
2015-12-11,109.68,110.96,109.34,109.76,1831942
2015-12-14,109.93,112.03,109.6708,111.03,2283731
2015-12-15,111.77,113.716,111.75,113.18,2262562
2015-12-16,114.09,114.84,113.08,114.54,1773458
2015-12-17,114.69,114.79,113.24,113.27,2215497
2015-12-18,113.27,113.27,110.07,110.13,5050059
2015-12-21,110.86,111.43,110.02,110.94,1423967
2015-12-22,111.72,112.6299,110.85,112.48,1771426
2015-12-23,112.84,113.25,112.27,113.21,1465161
2015-12-24,112.87,113.74,112.74,113.27,507317
2015-12-28,113.0,113.51,112.66,113.48,712141
2015-12-29,114.08,115.19,113.99,115.02,1049629
2015-12-30,115.03,115.27,114.15,114.29,646678
2015-12-31,114.12,114.32,112.83,112.86,956059
2016-01-04,110.71,110.96,108.73,109.97,2845969
2016-01-05,109.92,110.73,109.54,110.47,1870426
2016-01-06,109.34,109.79,108.57,109.04,1730804
2016-01-07,107.5,108.44,106.03,106.44,2284352
2016-01-08,107.01,107.44,105.83,105.99,1984371
2016-01-11,106.47,107.28,105.62,106.79,1549828
2016-01-12,107.69,108.2,106.59,107.98,2116010
2016-01-13,108.27,108.83,105.83,106.06,2881368
2016-01-14,105.94,108.01,105.83,106.98,1919027
2016-01-15,103.28,105.73,103.28,105.1,2532432
2016-01-19,106.61,106.67,105.28,105.76,2459587
2016-01-20,104.89,104.95,102.68,103.65,3319204
2016-01-21,103.86,105.1,101.23,102.7,3183963
2016-01-22,103.63,103.9,102.08,103.14,2483713
2016-01-25,102.53,103.4,101.55,102.08,2929963
2016-01-26,102.26,104.0,102.18,103.25,2018855
2016-01-27,103.07,104.75,102.73,103.31,1694543
2016-01-28,103.79,104.817,103.04,104.47,1391489
2016-01-29,105.28,107.07,104.97,107.04,2195908
2016-02-01,106.79,107.35,106.17,107.01,1843781
2016-02-02,105.5,106.44,105.5,106.03,1730188
2016-02-03,106.35,107.51,104.74,106.89,2084988
2016-02-04,106.76,107.57,106.59,107.49,1606996
2016-02-05,107.49,108.0,106.01,106.29,2756581
2016-02-08,105.18,106.0,103.93,105.6,3409343
2016-02-09,103.95,106.14,103.77,105.92,1983590
2016-02-10,106.35,107.647,105.6,105.72,1584543
2016-02-11,103.73,104.56,103.0701,103.77,2544617
2016-02-12,104.82,107.58,104.18,107.49,2095903
2016-02-16,108.27,108.5,106.61,107.37,2322251
2016-02-17,108.0,109.26,107.63,109.18,1913799
2016-02-18,109.01,109.25,108.577,108.85,1678136
2016-02-19,108.56,108.72,107.83,108.09,1682452
2016-02-22,109.42,109.53,108.49,109.35,2281108
2016-02-23,108.64,108.81,107.63,107.91,1523080
2016-02-24,107.3,108.8,106.67,108.48,1521880
2016-02-25,108.79,109.27,108.22,109.27,1392937
2016-02-26,109.6,109.7978,108.25,108.46,1807747
2016-02-29,108.46,108.72,107.39,107.52,2922459
2016-03-01,108.13,110.13,108.04,110.13,1651864
2016-03-02,110.06,110.44,109.68,110.2,1521015
2016-03-03,109.92,110.28,108.63,109.8,1819393
2016-03-04,110.38,110.59,109.06,110.4,1372878
2016-03-07,110.02,110.49,109.56,110.41,1226982
2016-03-08,109.46,111.58,109.46,110.85,1891927
2016-03-09,111.5,111.7,110.83,111.33,1452077
2016-03-10,111.26,112.36,110.58,111.53,1682975
2016-03-11,112.19,113.67,112.13,113.64,1978752
2016-03-14,113.65,113.8,112.28,112.82,1732098
2016-03-15,112.23,114.38,112.0768,113.92,1529131
2016-03-16,113.5,115.01,113.5,114.68,1409018
2016-03-17,114.73,116.1667,114.44,115.83,1518600
2016-03-18,115.99,116.0,114.81,115.76,5239587
2016-03-21,115.32,116.32,115.32,116.03,1200619
2016-03-22,115.95,116.78,115.54,116.06,1528403
2016-03-23,116.16,116.46,115.05,115.89,1458595
2016-03-24,115.64,115.92,114.67,115.39,1477414
2016-03-28,116.11,116.41,115.57,116.25,885183
2016-03-29,116.21,116.87,115.77,116.41,1234127
2016-03-30,116.95,117.7,116.72,117.43,1147755
2016-03-31,117.39,117.61,116.49,116.71,1110198
2016-04-01,116.42,117.55,115.91,117.4,1478969
2016-04-04,117.65,118.28,117.17,117.56,1096107
2016-04-05,117.07,117.84,116.02,116.13,1214902
2016-04-06,116.05,116.3844,114.96,115.93,1644216
2016-04-07,115.58,115.58,114.36,114.5,1293968
2016-04-08,114.79,116.01,114.79,115.23,907049
2016-04-11,115.35,116.28,114.73,114.78,1176600
2016-04-12,114.81,115.29,114.13,115.19,1749446
2016-04-13,115.87,116.18,114.8604,115.96,1483484
2016-04-14,115.87,115.99,115.1,115.36,1588270
2016-04-15,115.74,116.62,115.35,116.23,1550592
2016-04-18,116.0,116.33,115.43,116.01,2350319
2016-04-19,116.81,117.24,116.09,116.27,1216952
2016-04-20,116.63,116.68,115.14,115.8,1962604
2016-04-21,111.53,112.37,108.25,108.79,5073526
2016-04-22,109.16,111.17,109.1,110.84,2023539
2016-04-25,110.55,110.645,109.51,110.34,1482315
2016-04-26,110.63,110.9299,109.56,109.97,1614963
2016-04-27,110.13,110.13,108.88,109.53,2341989
2016-04-28,108.72,109.87,108.37,109.13,1448345
2016-04-29,108.96,110.12,108.5,109.9,1697574
2016-05-02,110.01,111.27,110.01,110.91,1413919
2016-05-03,109.68,110.69,109.62,110.33,1256396
2016-05-04,109.52,110.19,108.68,109.73,1348389
2016-05-05,110.39,111.16,110.27,110.75,1590145
2016-05-06,110.5,110.59,109.73,110.45,1273054
2016-05-09,110.11,111.05,110.01,110.81,942259
2016-05-10,111.0,112.28,110.74,112.27,1267056
2016-05-11,112.31,113.12,111.9001,111.97,1519541
2016-05-12,112.19,113.04,111.63,112.64,1274823
2016-05-13,112.83,113.01,111.93,112.67,1608246
2016-05-16,112.26,112.86,111.94,112.24,1154992
2016-05-17,112.08,112.26,110.1,110.42,1490486
2016-05-18,110.27,111.89,109.98,111.3,1346945
2016-05-19,110.53,110.97,109.86,110.1,1638255
2016-05-20,110.75,112.46,110.48,111.89,1806616
2016-05-23,111.7,112.19,111.21,111.39,1110678
2016-05-24,111.61,113.5,111.5,113.44,1386364
2016-05-25,113.76,114.38,113.33,113.54,1180237
2016-05-26,113.48,113.76,113.01,113.6,1205220
2016-05-27,113.61,114.34,113.55,114.18,1031261
2016-05-31,114.23,115.0,113.49,114.14,2135485
2016-06-01,113.75,114.87,113.37,114.84,1398813
2016-06-02,114.76,114.885,114.21,114.87,1130876
2016-06-03,114.12,114.96,113.28,114.62,1087383
2016-06-06,115.0,115.33,114.12,114.33,1339185
2016-06-07,114.61,115.01,114.23,114.58,1889275
2016-06-08,113.55,114.5,113.55,114.22,1280955
2016-06-09,113.83,114.3899,113.53,114.22,918802
2016-06-10,114.13,114.41,113.27,113.81,1203642
2016-06-13,113.61,114.56,112.89,113.0,1363406
2016-06-14,113.12,113.25,112.25,112.55,1530656
2016-06-15,112.88,113.07,111.69,111.81,1174642
2016-06-16,111.24,112.785,111.0,112.75,1143088
2016-06-17,113.07,113.1,111.33,111.86,2102207
2016-06-20,112.63,113.59,112.51,112.61,1171220
2016-06-21,112.91,113.15,112.46,112.72,1056147
2016-06-22,112.91,113.07,111.715,111.83,1565765
2016-06-23,113.22,113.9,112.53,113.85,1128248
2016-06-24,109.31,112.42,109.19,111.02,2421272
2016-06-27,110.47,110.83,109.33,110.35,1878828
2016-06-28,111.87,114.15,111.08,114.13,2062602
2016-06-29,114.88,116.85,114.7244,116.81,2190850
2016-06-30,116.91,119.05,116.83,119.04,2584307
2016-07-01,118.96,119.3,118.2275,118.85,1353356
2016-07-05,118.25,119.04,118.02,118.68,1406124
2016-07-06,118.38,118.97,118.045,118.76,1360410
2016-07-07,118.7,118.79,117.05,117.51,1237142
2016-07-08,118.4,118.425,117.55,118.08,1197332
2016-07-11,118.32,118.47,117.91,118.12,1019528
2016-07-12,118.4,118.9,117.67,118.09,1208493
2016-07-13,118.34,118.52,117.96,118.0,1231822
2016-07-14,119.0,119.08,118.38,118.74,1090269
2016-07-15,119.14,119.19,118.38,118.64,1546811
2016-07-18,118.49,118.86,117.36,117.38,2034812
2016-07-19,116.93,117.32,116.56,117.05,1384418
2016-07-20,117.45,117.65,116.94,117.01,1662481
2016-07-21,116.39,116.87,115.0,116.72,1807299
2016-07-22,116.72,117.61,115.87,117.15,1068025
2016-07-25,117.0,117.53,116.47,117.45,1265545
2016-07-26,117.71,118.13,117.0,117.65,1358112
2016-07-27,117.14,117.5,116.19,116.43,1976870
2016-07-28,116.58,117.6803,116.21,117.61,1267926
2016-07-29,117.34,117.68,116.13,116.22,2169132
2016-08-01,116.26,116.9,116.0,116.81,1509090
2016-08-02,116.71,117.16,116.51,117.03,1106304
2016-08-03,117.28,117.99,117.13,117.98,1337860
2016-08-04,118.1,118.45,117.5,117.88,1901023
2016-08-05,118.41,118.76,117.96,118.58,1236042
2016-08-08,118.42,118.85,117.7,118.15,1226524
2016-08-09,118.3,118.53,118.09,118.18,976695
2016-08-10,117.95,118.36,117.82,118.23,952161
2016-08-11,118.7,118.9,118.365,118.6,986930
2016-08-12,118.58,118.86,118.37,118.51,815691
2016-08-15,118.58,118.75,118.08,118.35,1029741
2016-08-16,117.94,118.44,116.98,116.98,1099923
2016-08-17,117.1,117.63,116.61,117.42,1224235
2016-08-18,117.37,117.82,117.05,117.82,1271362
2016-08-19,117.38,117.61,116.98,117.47,1108625
2016-08-22,117.4,117.4,116.31,116.95,1137232
2016-08-23,117.28,117.7,116.61,116.63,870964
2016-08-24,116.66,117.235,115.97,117.11,1013986
2016-08-25,117.13,118.05,116.98,117.75,823103
2016-08-26,118.07,118.8,116.64,117.14,1578970
2016-08-29,117.63,118.72,117.491,118.48,1277833
2016-08-30,117.16,119.1,117.16,118.47,1454133
