Date,Open,High,Low,Close,Volume
2015-06-22,18.608,18.706,18.528,18.61,2769180
2015-06-23,18.656,18.798,18.566,18.578,2464900
2015-06-24,18.52,18.636,18.326,18.375,2062670
2015-06-25,18.424,18.572,18.28,18.54,2924550
2015-06-26,18.588,18.724,18.472,18.55,3544445
2015-06-29,18.42,18.502,18.0013,18.02,2667165
2015-06-30,18.26,18.26,17.922,17.988,5728295
2015-07-01,18.248,18.366,17.952,18.156,3590580
2015-07-02,18.218,18.278,17.88,18.064,2965620
2015-07-06,17.906,18.25,17.906,18.208,2183460
2015-07-07,18.294,18.322,17.854,18.146,7000545
2015-07-08,17.98,18.218,17.496,17.522,8452810
2015-07-09,17.744,17.894,17.692,17.744,6245050
2015-07-10,18.04,18.27,17.928,18.23,2610720
2015-07-13,18.348,18.542,18.3361,18.504,3242230
2015-07-14,18.518,18.734,18.454,18.66,3383720
2015-07-15,18.58,18.772,18.518,18.684,3460145
2015-07-16,18.8,18.934,18.6604,18.784,3127200
2015-07-17,18.926,19.008,18.8,18.9,4887325
2015-07-20,18.74,18.8,18.56,18.626,6962885
2015-07-21,18.72,18.88,18.63,18.706,5256070
2015-07-22,18.722,18.988,18.674,18.956,5770555
2015-07-23,18.92,19.256,18.7,19.092,13712935
2015-07-24,19.18,19.217,18.538,18.714,6468355
2015-07-27,18.738,18.768,18.296,18.416,3938470
2015-07-28,18.508,18.552,18.24,18.344,4142635
2015-07-29,18.374,18.52,18.338,18.456,3556260
2015-07-30,18.41,18.4988,18.286,18.398,2531015
2015-07-31,18.408,18.688,18.342,18.504,3446480
2015-08-03,18.55,18.614,18.094,18.268,2558035
2015-08-04,18.218,18.496,18.218,18.454,2460485
2015-08-05,18.708,18.774,18.552,18.67,4925260
2015-08-06,18.7,18.798,18.214,18.234,4069565
2015-08-07,18.192,18.364,18.084,18.34,2689785
2015-08-10,18.536,18.744,18.494,18.622,2862445
2015-08-11,18.508,18.724,18.438,18.694,3265265
2015-08-12,18.554,18.616,18.25,18.552,3100200
2015-08-13,18.494,18.946,18.484,18.64,3331720
2015-08-14,18.586,18.948,18.478,18.62,2666595
2015-08-17,18.604,18.818,18.474,18.788,3202415
2015-08-18,18.77,18.904,18.636,18.818,3364635
2015-08-19,18.74,18.862,18.5,18.67,2917950
2015-08-20,18.53,18.618,17.93,17.93,5025500
2015-08-21,17.766,17.798,17.104,17.118,7978280
2015-08-24,15.94,17.278,15.0,16.716,13601840
2015-08-25,17.05,17.278,16.608,16.608,7273760
2015-08-26,17.056,17.188,16.518,17.008,5999180
2015-08-27,17.158,17.79,17.024,17.424,7433340
2015-08-28,17.388,17.454,16.934,17.078,8234690
2015-08-31,17.026,17.308,16.958,17.062,5913415
2015-09-01,16.654,16.864,16.336,16.446,6151800
