Date,Open,High,Low,Close,Volume
2015-06-22,28.12,28.17,27.74,27.94,1006698
2015-06-23,27.98,28.12,27.77,28.01,653162
2015-06-24,28.65,28.98,28.33,28.6,1595743
2015-06-25,28.61,28.77,28.25,28.39,973632
2015-06-26,28.5,28.66,28.3,28.62,2674559
2015-06-29,28.43,28.58,27.92,27.94,1441579
2015-06-30,28.09,28.21,27.51,27.57,1466493
2015-07-01,27.72,27.92,27.3506,27.45,1699730
2015-07-02,27.37,27.63,27.27,27.4,1096743
2015-07-06,27.26,27.58,27.11,27.46,865179
2015-07-07,27.51,27.72,27.06,27.61,1186376
2015-07-08,27.41,27.59,27.01,27.25,892661
2015-07-09,27.55,27.9,27.51,27.74,1039622
2015-07-10,28.0,28.33,27.79,28.26,1266666
2015-07-13,28.5,28.85,28.44,28.85,1028762
2015-07-14,28.95,29.35,28.71,29.33,1849786
2015-07-15,29.26,29.51,29.18,29.36,1914710
2015-07-16,29.4,29.99,29.29,29.95,2452511
2015-07-17,30.02,31.3199,29.93,31.14,4675943
2015-07-20,31.17,31.54,31.0,31.35,2048317
2015-07-21,31.04,31.57,31.02,31.26,2406561
2015-07-22,31.14,31.55,31.02,31.49,1758279
2015-07-23,31.5,31.72,31.14,31.16,1627995
2015-07-24,31.2,31.69,31.116,31.41,2411026
2015-07-27,31.2,31.39,30.53,30.73,1569969
2015-07-28,31.05,31.545,30.82,31.52,2073732
2015-07-29,31.31,31.64,31.21,31.43,2024016
2015-07-30,31.29,32.17,31.05,31.81,1222586
2015-07-31,31.9,32.0,31.51,31.58,895259
2015-08-03,31.45,31.58,31.065,31.39,1042214
2015-08-04,31.41,31.79,31.34,31.43,1017849
2015-08-05,31.64,32.71,31.64,31.85,2217915
2015-08-06,32.0,32.2605,31.41,31.54,2015157
2015-08-07,31.39,31.49,31.09,31.46,1964344
2015-08-10,31.55,31.92,30.86,30.94,3724747
2015-08-11,29.2,31.39,29.1,30.59,4684229
2015-08-12,30.17,30.35,29.49,30.26,1743646
2015-08-13,30.41,30.51,29.99,30.14,1432813
2015-08-14,30.08,31.01,30.0,30.72,1404954
2015-08-17,30.59,31.69,30.23,31.59,1993500
2015-08-18,31.55,31.61,31.04,31.11,1605292
2015-08-19,31.06,31.11,30.32,30.35,1118360
2015-08-20,30.21,30.26,29.34,29.38,1460792
2015-08-21,28.95,29.57,28.48,28.88,2276488
2015-08-24,25.6,28.13,25.01,27.83,3424141
2015-08-25,28.66,28.71,27.62,27.63,1742985
2015-08-26,28.09,28.41,27.325,28.3,1870001
2015-08-27,28.63,28.95,28.09,28.92,1513488
2015-08-28,28.78,29.84,28.73,29.78,1786581
2015-08-31,29.5,29.64,28.88,29.13,2025255
2015-09-01,28.5,29.09,28.1629,28.35,1709584
2015-09-02,28.65,29.01,28.07,28.71,1706964
2015-09-03,28.86,29.0,28.28,28.7,1145683
2015-09-04,28.35,28.73,28.19,28.45,1002192
2015-09-08,28.9,29.635,28.59,29.58,1307354
