Date,Open,High,Low,Close,Volume
2015-06-22,53.9563,54.0889,53.6523,54.0031,2079474
2015-06-23,54.0421,54.1434,53.6757,53.6913,1395744
2015-06-24,53.6991,53.7848,53.2469,53.4574,1123142
2015-06-25,53.6679,53.6679,52.9974,53.1456,950664
2015-06-26,53.2937,53.4613,53.0052,53.3482,1708148
2015-06-29,53.013,53.1456,52.6193,52.6856,1920167
2015-06-30,53.1144,53.3872,52.3659,52.5608,1757717
2015-07-01,53.0364,53.052,52.4946,52.7012,1181336
2015-07-02,52.9117,53.052,52.4673,52.631,826432
2015-07-06,52.0775,52.5453,51.7111,52.2568,1624039
2015-07-07,52.4517,52.5531,51.6721,52.4673,1678896
2015-07-08,51.9761,52.4205,51.5708,51.5941,1816354
2015-07-09,52.171,52.4517,51.5318,51.5318,1497204
2015-07-10,52.0697,52.171,51.5941,51.7734,1157288
2015-07-13,52.5686,52.631,52.2958,52.4127,2038452
2015-07-14,52.4595,52.6934,52.4127,52.5842,1631856
2015-07-15,52.7168,52.7869,52.3114,52.5219,2693640
2015-07-16,53.4262,53.5509,52.6934,52.7635,3485368
2015-07-17,52.7635,53.2703,52.3971,52.7246,1470314
2015-07-20,52.9273,54.0109,52.8337,53.6055,2514455
2015-07-21,53.738,53.855,52.8337,53.0052,1827811
2015-07-22,52.9896,53.3872,52.7324,53.1689,2662869
2015-07-23,53.2079,53.2079,52.1477,52.21,2135531
2015-07-24,52.1087,52.2958,51.3135,51.4538,1408473
2015-07-27,51.064,51.2433,50.6352,50.6742,2215711
2015-07-28,48.2574,48.3354,47.1192,47.3219,8875537
2015-07-29,47.4311,48.3978,47.2673,47.9456,4237247
2015-07-30,47.6026,47.7604,47.3141,47.6416,2660752
2015-07-31,47.7663,48.1561,47.6961,47.8676,2299789
2015-08-03,47.7039,47.7741,47.1348,47.1894,3543610
2015-08-04,47.3843,47.6766,46.0434,46.2928,4519303
2015-08-05,46.6203,47.1426,46.6203,46.745,3231955
2015-08-06,46.7684,46.9867,46.6125,46.784,2701511
2015-08-07,46.745,47.0958,46.5345,46.9711,3774112
2015-08-10,47.2284,48.199,47.205,48.0236,2683831
2015-08-11,47.5714,47.8442,47.3005,47.6026,2164397
2015-08-12,47.1114,48.1405,46.7996,48.0547,2606084
2015-08-13,47.9222,48.234,47.8053,47.852,2068063
2015-08-14,47.9378,48.3276,47.7663,47.9846,1706876
2015-08-17,47.7585,48.655,47.5714,48.429,1966287
2015-08-18,48.1951,48.5498,48.1405,48.4445,1901424
2015-08-19,48.0547,48.3588,47.4934,47.4934,1803549
2015-08-20,47.0646,47.3063,46.441,46.4566,2181381
2015-08-21,45.9498,46.2617,45.0221,45.0455,2630031
2015-08-24,40.9526,44.336,40.9526,43.3148,5506347
2015-08-25,44.8662,44.8662,42.3169,42.3402,2878664
2015-08-26,43.3771,43.5408,42.2389,43.1666,2667745
2015-08-27,43.6422,44.2503,42.9172,43.611,3524184
2015-08-28,43.5642,43.9852,43.3225,43.4473,4012758
2015-08-31,43.268,43.5798,42.9951,43.1043,2332125
2015-09-01,42.0596,42.3558,41.5217,41.7711,6049302
2015-09-02,42.426,42.5819,41.6893,42.2779,3940721
2015-09-03,42.1921,42.6443,41.7867,41.8413,6715320
2015-09-04,41.319,41.6815,41.1007,41.1942,3234265
2015-09-08,41.9193,42.0986,41.5529,42.0128,3429045
2015-09-09,42.4962,49.6373,42.2233,42.3013,4458790
2015-09-10,42.1687,42.9561,42.083,42.3247,2963413
2015-09-11,42.2155,42.9405,42.044,42.8782,3018727
2015-09-14,42.8626,43.0107,42.6989,42.847,3084467
2015-09-15,43.2056,44.0905,42.8704,44.032,3180763
2015-09-16,43.9696,44.6791,43.8371,44.5153,3243409
2015-09-17,44.336,44.5855,43.6578,43.7513,2698255
2015-09-18,41.7088,43.3693,41.7088,42.8392,2963870
2015-09-21,42.925,43.2758,42.5663,42.7301,1514864
2015-09-22,42.0986,42.1376,41.5451,42.044,2393467
2015-09-23,42.0518,42.122,41.1865,41.4281,2376475
2015-09-24,40.7655,41.1163,40.0638,41.0539,3511460
2015-09-25,41.4281,41.6152,40.7772,40.9448,2225077
2015-09-28,40.5783,40.7343,39.7052,39.7364,2162830
2015-09-29,39.9936,40.2197,39.1984,39.4557,3951836
2015-09-30,39.7832,40.0092,38.8242,39.5805,6712210
2015-10-01,39.6038,39.7754,38.9334,39.5181,2850205
2015-10-02,39.0113,40.0638,38.7775,40.0638,2938155
2015-10-05,40.3055,41.3579,39.9235,41.1708,3537971
2015-10-06,41.2332,41.7633,41.0539,41.5684,2700693
2015-10-07,41.7088,42.6131,41.5684,41.9037,3101317
2015-10-08,41.7166,42.8899,41.6308,42.769,2948102
2015-10-09,42.8782,43.5252,42.6911,42.7612,3241613
2015-10-12,42.7145,42.8548,42.3325,42.5507,1578236
2015-10-13,42.1609,42.5975,41.9115,41.966,1394489
2015-10-14,41.9582,42.0596,41.4827,41.6932,2054538
2015-10-15,41.8413,42.3169,41.4671,42.2935,2067158
2015-10-16,42.1298,42.2156,41.4983,41.7867,5119639
2015-10-19,41.6152,41.8491,41.3969,41.5918,2139512
2015-10-20,41.4749,42.7456,41.3579,42.3558,3211751
2015-10-21,42.5585,43.0887,42.2779,42.348,2012715
2015-10-22,42.3558,43.7124,42.3558,43.4005,3372108
2015-10-23,43.6188,44.2425,43.533,44.1099,5474021
2015-10-26,44.071,44.414,43.7435,44.2893,3355700
2015-10-27,44.9519,45.217,43.4473,44.7414,5099333
2015-10-28,44.7336,45.79,44.6011,45.7315,3559919
2015-10-29,45.4431,46.0317,45.2638,45.981,2051694
2015-10-30,46.0278,46.7918,45.8407,46.1993,2663621
2015-11-02,46.2539,47.0568,46.0745,46.9399,2493415
2015-11-03,46.6904,47.1114,46.3864,46.6281,3058701
2015-11-04,46.8542,46.9789,46.2461,46.4176,2432761
2015-11-05,46.4488,46.784,46.285,46.706,2906457
2015-11-06,46.4176,46.8853,46.1135,46.8152,2263802
2015-11-09,46.784,46.9087,45.7081,46.1135,2164499
2015-11-10,45.8874,46.059,45.4898,45.8952,1543127
2015-11-11,46.1135,46.1291,45.5834,45.8719,1163474
2015-11-12,45.3963,45.5288,44.3984,44.4842,2101407
2015-11-13,44.4374,44.9519,44.1708,44.3282,1567048
2015-11-16,44.3516,45.0065,44.2425,44.9831,1940438
2015-11-17,45.1078,45.2949,44.5387,44.6323,1193191
2015-11-18,44.9519,45.2949,44.6167,45.2404,1771759
2015-11-19,45.3573,45.8329,45.1234,45.7393,1634287
