Date,Open,High,Low,Close,Volume
2015-06-22,54.62,55.52,54.62,55.5,9503324
2015-06-23,55.31,55.6,54.71,54.83,5055826
2015-06-24,54.65,54.81,53.93,53.99,4203495
2015-06-25,54.23,54.42,53.74,53.795,3759410
2015-06-26,53.39,53.795,52.43,52.9,7838205
2015-06-29,52.56,52.66,51.47,51.52,6563590
2015-06-30,51.98,51.99,51.3,51.51,5260553
2015-07-01,52.15,52.31,51.76,51.91,9820429
2015-07-02,52.19,52.24,51.77,51.97,3642415
2015-07-06,51.45,52.014,51.06,51.39,4251218
2015-07-07,51.31,51.46,49.98,51.21,8205776
2015-07-08,50.62,50.69,49.46,49.53,11806390
2015-07-09,50.05,50.4,48.09,48.11,22610810
2015-07-10,48.93,49.27,48.595,49.01,8446905
2015-07-13,49.2,49.55,49.0,49.33,4937637
2015-07-14,49.39,50.0,49.31,49.76,6500064
2015-07-15,49.23,49.8,49.15,49.49,5458140
2015-07-16,49.48,49.65,48.78,49.36,7401203
2015-07-17,49.27,49.45,48.77,49.36,7021335
2015-07-20,51.06,51.06,49.83,50.09,8876803
2015-07-21,50.03,51.08,49.9,50.23,10602030
2015-07-22,48.3,49.64,48.0,49.3,15355020
2015-07-23,49.84,51.26,49.5875,50.51,13269400
2015-07-24,50.48,50.56,48.88,49.03,10959010
2015-07-27,48.88,49.36,48.47,49.03,9394172
2015-07-28,49.15,50.57,48.85,50.08,7636588
2015-07-29,49.72,50.195,49.18,49.96,6855270
2015-07-30,49.59,50.43,49.5,50.24,5629359
2015-07-31,50.38,50.38,49.81,49.98,7466903
2015-08-03,50.08,50.235,49.7,50.09,5318008
2015-08-04,50.18,50.37,49.375,49.84,5739524
2015-08-05,50.11,51.12,50.07,50.855,7238799
2015-08-06,50.76,50.91,49.84,50.25,6055880
2015-08-07,49.83,50.38,49.66,50.32,5324697
2015-08-10,52.24,52.45,51.05,52.08,10496560
2015-08-11,51.54,51.55,50.34,50.64,8013024
2015-08-12,50.19,51.355,49.8,51.11,7533529
2015-08-13,51.16,51.31,50.525,50.63,4007456
2015-08-14,50.5,50.835,50.06,50.64,4536686
2015-08-17,50.45,51.03,50.18,50.9,3364014
2015-08-18,50.46,50.77,49.67,49.91,6976878
2015-08-19,50.13,50.15,49.045,49.2,6904963
2015-08-20,48.65,48.78,47.37,47.43,10203790
2015-08-21,46.96,47.63,45.96,45.96,17944440
2015-08-24,45.02,47.04,43.75,44.89,15467310
2015-08-25,46.02,46.32,43.49,43.52,14450110
2015-08-26,44.83,45.47,43.75,45.41,19068760
2015-08-27,45.78,47.15,45.5,47.06,9821219
2015-08-28,46.84,48.0,46.5,47.99,8242694
2015-08-31,47.75,48.435,47.31,47.84,10145880
2015-09-01,46.4,47.57,46.01,46.34,13132910
2015-09-02,47.24,47.35,46.41,47.35,6012528
2015-09-03,47.67,48.02,47.28,47.46,5289050
2015-09-04,46.69,47.19,46.41,46.53,6603426
2015-09-08,47.63,48.76,47.54,48.69,7986512
2015-09-09,49.02,49.63,47.47,47.61,8250074
2015-09-10,47.36,47.96,46.8975,47.41,8536002
2015-09-11,47.2,47.63,46.815,47.57,6567297
2015-09-14,47.87,47.995,47.55,47.83,4750848
2015-09-15,48.0,48.74,47.66,48.3,7104322
2015-09-16,48.33,48.765,47.8,48.7,4624450
2015-09-17,48.63,49.03,48.09,48.15,5645094
2015-09-18,47.75,48.635,47.1,47.8,17188830
2015-09-21,47.87,48.08,47.05,47.45,6104898
2015-09-22,46.68,46.9899,46.28,46.61,6114690
2015-09-23,46.61,46.8,46.265,46.58,4335349
2015-09-24,46.17,46.92,45.33,46.75,8534957
2015-09-25,47.02,47.55,46.8,47.17,8924202
2015-09-28,47.05,47.4401,46.88,46.95,10649800
2015-09-29,47.16,47.61,46.79,47.53,7413614
2015-09-30,48.09,49.55,47.92,49.52,9120366
2015-10-01,49.84,49.87,47.89,48.44,9983153
2015-10-02,47.78,48.79,47.12,48.77,8229732
2015-10-05,49.13,50.41,49.0,50.13,6811413
2015-10-06,50.13,50.64,49.23,50.46,5796388
2015-10-07,51.0,51.6,50.31,51.04,7065346
2015-10-08,50.68,51.54,50.36,51.52,6431515
2015-10-09,51.35,51.76,50.64,50.87,5720140
2015-10-12,50.73,51.42,50.56,51.34,4075340
2015-10-13,50.99,51.42,50.81,50.91,7161399
2015-10-14,51.11,53.15,51.03,52.65,10558490
2015-10-15,52.95,53.1,52.31,52.43,7153330
2015-10-16,52.29,52.66,52.0,52.57,5685298
2015-10-19,52.56,52.93,52.24,52.64,5701717
2015-10-20,52.45,52.6,52.18,52.43,5666904
2015-10-21,52.58,53.18,51.805,51.9,8646592
2015-10-22,56.1,58.12,55.74,58.09,21228790
2015-10-23,58.15,59.67,57.57,58.98,14490040
2015-10-26,58.9,59.23,58.4,58.81,7635541
2015-10-27,58.39,59.325,58.22,58.42,8420526
2015-10-28,58.52,58.78,57.19,58.67,14464570
2015-10-29,57.74,57.83,56.31,56.57,10093520
2015-10-30,56.99,57.0,56.4,56.72,7503371
2015-11-02,56.9,57.19,56.71,56.99,5492552
2015-11-03,56.99,57.43,56.81,57.15,4268382
2015-11-04,57.21,57.4097,56.8,56.95,5096013
2015-11-05,57.0,57.74,56.83,57.4,5769318
2015-11-06,57.25,57.845,56.7,57.63,6386954
2015-11-09,57.23,57.65,56.855,57.21,4478217
2015-11-10,56.49,57.22,56.38,57.03,5058660
2015-11-11,57.47,58.51,57.04,57.6,6293112
2015-11-12,57.14,57.365,56.66,56.67,4894631
2015-11-13,56.67,57.12,56.01,56.13,5741626
2015-11-16,56.02,56.89,56.0,56.875,5995136
2015-11-17,56.9,57.48,56.75,57.07,4265783
2015-11-18,57.21,58.01,56.88,57.96,4023945
2015-11-19,58.1,58.29,57.5,57.95,4070416
2015-11-20,58.35,58.35,57.81,58.12,4252492
2015-11-23,58.2,58.25,57.31,57.35,4296794
2015-11-24,57.3,57.95,56.86,57.85,4655311
2015-11-25,57.85,57.86,57.23,57.27,3152581
2015-11-27,57.28,57.77,57.01,57.55,1509539
2015-11-30,57.62,58.34,57.5,58.12,5712680
2015-12-01,57.47,58.85,57.42,58.31,5016896
2015-12-02,58.2,58.33,57.44,57.55,5151356
2015-12-03,57.97,58.2197,57.12,57.69,9691433
2015-12-04,57.52,58.96,57.49,58.88,6414224
2015-12-07,58.8,58.83,58.11,58.35,3934546
2015-12-08,57.76,57.91,57.02,57.67,3670068
2015-12-09,57.5,57.67,56.29,56.76,4562005
2015-12-10,56.98,57.47,56.63,56.93,4317830
2015-12-11,56.14,56.755,56.1,56.21,5251258
2015-12-14,56.45,56.72,55.83,56.22,5097363
2015-12-15,57.3,57.94,56.85,57.55,7588414
2015-12-16,58.26,58.26,56.9,58.07,5919505
2015-12-17,58.19,58.2325,56.5,56.53,6943874
2015-12-18,56.04,56.49,54.8,54.94,11974910
2015-12-21,55.35,55.83,54.93,55.82,4305623
2015-12-22,56.19,56.42,55.21,55.61,4412768
2015-12-23,56.06,56.71,55.17,56.7,5786032
2015-12-24,56.97,56.97,56.53,56.75,1681209
2015-12-28,56.41,56.67,55.77,56.42,2930132
2015-12-29,56.75,57.44,56.42,57.02,2753103
2015-12-30,57.02,57.18,56.09,56.16,3010237
2015-12-31,56.05,56.3,54.81,54.81,6448969
2016-01-04,53.55,54.34,53.37,54.34,7901386
2016-01-05,54.27,54.47,53.55,53.77,6131951
2016-01-06,52.95,53.89,52.72,53.42,8514296
2016-01-07,52.39,52.945,51.37,51.7,10526120
2016-01-08,51.52,51.98,50.24,50.36,9619993
2016-01-11,50.83,51.5,50.48,51.21,7000577
2016-01-12,51.73,51.84,50.825,51.53,5075810
2016-01-13,51.52,51.81,49.8,49.82,6882246
2016-01-14,49.98,50.67,49.5342,50.03,10439850
2016-01-15,47.89,48.69,46.73,48.03,15871630
2016-01-19,48.62,48.93,47.8075,48.22,9044669
2016-01-20,47.91,49.28,47.395,49.01,13430590
2016-01-21,49.66,50.855,49.0099,49.83,10094620
2016-01-22,50.84,51.23,50.14,50.3,6335553
2016-01-25,50.35,51.005,50.0,50.08,7651306
2016-01-26,50.38,51.06,50.03,50.7,7709551
2016-01-27,50.41,51.565,49.97,50.67,9780099
2016-01-28,50.68,52.0,50.39,51.13,10033430
2016-01-29,51.32,52.94,50.99,52.93,10468060
2016-02-01,52.3,53.27,52.3,52.83,6336663
2016-02-02,52.12,52.5,50.64,50.64,9459173
2016-02-03,50.15,50.71,49.1,50.25,11309650
2016-02-04,50.46,51.62,50.01,51.26,9795807
2016-02-05,51.2,51.41,49.505,49.88,7929447
2016-02-08,49.26,51.23,49.1,50.9,15765480
2016-02-09,50.53,51.63,50.09,50.68,7307275
2016-02-10,51.33,51.698,50.59,50.75,7329616
2016-02-11,49.85,50.775,49.74,50.38,6121353
2016-02-12,51.06,51.4,49.99,51.14,8060614
2016-02-16,51.14,52.77,51.14,52.54,6523043
2016-02-17,52.96,53.72,52.73,53.69,6244710
2016-02-18,53.64,53.82,53.0,53.06,6003942
2016-02-19,52.83,52.94,52.41,52.76,6286998
2016-02-22,53.29,53.58,53.05,53.3,4350918
2016-02-23,53.03,53.365,52.12,52.24,3888511
2016-02-24,51.83,52.58,51.31,52.46,5341457
2016-02-25,52.81,53.11,51.86,53.11,3917539
2016-02-26,53.49,53.5,53.11,53.3,3533107
2016-02-29,53.4,53.825,52.97,53.02,4449653
2016-03-01,53.47,54.22,53.0,54.22,4958799
2016-03-02,54.34,54.634,53.98,54.42,4165609
2016-03-03,54.59,54.93,54.07,54.87,4045872
2016-03-04,55.0,55.27,54.4,54.89,4248113
2016-03-07,54.54,55.54,54.49,55.49,3756554
2016-03-08,54.99,55.15,54.42,54.53,4480557
2016-03-09,54.7,55.14,54.54,54.75,3641667
2016-03-10,55.45,55.64,54.615,55.49,4838420
2016-03-11,55.93,56.21,55.75,56.06,5031580
2016-03-14,55.8,56.0,55.26,55.61,3477186
2016-03-15,55.42,55.74,55.07,55.73,3377300
2016-03-16,55.7,56.28,55.35,56.14,3449349
2016-03-17,55.93,56.81,55.918,56.6,4507588
2016-03-18,56.79,57.25,56.52,57.09,7904297
2016-03-21,56.9,57.06,56.38,57.02,3085478
2016-03-22,56.74,57.2,56.52,56.9,3514923
2016-03-23,56.97,56.9901,56.55,56.6,3220882
2016-03-24,56.49,56.73,56.19,56.7,2279565
2016-03-28,57.05,57.15,56.34,56.52,2229588
2016-03-29,56.46,57.51,56.08,57.41,3978803
2016-03-30,57.73,58.78,57.58,58.37,5020076
2016-03-31,58.12,58.21,57.37,57.42,5410275
2016-04-01,57.49,58.0,57.13,57.94,4542602
2016-04-04,57.79,58.0,57.56,57.72,3413420
2016-04-05,57.55,58.28,57.38,57.71,4455869
2016-04-06,57.59,58.37,57.25,58.36,3653381
2016-04-07,57.84,58.08,56.98,57.15,4228490
2016-04-08,57.57,58.08,57.57,57.89,3211034
2016-04-11,57.9,58.635,57.79,57.82,3663602
2016-04-12,57.82,58.67,57.43,58.44,4443803
2016-04-13,58.72,59.26,58.42,59.17,5053271
2016-04-14,58.77,59.27,58.13,59.22,4920079
2016-04-15,59.47,59.47,58.76,58.93,4678549
2016-04-18,58.64,59.07,58.62,58.95,4430470
2016-04-19,58.87,59.31,57.77,58.42,6246747
2016-04-20,58.59,59.47,58.11,59.05,4664484
2016-04-21,58.89,59.13,58.55,58.86,3374567
2016-04-22,58.81,59.6,58.44,58.68,5359856
2016-04-25,58.71,59.13,58.62,59.02,4658172
2016-04-26,59.15,59.93,59.07,59.4,3913273
2016-04-27,59.03,60.0,58.755,59.92,7122815
2016-04-28,60.0,60.6,58.4928,58.69,9417250
2016-04-29,57.71,58.2,56.83,57.04,10706440
2016-05-02,57.3,57.96,56.95,57.85,6457499
2016-05-03,57.22,57.59,57.0,57.2,5689291
2016-05-04,56.95,57.1972,56.33,56.43,5081823
2016-05-05,56.53,57.09,56.34,56.64,4077984
2016-05-06,56.24,57.3,56.19,57.2,8054491
2016-05-09,57.17,57.53,56.88,56.91,3760965
2016-05-10,57.12,57.66,56.79,57.63,4540163
2016-05-11,57.62,58.17,57.45,57.63,4485555
2016-05-12,57.79,58.0,56.58,57.16,5183116
2016-05-13,57.08,57.6,56.98,57.12,4044817
2016-05-16,57.46,58.51,57.27,58.02,4240929
2016-05-17,57.74,58.15,57.17,57.43,4706835
2016-05-18,57.23,58.505,57.18,58.01,4661400
2016-05-19,57.54,57.88,56.79,57.23,4319635
2016-05-20,57.49,58.83,57.47,58.53,6326966
2016-05-23,58.81,59.28,58.6,58.73,3690897
2016-05-24,58.99,60.18,58.98,60.09,4544654
