Date,Open,High,Low,Close,Volume
2015-06-22,46.43,46.486,46.0,46.27,1069183
2015-06-23,46.24,46.3963,45.865,46.05,1175361
2015-06-24,46.01,46.11,45.7,45.92,1874818
2015-06-25,46.02,46.07,45.59,45.67,1367251
2015-06-26,45.85,45.88,45.53,45.63,2106362
2015-06-29,45.3,45.73,44.51,44.54,1198687
2015-06-30,45.05,45.2326,44.58,44.63,1371100
2015-07-01,44.98,45.19,44.56,44.71,774840
2015-07-02,44.9,44.94,44.31,44.49,875710
2015-07-06,44.04,44.54,43.79,44.36,987014
2015-07-07,44.31,44.31,43.39,44.21,1700477
2015-07-08,43.87,43.93,42.96,42.96,1369688
2015-07-09,43.92,44.37,43.61,43.69,1777030
2015-07-10,44.38,44.41,43.34,43.68,2126354
2015-07-13,44.12,44.29,43.66,44.25,1574894
2015-07-14,44.83,44.98,44.03,44.33,1242646
2015-07-15,44.2,44.35,43.33,43.49,2068721
2015-07-16,43.89,44.33,43.73,44.03,1046600
2015-07-17,43.81,44.04,43.53,43.81,657800
2015-07-20,43.79,43.99,43.55,43.73,1304113
2015-07-21,43.6,43.73,42.65,43.06,1446545
2015-07-22,42.79,42.99,41.22,42.05,4441424
2015-07-23,42.17,42.52,41.66,41.69,1621158
2015-07-24,41.6,41.842,41.045,41.11,1975744
2015-07-27,40.98,40.98,40.47,40.53,2316324
2015-07-28,41.64,43.15,41.04,42.87,6112763
2015-07-29,43.04,44.1,42.69,44.0,4194926
2015-07-30,43.69,44.3867,43.59,44.18,2544090
2015-07-31,44.45,44.45,43.59,43.7,3294945
2015-08-03,43.66,43.68,43.1,43.24,2274838
2015-08-04,43.27,43.67,43.01,43.14,1294744
2015-08-05,43.4,43.82,43.14,43.26,1093012
2015-08-06,43.34,43.3835,42.57,42.91,2206468
2015-08-07,42.77,42.93,42.31,42.45,1147173
2015-08-10,43.02,43.935,42.9,43.85,1256193
2015-08-11,43.0,43.51,42.703,42.96,1337423
2015-08-12,42.3,42.61,41.72,42.53,1532615
2015-08-13,42.46,43.16,42.28,42.97,1023082
2015-08-14,42.95,43.91,42.825,43.57,1852571
2015-08-17,43.52,43.875,42.9,43.71,1026333
2015-08-18,43.53,43.88,43.23,43.69,934843
2015-08-19,43.24,43.82,42.88,43.4,1277274
2015-08-20,43.04,43.45,41.71,41.73,1801374
2015-08-21,41.01,41.16,39.76,39.76,3268081
2015-08-24,36.06,40.0,32.2,38.39,3384624
2015-08-25,39.43,40.63,36.9501,37.0,3079674
2015-08-26,37.99,38.08,36.69,38.0,3328565
2015-08-27,38.54,39.45,38.01,39.41,2969602
2015-08-28,39.25,39.82,39.06,39.71,2140027
2015-08-31,39.56,39.64,38.75,38.8,2002177
2015-09-01,37.93,38.92,36.81,37.17,2864944
2015-09-02,38.57,38.99,38.01,38.58,3033422
2015-09-03,38.71,39.4299,38.61,38.8,2126607
2015-09-04,38.2,38.92,37.9,38.65,2667668
2015-09-08,39.43,40.53,39.26,40.26,4031017
2015-09-09,40.66,41.19,40.2,40.27,3712415
2015-09-10,40.33,40.57,39.94,40.38,1797663
2015-09-11,40.24,40.53,40.0,40.51,1208020
2015-09-14,40.45,40.54,40.17,40.32,1623993
