Date,Open,High,Low,Close,Volume
2015-06-22,101.16,101.68,101.03,101.39,3235699
2015-06-23,101.29,101.68,100.59,100.75,1493161
2015-06-24,100.7,100.8,99.01,99.39,2564834
2015-06-25,99.37,99.76,98.86,98.94,2223834
2015-06-26,99.43,99.71,98.94,99.35,2782206
2015-06-29,98.71,99.0,97.24,97.31,3487493
2015-06-30,98.26,98.26,96.81,96.91,3059079
2015-07-01,97.52,97.94,96.52,96.94,2893076
2015-07-02,97.22,97.36,96.8,97.2,1827893
2015-07-06,96.58,97.42,96.15,96.66,2721039
2015-07-07,96.96,97.525,96.1,97.5,3755902
2015-07-08,96.82,96.91,95.28,95.49,2782285
2015-07-09,96.58,96.82,95.72,95.75,2041968
2015-07-10,97.01,97.32,96.63,96.96,1951350
2015-07-13,97.62,97.94,97.06,97.76,2485923
2015-07-14,97.9,98.105,97.27,97.87,2420094
2015-07-15,97.91,97.96,96.9884,97.18,2092903
2015-07-16,97.87,97.98,97.365,97.48,1548310
2015-07-17,97.17,98.12,97.06,97.6,2653367
2015-07-20,97.6,97.87,97.3,97.59,1776977
2015-07-21,97.63,98.64,97.57,97.96,2178853
2015-07-22,98.43,98.63,96.83,97.23,2684676
2015-07-23,97.645,97.645,95.82,96.11,1930932
2015-07-24,96.07,96.07,94.52,94.75,2949258
2015-07-27,94.5,95.23,94.15,95.12,3627138
2015-07-28,97.89,100.47,97.83,99.94,7556532
2015-07-29,100.36,101.95,100.21,100.89,5563679
2015-07-30,100.4,101.54,100.27,101.4,2858953
2015-07-31,101.91,102.76,101.57,102.36,4218063
2015-08-03,102.49,103.15,101.9001,102.75,2743916
2015-08-04,102.92,103.12,102.23,102.64,2429541
2015-08-05,103.05,104.065,102.94,102.94,3192470
2015-08-06,103.12,103.22,102.2,102.43,2042494
2015-08-07,102.33,102.4,101.5,102.14,2982462
2015-08-10,102.77,103.48,102.77,103.43,2599242
2015-08-11,102.63,103.47,102.53,102.99,3465171
2015-08-12,102.56,103.12,101.55,102.82,3868595
2015-08-13,101.95,102.39,101.502,101.84,1829867
2015-08-14,101.74,102.7625,101.38,102.73,2278819
2015-08-17,102.24,102.92,101.54,102.9,2181689
2015-08-18,102.98,102.98,102.34,102.76,2081855
2015-08-19,102.36,103.0,101.703,102.31,2119082
2015-08-20,101.38,101.96,101.05,101.05,3779289
2015-08-21,100.16,100.88,98.72,99.14,6553981
2015-08-24,94.72,97.45,94.0,95.51,7929357
2015-08-25,97.55,97.91,94.41,94.46,6010674
2015-08-26,95.61,96.77,93.64,96.63,5875936
2015-08-27,97.49,99.24,97.4,99.15,4726261
2015-08-28,98.63,99.09,97.89,98.64,2778408
2015-08-31,98.28,98.3,97.5,97.65,2888698
2015-09-01,95.81,96.76,94.8,95.2,5167643
2015-09-02,96.29,96.73,95.18,96.71,3575432
2015-09-03,97.19,97.4499,96.42,96.77,3310994
2015-09-04,95.19,95.91,94.65,95.3,3308829
2015-09-08,96.83,97.98,96.34,97.93,2849639
2015-09-09,98.65,98.8596,96.89,97.05,2767212
2015-09-10,97.05,97.54,96.48,96.82,2922337
2015-09-11,96.47,97.19,96.19,97.18,2129031
2015-09-14,97.26,97.39,96.5201,97.01,1788059
2015-09-15,97.9,100.8,97.66,100.52,5199620
2015-09-16,99.95,100.305,98.95,100.08,3237145
2015-09-17,100.37,101.79,99.86,100.62,3843311
2015-09-18,99.91,99.945,98.08,98.32,5119371
2015-09-21,98.49,99.72,98.2401,99.65,3044691
2015-09-22,98.49,99.28,98.05,98.51,3599976
2015-09-23,98.35,98.49,97.57,97.57,3389553
2015-09-24,97.19,97.94,96.56,97.5,3825981
2015-09-25,98.08,99.525,97.68,98.76,3294196
2015-09-28,97.92,98.48,97.19,97.27,2498964
2015-09-29,97.24,98.31,96.93,98.14,2612314
2015-09-30,98.95,99.3,97.9783,98.69,2980300
2015-10-01,99.0,99.11,97.82,98.58,3053236
2015-10-02,97.06,99.38,96.96,99.38,3554574
2015-10-05,99.75,101.99,99.75,101.53,3088135
2015-10-06,101.895,101.94,100.81,101.43,2339027
2015-10-07,101.99,102.98,101.44,102.24,2925301
2015-10-08,102.21,103.54,102.07,103.38,2684985
2015-10-09,103.38,104.18,103.29,103.68,2418248
2015-10-12,103.58,104.41,103.35,104.41,1789497
2015-10-13,103.65,104.59,103.28,103.3,3060823
2015-10-14,103.35,103.635,102.55,102.86,2226286
2015-10-15,103.35,103.98,102.92,103.8,2841681
2015-10-16,104.06,104.19,103.34,103.95,2081900
2015-10-19,103.55,104.32,103.55,104.26,2296774
2015-10-20,103.99,104.77,103.85,104.56,2248725
2015-10-21,104.82,106.42,104.82,105.26,3299377
2015-10-22,105.81,106.62,105.645,106.43,3570278
2015-10-23,107.25,107.25,105.47,106.8,4058540
2015-10-26,106.94,107.32,105.96,106.18,3478155
2015-10-27,102.79,104.56,101.96,103.1,5144601
2015-10-28,103.19,103.4,101.77,102.63,3542574
2015-10-29,102.77,103.62,102.39,103.47,2762477
2015-10-30,103.47,103.77,102.93,103.02,3232491
2015-11-02,103.01,104.728,103.0,104.57,2648139
2015-11-03,104.28,105.0301,103.725,104.48,2785916
2015-11-04,104.64,104.76,103.72,104.0,2817365
2015-11-05,104.12,104.65,103.71,104.23,2540916
2015-11-06,103.77,105.03,103.37,104.99,2877340
2015-11-09,104.5,104.77,103.5,104.01,3416776
2015-11-10,103.98,104.92,103.59,104.34,2148855
2015-11-11,104.59,105.37,103.95,104.8,2584237
2015-11-12,103.49,103.65,102.45,102.6,3296105
2015-11-13,103.14,103.14,101.43,101.78,3105621
2015-11-16,101.71,103.18,101.64,103.14,2221824
2015-11-17,103.35,104.24,102.82,103.14,2098307
2015-11-18,103.22,103.86,102.6,103.68,2141618
2015-11-19,104.0,104.69,103.64,104.1,1552595
2015-11-20,104.58,105.0,103.94,104.1,2646454
2015-11-23,104.13,104.5899,103.27,103.59,2290348
2015-11-24,103.07,103.74,102.67,103.4,1557707
2015-11-25,103.36,103.65,103.035,103.49,1354734
