Date,Open,High,Low,Close,Volume
2015-06-22,92.25,92.65,91.13,92.13,1503233
2015-06-23,92.4,93.35,92.03,92.57,1816519
2015-06-24,92.51,92.99,91.57,92.32,1137596
2015-06-25,92.61,92.613,88.99,89.58,2111802
2015-06-26,89.85,90.03,89.12,89.97,1568092
2015-06-29,88.88,89.388,87.08,87.24,2221385
2015-06-30,88.12,88.6,87.5,87.62,1809364
2015-07-01,87.64,87.99,82.96,83.6,4131935
2015-07-02,83.71,84.67,83.08,84.28,1788568
2015-07-06,83.31,85.27,82.63,83.25,1737608
2015-07-07,83.3,83.69,80.08,83.31,2302253
2015-07-08,82.94,83.1288,78.9,80.05,2950920
2015-07-09,81.5,83.31,81.34,81.37,2446948
2015-07-10,82.44,82.59,81.18,81.39,1368365
2015-07-13,82.21,82.63,81.45,82.01,1647041
2015-07-14,81.9,82.55,81.41,82.32,1443012
2015-07-15,82.07,82.21,80.08,80.13,2771942
2015-07-16,80.96,82.32,80.52,81.78,2057502
2015-07-17,81.93,82.34,80.3,81.26,2165226
2015-07-20,80.51,80.79,79.11,79.2,2755526
2015-07-21,79.25,80.13,78.3401,78.77,2252441
2015-07-22,78.41,78.48,76.82,77.63,3098486
2015-07-23,71.88,74.9199,66.7364,66.98,13079230
2015-07-24,66.75,66.75,62.46,64.72,12534040
2015-07-27,64.22,66.55,63.01,65.16,4908154
2015-07-28,65.86,67.5,65.61,66.93,3830569
2015-07-29,67.16,67.549,66.25,66.88,3717906
2015-07-30,66.01,66.72,64.88,66.54,2094148
2015-07-31,66.9,68.49,66.78,66.99,2492787
2015-08-03,66.46,66.6399,65.11,65.28,2178070
2015-08-04,66.01,66.899,65.17,65.5,1899632
2015-08-05,66.0,67.06,65.29,65.47,1801212
2015-08-06,65.31,66.21,64.66,65.66,2304272
2015-08-07,65.4,66.12,63.67,63.81,1859853
2015-08-10,64.74,67.49,64.18,66.71,2596893
2015-08-11,65.78,67.09,64.61,65.84,2707361
2015-08-12,64.88,66.44,64.03,66.27,1988789
2015-08-13,66.63,66.83,64.141,64.31,2266105
2015-08-14,64.27,65.39,64.27,65.33,1711171
2015-08-17,65.16,65.66,64.2,65.58,1130292
2015-08-18,65.1,65.93,65.1,65.51,1569337
2015-08-19,65.11,66.63,64.91,65.56,1989818
2015-08-20,64.65,66.39,64.53,64.55,2329702
2015-08-21,63.07,63.9,61.63,61.66,2583433
2015-08-24,56.88,63.96,56.66,60.92,4298275
