Date,Open,High,Low,Close,Volume
2015-06-22,89.75,90.15,89.17,89.84,431738
2015-06-23,89.67,90.1856,88.9,89.17,380116
2015-06-24,89.24,89.325,87.21,87.74,600354
2015-06-25,88.03,88.03,86.38,86.58,624918
2015-06-26,86.89,87.37,86.13,86.48,814524
2015-06-29,85.78,86.43,84.12,84.15,644972
2015-06-30,84.84,85.0,83.91,83.93,714045
2015-07-01,84.74,85.72,84.31,85.32,924216
2015-07-02,85.77,85.97,84.76,85.37,528542
2015-07-06,84.44,86.39,84.1,85.85,710466
2015-07-07,85.79,86.47,84.15,86.45,1156094
2015-07-08,85.88,87.66,85.11,85.39,883415
2015-07-09,86.48,87.01,85.78,85.92,891647
2015-07-10,87.09,90.62,86.99,90.36,1149328
2015-07-13,90.63,91.0,90.05,90.43,732682
2015-07-14,90.18,90.53,89.83,89.99,749988
2015-07-15,89.9,89.97,88.51,89.03,624093
2015-07-16,89.46,91.02,88.96,90.7,1117837
2015-07-17,90.6,91.75,90.48,91.67,651846
2015-07-20,91.78,94.12,91.13,94.03,1223222
2015-07-21,93.87,94.07,92.74,93.5,764484
2015-07-22,93.35,95.23,92.881,93.89,1065503
2015-07-23,94.12,94.22,91.51,91.89,1004444
2015-07-24,91.84,91.99,88.98,89.79,1104962
2015-07-27,89.4,89.93,87.95,88.24,1122810
2015-07-28,88.62,89.63,87.68,89.15,891824
2015-07-29,89.04,91.48,89.04,91.12,844608
2015-07-30,90.74,91.55,90.19,91.5,624459
2015-07-31,91.31,92.16,90.83,91.02,661630
2015-08-03,91.07,91.07,89.495,89.66,1208646
2015-08-04,90.19,97.24,90.19,96.05,2837776
2015-08-05,96.98,98.0,96.01,97.43,1482548
2015-08-06,97.75,97.75,94.47,95.3,1276826
2015-08-07,94.81,95.45,93.69,94.51,893687
2015-08-10,95.57,96.8,95.22,95.98,1180628
2015-08-11,95.5,96.79,94.81,96.23,1262188
2015-08-12,95.75,97.3411,95.15,97.26,1157268
2015-08-13,97.57,97.75,96.19,96.89,517231
2015-08-14,96.88,98.2,96.76,97.77,658284
2015-08-17,98.62,99.04,97.27,98.81,857442
2015-08-18,98.79,99.41,98.345,99.05,713018
2015-08-19,98.39,98.8592,96.24,96.8,698720
2015-08-20,95.9,96.38,93.17,93.39,1268205
2015-08-21,92.5,93.05,90.8,91.66,1316472
2015-08-24,87.06,91.915,86.59,88.34,2603624
2015-08-25,91.25,91.25,85.93,86.01,1686371
2015-08-26,88.0,88.12,85.11,87.43,1764636
2015-08-27,88.44,92.08,88.13,91.61,2617448
2015-08-28,91.18,92.59,90.55,92.42,1412678
2015-08-31,92.0,95.33,91.65,93.62,1464908
2015-09-01,91.2,93.0,91.0,91.92,1516557
2015-09-02,92.79,95.61,92.12,95.6,1350090
2015-09-03,96.52,99.2,95.26,97.43,2364392
2015-09-04,96.22,96.51,94.03,95.31,1319681
2015-09-08,96.8,98.57,96.09,98.51,863300
2015-09-09,99.41,101.0,98.47,98.64,1376465
2015-09-10,98.67,99.72,97.89,98.25,1276192
2015-09-11,97.88,99.18,97.57,99.13,700874
2015-09-14,99.14,99.94,98.37,99.84,1124194
