Date,Open,High,Low,Close,Volume
2015-06-22,69.32,69.44,68.9,69.09,5499283
2015-06-23,69.1,69.5899,69.09,69.42,3880210
2015-06-24,69.11,69.4,68.76,68.86,4670345
2015-06-25,69.38,69.38,68.51,68.62,4682393
2015-06-26,68.7,69.21,68.41,68.75,7017983
2015-06-29,67.99,68.49,66.69,66.72,9684177
2015-06-30,67.34,67.48,66.76,67.15,6808594
2015-07-01,67.94,68.3,67.53,67.85,6260575
2015-07-02,68.15,68.32,67.62,68.24,5047820
2015-07-06,67.55,68.12,67.36,68.12,5241445
2015-07-07,68.11,68.2,66.53,67.77,6486577
2015-07-08,67.01,67.32,66.65,66.73,5971957
2015-07-09,67.65,67.9399,67.02,67.05,4837047
2015-07-10,67.98,68.54,67.91,68.42,5109861
2015-07-13,69.05,69.6,68.83,69.52,6823015
2015-07-14,69.97,70.3,69.47,70.1,5603665
2015-07-15,70.13,70.28,69.69,70.02,4504873
2015-07-16,70.43,70.59,69.97,70.57,6493822
2015-07-17,70.4,70.96,70.28,70.88,6262311
2015-07-20,71.29,73.0,71.23,72.7,10194700
2015-07-21,72.844,72.88,71.76,72.02,10880210
2015-07-22,71.94,72.15,71.62,71.97,6276169
2015-07-23,72.2,72.25,71.2,71.75,10505060
2015-07-24,76.78,76.92,74.4,74.8,21085020
2015-07-27,74.28,74.7099,73.582,73.86,10252850
2015-07-28,74.3,75.18,73.85,74.74,10053620
2015-07-29,74.95,76.43,74.67,76.01,13695340
2015-07-30,75.89,76.76,75.24,76.38,6497567
2015-07-31,76.45,76.51,75.32,75.34,8482518
2015-08-03,75.59,76.04,75.01,75.77,5790812
2015-08-04,75.53,76.08,75.03,75.27,6933642
2015-08-05,76.05,76.17,74.92,74.98,6975211
2015-08-06,75.3,75.42,73.55,73.58,7757948
2015-08-07,73.68,74.31,73.32,74.21,6484199
2015-08-10,74.89,75.18,73.85,74.38,6181796
2015-08-11,73.81,74.27,73.22,73.36,6467005
2015-08-12,72.87,73.835,72.39,73.54,7651620
2015-08-13,73.43,74.425,73.38,73.93,5979289
2015-08-14,73.85,74.4,73.45,74.22,3861178
2015-08-17,74.0,74.44,73.5,74.41,3418264
2015-08-18,74.26,74.73,74.01,74.47,6324591
2015-08-19,74.2,74.96,73.67,74.4,5884355
2015-08-20,73.56,74.53,72.81,73.95,12071000
2015-08-21,72.5,73.62,70.96,71.19,15440870
2015-08-24,64.16,71.06,60.0,68.36,20949580
2015-08-25,71.69,71.8,66.6,66.97,14408080
2015-08-26,69.37,70.99,67.9,70.69,12186520
2015-08-27,71.94,72.49,70.8,72.4,9086567
2015-08-28,72.1,72.665,71.6,72.46,6405030
2015-08-31,71.91,72.085,70.82,71.3,8298948
2015-09-01,69.41,70.39,68.5,68.96,11291330
2015-09-02,69.94,69.95,68.7,69.62,9198356
2015-09-03,70.45,71.085,69.99,70.4,9012708
2015-09-04,69.29,69.91,68.64,69.16,9450778
2015-09-08,70.75,71.01,69.55,70.53,7977709
2015-09-09,70.75,71.375,69.43,69.6,9008212
2015-09-10,69.5,70.65,69.46,70.23,7233959
2015-09-11,69.86,70.81,69.4575,70.76,6451846
2015-09-14,70.72,70.8,69.615,70.01,7052677
2015-09-15,70.48,70.7467,69.51,70.51,6962160
2015-09-16,70.45,71.11,70.05,70.99,8202289
2015-09-17,71.3,72.32,70.5,70.96,7569079
2015-09-18,69.82,70.81,69.71,69.79,14466230
2015-09-21,70.62,71.32,70.22,70.78,7137114
2015-09-22,70.0,70.39,69.31,70.25,11394030
2015-09-23,70.16,71.145,69.9,70.95,10649310
2015-09-24,70.35,70.63,69.64,70.24,8400251
2015-09-25,71.19,71.46,70.21,70.69,7749210
2015-09-28,70.19,70.28,67.03,67.2,15249580
2015-09-29,67.52,68.7,67.2,68.53,11276820
2015-09-30,69.32,69.66,68.26,69.66,9307053
2015-10-01,70.09,70.77,68.98,69.99,8678888
2015-10-02,68.8,70.73,68.36,70.67,7384062
2015-10-05,71.06,72.34,70.92,72.23,7277580
2015-10-06,72.22,72.54,71.83,72.08,5782395
2015-10-07,72.68,73.23,72.45,73.22,6261583
2015-10-08,73.0,73.93,72.83,73.9,5712437
2015-10-09,74.04,74.0899,73.4,73.98,5945845
2015-10-12,73.74,75.43,73.67,74.99,5574962
2015-10-13,74.46,75.25,74.15,75.0,7439135
2015-10-14,74.84,75.26,73.72,74.2,7531097
2015-10-15,74.96,75.41,74.58,75.34,6807109
2015-10-16,75.33,76.54,74.79,76.0,9088717
2015-10-19,75.93,77.325,75.93,76.99,9923738
2015-10-20,76.64,76.89,75.93,76.28,8119322
2015-10-21,76.94,76.94,75.31,75.46,7317018
2015-10-22,75.89,76.85,75.64,76.42,9002953
2015-10-23,77.46,77.63,74.95,77.07,11970840
2015-10-26,78.08,78.31,77.09,78.18,8018407
2015-10-27,78.03,78.18,77.055,77.52,9525117
2015-10-28,77.82,78.89,77.44,78.87,10787960
2015-10-29,78.59,78.71,77.93,78.51,7628488
2015-10-30,78.72,78.81,77.56,77.58,11173630
2015-11-02,75.19,76.21,74.53,75.22,29959430
2015-11-03,75.13,78.58,74.81,77.9,18893150
2015-11-04,78.37,78.83,77.9,78.35,8639327
2015-11-05,78.42,79.71,78.42,79.26,9381622
2015-11-06,79.57,79.57,78.32,78.75,8221146
2015-11-09,78.4,78.4,77.29,78.04,10153550
2015-11-10,77.65,79.53,77.61,79.48,8438473
2015-11-11,79.85,80.25,79.17,79.18,8013917
2015-11-12,78.86,79.1495,78.14,78.31,8926234
2015-11-13,78.02,78.97,77.77,78.11,9902677
2015-11-16,77.79,78.91,77.58,78.9,7762874
2015-11-17,78.94,79.275,78.47,78.83,6941798
2015-11-18,78.96,80.5,78.74,80.46,7195057
2015-11-19,80.6,81.01,79.85,80.15,6082066
2015-11-20,80.59,81.0,79.98,80.19,6759899
2015-11-23,80.59,80.78,79.56,80.11,5904465
2015-11-24,79.23,80.2,79.21,79.79,6038482
2015-11-25,79.78,80.09,79.56,79.56,4268099
2015-11-27,79.64,80.15,79.61,79.84,3139602
2015-11-30,80.06,80.13,78.96,79.01,8835422
2015-12-01,79.53,79.93,78.765,79.91,6701870
2015-12-02,79.83,80.15,78.97,79.04,7274928
2015-12-03,79.36,79.77,78.08,78.29,8689100
2015-12-04,78.58,80.4,78.45,80.4,9943311
2015-12-07,80.13,80.49,79.07,79.55,15262350
2015-12-08,78.98,79.67,78.36,79.07,11343970
2015-12-09,78.83,79.75,77.3975,77.88,15355220
2015-12-10,77.91,79.11,77.625,78.12,8711384
2015-12-11,77.14,77.14,75.52,76.11,14901750
2015-12-14,76.2,77.33,75.58,76.87,10355780
2015-12-15,78.37,79.45,78.21,78.62,11351800
2015-12-16,79.45,79.98,78.15,79.86,10486900
2015-12-17,79.98,80.28,78.63,78.69,7543167
2015-12-18,78.04,78.19,76.28,76.32,16223330
2015-12-21,76.9,77.36,76.4,77.17,8426448
2015-12-22,77.43,77.4899,76.66,77.38,5698855
2015-12-23,78.08,78.6639,77.56,78.56,6335243
2015-12-24,78.35,78.71,78.18,78.26,2188783
2015-12-28,78.04,78.65,77.82,78.53,3675481
2015-12-29,79.0,79.39,78.9,79.21,4627012
2015-12-30,79.07,79.19,78.255,78.35,4230441
2015-12-31,78.24,78.8,77.55,77.55,6537074
2016-01-04,76.06,76.38,75.01,75.7,13474260
2016-01-05,76.25,76.51,75.54,76.27,8972650
2016-01-06,75.0,75.85,74.85,75.27,16091620
2016-01-07,73.76,75.09,73.35,73.79,12458230
2016-01-08,74.06,74.51,72.75,72.88,9953693
2016-01-11,73.11,74.08,72.66,73.92,13036020
2016-01-12,74.52,75.0,74.02,74.76,10236580
2016-01-13,75.27,75.39,72.99,73.1,12634780
2016-01-14,73.15,74.52,72.66,73.8,10410780
2016-01-15,71.94,72.95,70.66,71.83,18221180
2016-01-19,72.94,73.02,70.66,71.39,16008640
2016-01-20,69.96,71.41,69.04,70.68,16584530
2016-01-21,70.72,72.33,70.1,71.56,11929850
2016-01-22,72.67,73.18,72.13,72.7,8647723
2016-01-25,72.76,72.91,71.58,71.74,9126106
2016-01-26,72.18,72.27,71.55,71.88,7499155
2016-01-27,71.98,72.48,70.58,70.91,9013863
2016-01-28,71.42,71.85,69.33,69.33,15233750
2016-01-29,70.43,74.5,68.76,74.49,40423210
2016-02-01,74.08,74.78,73.25,74.38,12502700
2016-02-02,73.5,74.2061,73.13,73.4,9572079
2016-02-03,73.76,74.625,72.43,74.38,9941328
2016-02-04,74.1,74.63,72.755,73.68,14735600
2016-02-05,73.56,73.61,70.55,71.54,12920260
2016-02-08,69.95,70.04,66.3,67.77,30524030
2016-02-09,66.39,69.48,66.12,68.33,14881970
2016-02-10,69.14,71.03,69.07,70.15,11368110
2016-02-11,67.79,69.07,67.425,68.47,13961340
2016-02-12,69.44,70.47,69.12,70.42,8708848
2016-02-16,71.41,71.75,70.395,71.1,8777454
2016-02-17,71.73,72.12,71.3,72.03,8465710
2016-02-18,71.89,72.25,71.0208,71.24,6937894
2016-02-19,71.03,71.72,70.3,71.53,7750428
2016-02-22,72.3,73.19,72.1,73.06,7481381
2016-02-23,72.95,73.1224,71.99,72.15,6177029
2016-02-24,71.25,72.195,70.38,71.85,7728329
2016-02-25,71.96,73.34,71.935,73.27,6840348
2016-02-26,73.74,73.91,72.69,72.73,6713373
2016-02-29,72.86,73.895,72.39,72.39,7785959
2016-03-01,72.99,74.64,72.9,74.64,8705197
2016-03-02,74.5,74.6,73.66,74.3,5739044
2016-03-03,74.48,74.5,73.36,73.91,6587766
2016-03-04,74.22,74.25,73.61,73.9,9475258
2016-03-07,73.39,73.45,71.35,71.94,16666840
2016-03-08,71.5,71.52,70.51,70.62,12393190
2016-03-09,71.0,71.082,69.9,70.68,9291423
2016-03-10,71.14,71.399,69.58,70.22,10134850
2016-03-11,71.15,72.009,70.68,71.63,9455351
2016-03-14,71.6,71.72,70.95,71.49,7907894
2016-03-15,71.18,71.91,70.66,71.91,6441920
2016-03-16,71.68,72.83,71.51,72.37,7561454
2016-03-17,72.28,73.67,72.17,73.14,7404341
2016-03-18,73.5,74.1,73.13,73.78,15021310
2016-03-21,73.58,73.94,73.15,73.77,7396217
2016-03-22,73.24,73.65,72.93,72.96,6794404
2016-03-23,72.95,74.1693,72.77,73.91,7286474
2016-03-24,73.65,74.16,73.4101,74.14,6073665
2016-03-28,74.14,74.27,73.72,74.08,7282888
2016-03-29,74.02,75.59,73.92,75.38,10357430
2016-03-30,75.9,77.0,75.84,76.78,9691267
2016-03-31,76.62,76.92,75.95,76.48,7488915
2016-04-01,76.25,78.25,75.8,77.59,10183140
2016-04-04,77.97,78.3099,77.53,77.83,6901909
2016-04-05,77.14,77.47,76.585,76.97,6011003
2016-04-06,77.08,78.28,77.0,78.21,6209780
2016-04-07,77.71,77.98,77.19,77.58,7540836
2016-04-08,78.08,78.62,77.812,78.03,5327418
2016-04-11,78.36,78.78,77.77,77.82,5955768
2016-04-12,77.72,78.55,77.65,78.52,5962981
2016-04-13,79.03,79.93,78.91,79.71,9177023
2016-04-14,79.76,80.67,79.31,80.33,11470020
2016-04-15,80.25,80.69,79.9,80.08,7185876
2016-04-18,80.2,81.55,79.83,81.45,7750433
2016-04-19,81.5,81.73,80.37,80.75,8323226
2016-04-20,80.88,81.64,80.55,81.15,8515908
2016-04-21,81.5,81.67,80.675,80.79,9499843
2016-04-22,78.0,79.355,77.28,79.11,18214790
2016-04-25,78.69,78.84,77.82,78.14,11174200
2016-04-26,78.45,78.7,78.11,78.53,6058483
2016-04-27,78.41,79.0,78.17,78.76,6317819
2016-04-28,78.35,79.27,77.6,77.68,8319804
2016-04-29,77.52,78.01,76.86,77.24,8086575
2016-05-02,77.81,78.47,77.16,78.46,7635393
2016-05-03,77.43,78.36,76.93,77.19,7665783
2016-05-04,76.56,77.38,76.35,77.07,8849447
2016-05-05,77.14,77.7,77.01,77.36,6001700
2016-05-06,77.23,77.8,76.78,77.72,6166590
2016-05-09,77.69,78.36,77.58,78.22,9229390
2016-05-10,78.42,79.33,78.41,79.2,6795182
2016-05-11,79.14,79.33,77.29,77.3,8429606
2016-05-12,77.8,78.19,77.07,77.89,7507466
2016-05-13,77.71,78.28,76.83,76.83,7555514
2016-05-16,77.02,78.055,76.96,77.8,8563005
2016-05-17,77.57,77.92,76.52,76.79,7168712
2016-05-18,76.71,77.88,76.4,77.43,6280830
2016-05-19,76.87,77.25,76.22,76.88,5529468
2016-05-20,77.34,78.04,77.18,77.67,6301457
2016-05-23,77.76,77.99,77.14,77.21,5914751
2016-05-24,77.66,79.5,77.66,79.38,7581257
