Date,Open,High,Low,Close,Volume
2015-06-22,99.54,99.73,98.32,98.66,518615
2015-06-23,98.91,99.75,98.79,99.36,417164
2015-06-24,99.26,99.38,97.66,97.83,354500
2015-06-25,97.95,98.13,95.6,95.76,512568
2015-06-26,95.94,96.01,95.4329,95.52,453941
2015-06-29,94.81,95.16,93.49,93.55,537211
2015-06-30,95.05,95.0573,94.01,94.24,798435
2015-07-01,95.22,95.54,93.77,94.11,558194
2015-07-02,94.45,94.57,93.73,94.42,396997
2015-07-06,93.62,95.01,93.16,93.94,325898
2015-07-07,93.86,94.35,92.55,94.27,322489
2015-07-08,93.34,93.82,92.1204,92.76,426120
2015-07-09,93.95,94.185,93.17,93.2,349438
2015-07-10,94.24,94.75,93.51,94.18,339647
2015-07-13,94.87,96.255,94.285,95.48,413116
2015-07-14,95.44,96.18,95.06,95.81,294264
2015-07-15,95.68,95.98,94.62,94.79,347933
2015-07-16,95.49,95.7,95.1,95.19,310272
2015-07-17,94.97,95.55,94.3574,94.68,345453
2015-07-20,94.66,95.79,94.58,95.1,303879
2015-07-21,95.0,95.67,93.88,93.91,747314
2015-07-22,93.77,94.23,92.55,93.25,792956
2015-07-23,96.0,96.71,93.26,93.68,565789
2015-07-24,93.82,93.9,91.21,91.34,678288
2015-07-27,93.14,100.35,93.13,97.93,1673181
2015-07-28,98.83,100.01,97.58,99.62,1201414
2015-07-29,99.39,102.05,99.13,102.01,772625
2015-07-30,101.16,103.07,100.69,102.39,837691
2015-07-31,102.42,102.42,101.14,101.19,782931
2015-08-03,101.13,101.22,99.346,100.01,650937
2015-08-04,100.12,100.96,98.33,98.86,370882
2015-08-05,99.37,100.59,98.97,99.82,374321
2015-08-06,99.86,99.86,97.77,98.33,314130
2015-08-07,98.06,98.588,96.9,97.66,565029
2015-08-10,99.37,99.93,98.905,99.75,427865
2015-08-11,98.8,99.36,98.5,99.1,418924
2015-08-12,98.11,99.4799,97.525,99.05,380564
2015-08-13,98.62,100.1,98.45,99.63,382395
2015-08-14,99.57,100.74,99.29,100.64,293238
2015-08-17,100.07,101.98,99.42,101.94,439862
2015-08-18,101.6,102.41,101.46,101.58,392422
2015-08-19,101.0,101.5299,99.7,100.37,288728
2015-08-20,99.43,100.025,96.77,96.8,513016
2015-08-21,96.02,96.38,93.92,93.98,607040
2015-08-24,89.285,95.02,87.95,92.31,1270617
2015-08-25,94.82,94.98,90.79,90.87,1022445
2015-08-26,92.85,93.725,91.15,93.51,698738
2015-08-27,94.9,96.99,94.12,96.71,461037
2015-08-28,96.46,97.63,95.13,96.98,434337
2015-08-31,96.66,97.3199,95.695,95.76,520846
2015-09-01,93.65,94.71,91.67,91.94,591937
2015-09-02,93.33,94.7,91.63,92.92,693934
2015-09-03,93.12,94.46,93.12,93.63,486482
2015-09-04,92.39,93.35,91.22,91.4,538407
2015-09-08,93.18,93.69,92.5,93.59,577221
2015-09-09,94.55,94.91,93.52,93.65,542396
2015-09-10,93.75,95.305,93.7125,94.37,436910
2015-09-11,93.8,95.09,93.8,94.88,459599
2015-09-14,94.64,94.64,93.87,94.17,440674
2015-09-15,94.34,96.01,94.28,95.72,438028
2015-09-16,95.64,97.84,95.34,97.53,486404
2015-09-17,97.5,98.76,97.07,97.64,536380
2015-09-18,96.73,97.225,94.89,95.1,1148373
2015-09-21,95.46,96.5,94.91,95.27,398661
2015-09-22,94.03,95.078,93.19,93.61,612538
2015-09-23,93.96,94.16,92.5,92.53,571083
2015-09-24,91.55,92.11,89.095,89.99,1057894
2015-09-25,90.6,91.26,88.68,89.02,860827
2015-09-28,88.46,88.77,85.61,85.85,1419591
2015-09-29,86.35,87.105,85.45,85.77,1103001
2015-09-30,86.62,88.31,86.36,88.05,852606
2015-10-01,88.12,88.92,86.88,87.07,843124
2015-10-02,85.87,87.89,85.29,87.87,686477
2015-10-05,88.83,91.51,87.76,91.44,701086
2015-10-06,91.2,92.27,90.53,91.03,446852
2015-10-07,91.99,93.46,91.54,93.18,594439
2015-10-08,92.91,93.51,92.0,92.86,2386155
2015-10-09,93.23,94.13,92.22,93.65,859229
2015-10-12,93.89,94.5,93.1932,94.04,412515
2015-10-13,93.34,94.61,92.13,92.27,421846
2015-10-14,92.03,92.68,91.02,91.38,498040
2015-10-15,91.69,92.11,90.08,92.03,490116
2015-10-16,92.03,92.24,90.55,90.81,624219
2015-10-19,90.31,91.0,89.23,89.31,929245
2015-10-20,89.17,90.54,88.33,89.2,1278951
2015-10-21,89.68,89.68,87.985,88.55,1244738
2015-10-22,80.02,87.61,79.195,83.74,4995969
2015-10-23,84.25,85.03,82.71,83.2,1892199
2015-10-26,82.89,83.86,82.73,83.55,1224616
2015-10-27,82.68,82.95,80.58,81.4,1904776
2015-10-28,81.75,82.57,80.94,81.89,1008450
2015-10-29,81.38,82.48,81.29,81.68,706596
2015-10-30,81.88,83.63,81.53,82.87,1075673
2015-11-02,82.87,83.63,82.16,82.24,986454
2015-11-03,82.04,82.32,80.21,80.89,1879567
2015-11-04,81.15,81.475,79.78,79.92,1285030
2015-11-05,79.75,80.99,75.86,77.44,3680081
