Date,Open,High,Low,Close,Volume
2015-06-22,136.92,137.39,136.22,136.36,231423
2015-06-23,136.69,136.89,134.825,135.23,387195
2015-06-24,135.01,135.52,133.79,134.22,280595
2015-06-25,132.72,132.72,128.42,130.22,1532232
2015-06-26,130.85,131.56,130.27,130.78,556146
2015-06-29,130.08,130.995,127.72,127.83,427194
2015-06-30,128.68,129.72,127.74,128.38,634942
2015-07-01,129.28,130.005,127.9504,129.03,397001
2015-07-02,129.43,129.5,128.09,129.37,344503
2015-07-06,128.72,130.14,127.92,129.61,455923
2015-07-07,130.22,130.22,127.67,129.8,441392
2015-07-08,128.36,129.37,125.35,125.46,628237
2015-07-09,126.94,127.22,125.03,125.41,564562
2015-07-10,126.9,128.75,126.35,128.53,477655
2015-07-13,129.64,129.82,128.96,129.71,264343
2015-07-14,130.17,131.95,129.56,131.7,391729
2015-07-15,132.06,132.71,129.98,130.41,352816
2015-07-16,131.49,131.74,129.98,130.79,294096
2015-07-17,130.3,131.28,130.15,130.88,250693
2015-07-20,130.8,131.47,129.72,131.12,282113
2015-07-21,131.24,131.5055,129.795,130.63,363899
2015-07-22,131.07,133.51,130.57,132.41,897797
2015-07-23,133.0,133.31,131.47,131.57,363818
2015-07-24,131.14,131.97,130.46,130.73,246202
2015-07-27,130.3,130.61,128.79,129.87,491187
2015-07-28,131.5,133.64,129.36,130.58,847492
2015-07-29,131.64,133.89,131.64,133.38,602078
2015-07-30,133.3,133.3,131.635,132.59,559941
2015-07-31,133.42,134.39,132.93,133.49,593627
2015-08-03,133.42,134.0,132.68,133.59,593711
2015-08-04,133.32,134.66,133.25,134.55,538017
2015-08-05,135.41,136.17,134.84,135.14,523781
2015-08-06,134.88,135.28,131.09,131.54,309227
2015-08-07,131.26,132.07,129.645,131.94,408552
2015-08-10,132.59,134.4,132.59,133.9,408192
2015-08-11,133.0,133.07,131.18,132.6,326811
2015-08-12,131.49,132.455,127.33,129.62,881834
2015-08-13,129.38,130.04,128.33,128.62,388300
2015-08-14,128.4,129.19,128.255,128.82,306646
2015-08-17,128.32,129.3,127.72,129.24,503273
2015-08-18,129.27,129.69,128.36,128.92,311060
2015-08-19,128.67,129.94,126.56,128.76,477952
2015-08-20,127.65,128.92,125.79,125.82,282926
2015-08-21,124.83,126.08,122.75,122.76,526316
2015-08-24,116.41,121.839,115.32,117.77,721511
2015-08-25,120.62,120.65,116.8,116.83,646577
2015-08-26,118.04,122.885,117.87,122.67,892872
2015-08-27,123.84,126.47,123.43,125.71,598577
2015-08-28,125.26,126.245,123.34,124.81,552273
2015-08-31,124.39,124.92,121.06,121.38,563697
2015-09-01,119.11,120.35,117.67,118.36,756218
2015-09-02,119.81,122.22,118.85,122.22,620792
2015-09-03,122.5,124.3,121.89,122.67,437903
2015-09-04,121.33,122.15,119.13,120.01,494611
2015-09-08,122.3,123.64,121.66,123.55,415538
2015-09-09,124.37,124.76,121.42,121.68,327759
2015-09-10,122.51,124.0,121.87,122.9,384764
2015-09-11,122.39,124.75,121.88,124.59,371687
2015-09-14,124.35,124.75,123.52,124.16,264210
2015-09-15,124.71,124.99,123.55,124.68,403376
