Date,Open,High,Low,Close,Volume
2015-06-22,88.88,89.24,87.62,87.75,2879129
2015-06-23,87.94,87.96,86.83,87.09,2515744
2015-06-24,86.86,86.95,85.81,86.15,2427539
2015-06-25,86.12,86.97,85.95,86.36,2639426
2015-06-26,86.8,87.09,86.07,86.77,14424180
2015-06-29,86.01,86.16,84.26,84.28,2792246
2015-06-30,85.19,85.44,84.356,84.44,3778828
2015-07-01,85.08,85.86,84.85,85.77,2834910
2015-07-02,86.09,86.28,85.64,85.81,2811641
2015-07-06,84.93,85.85,84.73,85.39,3238309
2015-07-07,85.61,87.61,85.45,87.25,4777113
2015-07-08,86.71,86.99,85.4149,85.91,4136700
2015-07-09,90.0,90.24,88.0,89.55,10371030
2015-07-10,91.76,93.79,91.3,93.11,7634703
2015-07-13,93.81,94.9,93.01,94.48,5747939
2015-07-14,94.76,94.8,94.03,94.33,2968976
2015-07-15,94.33,94.68,93.47,93.95,3212441
2015-07-16,94.95,96.22,94.39,96.09,6646563
2015-07-17,95.66,96.02,95.12,95.75,2465198
2015-07-20,95.23,95.91,94.68,95.65,2338080
2015-07-21,95.56,95.85,94.96,95.66,2108251
2015-07-22,96.73,97.02,96.09,96.64,3641424
2015-07-23,96.86,96.87,95.2,95.48,2064694
2015-07-24,95.61,95.93,94.8771,95.11,2299522
2015-07-27,94.86,95.439,93.71,94.38,2589342
2015-07-28,94.76,96.51,94.4,96.22,3470415
2015-07-29,95.64,97.27,95.58,96.58,3829093
2015-07-30,96.3,97.03,96.11,96.54,2346347
2015-07-31,96.65,96.97,95.92,96.63,2892782
2015-08-03,96.12,96.3,95.06,95.91,2262203
2015-08-04,96.1,96.11,94.8,95.67,2977254
2015-08-05,97.03,97.3,96.29,96.68,2515962
2015-08-06,96.67,96.885,93.65,93.73,3439518
2015-08-07,94.71,94.71,92.05,93.28,4222167
2015-08-10,94.21,94.44,93.58,93.95,2420295
2015-08-11,93.38,94.1,92.41,92.95,2998023
2015-08-12,92.34,93.71,91.64,93.36,3563906
2015-08-13,93.44,93.66,92.33,92.54,3480704
2015-08-14,92.28,92.91,91.81,92.1,2826299
2015-08-17,91.69,92.74,91.34,92.7,1876635
2015-08-18,92.55,92.7,91.53,91.94,3410255
2015-08-19,91.25,92.27,90.79,91.41,3145565
2015-08-20,90.22,91.16,89.72,89.77,3405358
2015-08-21,88.63,88.95,85.52,85.61,8074972
2015-08-24,81.89,84.95,76.0075,82.27,10599150
2015-08-25,84.02,86.99,80.86,81.0,10707480
2015-08-26,83.68,85.59,81.08,85.41,7086046
2015-08-27,86.28,88.3,85.92,87.85,5569933
2015-08-28,87.27,88.05,86.4,87.42,3940040
2015-08-31,86.85,87.13,85.94,86.55,3530561
2015-09-01,84.34,87.13,84.195,86.04,7096445
2015-09-02,86.98,88.06,85.92,87.83,5053491
2015-09-03,88.35,89.24,87.93,88.26,4024070
