Date,Open,High,Low,Close,Volume
2015-06-22,60.84,61.38,59.06,60.86,101108400
2015-06-23,60.17,60.51,58.6301,58.94,34731240
2015-06-24,58.48,58.85,57.1,57.37,27072330
2015-06-25,57.0,57.69,55.03,55.25,32024150
2015-06-26,55.28,57.85,55.24,57.12,26007280
2015-06-29,56.55,56.87,56.18,56.38,8502461
2015-06-30,56.83,57.88,56.83,57.39,9778743
2015-07-01,57.16,58.29,57.09,57.51,8993608
2015-07-02,57.79,57.87,57.28,57.6,5509795
2015-07-06,57.18,58.01,56.64,57.13,5674538
2015-07-07,57.02,57.08,55.63,56.89,10023580
2015-07-08,57.05,57.37,55.52,56.01,5935648
2015-07-09,56.9,57.46,56.43,56.45,6972756
2015-07-10,56.73,58.04,56.45,57.89,5573324
2015-07-13,57.91,58.4999,57.66,58.23,5110875
2015-07-14,58.22,58.77,57.59,58.03,8235197
2015-07-15,57.51,58.125,57.215,57.49,4903046
2015-07-16,57.63,58.16,57.4,57.96,6172618
2015-07-17,58.08,58.49,57.45,57.67,9013779
2015-07-20,57.38,57.52,55.78,55.94,8322569
2015-07-21,55.67,56.0,54.36,54.7,10831900
2015-07-22,54.29,54.81,53.23,53.54,6030192
2015-07-23,53.52,54.0,52.83,52.94,5278926
2015-07-24,52.93,53.5,52.43,52.64,5338651
2015-07-27,52.3,52.47,51.39,51.89,8250996
2015-07-28,52.03,53.707,51.34,53.11,6248778
2015-07-29,52.84,54.14,52.665,54.01,5605421
2015-07-30,53.92,53.92,52.89,52.98,3934861
2015-07-31,52.95,53.61,52.34,52.48,6796885
2015-08-03,52.52,52.74,51.32,51.65,6324362
2015-08-04,51.97,52.25,50.69,51.26,5613975
2015-08-05,52.28,52.65,48.6486,49.16,12589720
2015-08-06,48.72,49.805,46.85,48.53,9119204
2015-08-07,48.35,49.67,48.328,48.8,5060020
2015-08-10,48.93,50.09,48.93,49.89,4340439
2015-08-11,48.95,50.03,48.52,49.98,4698806
2015-08-12,50.04,51.2,49.09,51.11,5378040
2015-08-13,50.98,51.559,50.54,51.32,5330486
2015-08-14,51.76,52.62,51.6,52.23,6140952
2015-08-17,52.67,55.42,52.55,54.9,12581420
2015-08-18,54.24,55.0,53.65,53.86,5548518
2015-08-19,53.85,54.37,52.36,53.01,6664557
2015-08-20,52.88,53.49,50.65,50.7,6164154
2015-08-21,50.22,51.116,49.65,49.65,9988641
2015-08-24,45.9,48.89,43.33,46.74,14258460
2015-08-25,48.33,48.51,44.64,44.67,10092650
2015-08-26,45.83,46.15,44.5,45.67,9124465
2015-08-27,46.62,47.81,46.38,47.68,12760870
2015-08-28,47.5,49.5,47.19,48.92,7950147
2015-08-31,48.29,49.11,47.54,48.2,6577986
2015-09-01,46.87,47.78,45.66,46.01,8596949
2015-09-02,46.64,47.23,45.23,47.21,8005628
2015-09-03,47.465,48.47,47.05,47.35,7260801
2015-09-04,46.65,47.33,46.155,46.42,5105603
2015-09-08,47.2,47.275,46.34,47.07,4582851
2015-09-09,47.48,47.79,45.91,46.01,6767189
2015-09-10,45.41,45.87,43.19,44.27,14672770
2015-09-11,43.66,43.77,41.61,42.97,13696320
2015-09-14,42.92,42.97,41.62,42.27,8114681
2015-09-15,42.5,43.76,42.44,43.57,6773851
2015-09-16,44.03,46.44,43.33,45.86,15651570
2015-09-17,46.42,47.05,45.32,45.71,9173812
2015-09-18,45.96,46.94,44.98,46.14,16361680
2015-09-21,46.14,46.85,45.78,46.37,8920081
2015-09-22,45.01,45.83,44.32,44.52,7616156
2015-09-23,44.78,45.15,42.28,42.47,9129747
2015-09-24,42.68,42.88,39.62,41.82,13011330
2015-09-25,42.27,42.88,41.03,41.6,6441322
2015-09-28,39.57,40.0,36.28,36.56,31167580
2015-09-29,36.82,37.17,34.64,34.93,19790590
2015-09-30,35.74,37.18,35.01,36.85,17620530
