Date,Open,High,Low,Close,Volume
2015-06-22,24.3267,24.3966,24.2317,24.2633,19467635
2015-06-23,24.2967,24.3133,24.1133,24.19,23580143
2015-06-24,24.1867,24.2167,24.0467,24.1267,22015055
2015-06-25,24.15,24.21,23.9433,23.9533,15857426
2015-06-26,23.9867,24.1533,23.9567,24.04,20678189
2015-06-29,23.9333,24.0,23.8033,23.8067,24531053
2015-06-30,23.9367,23.9367,23.5933,23.6433,33291753
2015-07-01,23.8667,23.9833,23.4533,23.96,32316663
2015-07-02,24.0067,24.1867,23.8867,23.9533,19757882
2015-07-06,23.7933,24.23,23.7933,24.1767,31552473
2015-07-07,24.22,24.62,24.0,24.5967,37126654
2015-07-08,24.4333,24.53,24.3,24.3533,23372717
2015-07-09,24.5567,24.5767,24.2367,24.26,26080089
2015-07-10,24.36,24.5167,24.36,24.3733,16737971
2015-07-13,24.5033,24.7017,24.5033,24.6267,18145694
2015-07-14,24.66,24.6967,24.4946,24.5967,16454816
2015-07-15,24.53,24.6333,24.3967,24.55,13688875
2015-07-16,24.6567,24.7133,24.5867,24.61,15672299
2015-07-17,24.58,24.69,24.4367,24.4633,16934666
2015-07-20,24.45,24.48,24.3533,24.3667,15256325
2015-07-21,24.3667,24.43,24.1767,24.2467,19282163
2015-07-22,24.26,24.6067,24.26,24.3867,20884475
2015-07-23,24.3567,24.4067,24.14,24.17,12735787
2015-07-24,24.1767,24.1867,23.8333,23.86,17567063
2015-07-27,23.7933,23.8833,23.67,23.7933,18569618
2015-07-28,23.8433,24.13,23.7433,24.0333,25776885
2015-07-29,24.0833,24.21,24.03,24.0767,14794441
2015-07-30,24.01,24.1767,23.9268,24.0533,13802155
2015-07-31,24.1467,24.1633,23.8877,23.9933,23784365
2015-08-03,23.9467,24.1267,23.9467,24.06,15372527
2015-08-04,24.14,24.2667,23.9767,24.0833,17546246
2015-08-05,24.13,24.565,24.0833,24.5033,26042169
2015-08-06,24.45,24.46,24.22,24.2633,19102802
2015-08-07,24.2367,24.275,23.7233,23.75,23390381
2015-08-10,23.8333,23.9167,23.78,23.8267,18034316
2015-08-11,23.75,24.1233,23.7167,23.9767,20461379
2015-08-12,23.8433,24.22,23.7567,24.1933,26689119
2015-08-13,24.1333,24.2567,23.99,24.0367,22788137
2015-08-14,24.1,24.2,24.0133,24.1267,17584064
2015-08-17,23.9433,24.0767,23.92,23.97,22519067
2015-08-18,23.3333,23.5,23.08,23.16,63673686
2015-08-19,22.9567,23.13,22.59,22.8567,48987635
2015-08-20,22.6933,23.1,22.6467,22.81,29552937
2015-08-21,22.6367,22.77,22.18,22.18,47066435
2015-08-24,21.2467,22.0533,20.5,21.3167,66717547
2015-08-25,21.8167,21.9033,21.0,21.0333,43925974
2015-08-26,21.41,21.6167,21.0067,21.61,41712334
2015-08-27,21.7733,22.06,21.65,22.0267,41325334
2015-08-28,22.03,22.04,21.4833,21.6467,42907534
2015-08-31,21.6067,21.6667,21.43,21.5767,24523358
2015-09-01,21.2667,21.4383,21.09,21.2733,40178734
2015-09-02,21.53,21.6467,21.3533,21.48,28507518
2015-09-03,21.5733,21.67,21.4633,21.62,25528089
2015-09-04,21.3567,21.4333,21.17,21.2967,27574776
2015-09-08,21.7433,22.1667,21.7267,22.1267,52967555
2015-09-09,22.2867,22.3367,21.67,21.7067,28371489
2015-09-10,21.3567,21.55,21.2767,21.3733,43569244
2015-09-11,21.3933,21.56,21.33,21.55,24176717
2015-09-14,21.55,21.5567,21.2733,21.4267,20716607
2015-09-15,21.4933,21.5667,21.35,21.44,20422739
2015-09-16,21.5333,21.5883,21.35,21.5633,16872494
2015-09-17,21.5667,21.7633,21.3867,21.49,21181949
2015-09-18,21.25,21.41,21.0867,21.1133,38616634
2015-09-21,21.25,21.3333,21.1233,21.24,21356315
2015-09-22,21.0767,21.2733,20.9717,21.1967,26401722
2015-09-23,21.24,21.31,21.0383,21.24,17621438
2015-09-24,21.12,21.325,21.1,21.2767,20866052
2015-09-25,21.3567,21.4867,21.2067,21.26,21489122
2015-09-28,21.2,21.3167,21.16,21.22,28181271
2015-09-29,21.25,21.3467,21.078,21.26,22919849
2015-09-30,21.4767,21.6467,21.31,21.6133,23935406
2015-10-01,21.5867,21.6467,21.2917,21.4233,23509019
2015-10-02,21.2533,21.66,21.1367,21.66,21245189
2015-10-05,21.7367,21.9733,21.7133,21.9567,18814349
2015-10-06,21.8467,21.9833,21.7267,21.8933,22169918
2015-10-07,21.9467,22.12,21.9233,22.12,21548489
2015-10-08,22.0767,22.3287,22.05,22.2933,17831681
2015-10-09,22.3133,22.34,22.1683,22.23,20246576
2015-10-12,22.2233,22.3333,22.1933,22.31,16930412
2015-10-13,22.2067,22.3133,22.0867,22.2433,26444088
2015-10-14,22.2033,22.65,20.0067,20.01,242255544
2015-10-15,19.9,20.1567,19.5367,19.7767,138660344
2015-10-16,19.8233,19.83,19.4567,19.63,77695718
2015-10-19,19.5967,19.7667,19.5,19.6167,53406725
2015-10-20,19.62,19.6667,19.5233,19.5833,31259613
2015-10-21,19.6,19.6783,19.5233,19.5467,39404614
2015-10-22,19.6467,19.9867,19.5467,19.6333,43730974
2015-10-23,19.73,19.76,19.4067,19.4333,39113464
2015-10-26,19.4667,19.4833,19.3233,19.34,32496213
2015-10-27,19.3367,19.3467,19.1267,19.16,31515153
2015-10-28,19.22,19.24,19.0533,19.2133,35481544
2015-10-29,19.24,19.3733,19.16,19.32,38526754
2015-10-30,19.2433,19.3733,19.08,19.08,47396825
2015-11-02,19.0967,19.2033,18.9233,19.2033,32145513
2015-11-03,19.19,19.4433,19.1767,19.37,30754413
2015-11-04,19.5267,19.5867,19.3967,19.4567,30166683
2015-11-05,19.5033,19.66,19.4733,19.5367,26563734
2015-11-06,19.64,19.7333,19.4367,19.5933,29929596
2015-11-09,19.5,19.5933,19.34,19.4967,25309866
2015-11-10,19.4367,19.57,19.4367,19.56,22826096
2015-11-11,19.5,19.5767,19.1567,19.1933,26065749
2015-11-12,19.2133,19.2567,18.9733,18.9833,28610091
2015-11-13,18.9133,19.02,18.7667,18.8067,37520614
2015-11-16,18.7967,19.3433,18.7867,19.29,39760084
2015-11-17,19.78,20.3,19.7333,19.9733,73937287
2015-11-18,20.0133,20.3567,19.85,20.31,44555284
2015-11-19,20.3733,20.4533,20.1433,20.2333,34695213
2015-11-20,20.3267,20.49,20.0067,20.0233,36680584
2015-11-23,20.0967,20.245,19.96,20.0867,31721523
2015-11-24,19.9833,20.1383,19.9533,19.9733,37350694
2015-11-25,20.0,20.2367,19.9583,20.08,23461661
2015-11-27,20.1467,20.23,19.9567,19.9633,16022747
2015-11-30,19.9567,20.02,19.5767,19.6133,44568964
2015-12-01,19.71,19.7633,19.55,19.6633,36589144
2015-12-02,19.5367,19.7633,19.4383,19.45,40758214
2015-12-03,19.5633,19.8867,19.5317,19.68,47531645
2015-12-04,19.6833,19.95,19.6767,19.8867,31301913
2015-12-07,19.8567,20.2433,19.8567,20.1667,34786413
2015-12-08,20.0233,20.1633,19.8333,19.87,31130523
2015-12-09,19.7533,20.0367,19.6333,19.71,26945943
2015-12-10,19.71,20.03,19.6967,19.8533,34077303
2015-12-11,19.6833,19.8433,19.6033,19.7867,29210382
2015-12-14,19.7667,20.1467,19.69,20.13,43525114
2015-12-15,20.2133,20.28,19.8567,19.88,43842574
2015-12-16,20.0367,20.2167,19.9,20.1,29833068
2015-12-17,20.11,20.11,19.6567,19.66,38885224
2015-12-18,19.6433,19.8,19.5833,19.6167,48702905
2015-12-21,19.6067,19.86,19.5567,19.85,28934670
2015-12-22,19.93,20.2333,19.87,20.18,27763710
2015-12-23,20.3333,20.3733,20.1467,20.3633,22535393
2015-12-24,20.26,20.3667,20.2267,20.2767,7449364
2015-12-28,20.1933,20.3233,20.1667,20.25,16262504
2015-12-29,20.3333,20.5833,20.3267,20.5367,23648231
2015-12-30,20.5533,20.6233,20.4967,20.56,17147198
2015-12-31,20.4433,20.5733,20.39,20.4333,19723325
2016-01-04,20.1667,20.4967,20.12,20.4867,35940964
2016-01-05,20.6767,21.0167,20.6167,20.9733,39950464
2016-01-06,20.8267,21.3167,20.8233,21.1833,49675055
2016-01-07,20.99,21.7433,20.9733,21.6767,79269578
2016-01-08,21.6933,21.8033,21.1367,21.18,53230175
2016-01-11,21.2533,21.4883,21.2083,21.4067,37957564
2016-01-12,21.46,21.5767,21.1437,21.2067,36558844
2016-01-13,21.2433,21.2433,20.61,20.64,41159914
2016-01-14,20.6667,21.2067,20.6067,21.02,38800684
2016-01-15,20.5167,20.8233,20.42,20.6433,45505265
2016-01-19,20.75,20.9333,20.67,20.8533,39114664
2016-01-20,20.6,20.7767,20.0667,20.28,52103315
2016-01-21,20.3267,20.93,20.3033,20.6267,36252304
2016-01-22,20.8133,21.0867,20.71,20.8967,27564018
2016-01-25,20.9267,21.2733,20.85,21.15,38402314
2016-01-26,21.12,21.49,21.0867,21.3333,28314441
2016-01-27,21.3667,21.7267,21.2967,21.3167,30641403
2016-01-28,21.3433,21.5033,21.1433,21.4067,33819123
2016-01-29,21.5833,22.1767,21.58,22.12,49292435
2016-02-01,21.97,22.6433,21.9633,22.5,43694074
2016-02-02,22.4333,22.6133,22.0933,22.2867,40755154
2016-02-03,22.4367,22.5,21.69,22.09,36945814
2016-02-04,21.92,22.1833,21.67,22.14,38499484
