Date,Open,High,Low,Close,Volume
2015-06-22,15.7511,15.8222,15.5911,15.6119,2310505
2015-06-23,15.6889,15.7719,15.5867,15.7541,3771954
2015-06-24,15.7363,15.7363,15.6178,15.6563,2617512
2015-06-25,15.6681,15.6681,15.5437,15.5585,3288910
2015-06-26,15.603,15.6711,15.5556,15.5911,4766867
2015-06-29,15.4519,15.5704,15.3126,15.3244,2153493
2015-06-30,15.4696,15.5526,15.3481,15.3867,2212913
2015-07-01,15.8133,16.3319,15.7689,16.2133,8031369
2015-07-02,16.2133,16.3348,16.1067,16.1422,4583172
2015-07-06,16.0178,16.3644,16.0178,16.3348,3098344
2015-07-07,16.4,16.6341,16.3407,16.6281,3685949
2015-07-08,16.6637,16.7111,16.5481,16.6044,4090038
2015-07-09,16.5689,16.6963,16.4207,16.4385,4381536
2015-07-10,16.5689,16.6904,16.5511,16.6696,2015280
2015-07-13,16.8089,16.8089,16.5867,16.643,2453743
2015-07-14,16.6281,16.72,16.5985,16.6637,2045638
2015-07-15,16.6341,16.6607,16.5452,16.5867,2756238
2015-07-16,16.7022,16.7333,16.5926,16.6607,2681022
2015-07-17,16.6607,16.7052,16.6252,16.6963,1668762
2015-07-20,16.5363,16.5778,16.4622,16.4889,2533704
2015-07-21,16.5185,16.6074,16.3526,16.4474,2072247
2015-07-22,16.4859,16.6815,16.4142,16.6726,1439660
2015-07-23,16.7319,16.7615,16.5547,16.5926,925995
2015-07-24,16.5719,16.723,16.56,16.7022,1391840
2015-07-27,16.6341,16.6874,16.5073,16.5481,1599115
2015-07-28,16.077,16.4326,15.8578,16.24,2842408
2015-07-29,16.2489,16.5274,16.2015,16.5007,1553259
2015-07-30,16.4207,16.6519,16.4207,16.5837,1570124
2015-07-31,16.6341,16.6341,16.4948,16.5096,1724520
2015-08-03,16.5452,16.56,16.4089,16.5452,1627290
2015-08-04,16.5896,16.6933,16.4533,16.637,3037193
2015-08-05,16.6696,16.7111,16.5067,16.64,1553843
2015-08-06,16.6607,16.6726,16.4948,16.6519,4222702
2015-08-07,16.6163,16.7704,16.6015,16.7615,1438739
2015-08-10,16.8444,16.9867,16.8089,16.9393,1506637
2015-08-11,16.8178,17.0104,16.8178,16.957,1308504
2015-08-12,16.8622,16.9467,16.723,16.9244,1225540
2015-08-13,16.9067,17.1911,16.8504,17.117,1996518
2015-08-14,17.1052,17.2711,17.0628,17.2326,1953389
2015-08-17,17.1763,17.3126,17.037,17.3067,1551332
2015-08-18,17.2919,17.3215,17.2178,17.2444,1284241
2015-08-19,17.1941,17.2415,17.0815,17.1585,1472998
2015-08-20,17.0489,17.0489,16.7793,16.7822,1758264
2015-08-21,16.6459,16.7319,16.3852,16.3852,1771429
2015-08-24,15.5793,16.0889,15.4074,15.6237,3108790
2015-08-25,15.9319,15.9319,15.3896,15.3896,2189828
2015-08-26,15.7007,15.7719,15.3807,15.7037,2392220
2015-08-27,15.9319,16.1659,15.837,16.1274,1977439
2015-08-28,16.0711,16.163,16.0385,16.1481,1676518
2015-08-31,16.1185,16.1363,16.0237,16.083,1378455
2015-09-01,15.8252,15.917,15.7481,15.757,3339579
2015-09-02,15.923,15.9585,15.64,15.8785,2015881
2015-09-03,15.9556,16.0593,15.9052,15.9644,1030431
2015-09-04,15.7837,15.837,15.6415,15.7481,1273387
2015-09-08,15.9289,16.1393,15.917,16.1244,1425671
2015-09-09,16.2133,16.2489,15.9748,15.9881,2088126
2015-09-10,15.9881,16.1244,15.9437,15.997,1544343
2015-09-11,15.8904,16.0889,15.8459,16.0474,948490
2015-09-14,16.0563,16.0889,15.9674,15.9911,1286773
2015-09-15,16.0356,16.2193,16.0,16.1985,1162225
2015-09-16,16.1481,16.3437,16.1304,16.3259,1492064
2015-09-17,16.3496,16.4978,16.2459,16.2756,1524511
2015-09-18,16.1007,16.1452,15.9526,15.9763,3289120
2015-09-21,16.077,16.2637,16.003,16.1363,1350611
2015-09-22,15.9556,16.0948,15.9022,16.0504,1190690
2015-09-23,16.0681,16.1393,16.0,16.0711,908871
2015-09-24,15.997,16.1274,15.9881,16.0859,1540404
2015-09-25,16.1748,16.2726,16.0326,16.1185,1784518
2015-09-28,16.0741,16.1126,15.8489,15.8815,1563810
2015-09-29,15.8933,15.9941,15.8044,15.9526,1183737
2015-09-30,16.0978,16.1452,16.0148,16.1096,2718853
2015-10-01,16.1185,16.1185,15.837,15.997,2228779
2015-10-02,15.8548,16.0311,15.7807,16.0267,1290448
2015-10-05,16.1244,16.1807,16.0119,16.0652,2506673
2015-10-06,16.0237,16.1363,15.9674,16.1274,1782736
2015-10-07,16.2163,16.3319,16.1511,16.2667,1932339
2015-10-08,16.2311,16.5126,16.2311,16.5007,1370385
2015-10-09,16.4948,16.5778,16.437,16.4622,1309331
2015-10-12,16.4444,16.5941,16.4297,16.5422,814360
2015-10-13,16.483,16.6193,16.3763,16.3793,1344543
2015-10-14,16.3585,16.4148,16.1837,16.1956,867122
2015-10-15,16.2844,16.4652,16.2341,16.4652,1520680
2015-10-16,16.5096,16.7111,16.2993,16.5215,2090515
2015-10-19,16.4948,16.5837,16.4563,16.5067,1006816
2015-10-20,16.5452,16.6933,16.5363,16.5956,1068177
2015-10-21,16.6193,16.6578,16.3704,16.3852,2068868
2015-10-22,16.4978,16.5422,16.3289,16.403,2541790
2015-10-23,16.483,16.5481,16.3378,16.4385,1403673
2015-10-26,16.4385,16.5333,16.2874,16.4593,2159095
2015-10-27,16.723,16.9393,16.2667,16.8119,3061392
2015-10-28,16.88,16.9689,16.7259,16.9126,1217325
2015-10-29,16.8711,16.9393,16.7763,16.8326,1374003
2015-10-30,16.883,16.8889,16.5393,16.5422,1597593
2015-11-02,16.5807,16.6163,16.4741,16.56,2467402
2015-11-03,16.5778,16.5778,16.4267,16.4267,1497363
2015-11-04,16.4296,16.48,16.2756,16.317,1064748
2015-11-05,16.3259,16.4385,16.2818,16.4119,1672917
2015-11-06,16.4444,16.4704,16.323,16.4563,1801001
2015-11-09,16.403,16.4444,16.2193,16.2904,798623
2015-11-10,16.2756,16.3733,16.1926,16.3704,1046601
2015-11-11,16.397,16.4001,16.2578,16.3141,2377525
2015-11-12,16.3081,16.32,15.9793,15.9911,1561143
2015-11-13,15.9526,15.9906,15.7985,15.8163,1507893
2015-11-16,15.7807,15.9733,15.7511,15.9704,2491550
2015-11-17,15.9763,16.003,15.7393,15.7511,1109484
2015-11-18,15.8193,16.0563,15.7511,16.0474,1262125
2015-11-19,16.0296,16.1778,15.9763,16.1452,1182364
2015-11-20,16.1748,16.2252,16.1156,16.2044,795082
2015-11-23,16.1867,16.4948,16.157,16.4474,2083259
2015-11-24,16.3822,16.5541,16.3052,16.5096,1752175
2015-11-25,16.5067,16.5215,16.357,16.4919,1273117
2015-11-27,16.4178,16.5185,16.3674,16.4978,455736
2015-11-30,16.557,16.5822,16.4652,16.4919,1618231
2015-12-01,16.5422,16.6993,16.5304,16.6993,1049925
2015-12-02,16.723,16.8504,16.6548,16.7763,1946882
2015-12-03,16.8296,16.9304,16.5304,16.5926,2273484
2015-12-04,16.6163,16.883,16.6163,16.877,1036651
2015-12-07,16.8563,16.8948,16.6222,16.6874,1560219
2015-12-08,16.6193,16.6756,16.4415,16.48,1546469
2015-12-09,16.4267,16.5378,16.1748,16.1926,1006897
2015-12-10,16.1926,16.2637,16.0889,16.1689,1217157
2015-12-11,15.9763,16.1511,15.92,15.9822,817141
2015-12-14,15.9585,16.1719,15.9437,16.1185,1715286
2015-12-15,16.1985,16.2726,16.0296,16.0652,1497994
2015-12-16,16.1837,16.2548,15.9141,16.0978,1321751
2015-12-17,16.0859,16.1837,15.8963,15.9081,1154614
2015-12-18,15.8489,15.8756,15.5793,15.6207,4990751
2015-12-21,15.7067,15.7807,15.5141,15.7007,1584107
2015-12-22,15.7393,15.8904,15.6,15.8163,1527751
2015-12-23,15.8874,15.9319,15.7899,15.9141,1343301
2015-12-24,16.0237,16.4681,16.003,16.4059,1673413
2015-12-28,16.3852,16.4356,16.277,16.4237,1683224
2015-12-29,16.4889,16.637,16.4059,16.6252,1204119
2015-12-30,16.5659,16.6844,16.5126,16.5393,906984
2015-12-31,16.48,16.48,16.2222,16.2222,4686110
2016-01-04,16.0474,16.0474,15.6859,15.7926,2504297
2016-01-05,15.7837,15.9615,15.7393,15.9289,1970052
2016-01-06,15.7333,15.8489,15.6326,15.7274,1391539
2016-01-07,15.4607,15.7126,15.4281,15.4607,4308218
2016-01-08,15.5259,15.596,15.3837,15.4104,2450344
2016-01-11,15.443,15.523,15.1319,15.2059,2221496
