Date,Open,High,Low,Close,Volume
2015-06-22,40.645,40.695,40.45,40.54,1308542
2015-06-23,40.555,40.815,40.38,40.595,2213002
2015-06-24,40.69,40.69,40.365,40.495,1065748
2015-06-25,40.51,40.755,40.32,40.56,766922
2015-06-26,40.825,41.515,40.75,41.49,1454638
2015-06-29,41.025,41.43,40.51,40.545,1620166
2015-06-30,40.85,41.445,40.4725,41.135,1678276
2015-07-01,41.39,41.685,41.115,41.63,1467226
2015-07-02,41.755,42.155,41.345,41.46,1059630
2015-07-06,41.16,41.85,41.16,41.53,812496
2015-07-07,41.58,41.9075,41.205,41.755,1773658
2015-07-08,41.54,41.755,41.255,41.335,1139380
2015-07-09,41.67,41.8443,41.37,41.375,729820
2015-07-10,41.675,42.205,41.41,42.02,857188
2015-07-13,42.375,42.49,42.175,42.36,1464896
2015-07-14,42.34,42.38,41.98,42.105,880206
2015-07-15,41.995,42.32,41.83,42.1,906564
2015-07-16,42.31,42.685,41.985,42.45,945814
2015-07-17,42.545,42.545,41.895,42.0,1406248
2015-07-20,42.035,42.155,41.675,41.78,924992
2015-07-21,41.825,41.825,40.965,41.25,1285684
2015-07-22,41.215,41.595,41.035,41.385,1015884
2015-07-23,41.58,41.685,41.32,41.415,919898
2015-07-24,41.53,41.5799,40.445,40.605,1042618
2015-07-27,40.355,40.575,40.17,40.275,793918
2015-07-28,40.46,40.9,40.1,40.885,899274
2015-07-29,41.62,42.36,41.39,42.21,1976686
2015-07-30,42.125,42.265,41.72,42.12,975784
2015-07-31,42.295,42.53,42.005,42.33,1039136
2015-08-03,42.35,42.47,42.12,42.215,753280
2015-08-04,42.29,43.0,42.1,42.64,1045136
2015-08-05,42.78,43.22,42.78,42.935,818098
2015-08-06,42.97,42.97,41.99,42.4,1258418
2015-08-07,42.33,42.585,42.225,42.51,956466
2015-08-10,42.67,43.4275,42.67,43.21,1463610
2015-08-11,42.96,43.395,42.64,43.035,1574766
2015-08-12,42.77,43.385,42.2049,43.265,1442140
2015-08-13,43.25,43.75,43.19,43.4,1127078
2015-08-14,43.435,43.84,43.19,43.75,822620
2015-08-17,43.745,44.29,43.315,44.255,1027070
2015-08-18,44.535,44.69,44.24,44.335,997178
2015-08-19,44.0,44.065,43.56,43.795,1035362
2015-08-20,43.365,43.575,43.055,43.11,1276432
2015-08-21,42.775,42.865,41.4998,41.655,2965612
2015-08-24,38.09,41.67,37.045,40.405,3158710
2015-08-25,42.16,42.16,40.065,40.535,3427562
2015-08-26,41.41,41.78,40.03,41.56,3695670
2015-08-27,38.83,39.605,37.7,38.35,10287658
2015-08-28,38.2,38.255,37.48,37.905,2934202
2015-08-31,37.875,38.27,37.68,38.015,2086678
2015-09-01,37.305,37.795,37.25,37.32,2203174
2015-09-02,37.595,37.94,37.055,37.845,2118596
2015-09-03,37.865,38.47,37.605,38.145,2001590
2015-09-04,37.795,38.49,37.755,38.005,1682384
2015-09-08,38.465,39.485,38.245,39.15,2218524
2015-09-09,39.42,39.52,38.18,38.265,1854730
2015-09-10,38.21,38.365,37.915,38.085,1395130
2015-09-11,37.885,38.36,37.77,37.92,1460188
2015-09-14,37.985,38.05,37.58,37.865,1227684
2015-09-15,38.03,38.04,37.685,37.685,1798640
2015-09-16,37.685,38.305,37.505,38.235,1130804
2015-09-17,38.275,39.315,38.14,38.745,2082162
2015-09-18,38.215,38.675,38.13,38.49,3379932
2015-09-21,38.615,38.995,38.355,38.505,1979642
2015-09-22,38.145,39.095,37.5,39.055,3801534
2015-09-23,39.125,39.76,39.0955,39.62,2126950
2015-09-24,39.495,39.61,38.74,39.11,2468554
2015-09-25,39.345,39.6,38.69,38.975,1590882
2015-09-28,38.78,38.945,37.66,37.99,1776952
2015-09-29,38.015,38.315,37.64,37.865,1760520
2015-09-30,38.27,38.4475,38.03,38.175,2084414
2015-10-01,38.165,38.305,37.73,38.165,1516412
2015-10-02,37.74,38.485,37.395,38.48,1283220
2015-10-05,38.63,39.545,38.63,39.4,1898048
2015-10-06,39.465,39.775,38.8501,39.175,1263148
2015-10-07,39.375,39.4925,38.995,39.335,1041638
2015-10-08,39.01,39.57,38.99,39.25,1628958
2015-10-09,39.195,39.245,38.8,39.09,967434
2015-10-12,39.065,39.23,38.345,38.52,1545328
2015-10-13,38.44,38.75,37.68,37.815,2391762
2015-10-14,37.855,37.925,36.805,37.4,2427232
2015-10-15,37.52,37.76,36.99,37.71,2190554
2015-10-16,37.915,38.21,37.54,38.19,1894458
2015-10-19,38.185,38.91,38.08,38.18,1882722
2015-10-20,38.305,38.395,37.935,38.085,1257418
2015-10-21,38.325,38.335,37.315,37.39,2008278
2015-10-22,37.585,37.615,36.385,36.95,3225688
2015-10-23,36.86,37.17,35.515,36.04,3658508
2015-10-26,36.0,36.95,35.645,36.74,2885542
2015-10-27,36.615,36.645,35.78,36.24,2034344
2015-10-28,36.3,37.045,36.08,36.775,1318818
2015-10-29,36.68,36.84,36.095,36.535,949892
2015-10-30,36.395,37.24,36.26,36.875,1373730
2015-11-02,36.84,37.49,36.47,37.325,1040224
2015-11-03,37.395,37.67,36.98,37.415,1892580
2015-11-04,37.41,37.575,37.11,37.27,1176978
2015-11-05,37.415,37.85,37.18,37.795,931914
2015-11-06,37.575,37.95,37.175,37.52,1549436
2015-11-09,37.42,37.645,36.86,37.295,1928422
2015-11-10,36.005,36.86,35.875,36.27,3422968
2015-11-11,36.23,36.23,35.315,35.73,2832538
2015-11-12,35.5,35.67,35.125,35.375,2772258
2015-11-13,34.625,34.77,33.22,33.65,6020298
2015-11-16,33.47,34.0,33.1,33.955,3980774
2015-11-17,34.225,34.73,32.5105,32.615,5177586
2015-11-18,32.825,33.5,32.465,33.37,5648096
2015-11-19,33.035,33.52,32.515,33.105,5246826
2015-11-20,32.2,33.15,30.68,31.97,12892466
2015-11-23,31.905,32.71,31.76,31.815,3659674
2015-11-24,31.56,32.305,31.33,32.09,3940954
2015-11-25,32.17,32.445,31.905,32.005,2646594
2015-11-27,32.105,32.54,31.8575,32.45,1045946
2015-11-30,32.4,32.4775,31.565,31.665,2364830
2015-12-01,31.92,32.195,31.75,31.98,1742834
2015-12-02,32.025,32.285,31.6625,31.755,1803112
2015-12-03,31.79,32.1,31.5,31.555,2680316
2015-12-04,31.67,32.155,31.5,31.76,1146876
2015-12-07,31.8,31.8,31.25,31.43,1291214
2015-12-08,31.215,31.94,31.175,31.59,2098832
2015-12-09,31.335,31.76,30.86,31.33,1824542
2015-12-10,31.28,31.618,31.17,31.315,1526254
2015-12-11,30.94,31.155,30.42,30.485,3104494
2015-12-14,30.525,30.8025,29.22,29.525,4642234
2015-12-15,29.74,30.67,29.6,30.195,2727094
2015-12-16,30.405,30.825,30.255,30.57,1655768
2015-12-17,30.25,30.69,29.785,29.965,3390500
2015-12-18,29.945,30.3,29.125,29.165,6079350
2015-12-21,29.315,29.585,28.975,29.23,1498948
2015-12-22,29.345,29.625,29.005,29.5,1198018
2015-12-23,29.35,29.745,29.155,29.505,1354718
2015-12-24,29.395,29.4325,29.125,29.265,586720
2015-12-28,29.27,29.51,29.185,29.49,1353192
2015-12-29,29.5,30.05,29.5,29.79,1376596
2015-12-30,29.8,29.885,29.415,29.445,1063472
2015-12-31,29.245,29.495,29.175,29.205,2084032
2016-01-04,28.885,29.095,28.65,28.735,2476090
2016-01-05,28.865,28.9725,28.59,28.745,2643032
2016-01-06,28.445,28.665,27.715,27.835,3648490
2016-01-07,27.51,28.72,27.455,28.245,4052664
2016-01-08,28.02,28.05,27.255,27.335,3748098
2016-01-11,27.32,27.32,26.55,26.705,3052744
2016-01-12,26.865,27.29,26.46,26.72,2259648
2016-01-13,26.745,26.86,25.9001,26.08,3115774
2016-01-14,26.025,26.125,25.47,25.805,2672068
2016-01-15,25.175,25.365,24.6,25.225,4083940
2016-01-19,25.36,25.415,24.71,25.005,2945952
2016-01-20,24.705,24.93,23.665,24.495,5324988
2016-01-21,24.495,25.84,24.49,25.36,3102456
2016-01-22,25.465,26.31,25.3156,26.145,4653740
2016-01-25,26.175,26.7875,25.57,25.655,3601592
2016-01-26,25.72,25.88,25.555,25.795,2211528
2016-01-27,25.75,26.045,25.06,25.37,2013224
2016-01-28,25.515,25.66,24.525,24.75,2267674
2016-01-29,24.84,25.835,24.84,25.83,2680856
2016-02-01,25.745,26.07,25.19,25.83,3277204
2016-02-02,25.705,25.8925,25.29,25.545,1908820
2016-02-03,25.67,25.935,24.695,25.065,2407020
2016-02-04,25.06,25.82,25.015,25.75,2417252
2016-02-05,25.75,26.335,25.48,26.085,2658756
2016-02-08,25.825,26.31,25.56,26.305,3444190
2016-02-09,25.95,26.47,25.785,26.055,2397810
2016-02-10,26.25,26.615,25.86,25.875,1715806
2016-02-11,25.455,25.875,25.143,25.63,1763698
2016-02-12,25.505,26.125,25.2475,26.035,1345258
2016-02-16,26.34,27.115,26.055,27.085,1419162
2016-02-17,27.395,29.07,27.395,28.83,3806434
2016-02-18,28.475,29.155,28.095,28.955,2822184
2016-02-19,28.69,28.84,27.755,28.07,1774174
2016-02-22,28.28,28.5,27.9916,28.415,1237090
2016-02-23,28.405,28.635,27.83,28.15,1479908
2016-02-24,27.975,28.595,27.685,28.405,1925748
2016-02-25,26.5,27.39,26.5,26.675,5948690
2016-02-26,26.91,27.52,26.685,27.485,4524536
2016-02-29,27.54,27.54,26.0,26.055,3330316
2016-03-01,26.225,27.185,25.9125,27.085,2911916
2016-03-02,26.98,27.24,26.63,27.18,2634752
2016-03-03,27.25,28.075,27.175,27.895,2147894
2016-03-04,28.04,28.49,27.805,28.105,1344248
2016-03-07,28.04,28.88,27.845,28.72,2863200
2016-03-08,28.69,29.1,28.5925,28.685,2818192
2016-03-09,28.76,28.88,28.015,28.375,1708936
2016-03-10,28.515,29.15,28.25,28.95,2469860
2016-03-11,28.4,28.96,27.8,28.935,2904750
2016-03-14,28.965,29.08,28.545,28.86,1965036
2016-03-15,28.875,29.515,28.705,29.105,4250030
2016-03-16,29.0,29.995,28.77,29.73,4742800
2016-03-17,27.9,28.5,27.305,27.87,12869572
2016-03-18,28.09,29.055,27.89,28.365,7374368
2016-03-21,28.38,28.845,28.25,28.375,3576820
2016-03-22,28.39,28.43,27.78,27.83,3087808
2016-03-23,27.825,27.995,27.505,27.655,2860670
2016-03-24,27.545,27.57,26.855,27.11,2723150
2016-03-28,27.135,27.6,27.065,27.12,3123388
2016-03-29,27.14,27.25,26.855,27.18,5862962
2016-03-30,27.24,28.055,27.24,27.865,3658902
2016-03-31,27.615,27.7075,27.35,27.37,3000684
2016-04-01,27.21,27.486,26.9175,27.4,2380012
2016-04-04,27.485,27.645,27.035,27.055,1803364
2016-04-05,27.025,28.24,26.97,27.955,3907738
2016-04-06,27.955,28.235,27.505,28.11,2321786
2016-04-07,28.1,28.42,27.44,27.7,3265172
2016-04-08,27.735,27.82,27.275,27.64,2342664
2016-04-11,27.845,28.321,27.625,27.91,1907722
2016-04-12,27.91,28.615,27.63,28.59,1994370
2016-04-13,28.685,29.67,28.645,29.59,3849958
2016-04-14,29.625,30.425,29.57,30.18,5817650
2016-04-15,30.17,30.775,30.015,30.455,3937214
2016-04-18,30.305,30.51,30.035,30.13,2094390
2016-04-19,30.23,30.365,29.485,29.845,2326304
2016-04-20,29.915,30.32,29.595,29.62,2310784
2016-04-21,29.63,29.8,29.305,29.35,1895588
2016-04-22,29.355,29.7625,29.29,29.76,3208754
2016-04-25,29.555,29.77,29.11,29.35,1508368
2016-04-26,29.38,30.535,29.38,30.48,2316512
2016-04-27,30.215,30.985,30.165,30.775,3726018
2016-04-28,30.56,30.59,29.35,29.4,1906272
2016-04-29,29.49,29.5,28.775,29.39,1913546
2016-05-02,30.515,30.515,29.68,29.98,3020916
2016-05-03,29.78,29.78,29.245,29.385,1932104
2016-05-04,29.155,29.73,29.115,29.3,1917312
2016-05-05,29.27,29.58,28.93,28.965,2387808
2016-05-06,28.865,29.04,28.42,28.745,3417034
2016-05-09,28.75,29.17,28.685,28.79,2205348
2016-05-10,28.785,29.075,28.545,29.005,1497708
2016-05-11,28.625,28.655,27.355,27.495,4123886
2016-05-12,27.585,27.74,27.09,27.255,4360878
2016-05-13,26.855,26.965,26.015,26.305,6310836
2016-05-16,26.12,26.335,25.55,25.55,7840212
2016-05-17,25.52,25.865,24.93,25.125,10118786
2016-05-18,24.875,25.105,23.83,24.01,7427914
2016-05-19,24.125,24.85,24.015,24.56,4545384
2016-05-20,24.56,25.205,24.505,25.04,3827952
2016-05-23,24.925,25.67,24.84,25.065,4087648
2016-05-24,25.295,25.685,24.95,25.44,3819750
2016-05-25,26.14,26.235,25.3251,26.05,10372778
2016-05-26,27.235,27.25,25.375,25.995,17229608
2016-05-27,25.9,26.955,25.85,26.9,5937710
2016-05-31,26.9,27.1,26.3975,26.52,3995318
2016-06-01,26.5,26.675,26.055,26.575,2486684
2016-06-02,26.31,26.995,26.265,26.96,3349292
2016-06-03,26.795,26.965,26.2775,26.625,3503878
2016-06-06,26.75,27.065,26.385,26.98,2533200
2016-06-07,26.98,27.445,26.785,27.35,4364226
2016-06-08,27.36,27.765,27.35,27.59,3167696
2016-06-09,27.055,27.055,26.045,26.07,7423650
2016-06-10,25.89,25.89,25.425,25.655,4027864
2016-06-13,25.995,25.995,25.47,25.515,3976036
2016-06-14,25.505,25.88,24.97,25.71,3449706
2016-06-15,25.775,26.545,25.76,25.985,2922558
2016-06-16,25.775,26.0275,25.41,25.99,3112250
2016-06-17,25.995,26.53,25.835,26.31,5473758
