Date,Open,High,Low,Close,Volume
2015-06-22,126.5695,126.8079,125.1391,126.1457,104302
2015-06-23,126.3576,126.6755,125.6424,126.1457,247776
2015-06-24,126.1457,126.2517,124.9536,124.9801,104709
2015-06-25,125.1656,126.5166,123.8675,123.894,115669
2015-06-26,121.4305,123.5762,121.4305,123.4967,131945
2015-06-29,122.3311,122.3311,119.947,120.2649,266110
2015-06-30,128.9536,129.351,123.8675,124.2384,2467964
2015-07-01,125.6159,125.9073,122.8079,124.1324,1837060
2015-07-02,124.3179,125.7483,123.4437,124.1589,571651
2015-07-06,123.2318,125.0371,122.7815,124.9272,542795
2015-07-07,124.7417,125.0066,123.4172,124.4768,591543
2015-07-08,123.5232,124.5033,123.0199,123.4967,263142
2015-07-09,124.4768,124.5033,123.894,124.0,302807
2015-07-10,124.5033,124.6358,124.0,124.4768,236719
2015-07-13,124.5033,125.298,124.4503,124.6623,444492
2015-07-14,125.1126,125.2185,124.053,124.5033,598246
2015-07-15,124.7947,125.0199,124.053,124.3709,415757
2015-07-16,125.1126,125.1258,123.894,124.4768,593386
2015-07-17,124.3709,124.7152,123.8675,124.5033,224518
2015-07-20,124.5033,124.8212,123.8411,124.0265,261057
2015-07-21,124.0795,124.2252,122.9934,123.2583,348661
2015-07-22,123.0993,123.8411,122.8344,123.1523,298864
2015-07-23,123.2583,123.6291,122.702,123.1523,303628
2015-07-24,123.1523,123.5762,122.1457,122.3311,238950
2015-07-27,121.8278,122.4636,121.245,121.9338,262919
2015-07-28,122.3576,122.8609,121.6424,122.3576,285740
2015-07-29,122.2517,124.2914,122.0397,124.1589,473702
2015-07-30,123.8411,124.5033,123.2583,123.4967,375527
2015-07-31,123.7086,123.7881,122.8609,123.1523,282239
2015-08-03,123.0993,124.3179,122.6225,124.1854,420751
2015-08-04,124.3709,125.0066,123.4967,124.3179,383095
2015-08-05,124.5298,125.6424,124.4238,124.8742,373579
2015-08-06,125.1391,125.4437,122.3444,122.702,366394
2015-08-07,122.3841,123.0728,121.5364,122.5695,169282
2015-08-10,123.1523,124.053,122.3841,122.9669,182842
2015-08-11,121.7483,122.4636,120.9536,121.6159,352432
2015-08-12,120.8477,121.8543,119.4172,121.404,267490
2015-08-13,121.2185,122.0927,121.2185,121.4305,231796
2015-08-14,121.245,122.702,121.245,122.5166,192267
2015-08-17,122.2781,123.0728,121.6424,123.0728,217686
2015-08-18,122.8609,123.4967,122.1457,122.9404,232848
2015-08-19,122.3841,122.8609,120.8212,121.6689,225073
2015-08-20,120.9007,121.404,120.106,120.5033,330748
2015-08-21,119.3377,119.9735,118.1457,118.2252,581010
2015-08-24,113.8278,117.2185,111.6291,114.5695,473517
2015-08-25,116.2649,116.9801,113.4305,113.4834,554398
2015-08-26,115.3642,115.7351,113.6421,114.2252,895581
2015-08-27,115.3113,116.6358,113.6954,116.6358,604004
2015-08-28,116.0795,116.7152,114.702,114.8874,362120
2015-08-31,114.3841,114.9457,113.5338,114.1457,396208
2015-09-01,112.5828,113.298,112.1324,112.5298,611943
2015-09-02,113.5894,113.6424,112.106,112.9272,456798
2015-09-03,113.2185,113.7483,112.7152,112.9536,380492
