Date,Open,High,Low,Close,Volume
2015-06-22,103.5,103.87,100.53,100.95,1687515
2015-06-23,100.34,100.74,97.76,100.26,3518175
2015-06-24,99.91,100.24,97.97,98.21,2292062
2015-06-25,98.73,99.0,97.81,97.99,1540601
2015-06-26,97.78,97.93,96.29,96.5,2347455
2015-06-29,93.78,95.99,93.59,93.93,3081811
2015-06-30,95.9,100.2395,95.36,98.67,4437282
2015-07-01,102.89,107.2699,102.45,103.07,4536407
2015-07-02,104.14,105.0,102.43,103.54,3017651
2015-07-06,102.23,104.97,102.09,103.88,2234766
2015-07-07,104.35,112.0,103.22,111.35,4675570
2015-07-08,108.62,109.5,103.8115,104.14,3676067
2015-07-09,106.26,109.052,104.81,105.2,2685230
2015-07-10,106.78,106.98,103.52,103.9,2412976
2015-07-13,108.81,110.31,107.28,107.89,3513144
2015-07-14,107.6,108.74,106.57,107.26,1849061
2015-07-15,107.13,107.13,102.45,103.42,2095064
2015-07-16,104.42,104.88,102.76,103.8,1161931
2015-07-17,103.8,103.88,101.53,101.71,1522537
2015-07-20,101.16,102.0,99.85,100.02,1710909
2015-07-21,100.09,102.09,99.85,101.42,1283905
2015-07-22,100.92,101.88,99.7,101.25,1724135
2015-07-23,104.2,105.65,103.01,104.3,2653894
2015-07-24,104.84,104.84,101.45,102.43,1640599
2015-07-27,100.03,101.26,98.1,99.23,2227663
2015-07-28,98.89,99.99,97.38,98.01,2623113
2015-07-29,98.17,99.8,95.87,96.03,4065380
2015-07-30,99.24,104.7,99.01,104.12,5064894
2015-07-31,103.92,105.43,101.81,103.23,2846938
2015-08-03,103.1,103.72,100.0,100.8,2351051
2015-08-04,101.1,102.295,99.33,100.3,1817300
2015-08-05,101.01,103.71,100.8,101.27,1776937
2015-08-06,100.72,102.61,99.99,100.7,1818353
2015-08-07,100.43,103.7758,100.42,103.14,1967304
2015-08-10,104.87,104.99,102.7,104.0,2365213
2015-08-11,102.0,102.1349,98.61,99.53,2668444
2015-08-12,97.22,97.84,94.13,97.45,2760153
2015-08-13,97.58,98.23,94.59,94.62,2227837
2015-08-14,94.65,95.4631,92.04,92.17,2170259
2015-08-17,92.0,93.48,90.91,91.91,2461267
2015-08-18,91.64,92.0,90.38,90.9,1789367
2015-08-19,90.36,91.14,89.18,90.25,2241551
2015-08-20,89.0,90.0,85.5,85.58,2531518
2015-08-21,83.6,84.73,81.33,81.77,3787090
2015-08-24,75.0,81.36,72.75,76.48,5953490
2015-08-25,79.31,79.6099,75.6,75.71,3430729
2015-08-26,77.61,77.66,71.25,74.29,4654631
2015-08-27,76.15,78.98,75.68,78.52,3394989
2015-08-28,77.68,79.33,77.04,78.2,2181867
2015-08-31,77.23,77.68,74.92,75.05,2860606
2015-09-01,72.9,73.6399,70.51,70.99,3906905
2015-09-02,73.34,73.5,70.88,72.43,4609370
2015-09-03,71.89,74.16,71.89,73.82,2924541
2015-09-04,72.38,74.55,72.34,73.07,3084926
2015-09-08,74.54,76.48,74.32,74.85,4000749
2015-09-09,75.97,76.75,73.0,73.04,3619253
2015-09-10,71.95,72.05,68.11,69.67,7792655
2015-09-11,69.6,70.72,67.24,67.72,4626618
2015-09-14,67.5,68.65,66.72,68.47,3022038
2015-09-15,67.94,70.45,67.87,70.35,2474999
2015-09-16,70.77,75.1,70.55,73.78,3873225
2015-09-17,73.33,73.49,70.0,70.27,3832950
2015-09-18,69.6,70.05,68.11,68.44,3777318
2015-09-21,68.77,68.96,66.32,66.56,2917530
2015-09-22,65.0,65.128,63.86,63.93,3756612
2015-09-23,63.29,63.3,60.06,60.24,5450927
2015-09-24,59.9,61.8,59.75,59.83,5292022
2015-09-25,60.72,60.76,58.13,58.23,4927990
2015-09-28,57.93,57.95,54.37,54.42,4715918
2015-09-29,53.46,55.09,52.26,53.22,6217843
2015-09-30,54.44,54.4799,52.5,53.12,4264317
2015-10-01,53.43,53.8355,50.96,51.71,4743159
2015-10-02,55.27,63.76,54.75,63.52,15133510
2015-10-05,63.8,67.25,60.55,64.89,12692370
2015-10-06,64.58,68.32,64.52,67.85,8448843
2015-10-07,69.03,73.48,68.99,71.99,10452100
2015-10-08,71.51,76.4789,70.8,75.91,7811266
2015-10-09,75.0,76.25,73.2,75.4,6902772
2015-10-12,74.7,76.32,70.84,71.2,6175408
2015-10-13,70.9,72.76,69.65,70.32,5305536
2015-10-14,70.67,72.85,70.54,72.37,3860713
2015-10-15,75.65,77.25,70.93,73.76,8302418
2015-10-16,66.55,75.3,66.35,72.9,16033480
2015-10-19,70.91,70.9968,67.1601,68.25,7440929
2015-10-20,68.8,69.89,66.25,66.92,4019684
2015-10-21,67.14,67.294,64.33,64.47,5111100
2015-10-22,65.57,66.2,61.27,63.18,6335149
2015-10-23,63.97,68.07,63.72,67.6,4373312
2015-10-26,67.42,67.8818,65.46,66.41,2211838
2015-10-27,66.17,67.5596,64.12,64.56,2646494
2015-10-28,64.27,67.43,63.3,67.3,3753660
2015-10-29,68.99,71.33,68.16,69.9,4527283
2015-10-30,69.26,70.63,68.51,69.95,2950068
2015-11-02,71.65,73.67,70.64,72.19,4269489
2015-11-03,71.78,75.48,70.95,74.26,4616922
2015-11-04,74.88,75.69,71.5,72.87,4285422
2015-11-05,72.95,74.8224,72.26,72.98,2259735
2015-11-06,73.51,74.19,72.58,73.99,2118579
2015-11-09,71.11,71.4,66.51,68.15,7500258
2015-11-10,67.29,68.46,65.1901,67.25,3813616
2015-11-11,67.68,68.0,64.61,65.8,3672396
2015-11-12,65.37,68.0,64.17,64.7,2969554
2015-11-13,64.27,64.81,62.05,62.2,3925088
2015-11-16,62.13,63.88,60.65,63.49,3021536
2015-11-17,64.28,64.45,61.15,61.56,2935222
2015-11-18,61.47,62.299,57.6611,61.31,5600573
2015-11-19,61.2,62.65,60.53,61.78,2672754
2015-11-20,61.8,61.89,59.09,59.56,3778088
2015-11-23,59.5,61.47,59.5,60.23,2427420
2015-11-24,59.64,64.0,59.64,62.95,5627150
2015-11-25,63.42,63.43,61.64,62.25,2357208
2015-11-27,61.55,61.92,59.28,61.05,2286120
2015-11-30,61.45,62.92,60.83,62.77,2857933
2015-12-01,63.79,67.29,63.5,66.81,6373479
2015-12-02,66.26,71.581,66.03,68.5,6909881
2015-12-03,68.45,68.82,63.69,65.08,3746931
2015-12-04,65.07,66.24,62.94,64.6,4240430
2015-12-07,64.1,65.15,63.12,64.6,3427141
2015-12-08,62.8,63.63,60.44,61.8,4474390
2015-12-09,66.76,73.0,65.66,69.91,12686020
2015-12-10,70.0,70.08,66.3111,66.46,4747007
2015-12-11,65.55,66.33,62.07,63.13,5518323
2015-12-14,63.3,64.798,61.881,62.77,2907916
2015-12-15,63.74,67.2,63.39,66.04,4001382
2015-12-16,67.17,69.2,65.835,68.99,4188811
2015-12-17,69.1,69.19,64.2,64.27,3747161
2015-12-18,64.11,65.44,63.26,63.4,7696680
2015-12-21,63.51,66.09,62.8,65.76,2988271
2015-12-22,65.92,68.49,65.01,67.65,3563124
2015-12-23,68.15,69.75,67.9,68.95,2443755
2015-12-24,68.65,69.56,67.81,69.17,1340124
2015-12-28,69.0,69.08,66.49,68.34,1870174
2015-12-29,69.05,71.27,68.9475,70.12,2613581
2015-12-30,69.57,70.71,68.38,68.64,1906155
2015-12-31,68.61,69.89,68.07,69.19,1645144
2016-01-04,67.03,69.2743,64.64,68.77,4248909
2016-01-05,69.24,72.64,67.65,70.07,4285828
2016-01-06,67.73,68.88,65.36,66.44,3310087
2016-01-07,63.94,64.01,59.8,60.19,5520342
2016-01-08,61.51,63.09,57.55,57.74,5731117
2016-01-11,59.01,59.99,56.01,56.79,4608883
2016-01-12,58.45,58.62,54.93,55.62,3802939
2016-01-13,56.16,56.89,51.634,52.47,5410015
2016-01-14,52.76,52.99,49.95,51.5,4976931
2016-01-15,53.16,59.125,52.05,58.37,10543630
2016-01-19,59.85,61.12,57.3101,59.13,5851160
2016-01-20,57.51,57.7,52.52,56.33,6211819
2016-01-21,56.42,57.47,54.33,56.68,4075455
2016-01-22,59.0,60.79,57.96,59.17,3585076
2016-01-25,60.98,63.75,60.17,61.0,5651801
2016-01-26,61.64,63.74,59.66,63.41,3027412
2016-01-27,62.69,65.0,61.25,62.23,3109070
2016-01-28,64.67,66.41,62.29,63.15,3657257
2016-01-29,63.71,67.36,63.55,67.34,3133512
2016-02-01,66.51,67.68,63.55,67.1,3951580
2016-02-02,65.54,65.95,61.26,62.0,5430496
2016-02-03,62.47,63.9099,59.53,63.17,4240779
2016-02-04,62.49,65.5,61.31,63.78,3670251
2016-02-05,63.31,64.34,61.5,61.91,2461927
2016-02-08,61.08,61.46,57.05,58.8,3845152
2016-02-09,57.47,60.76,56.58,58.45,2733468
2016-02-10,59.01,60.2,57.61,58.14,2753625
2016-02-11,58.46,61.66,56.51,59.69,5361121
2016-02-12,62.75,69.28,62.3,69.14,10715080
2016-02-16,70.84,76.0,69.85,74.65,9055319
2016-02-17,75.31,78.27,73.66,76.21,6937213
